,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.17577026432641,,1799.0,0.0002919974510549,500.0,0.0298969156757493,0.0061895979500021,0.0059658871420018,2.30946141565778e-05,-2.3614340621085822e-05,6277945197.681761,4443852001.880763,3679167883.292567,16.724133198983157,0.0048834042652068,104993191701.9464,74319572796.02184,61530893741.605804,1.3622584835067926e-07,9.642765106083017e-08,7.983468321946785e-08,7.617534311578754e-08,5.392081968540404e-08,4.464229410506618e-08
1,1,0.02,502,100000.0,17.15,2.43,0.81,1.17662360156545,,1832.0,0.0002591668343395,502.0,0.0325003797699423,0.0070212867587542,0.006002354901332,1.9178901313253912e-05,-4.197352525427046e-05,5568257239.603063,3941152045.9446864,3265502112.6782603,15.445973356418117,0.0040030840180758,86007152964.5912,60874929495.25438,50438858627.75548,1.2131403197371046e-07,8.586475529802766e-08,7.114456295052729e-08,6.787415532520633e-08,4.8040590550334096e-08,3.9804769800202984e-08
2,2,0.02,504,100000.0,17.15,2.43,0.81,1.17747901516844,,1794.0,0.0002163963099587,504.0,0.0306009903354151,0.0069380670811857,0.0059885213151144,1.56235622761153e-05,5.952719133778318e-05,4641664915.041189,3289223911.372612,2726593505.479928,16.47005520003416,0.0035640591701038,76448477370.79025,54173699385.57919,44907145543.30906,1.015370205463862e-07,7.19521986148675e-08,5.96445856939033e-08,5.6840295344015016e-08,4.027874954290114e-08,3.338896343687857e-08
3,3,0.02,506,100000.0,17.15,2.43,0.81,1.17837189466193,,1858.0,0.0001866923772472,506.0,0.0299126636078881,0.0060414874945298,0.0057722478120109,-9.358270713783663e-05,2.350328021609384e-05,3997913617.218149,2837724134.1578026,2352323953.315021,16.91591249221166,0.003158071916477,67628356900.2836,48002693130.45049,39791706147.61028,8.780192078433282e-08,6.232191425098453e-08,5.166158681331612e-08,4.9183855354736064e-08,3.4910762641284275e-08,2.8939184821064586e-08
4,4,0.02,508,100000.0,17.15,2.43,0.81,1.1791362468331,,1843.0,0.0001520048171503,508.0,0.0299388870896564,0.0068430735458136,0.0060651828252962,0.0001068054010165,-6.79190644031951e-05,3249719444.550385,2310473220.685801,1915260696.094809,16.96789858883929,0.0025792023224227,55140909977.31009,39203875300.825584,32497949262.526463,7.165751397155195e-08,5.0946787843433614e-08,4.223220571231997e-08,4.016529562912423e-08,2.8556569739471602e-08,2.3671893336667245e-08
5,5,0.02,510,100000.0,17.15,2.43,0.81,1.18000708146274,,1840.0,0.0001186310412149,510.0,0.0276605746648215,0.0055756648100413,0.0052295090290085,7.899620784593702e-05,-1.5350571201000413e-05,2532021363.85037,1803191826.467213,1494751119.3083477,18.43779481012061,0.0021872947960321,46684890361.51486,33246880899.68909,27559914430.00543,5.6064230933732724e-08,3.992642574829844e-08,3.3096905554510544e-08,3.144110509647532e-08,2.239094208859578e-08,1.8560912520809657e-08
6,6,0.02,512,100000.0,17.15,2.43,0.81,1.18089388467086,,1809.0,9.098846575279683e-05,512.0,0.0314922988493435,0.0054929036914934,0.0053609132006378,-4.022970821529356e-05,-5.907177503224769e-05,1938807438.9957929,1383024679.4425118,1146454668.4852402,16.25794301169831,0.0014792852909308,31521020853.85035,22485136422.14868,18638994665.72851,4.30912263134004e-08,3.073860160643041e-08,2.548068291059363e-08,2.4181325809509964e-08,1.7249454331325692e-08,1.4298889774651564e-08
7,7,0.02,514,100000.0,17.15,2.43,0.81,1.18169303123046,,1738.0,6.958061316405018e-05,514.0,0.0336028805372734,0.0074333069394577,0.005658960452319,3.7675443261582056e-05,4.44941842729268e-05,1482067060.394269,1057625320.0935628,876715725.8670323,15.296307690938992,0.0010643264682815,22670153774.3962,16177762317.87898,13410513500.347046,3.3075875890668446e-08,2.3603441950148377e-08,1.956601109025457e-08,1.856678730432806e-08,1.3249538358018145e-08,1.0983169954672935e-08
8,8,0.02,516,100000.0,17.15,2.43,0.81,1.18256256858225,,1779.0,5.2964550125150406e-05,516.0,0.0342646549750043,0.005948512352249,0.0060210254214981,6.87530255413393e-05,9.51580200316947e-05,1128144917.6657035,805061161.9022862,667353331.5768951,15.059249841459556,0.0007976063930751,16989016172.500652,12123617174.742249,10049840552.746864,2.5281750289409037e-08,1.8041436826244945e-08,1.4955401579650413e-08,1.4195994798310686e-08,1.0130475161235797e-08,8.397630725761251e-09
9,9,0.02,518,100000.0,17.15,2.43,0.81,1.18333929872482,,1813.0,4.0085072415527445e-05,518.0,0.029274788564976,0.0062103160362282,0.0059960235399393,1.6027463043853126e-05,-8.630322294460934e-05,853812042.4507346,609293100.7160171,505071912.4356458,17.694406190168998,0.0007092815534826,15107697089.181114,10781079612.936754,8936947573.881784,1.920952482373168e-08,1.3708205508015093e-08,1.1363380881644092e-08,1.0792048357638922e-08,7.701367842070966e-09,6.384028605927249e-09
