,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,2.25,0.02,200,500000.0,17.15,2.43,0.81,,0.1999999999999999,500000.0,100.0,200.0,0.193481399093724,0.081566136828963,0.0734235409024027,-1.7073212905597704e-05,9.62717082704386e-06,2248962582613116.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0476713252913117,104.7671325291312,2356173609456855.0,1545315204804684.8,1253014905048408.8,1083292150351216.6,966057729051118.6,0.0186921733617025,0.0122594105929837,0.0099405119113278,0.0085940546123017,0.0076640017001967,0.0110899418747841,0.0072734265975649,0.0058976394648729,0.0050987953233099,0.0045470011292301
1,1,2.25,0.02,210,500000.0,17.15,2.43,0.81,,0.21,500000.0,100.0,210.0,0.2098893935100874,0.0793993835978953,0.0714447870516267,-1.679755269907854e-05,1.516980569712394e-05,2244877979299212.0,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0005272513292012,100.0527251329201,2246061594197691.2,1475777695710571.5,1196630592589724.5,1034545177874393.8,922586178450656.4,0.0196553365791495,0.0129145644981986,0.0104717417897258,0.0090533286041609,0.0080735728296874,0.0114427169356278,0.0075184520654078,0.0060963177425273,0.0052705623292418,0.0047001794233983
2,2,2.25,0.02,220,500000.0,17.15,2.43,0.81,,0.22,500000.0,100.0,220.0,0.2199454368682069,0.0789716655318271,0.0695967046472404,4.679289338313588e-06,-5.083575476362451e-07,2240130092109011.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0002480972955683,100.02480972955684,2240685862326584.8,1475365943510963.5,1196296724365499.5,1034256532603617.8,922328770516243.6,0.0206172394295917,0.0135752955892026,0.0110074939150416,0.0095165122977868,0.0084866305510533,0.0118616403701729,0.0078102247756215,0.0063329009028089,0.0054750999444017,0.0048825818749834
3,3,2.25,0.02,230,500000.0,17.15,2.43,0.81,,0.23,500000.0,100.0,230.0,0.2299096557375974,0.0768309612589022,0.069392482646199,1.2187770231577392e-05,1.5938432290096425e-05,2235693029846780.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000393191153727,100.0393191153727,2236572084568566.0,1475579956951747.8,1196470256619858.0,1034406559652954.0,922462561562851.8,0.0215660680201934,0.0142282280729592,0.0115369225594978,0.0099742290355523,0.0088948129532716,0.0122987591172216,0.008114114708827,0.0065793092825472,0.0056881319382557,0.0050725594393283
4,4,2.25,0.02,240,500000.0,17.15,2.43,0.81,,0.24,500000.0,100.0,240.0,0.2398510643563184,0.075592353856224,0.0675900477533389,-1.241958622604468e-05,8.530430040752865e-06,2230127496286516.0,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0006212588155656,100.06212588155655,2231512982653419.5,1475916356752959.5,1196743025543416.8,1034642381615295.0,922672862753833.2,0.0225180202870556,0.0148933547425935,0.0120762388285708,0.0104404941042994,0.0093106185817936,0.0127223575307857,0.0084145311822557,0.0068229012162562,0.0058987289779339,0.0052603655614631
5,5,2.25,0.02,250,500000.0,17.15,2.43,0.81,,0.25,500000.0,100.0,250.0,0.2499268463116635,0.0742793210389708,0.0653024196761026,-1.900398006780744e-05,-1.7943675801069484e-05,2224604024268488.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0002927346593693,100.02927346593694,2225255242969765.2,1475431783622570.0,1196350110652605.8,1034302687637788.0,922369930629404.6,0.0234587674164329,0.0155540858335976,0.0126119909538866,0.0109036777979252,0.0097236763031595,0.0131400119566951,0.0087123449497932,0.0070643827525103,0.0061075014766686,0.0054465445953926
6,6,2.25,0.02,260,500000.0,17.15,2.43,0.81,,0.2599999999999999,500000.0,100.0,260.0,0.2598463630722335,0.0734852983881571,0.0641093804581729,1.0075731098328893e-05,-5.922805917770055e-06,2219117378266456.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0005916802225046,100.05916802225046,2220430386130592.8,1475872728328194.0,1196707649546115.2,1034611797350069.6,922645588333171.2,0.0243850156765448,0.0162081999245128,0.0131423777015033,0.0113622228623365,0.0101325973900971,0.0135504550872059,0.0090066985412201,0.0073030586137622,0.0063138483333028,0.0056305604914298
7,7,2.25,0.02,270,500000.0,17.15,2.43,0.81,,0.27,500000.0,100.0,270.0,0.2699008724651037,0.0723231764570564,0.0639268901622305,-1.628713587336971e-05,8.640962644547153e-06,2213405540482650.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.000367382875229,100.03673828752288,2214218707774160.5,1475541889740962.5,1196439389918773.8,1034379873892986.6,922438763749248.6,0.0253266612256405,0.0168775331156322,0.0136851048178278,0.0118314367739414,0.01055103273622,0.0139521160119427,0.0092976053150785,0.0075389396317516,0.0065177789124007,0.0058124216007009
8,8,2.25,0.02,280,500000.0,17.15,2.43,0.81,,0.2800000000000001,500000.0,100.0,280.0,0.2798287271669153,0.0719309024090595,0.0620316704475839,4.3519283951594815e-06,5.0476472177177565e-06,2208072598289464.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0006125568801312,100.06125568801312,2209425168351376.5,1475903521398193.5,1196732618028637.0,1034633383814055.6,922664838699169.0,0.0262588567246217,0.0175410055352444,0.0142230797424761,0.0122965421853848,0.0109658042061348,0.014373413953011,0.009601489370012,0.007785343245108,0.0067308067854863,0.0060023954902291
9,9,2.25,0.02,290,500000.0,17.15,2.43,0.81,,0.29,500000.0,100.0,290.0,0.2899120992093514,0.0702579971533456,0.060741604094655,-1.4193138976248475e-06,1.4904367632645058e-05,2202153936039360.5,1475000000000000.0,1196000000000000.0,1034000000000000.0,922100000000000.0,1.0003032884390772,100.03032884390772,2202821823869228.8,1475447350447638.8,1196362732973136.5,1034313600246005.8,922379662269673.2,0.0271749328503354,0.0182017366262484,0.0147588318677918,0.0127597258790107,0.0113788619275008,0.0148390122574298,0.0099391521734734,0.0080591362708301,0.0069675141338113,0.0062134862502779
