,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,2.25,0.02,200,500000.0,17.15,2.43,0.81,,0.1999999999999999,276.9,0.05538,200.0,0.006405049820924,0.0180044661700862,0.0056287003560024,0.0002436691775477,2.929446784348584e-05,1245475478251.144,816855000000.0,662344800000.0,572629200000.0,510658980000.0,32.98689818069148,1.813968975807144,40795483526113.05,26756042393155.37,21695068950653.445,18756439209845.867,16726607925917.676,1.0351725607710913e-05,6.789261586394409e-06,5.505055496493364e-06,4.759387444292759e-06,4.244324141569007e-06,6.1416098102555e-06,4.0280236497315e-06,3.2661127356466937e-06,2.823712850049065e-06,2.5181292253677395e-06
1,1,2.25,0.02,210,500000.0,17.15,2.43,0.81,,0.21,304.1,0.0608199999999999,210.0,0.0067381494952172,0.0173946557232783,0.0057303326927575,0.0001878394399242,4.836047349274762e-05,1365334787009.7808,897095000000.0,727407200000.0,628878800000.0,560821220000.0,32.629901777792846,1.989805396327852,44668703173071.36,29349629595835.824,23798072540081.117,20574587798029.992,18347995559539.125,1.1954375707438763e-05,7.85463812780444e-06,6.368913356511261e-06,5.506234457050706e-06,4.910346995015915e-06,6.95946044024885e-06,4.572722546181136e-06,3.707780451005179e-06,3.205556008644946e-06,2.8586491253109325e-06
2,2,2.25,0.02,220,500000.0,17.15,2.43,0.81,,0.22,334.4,0.0668799999999999,220.0,0.0062565335030626,0.019842389456114,0.0052502962729169,0.0003944363177464,4.119714429986381e-07,1498199005602.5066,986480000000.0,799884800000.0,691539200000.0,616700480000.0,35.56791698209561,2.3849755867072124,53426555807281.71,35178389903931.383,28524308017018.26,24660647566552.586,21991859885027.21,1.3788809730510938e-05,9.07915769005879e-06,7.361811930379873e-06,6.364643424759858e-06,5.675858512544549e-06,7.933065079571662e-06,5.223478329935665e-06,4.235444123798682e-06,3.6617468428159167e-06,3.265470757988934e-06
3,3,2.25,0.02,230,500000.0,17.15,2.43,0.81,,0.23,370.7,0.0741399999999999,230.0,0.0076510850668568,0.0163796483157098,0.0061090270709321,0.0004296465546932,-6.748863729011104e-05,1657542812328.403,1093565000000.0,886714400000.0,766607600000.0,683644940000.0,34.18254292915428,2.5288540955638807,56537414749516.52,37300597909567.234,30245094982944.01,26148351348130.53,23318563615194.543,1.598908283017141e-05,1.0548808293291995e-05,8.553474385611679e-06,7.394893406958594e-06,6.594614323555628e-06,9.118300009508108e-06,6.01580464512438e-06,4.877899902080515e-06,4.217181019022785e-06,3.760795568318095e-06
4,4,2.25,0.02,240,500000.0,17.15,2.43,0.81,,0.24,412.2,0.0824399999999999,240.0,0.0085199963611159,0.0168752546240031,0.0056630908432562,0.000463918810329,5.208905261306212e-05,1838517107938.604,1215990000000.0,985982400000.0,852429600000.0,760179240000.0,28.655278819025774,2.3605856246302896,52644069088266.89,34818637963296.77,28232604070578.258,24408455358677.195,21766960044715.9,1.856385592464877e-05,1.2278081649794192e-05,9.9556512902738e-06,8.607143339584538e-06,7.675673958830659e-06,1.0488311548379868e-05,6.9369395066517575e-06,5.624799762681698e-06,4.862912169408757e-06,4.336645368870229e-06
5,5,2.25,0.02,250,500000.0,17.15,2.43,0.81,,0.25,421.4,0.0842799999999999,250.0,0.0090490239616826,0.0170822729925173,0.0061137553751092,0.0002997357595258,1.5743202438645753e-05,1874896271653.483,1243130000000.0,1007988800000.0,871455200000.0,777145880000.0,27.868605998321197,2.3436297390153675,52136481488088.96,34568538650476.68,28029811678623.8,24233131501418.9,21610609823460.707,1.9771049178569807e-05,1.310898354055609e-05,1.0629385975935652e-05,9.189619648091525e-06,8.195114388302897e-06,1.1074402077102674e-05,7.342764323685766e-06,5.953861783815712e-06,5.147402244536326e-06,4.590347784997046e-06
6,6,2.25,0.02,260,500000.0,17.15,2.43,0.81,,0.2599999999999999,464.3,0.0928599999999999,260.0,0.0092986013205233,0.0164498418516147,0.0057464174624506,0.0002391150694041,3.647771562510144e-06,2060672397458.2324,1369685000000.0,1110605600000.0,960172400000.0,856262060000.0,28.233897008486597,2.6135579120424306,57997917817191.55,38549979202625.84,31258152628027.47,27024188810518.73,24099617506943.258,2.264392555723956e-05,1.505093444990268e-05,1.2204011933616003e-05,1.0550960149965676e-05,9.409129936444248e-06,1.2582952593979449e-05,8.363620265377029e-06,6.781620228739612e-06,5.863039562304981e-06,5.228538472341803e-06
7,7,2.25,0.02,270,500000.0,17.15,2.43,0.81,,0.27,495.6,0.0991199999999999,270.0,0.0093553863237161,0.0183327326312506,0.0058374298324777,0.000356364896218,-4.594994004625291e-05,2193927571726.403,1462020000000.0,1185475200000.0,1024900800000.0,913985520000.0,29.76387066511635,2.963200643089592,65587647209762.55,43707209485571.48,35439879691351.52,30639494649546.383,27323673129929.125,2.510378660685496e-05,1.672901082421471e-05,1.3564675895431043e-05,1.1727320130330852e-05,1.0458183648141274e-05,1.3829337391037755e-05,9.21578638830582e-06,7.472596962992379e-06,6.460422457971673e-06,5.761272290614776e-06
8,8,2.25,0.02,280,500000.0,17.15,2.43,0.81,,0.2800000000000001,501.9,0.1003799999999999,280.0,0.0089771548372481,0.0179515149330608,0.0059548233900285,0.0004532629372487,-9.216706072622089e-05,2216463274162.965,1480605000000.0,1200544800000.0,1037929200000.0,925603980000.0,31.545394025223807,3.167379328499584,69938035036484.17,46718845095368.86,37881856768855.02,32750702256685.69,29206404788094.664,2.635864038017532e-05,1.7607661356278376e-05,1.4277127445497588e-05,1.2343269045689383e-05,1.1007474262118162e-05,1.4428032926032502e-05,9.637975029618157e-06,7.814927549439533e-06,6.756383851271303e-06,6.025204593092135e-06
9,9,2.25,0.02,290,500000.0,17.15,2.43,0.81,,0.29,461.2,0.0922399999999999,290.0,0.0106829577630946,0.016112443419299,0.0057215652233019,0.0004400644725038,-5.447747972652296e-05,2031266790602.7063,1360540000000.0,1103190400000.0,953761600000.0,850545040000.0,27.51300658307079,2.530739438554586,55730778157030.24,37328406718680.14,30267643685112.844,26167845794654.414,23335948362911.84,2.5066158061149425e-05,1.6789281864051567e-05,1.36135465148513e-05,1.1769571150799538e-05,1.0495862241926743e-05,1.3687504906253284e-05,9.167873964812032e-06,7.43374729621369e-06,6.426835037027553e-06,5.731319717256389e-06
