,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,ExitSlit.openingHeight,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,2,25,3000,0.0012,100000.0,200,17.15,2.43,0.81,,24.0,0.0239999999999999,200.0,0.0002174743611198,0.0146223105459851,0.0036564307659643,-0.0005261528891682,-0.0001112123070308,574295638005.892,374400000000.0,302400000000.0,3.72031851327228,0.0896596900547208,2145465370974.4343,1398691164853.645,1129712094689.4824,4.77323798513478e-06,3.111812424415676e-06,2.513386958181892e-06,2.8319302836187243e-06,1.846217571612432e-06,1.491175730917734e-06
11,11,2,25,3000,0.0012,100000.0,205,17.15,2.43,0.81,,18.6,0.0185999999999999,205.0,0.0002781155341662,0.0170997693450587,0.0043128210536901,-0.000245406778971,0.0002135326847029,444540000000.0,290160000000.0,234360000000.0,3.049247181171629,0.0573066414859105,1369628731513.2632,893983607180.2051,722063682722.4735,3.791820277037288e-06,2.474995661999234e-06,1.999034957768612e-06,2.2283991307769623e-06,1.4545199347330796e-06,1.1748045626690262e-06
12,12,2,25,3000,0.0012,100000.0,210,17.15,2.43,0.81,,22.0,0.022,210.0,0.0002466519602944,0.0137481994274126,0.0039530157799305,-0.0007593653966372,-8.358408446737441e-05,525800000000.0,343200000000.0,277200000000.0,3.4689622646289413,0.0764653930968245,1827522895014.108,1192860132310.464,963463953019.99,4.603713907222284e-06,3.0049346005300266e-06,2.4270625619665595e-06,2.680137014231538e-06,1.7493781348122172e-06,1.4129592627329445e-06
13,13,2,25,3000,0.0012,100000.0,215,17.15,2.43,0.81,,22.8,0.0228,215.0,0.0002602222341293,0.017007629939996,0.0033805671792058,-0.0010549266658266,-1.8493010322715807e-05,544089315185.5199,355680000000.0,287280000000.0,3.3967446733222326,0.0773262973820298,1845281236334.2324,1206290239159.6665,974311347013.5764,4.884770341372818e-06,3.1932535091726103e-06,2.579166295870185e-06,2.82615171546529e-06,1.8475011622199311e-06,1.4922124771776367e-06
14,14,2,25,3000,0.0012,100000.0,220,17.15,2.43,0.81,,22.0,0.022,220.0,0.0002577979234666,0.0147293437412848,0.0038219243327618,-0.0002297831145358,0.0002061207562803,523600000000.0,343200000000.0,277200000000.0,3.43123249162376,0.0746603535674927,1776916414906.329,1164701515652.8882,940720454950.4095,4.8189998444112224e-06,3.158672166925003e-06,2.551235211747118e-06,2.7724974186545234e-06,1.8172672155886791e-06,1.467792751052395e-06
15,15,2,25,3000,0.0012,100000.0,225,17.15,2.43,0.81,,23.8,0.0237999999999999,225.0,0.0002599483718521,0.0132298163856148,0.0038342116906506,-0.0010967435317569,0.0001661373272369,566440000000.0,371280000000.0,299880000000.0,3.5006647276274334,0.0830117551780372,1975679773237.2888,1294983380777.3823,1045948115243.27,5.339320580779135e-06,3.4997227336199374e-06,2.826699131000718e-06,3.05657557124626e-06,2.003469702161414e-06,1.618187067130373e-06
16,16,2,25,3000,0.0012,100000.0,230,17.15,2.43,0.81,,23.6,0.0236,230.0,0.0002710130576908,0.0115740071732942,0.0035033262420298,-0.0010110570249316,-0.0001754115375785,561680000000.0,368160000000.0,297360000000.0,3.4435303134132327,0.0813088225995116,1935149977868.3784,1268417632552.3823,1024491164753.8472,5.418109250182887e-06,3.551365727010632e-06,2.868410779508588e-06,3.089854881121344e-06,2.0252830313232336e-06,1.6358055252995349e-06
17,17,2,25,3000,0.0012,100000.0,235,17.15,2.43,0.81,,27.0,0.0269999999999999,235.0,0.0002950494766848,0.0162320504855801,0.0037299102187191,-0.001341975701757,9.403000822885968e-05,642600000000.0,421200000000.0,340200000000.0,3.2408387124360383,0.0868215013745551,2066351732714.4136,1354415421443.061,1093950917319.3956,6.345535652570229e-06,4.159258663029225e-06,3.359401227831298e-06,3.599253936158892e-06,2.3591748489108705e-06,1.905487377966472e-06
18,18,2,25,3000,0.0012,100000.0,240,17.15,2.43,0.81,,26.8,0.0268,240.0,0.0002934758009832,0.0123744692070054,0.0036496575989856,-0.0003753568137945,-1.5073476072662787e-05,635728210206.0996,418080000000.0,337680000000.0,3.3794636760473304,0.0902462449415506,2140749394571.39,1407841421088.19,1137102686263.5383,6.419068308117678e-06,4.221433051378676e-06,3.409619003036622e-06,3.626681253029799e-06,2.3850489469000296e-06,1.9263856878807933e-06
19,19,2,25,3000,0.0012,100000.0,245,17.15,2.43,0.81,,28.2,0.0282,245.0,0.0003009460011088,0.0145142196406336,0.0036422853928752,4.984145767176091e-05,7.085890617603554e-05,668340000000.0,439920000000.0,355320000000.0,3.3023079628903687,0.0937682005362182,2222306352708.3726,1462783928365.0051,1181479326756.35,6.895242785779503e-06,4.538640821019419e-06,3.6658252785156856e-06,3.879022147931467e-06,2.55328040117008e-06,2.062264939406602e-06
20,20,2,25,3000,0.0012,100000.0,250,17.15,2.43,0.81,,26.8,0.0268,250.0,0.0003024403297649,0.0174765276152688,0.0040147502992617,-0.0019461117166101,-0.0001073374617518,635160000000.0,418080000000.0,337680000000.0,3.341448876593744,0.0892441660313326,2115086734942.5847,1392208990088.79,1124476491994.7915,6.697852988520594e-06,4.408713359532544e-06,3.5608838673147465e-06,3.751683402244536e-06,2.469462492616657e-06,1.994565859421146e-06
21,21,2,25,3000,0.0012,100000.0,255,17.15,2.43,0.81,,28.6,0.0285999999999999,255.0,0.0003008046599274,0.0126444430616003,0.0036622105507969,1.4657733780941993e-05,0.0001328718247765,676555407088.487,446160000000.0,360360000000.0,3.423631575684612,0.0981739221294285,2322381043767.448,1531513185219.0862,1236991418830.8003,7.287011723048864e-06,4.805479516225724e-06,3.8813488400284685e-06,4.062578442706644e-06,2.6791006013805027e-06,2.163888947268868e-06
22,22,2,25,3000,0.0012,100000.0,260,17.15,2.43,0.81,,31.4,0.0314,260.0,0.000285207499044,0.0164450514058,0.0042589668781535,-0.000155438469592,0.0004029452014422,741040000000.0,489840000000.0,395640000000.0,3.672579504142522,0.1153229681311617,2721622047895.418,1799038302846.1245,1453069398452.6384,8.142999642075283e-06,5.382660780354848e-06,4.347533707209685e-06,4.524965347109003e-06,2.9910787887669678e-06,2.415871329388705e-06
23,23,2,25,3000,0.0012,100000.0,265,17.15,2.43,0.81,,37.2,0.0371999999999999,265.0,0.0003225727572612,0.0126028032207824,0.0036980508097444,-0.000350156777996,0.0001058768357799,877920000000.0,580320000000.0,468720000000.0,3.2973689552644943,0.1223830253228266,2888239397618.711,1909175195036.097,1542026119067.6167,9.847551947689514e-06,6.5093987450829e-06,5.2575912941054194e-06,5.445984926025867e-06,3.5998883409323534e-06,2.907602121522285e-06
24,24,2,25,3000,0.0012,100000.0,270,17.15,2.43,0.81,,34.0,0.034,270.0,0.0003272015262444,0.0157899073902349,0.0039947288404669,-0.0001557172940125,0.000262848362064,802072405833.6086,530400000000.0,428400000000.0,3.304685600248784,0.11247351881354,2653291347863.1675,1754586893491.2246,1417166337050.6045,9.17762955294344e-06,6.069046484428039e-06,4.90192216049957e-06,5.055832314275503e-06,3.343355836689927e-06,2.700402791172633e-06
25,25,2,25,3000,0.0012,100000.0,275,17.15,2.43,0.81,,29.6,0.0295999999999999,275.0,0.0003173998053287,0.0118937752877024,0.0039351713142253,-0.0004017228240154,-0.0002517752719296,695656007597.3302,461760000000.0,372960000000.0,3.5414877864210843,0.1070397148255549,2515635833442.646,1669819551278.6577,1348700406801.993,8.118412125114413e-06,5.388809903101912e-06,4.352500306351544e-06,4.455549021487072e-06,2.9574880309993117e-06,2.388740332730213e-06
26,26,2,25,3000,0.0012,100000.0,280,17.15,2.43,0.81,,27.8,0.0277999999999999,280.0,0.0003325951820205,0.0143540794159887,0.0038530018214786,-0.0004481293844441,-0.0001117134921161,653300000000.0,433680000000.0,350280000000.0,3.400006162721187,0.0948850338913103,2229798296445.793,1480206528704.441,1195551427030.51,7.769178926220473e-06,5.1574123935761445e-06,4.165602317888424e-06,4.252646105375532e-06,2.823033159313119e-06,2.2801421671375198e-06
27,27,2,25,3000,0.0012,100000.0,285,17.15,2.43,0.81,,39.8,0.0397999999999999,285.0,0.0003537556675612,0.0119248808303844,0.0040031474260608,-0.0002124551029512,1.7005190336516646e-05,935300000000.0,620880000000.0,501480000000.0,3.247420598568,0.1291383948959887,3034752280055.7363,2014558960377.425,1627143775689.4587,1.1328662756479884e-05,7.520303787280265e-06,6.074091520495599e-06,6.193527025908452e-06,4.1114477278371e-06,3.3207847032530423e-06
28,28,2,25,3000,0.0012,100000.0,290,17.15,2.43,0.81,,43.2,0.0431999999999999,290.0,0.0003762665250542,0.0141573458715026,0.0038984431015411,-0.000172946472871,-3.0248674174642388e-05,1012455642327.1814,673920000000.0,544320000000.0,3.106136255565178,0.1342922211523727,3147336042277.072,2094958649977.016,1692081986519.8972,1.2493865049083764e-05,8.31628091332973e-06,6.716996122304782e-06,6.822339456258846e-06,4.541148089998182e-06,3.667850380383147e-06
29,29,2,25,3000,0.0012,100000.0,295,17.15,2.43,0.81,,37.6,0.0376,295.0,0.0003627496872858,0.0137451135918803,0.0040403426120776,-0.0005116596187055,-3.710269511616718e-05,879840000000.0,586560000000.0,473760000000.0,3.277455115126388,0.1229067572268293,2876018119107.8086,1917345412738.539,1548625141058.0508,1.1052463878214438e-05,7.368309252142958e-06,5.951326703653927e-06,6.027498612738147e-06,4.018332408492097e-06,3.245576176089771e-06
30,30,2,25,3000,0.0012,100000.0,300,17.15,2.43,0.81,,42.0,0.042,300.0,0.0003806731745433,0.0125362810547868,0.0040987065331644,-0.000736827853295,-0.0001939399025074,981100141769.4784,655200000000.0,529200000000.0,3.1630809779850204,0.1330869559127159,3108848364610.3306,2076156512238.368,1676895644500.2202,1.2539975387743074e-05,8.374468134548244e-06,6.763993493288966e-06,6.835077169058432e-06,4.564613101665749e-06,3.686802889806952e-06
31,31,2,25,3000,0.0012,100000.0,305,17.15,2.43,0.81,,42.4,0.0424,305.0,0.0004137538183524,0.0122556399794706,0.00382183340147,-0.0005027145179426,3.663061083326119e-05,987920000000.0,661440000000.0,534240000000.0,2.982259284040492,0.1256216234309525,2926983825941.196,1959697325522.8608,1582832455230.003,1.285207895383151e-05,8.604825393981608e-06,6.9500512797543774e-06,6.9935545070666815e-06,4.682379841641212e-06,3.781922179787132e-06
32,32,2,25,3000,0.0012,100000.0,310,17.15,2.43,0.81,,44.4,0.0443999999999999,310.0,0.0003704997449573,0.0124985582499841,0.0040569167159217,-0.0002741794667748,-8.108783017754001e-05,1034520000000.0,692640000000.0,559440000000.0,3.38319687450124,0.1514672389151592,3529186666723.211,2362888927076.4844,1908487210331.007,1.3691268810079684e-05,9.16668641361558e-06,7.403862103304892e-06,7.4434467276808836e-06,4.983595233983767e-06,4.025211535140736e-06
33,33,2,25,3000,0.0012,100000.0,315,17.15,2.43,0.81,,50.0,0.05,315.0,0.0004106607958967,0.0129974617430609,0.0038374446205544,-0.0003697146894018,-5.252410580981436e-05,1164705432703.3071,780000000000.0,630000000000.0,3.071734706430697,0.153921076212392,3585454273442.257,2401168788913.316,1939405560276.1409,1.5678684060699278e-05,1.0499971257934968e-05,8.480746016024397e-06,8.511688683557742e-06,5.7002543190388495e-06,4.604051565377533e-06
34,34,2,25,3000,0.0012,100000.0,320,17.15,2.43,0.81,,43.0,0.043,320.0,0.0003998189536995,0.0110615144105013,0.0042162956279004,-0.0001112019734112,-1.938058599982952e-05,997842344782.1174,670800000000.0,541800000000.0,3.212549612854253,0.1380847532227397,3204344510103.2256,2154122150274.74,1739867890606.5208,1.3653855384047212e-05,9.178810900853051e-06,7.413654958381312e-06,7.40854675087697e-06,4.98039914468995e-06,4.022630078403421e-06
35,35,2,25,3000,0.0012,100000.0,325,17.15,2.43,0.81,,48.0,0.0479999999999999,325.0,0.0003927277156497,0.0119957641545005,0.0039372875878285,-0.0002886940404703,7.276025997372744e-05,1113600000000.0,748800000000.0,604800000000.0,3.333715358733122,0.1595529061160305,3701627421891.908,2489025335410.0767,2010366617061.9849,1.5482280567925208e-05,1.0410499002570398e-05,8.408479963614554e-06,8.393853853778403e-06,5.644143108575132e-06,4.558730972310683e-06
36,36,2,25,3000,0.0012,100000.0,330,17.15,2.43,0.81,,51.0,0.051,330.0,0.0003941509169784,0.0132920149434118,0.0037621736247834,-0.0003629316535229,-0.000148829894144,1179563193886.5718,795600000000.0,642600000000.0,3.3518847484610577,0.1711368560197819,3958171303498.048,2669734953908.6,2156324385849.2532,1.666725021640196e-05,1.12418430321458e-05,9.07995014134853e-06,9.028490029671652e-06,6.089598848823947e-06,4.918522147127035e-06
37,37,2,25,3000,0.0012,100000.0,335,17.15,2.43,0.81,,53.4,0.0533999999999999,335.0,0.0004432997311552,0.0109548630722249,0.0040849308271902,-0.0001565114166732,-2.0871019511093652e-05,1233540000000.0,833040000000.0,672840000000.0,3.04629986494858,0.1636895106643844,3781227696347.282,2553556366364.3984,2062487834371.2449,1.7702640573276905e-05,1.195502999753765e-05,9.655985767241948e-06,9.581079244257171e-06,6.470339229887959e-06,5.226043224140274e-06
38,38,2,25,3000,0.0012,100000.0,340,17.15,2.43,0.81,,51.2,0.0512,340.0,0.0004030039923766,0.011187062994373,0.0038648013589473,-0.0003093387895233,5.963087876124189e-05,1180249315967.6672,798720000000.0,645120000000.0,3.384314675837028,0.1722338397594183,3970290460205.8257,2686847900246.9263,2170146380968.6711,1.7197094500600082e-05,1.1637933726110787e-05,9.39986954801256e-06,9.304584424953624e-06,6.296769310817842e-06,5.085852135660565e-06
39,39,2,25,3000,0.0012,100000.0,345,17.15,2.43,0.81,,57.8,0.0577999999999999,345.0,0.0004292161091558,0.0129263611110305,0.0038347068960922,-0.0005667071709758,6.623993662989463e-05,1329400000000.0,901680000000.0,728280000000.0,3.238765662147141,0.1872512210354232,4306778083814.736,2921119048152.6035,2359365385046.333,1.967135289550244e-05,1.3342308920427737e-05,1.0776480281883943e-05,1.0630820102117924e-05,7.210469286653898e-06,5.823840577681995e-06
40,40,2,25,3000,0.0012,100000.0,350,17.15,2.43,0.81,,48.8,0.0488,350.0,0.0004083103628188,0.011430740132924,0.0038319136687751,-5.509799391211003e-05,-2.2291830568564887e-05,1122400000000.0,761280000000.0,614880000000.0,3.437866412270852,0.1677711198125009,3858735755687.5234,2617229469075.016,2113916109637.5127,1.6860369242251945e-05,1.1435728703440449e-05,9.23655010662498e-06,9.106176525471168e-06,6.176363208580446e-06,4.988601053084206e-06
41,41,2,25,3000,0.0012,100000.0,355,17.15,2.43,0.81,,55.8,0.0557999999999999,355.0,0.0004760310517236,0.0112740037397015,0.0036949231071808,-0.0001793962424369,2.9212997249316126e-05,1282636974512.2454,870480000000.0,703080000000.0,3.015413666817591,0.1695169547438603,3896571934788.428,2644464494004.2217,2135913629772.6409,1.95441105540919e-05,1.3263891259329588e-05,1.0713142940227745e-05,1.0550951536714586e-05,7.160554760377079e-06,5.7835249987661015e-06
42,42,2,25,3000,0.0012,100000.0,360,17.15,2.43,0.81,,57.4,0.0573999999999999,360.0,0.0004300430090321,0.0114186188398693,0.0040915590371645,-0.0005961406625511,6.073380643602794e-05,1314460000000.0,895440000000.0,723240000000.0,3.400352258701053,0.1964493960583455,4498691169736.113,3064610578510.1904,2475262390335.155,2.032627412584545e-05,1.3846719491842318e-05,1.118388882033418e-05,1.0965255474452556e-05,7.46978102189781e-06,6.033284671532847e-06
43,43,2,25,3000,0.0012,100000.0,365,17.15,2.43,0.81,,54.0,0.054,365.0,0.000445369204365,0.0104412949017098,0.0043457888915826,-0.0001841395532643,0.000167019786857,1236600000000.0,842400000000.0,680400000000.0,3.2902514757560963,0.1766109942318863,4044391767910.1978,2755131510017.427,2225298527321.768,1.9399436527838303e-05,1.3215336673985922e-05,1.0673925775142474e-05,1.0455029675848424e-05,7.122203621975345e-06,5.75254907928778e-06
44,44,2,25,3000,0.0012,100000.0,370,17.15,2.43,0.81,,61.6,0.0615999999999999,370.0,0.000459230707444,0.0112021290723815,0.0039338720566789,-0.0007609434745424,7.228896499706001e-05,1405767896253.9082,960071060038.002,776160000000.0,3.3253175595374933,0.2008798744275221,4584261014183.881,3130827175031.3623,2531086417786.779,2.237206228576971e-05,1.5279029782350113e-05,1.2352181259790766e-05,1.2047958932936026e-05,8.22816962520035e-06,6.651982756404213e-06
45,45,2,25,3000,0.0012,100000.0,375,17.15,2.43,0.81,,57.8,0.0577999999999999,375.0,0.0004911922907404,0.0102599996128934,0.0040024232377867,3.856355848619656e-05,7.707707963299499e-05,1317840000000.0,899141319449.3801,728280000000.0,3.0638523957957915,0.1766744353208865,4028177125316.216,2748361330231.768,2226097885043.1714,2.126486065131381e-05,1.4508676974389531e-05,1.1751633517831312e-05,1.1442861236291643e-05,7.80728263694791e-06,6.323686472687489e-06
46,46,2,25,3000,0.0012,100000.0,380,17.15,2.43,0.81,,65.8,0.0658,380.0,0.0004316770894374,0.0100601159091906,0.0042373319746285,-0.0005911413756343,-9.04123434977973e-05,1496552667691.6528,1021649439462.2734,829080000000.0,3.541430704360755,0.2329384726762212,5297943657927.328,3616739514268.384,2935024755720.389,2.4478776172771717e-05,1.671089063254233e-05,1.3561075522069827e-05,1.3167735719177258e-05,8.989199048527303e-06,7.294836036004328e-06
47,47,2,25,3000,0.0012,100000.0,385,17.15,2.43,0.81,,63.4,0.0634,385.0,0.0004530783049063,0.0110940947615333,0.0038969141492483,0.0001199607410757,0.0001545866259554,1439180000000.0,982700000000.0,798840000000.0,3.416889595627521,0.2175215062790173,4937738192533.693,3371583347324.769,2740770979115.618,2.3866065055998025e-05,1.6296211822377507e-05,1.3247243158835908e-05,1.2824287356424262e-05,8.756671983461501e-06,7.1183269026848326e-06
48,48,2,25,3000,0.0012,100000.0,390,17.15,2.43,0.81,,61.4,0.0613999999999999,390.0,0.0005004440335982,0.0105838540447441,0.0042808150665843,-4.6421438891175866e-05,4.8525224341667e-05,1391754752236.5464,951700000000.0,773640000000.0,3.1534108555538367,0.1926412901943743,4366603112459.284,2985939998012.802,2427280256449.116,2.3388038996010604e-05,1.599304523784388e-05,1.30007980643118e-05,1.256175708065082e-05,8.589892863267533e-06,6.982751617881995e-06
49,49,2,25,3000,0.0012,100000.0,395,17.15,2.43,0.81,,72.4,0.0723999999999999,395.0,0.0004880901850612,0.0100702910174948,0.003977387474601,-0.0002710509938556,-2.29883625844728e-05,1636240000000.0,1122200000000.0,912240000000.0,3.2539589178250714,0.2348994217819695,5308726932272.513,3640941037620.528,2959732714452.816,2.7856311757378772e-05,1.9104992576963315e-05,1.5530510094821795e-05,1.4973941293555104e-05,1.0269738497792218e-05,8.348303553043996e-06
50,50,2,25,3000,0.0012,100000.0,400,17.15,2.43,0.81,,76.6,0.0765999999999999,400.0,0.0005109246381949,0.0102408157370232,0.0039287617179569,-0.0001720505741364,1.1331646358848762e-05,1730399360374.0503,1187300000000.0,965160000000.0,3.1520935867469406,0.2403642331068788,5429844846278.619,3725645613156.622,3028589337146.673,2.9851091442905425e-05,2.0482093140915324e-05,1.6649959585518267e-05,1.6059092734928823e-05,1.1018820996362018e-05,8.957235132526543e-06
51,51,2,25,3000,0.0012,100000.0,405,17.15,2.43,0.81,,77.0,0.0769999999999999,405.0,0.0005133941025781,0.0116928140375426,0.0039661609108652,-0.000208410013595,8.936562273032458e-05,1732622950871.8855,1193500000000.0,970200000000.0,3.172682389218214,0.2451124824705313,5515422242514.616,3799243478293.237,3088417279128.696,3.0278808462579093e-05,2.0857254535329222e-05,1.695492949323537e-05,1.632217115040189e-05,1.1243364436677768e-05,9.139767219492896e-06
52,52,2,25,3000,0.0012,100000.0,410,17.15,2.43,0.81,,74.2,0.0741999999999999,410.0,0.0004660059677203,0.0111232999776295,0.0040404793672923,-0.0003351269827276,3.0468564054479997e-05,1669500000000.0,1150100000000.0,934920000000.0,3.53404839140797,0.2634996503051455,5928742131865.775,4084244579729.757,3320095593844.8345,2.955233432466025e-05,2.035827475698817e-05,1.6549307221809743e-05,1.5968283421488075e-05,1.100037302369179e-05,8.942238716033325e-06
53,53,2,25,3000,0.0012,100000.0,415,17.15,2.43,0.81,,83.2,0.0832,415.0,0.0005220868443311,0.0103420553765765,0.0037854642270399,-7.204156384308001e-05,-8.242718165228917e-06,1865730987994.428,1289600000000.0,1048320000000.0,3.2050692521144577,0.2657804465768203,5960033836314.559,4119596921940.716,3348833626867.9365,3.343855844518673e-05,2.3112852414627743e-05,1.8788512285439327e-05,1.8106246274577512e-05,1.2515102844915013e-05,1.0173567473930912e-05
54,54,2,25,3000,0.0012,100000.0,420,17.15,2.43,0.81,,78.4,0.0784,420.0,0.0004762058950511,0.0105855510932242,0.003866349075613,-0.000167933752453,-0.0002860574609598,1751156399818.1711,1214467706043.0408,987840000000.0,3.576670835646289,0.2751192286704857,6145112219379.591,4261778297599.178,3466502281248.12,3.177029966957769e-05,2.2033441995254288e-05,1.7921855996902582e-05,1.7246655371672815e-05,1.1960956764527268e-05,9.728963126378822e-06
55,55,2,25,3000,0.0012,100000.0,425,17.15,2.43,0.81,,84.4,0.0843999999999999,425.0,0.0005333790836185,0.0108759098855007,0.00409414357976,-6.977189943976867e-05,-8.475551667234859e-05,1882120000000.0,1304922625814.0537,1063440000000.0,3.2042616689387677,0.2713460628865421,6051017202369.891,4195327214291.611,3418960392370.431,3.456946685372601e-05,2.39679082416403e-05,1.9532523872508865e-05,1.879955231550869e-05,1.303421735685412e-05,1.062216857288832e-05
56,56,2,25,3000,0.0012,100000.0,430,17.15,2.43,0.81,,85.6,0.0855999999999999,430.0,0.0005311589149466,0.0107577185672115,0.0042832156297776,-0.00066439312905,3.890436982818856e-05,1905390307373.724,1320951601596.4282,1078560000000.0,3.2500340178885887,0.2779361248988006,6186644841719.481,4289020669702.987,3501995173724.888,3.54177964754695e-05,2.4554126678524823e-05,2.0048500519158863e-05,1.930598127119524e-05,1.3384274487953494e-05,1.0928290691559697e-05
