,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,ExitSlit.openingHeight,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,0.0012,100000.0,150,17.15,2.43,0.81,,32.0,0.0319999999999999,150.0,0.0001768302321586,0.0216855110816258,0.004103567442686,-0.000904859739967,0.0001529904832514,771200000000.0,499200000000.0,403200000000.0,3.4626331073699688,0.1117068246365676,2692134473741.281,1742626464330.4558,1407505990420.7527,4.706340896550686e-06,3.046428132207083e-06,2.460576568321105e-06,3.055080180008874e-06,1.9775622741966155e-06,1.5972618368511122e-06
1,1,2,25,3000,0.0012,100000.0,155,17.15,2.43,0.81,,26.8,0.0268,155.0,0.0001903524204917,0.0187568072256034,0.0034698156032728,-0.0001494700654445,-8.138591679177383e-05,645880000000.0,418080000000.0,337680000000.0,3.287189402171537,0.0892874572852661,2151827720574.9165,1392884333650.1533,1125021961794.3547,4.0880231127330965e-06,2.6461892347981865e-06,2.1373066896446893e-06,2.6297617302649787e-06,1.7022524063126008e-06,1.3748961743294082e-06
2,2,2,25,3000,0.0012,100000.0,160,17.15,2.43,0.81,,27.4,0.0274,160.0,0.0001835321818765,0.0171925281159232,0.0037136809618176,0.0005073193071681,-0.0001125560953613,660340000000.0,427440000000.0,345240000000.0,3.611577245289199,0.0955061741575144,2301698797196.0986,1489896316857.2256,1203377794384.6824,4.312846587809671e-06,2.7917181232294965e-06,2.2548492533776702e-06,2.765520822863269e-06,1.7901296612724898e-06,1.4458739571816264e-06
3,3,2,25,3000,0.0012,100000.0,165,17.15,2.43,0.81,,22.2,0.0221999999999999,165.0,0.0001841125345937,0.0147852901560714,0.0039808017441142,1.0913957989560012e-05,-0.0002438032185046,535020000000.0,346320000000.0,279720000000.0,3.658642725330248,0.0817915242093057,1971175733444.2705,1275947777665.171,1030573205037.2532,3.5950623380781617e-06,2.3270942935277723e-06,1.8795761601570476e-06,2.295366107933947e-06,1.485797148704132e-06,1.200066927799491e-06
4,4,2,25,3000,0.0012,100000.0,170,17.15,2.43,0.81,,20.6,0.0206,170.0,0.000201251380416,0.016739851135581,0.0039882342604593,0.0006461045330429,3.3230916958499994e-05,495632338010.4147,321360000000.0,259560000000.0,3.4731162600128087,0.0717160834197768,1725476218363.784,1118770901348.519,903622651089.1888,3.437258214925277e-06,2.2286626905389217e-06,1.8000737115891287e-06,2.179580902252503e-06,1.4132050413811907e-06,1.141434841115577e-06
5,5,2,25,3000,0.0012,100000.0,175,17.15,2.43,0.81,,22.0,0.022,175.0,0.000172614004187,0.0194391317514776,0.0038423824341493,-0.0011014191072396,4.549881884188675e-05,528000000000.0,343200000000.0,277200000000.0,4.338638015679853,0.0922394685838812,2213747246013.151,1438935709908.548,1162217304156.9043,3.792227424417325e-06,2.464947825871261e-06,1.990919397819096e-06,2.3706204694995883e-06,1.540903305174733e-06,1.244575746487284e-06
6,6,2,25,3000,0.0012,100000.0,180,17.15,2.43,0.81,,16.6,0.0166,180.0,0.0002157833666744,0.01769249443691,0.0038196748841361,-0.0001944837589864,5.496186803626275e-05,398400000000.0,258960000000.0,209160000000.0,3.462597673840208,0.0570886415631136,1370127397514.729,890582808384.5739,719316883695.2328,2.9580988907087003e-06,1.922764278960655e-06,1.5530019176220676e-06,1.8270619797757448e-06,1.187590286854234e-06,9.59207539382266e-07
7,7,2,25,3000,0.0012,100000.0,185,17.15,2.43,0.81,,19.0,0.019,185.0,0.0002148778702293,0.0167481639320531,0.0039224212813154,-0.0001129667935186,-2.135068370774176e-05,456000000000.0,296400000000.0,239400000000.0,3.4903678680382115,0.0661846583849656,1588431801239.175,1032480670805.4636,833926695650.567,3.48563704061552e-06,2.265664076400088e-06,1.829959446323148e-06,2.1300896179151747e-06,1.3845582516448637e-06,1.118297049405467e-06
8,8,2,25,3000,0.0012,100000.0,190,17.15,2.43,0.81,,22.2,0.0222,190.0,0.0002373789169511,0.0173023374231479,0.0033275300867214,0.000603788147384,0.0005256075471139,532800000000.0,346320000000.0,279720000000.0,3.32317314398779,0.0716977590097804,1720746216234.731,1118485040552.575,903391763523.2336,4.189089929117896e-06,2.7229084539266323e-06,2.199272212786896e-06,2.5359835503769705e-06,1.6483893077450307e-06,1.3313913639479097e-06
9,9,2,25,3000,0.0012,100000.0,195,17.15,2.43,0.81,,25.4,0.0253999999999999,195.0,0.0002476107117335,0.0124274270800552,0.003683900296426,-0.0007891962554727,-0.0002798926977189,609600000000.0,396240000000.0,320040000000.0,3.185676347392218,0.0814882973300764,1955719135921.8345,1271217438349.1924,1026752546358.9633,4.9316222369511326e-06,3.205554454018236e-06,2.5891016743993445e-06,2.9528517349699317e-06,1.919353627730456e-06,1.550247160859214e-06
