,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,0.00045,2016.5,0.2016499999999999,150.0,0.0001121918688368,0.0115488208915815,0.0008816736196649,-4.210761819636565e-05,-1.98036253293531e-07,4859765000000.0,3145740000000.0,2540790000000.0,4.029487947657086,0.8134882521041075,19605066875708.992,12690416732824.078,10249951976511.754,2.965730130592018e-05,1.9197257276861195e-05,1.5505477031310966e-05,1.9251778696837164e-05,1.2461732268492108e-05,1.0065245293782088e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,0.0004649999999999,1872.0,0.1872,155.0,0.0001079755637362,0.01166198485248,0.0008207199798741,5.002909416921552e-05,5.490553817316631e-06,4511520000000.0,2920320000000.0,2358720000000.0,4.306530550191688,0.8061829979439429,19429010250449.02,12576454767925.508,10157905774093.68,2.855514651879237e-05,1.8483829281873903e-05,1.4929246727667382e-05,1.8369081936776272e-05,1.189036009185518e-05,9.60375238188303e-06
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,0.0004799999999999,1763.0,0.1763,160.0,0.0001038296395847,0.0113343148157521,0.0008048471562558,-6.333229850654203e-05,-6.002082463706713e-06,4248830000000.001,2750280000000.0,2221380000000.0,4.650821570349929,0.8207318163115893,19779636773109.305,12803416334460.793,10341220885526.027,2.7750177132512597e-05,1.7962770260049647e-05,1.4508391363886252e-05,1.7794208798204176e-05,1.1518243039501458e-05,9.303196301135791e-06
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,0.000495,1597.5,0.15975,165.0,0.0001065001843727,0.0119460405457708,0.0007724017521821,-7.064560722173584e-05,-7.123990833748328e-06,3849975000000.0,2492100000000.0,2012850000000.0,4.677060997228102,0.7483981127277632,18036394516739.094,11675010558553.104,9429816220369.816,2.5869874257116506e-05,1.6745644747345123e-05,1.352532844977875e-05,1.651733043884901e-05,1.0691715968715545e-05,8.635616743962554e-06
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,0.0005099999999999,1490.5,0.14905,170.0,0.000126921718177,0.0115249485133825,0.0007788503528503,-0.0002635313490592,3.0469801348049184e-06,3586116503905.451,2325180000000.0,1878030000000.0,4.034766601787161,0.6006198440653902,14450806678134.951,9369669567420.086,7567810035223.916,2.487006489973847e-05,1.612534825363234e-05,1.302431974331843e-05,1.577022007188037e-05,1.0225155894071187e-05,8.258779760595958e-06
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,0.000525,1380.5,0.1380499999999999,175.0,0.0001222574363594,0.010856526134757,0.0009260153678295,0.0001920307317475,-2.243665486020752e-06,3313200000000.0,2153580000000.0,1739430000000.0,4.294218319081319,0.5928177737527294,14227626570065.504,9247957270542.578,7469503949284.39,2.3796227088218717e-05,1.546754760734216e-05,1.2493019221314824e-05,1.4875643446109917e-05,9.669168239971444e-06,7.809712809207705e-06
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,0.0005399999999999,1370.5,0.1370499999999999,180.0,0.000125681809635,0.0118201841110115,0.0007506680460499,-8.619371848830549e-05,3.5423867434267683e-06,3289200000000.0,2137980000000.0,1726830000000.0,4.29657319773483,0.588842603857701,14132222492584.828,9185944620180.137,7419416808607.035,2.442213572118237e-05,1.5874388218768538e-05,1.2821621253620745e-05,1.5084267730618423e-05,9.804774024901974e-06,7.91924055857467e-06
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,0.0005549999999999,1278.0,0.1278,185.0,0.0001290648137199,0.0119468572458631,0.0009624196440651,-0.0001634050173707,7.011274136978895e-06,3067200000000.0,1993680000000.0,1610280000000.0,4.389004193041541,0.5601029741795464,13442471380309.111,8737606397200.922,7057297474662.283,2.3445495462666496e-05,1.523957205073322e-05,1.230888511789991e-05,1.4327655429976806e-05,9.312976029484924e-06,7.522019100737823e-06
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,0.00057,1316.0,0.1315999999999999,190.0,0.0001516339903985,0.0115035791087203,0.00074557696411,-5.616633117716876e-05,4.114223365396364e-06,3158399999999.9995,2052960000000.0,1658160000000.0,3.7590619560626326,0.4947199558646162,11873278940750.787,7717631311488.013,6233471443894.164,2.48326231834196e-05,1.614120506922274e-05,1.3037127171295288e-05,1.5033127713045465e-05,9.771533013479552e-06,7.892392049348869e-06
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,0.000585,1286.0,0.1286,195.0,0.0001167667473964,0.0119408121417071,0.0007505110550761,2.1382581360590154e-06,2.11714594203414e-05,3086400000000.0,2006160000000.0,1620360000000.0,5.009995756108873,0.6442648463377167,15462356312105.203,10050531602868.385,8117737063855.23,2.496876455401242e-05,1.6229696960108072e-05,1.3108601390856524e-05,1.49502650833517e-05,9.717672304178608e-06,7.848889168759641e-06
10,10,2,25,3000,1000000.0,200,17.15,2.43,0.81,,0.0006,1306.0,0.1306,200.0,0.0001396139131344,0.0111925301468849,0.0008365541817446,-9.730282535898631e-05,5.53547206368032e-06,3125125430148.729,2037360000000.0,1645560000000.0,4.2975668473422814,0.5612663415316783,13430533820882.004,8755754927894.183,7071955903299.148,2.5974370035775105e-05,1.693344594286197e-05,1.367701403077313e-05,1.5410420626691894e-05,1.0046500618857656e-05,8.114481269077335e-06
11,11,2,25,3000,1000000.0,205,17.15,2.43,0.81,,0.0006149999999999,1344.5,0.13445,205.0,0.0001221742761856,0.0102995786516511,0.0009102230697648,-1.2806634548721272e-06,4.830297567187954e-06,3213355000000.0,2097420000000.0,1694070000000.0,5.033793248255272,0.6767948182176026,16175396155400.7,10557999164194.6,8527614709541.793,2.7409152486433512e-05,1.7890492836333172e-05,1.445001344473064e-05,1.6107971136180783e-05,1.0513989528218416e-05,8.492068465099491e-06
12,12,2,25,3000,1000000.0,210,17.15,2.43,0.81,,0.00063,1346.0,0.1346,210.0,0.0001564994224736,0.0113695663896885,0.0009580786833901,-6.437571999170179e-05,-5.423173733671577e-06,3216940000000.0,2099760000000.0,1695960000000.0,4.040914084729686,0.5444049840854415,13011279119642.057,8492717751732.889,6859502799476.564,2.8166358723278158e-05,1.8384736237788256e-05,1.4849210038213587e-05,1.6397565550707498e-05,1.0703013497532928e-05,8.64474167108429e-06
13,13,2,25,3000,1000000.0,215,17.15,2.43,0.81,,0.0006449999999999,1363.0,0.1363,215.0,0.0001500985327567,0.0116959031520127,0.000925411820536,1.344493330245822e-05,2.8728620125786026e-06,3252604107885.367,2126280000000.0,1717380000000.0,4.297201100740095,0.585718634147644,13977335550210.076,9137210692703.246,7380054790260.314,2.920149989162785e-05,1.9089493565799416e-05,1.541843711083799e-05,1.689493328148768e-05,1.1044491596955114e-05,8.920550905232976e-06
14,14,2,25,3000,1000000.0,220,17.15,2.43,0.81,,0.0006599999999999,1427.0,0.1427,220.0,0.0001641519826307,0.0110832576852089,0.0007051981958905,5.241291340316765e-05,1.918256925066755e-05,3396260000000.0,2226120000000.0,1798020000000.0,4.03978231582944,0.5770605439031065,13734040944893.934,9002144484888.46,7270962853179.141,3.125778535443097e-05,2.048829628273627e-05,1.654823930528699e-05,1.7983426438272752e-05,1.1787455984750203e-05,9.520637526144398e-06
15,15,2,25,3000,1000000.0,225,17.15,2.43,0.81,,0.0006749999999999,1460.0,0.146,225.0,0.0001677906552117,0.0117537722589424,0.0008624132253081,-0.0001048166726901,-2.90365339470726e-06,3474800000000.0,2277600000000.0,1839600000000.0,4.040807173655489,0.5900655361606066,14043559760622.438,9205022364105.465,7434825755623.644,3.275381532746864e-05,2.146888735750045e-05,1.7340255173365748e-05,1.8750421571510667e-05,1.229019229057002e-05,9.926693773152706e-06
16,16,2,25,3000,1000000.0,230,17.15,2.43,0.81,,0.00069,1484.0,0.1484,230.0,0.0001829411474147,0.0119603492983979,0.0008155500795236,-2.2982539902227534e-06,5.067731089219898e-06,3531920000000.0005,2315040000000.0,1869840000000.0,3.830783879687002,0.5699155184809115,13563989339845.691,8890682088302.217,7180935532859.484,3.406980562403138e-05,2.233146923255838e-05,1.803695591860485e-05,1.9429426455864715e-05,1.2735254315608809e-05,1.0286166947222498e-05
17,17,2,25,3000,1000000.0,235,17.15,2.43,0.81,,0.0007049999999999,1563.0,0.1563,235.0,0.0001636631068606,0.0109610223722934,0.0009005506200618,-0.0002328971076276,-1.738562807589959e-06,3719940000000.0,2438280000000.0,1969380000000.0,4.394759412243603,0.6873959376150094,16360023315237.225,10723376626794.148,8661188813949.119,3.67336008332121e-05,2.4077486260424745e-05,1.944720044111229e-05,2.08356811193198e-05,1.3657001069806258e-05,1.1030654710228133e-05
18,18,2,25,3000,1000000.0,240,17.15,2.43,0.81,,0.0007199999999999,1654.5,0.1654499999999999,240.0,0.0001791103260443,0.0116076236853882,0.0007713937510423,-6.700709451093459e-05,3.5869570161308e-06,3924672849947.731,2581020000000.0,2084670000000.0,4.0383690758046935,0.667013829589248,15822369704010.783,10405415741592.27,8404374252824.527,3.962816610365933e-05,2.606104844591798e-05,2.104930836016452e-05,2.238934378036494e-05,1.4724117472560073e-05,1.1892556420144673e-05
19,19,2,25,3000,1000000.0,245,17.15,2.43,0.81,,0.000735,1793.5,0.17935,245.0,0.0001709593359464,0.0117349869973269,0.0009265741385439,-5.990717962097456e-05,-5.085292062951638e-06,4250595000000.0,2797860000000.0,2259810000000.0,4.390432022113593,0.7858739839288484,18625213419113.707,12259634149290.035,9902012197503.488,4.385325509324659e-05,2.886543373226357e-05,2.3314388783751348e-05,2.4670305752890372e-05,1.623868226772531e-05,1.3115858754701212e-05
20,20,2,25,3000,1000000.0,250,17.15,2.43,0.81,,0.00075,1772.5,0.1772499999999999,250.0,0.0001622442825919,0.0118237529741916,0.0008014806723306,2.657235188089156e-06,3.6392847399978745e-06,4200825000000.0,2765100000000.0,2233350000000.0,4.650179481451643,0.8224735203346609,19492622431931.465,12830586917220.71,10363166356216.729,4.429830008265953e-05,2.9158374737953106e-05,2.3550994980654437e-05,2.481290608387478e-05,1.63325457767277e-05,1.319167158889545e-05
21,21,2,25,3000,1000000.0,255,17.15,2.43,0.81,,0.000765,1882.0,0.1881999999999999,255.0,0.0001520240403749,0.0114368173244292,0.0008346357626478,-1.5910240023768478e-05,-7.374852730780725e-06,4452018448043.82,2935920000000.0,2371320000000.0,5.167928761771879,0.9764582113940724,23098884011000.445,15232748097747.527,12303373463565.312,4.7951594625097766e-05,3.162207150187697e-05,2.5540903905362167e-05,2.673347073137729e-05,1.7629606055238137e-05,1.423929719846157e-05
22,22,2,25,3000,1000000.0,260,17.15,2.43,0.81,,0.00078,1949.0,0.1949,260.0,0.0001812981006707,0.0119953571376924,0.0007615242508972,3.555166376985779e-05,4.98308073294619e-06,4599640000000.0,3040440000000.0,2455740000000.0,4.302306879608663,0.8385136139062311,19788921288187.05,13080812376937.203,10565271535218.512,5.054365064460104e-05,3.3410209748126115e-05,2.698516941194802e-05,2.808648873094091e-05,1.8565645093333826e-05,1.4995328729231164e-05
23,23,2,25,3000,1000000.0,265,17.15,2.43,0.81,,0.0007949999999999,2035.0,0.2034999999999999,265.0,0.0001977957575433,0.0115880152606147,0.0008052008975532,5.322753441098713e-06,4.2442252187289283e-07,4802600000000.0,3174600000000.0,2564100000000.0,4.035884811686632,0.8207074662217795,19368696202834.0,12803036473059.76,10340914074394.422,5.3870344660075705e-05,3.56092108769992e-05,2.8761285708345503e-05,2.9791879904469463e-05,1.969293756397134e-05,1.5905834186284547e-05
24,24,2,25,3000,1000000.0,270,17.15,2.43,0.81,,0.0008099999999999,2115.5,0.21155,270.0,0.0002287000123146,0.0116940055364829,0.000751099053321,-3.807569264118849e-05,-3.074242141465795e-06,4990541689826.468,3300180000000.0005,2665530000000.0,3.5531969540825905,0.7522735636044007,17746407853094.227,11735467592228.652,9478646901415.45,5.710375093897603e-05,3.7761964228845646e-05,3.0500048030990707e-05,3.145768606132302e-05,2.080255668387512e-05,1.6802065013899134e-05
25,25,2,25,3000,1000000.0,275,17.15,2.43,0.81,,0.0008249999999999,2089.5,0.20895,275.0,0.0001899881764586,0.0119349488958431,0.0010283096632144,-3.51188529210764e-05,1.0017925681279051e-05,4910720364441.288,3259620000000.0,2632770000000.0,4.342378186082634,0.9073435176299232,21324289493032.098,14154558875026.8,11432528322137.031,5.730885856563028e-05,3.804026450179541e-05,3.072482902068091e-05,3.145226243377444e-05,2.0877267705314395e-05,1.6862408531215474e-05
26,26,2,25,3000,1000000.0,280,17.15,2.43,0.81,,0.0008399999999999,2237.5,0.22375,280.0,0.0001816229671475,0.0117554108864783,0.0008673050709642,-2.06680820512924e-05,-9.15971488025893e-06,5258125000000.0,3490500000000.0,2819250000000.0,4.65304840356619,1.0409930612235527,24463336938753.49,16239491755087.422,13116512571416.762,6.253071168136083e-05,4.150974903103102e-05,3.352710498660198e-05,3.42276822330135e-05,2.272135501425577e-05,1.8351863665360428e-05
27,27,2,25,3000,1000000.0,285,17.15,2.43,0.81,,0.000855,2289.5,0.22895,285.0,0.0001844921879125,0.0111868480544695,0.0007800360044734,-6.186838924950757e-05,-9.505207503491232e-06,5380325000000.0,3571620000000.0,2884770000000.0,4.661837425601836,1.065627095310513,25042236739797.05,16623782686844.004,13426901400912.465,6.516827482653441e-05,4.326064201250795e-05,3.494128777933334e-05,3.562834202466683e-05,2.3651154705736287e-05,1.910285572386392e-05
28,28,2,25,3000,1000000.0,290,17.15,2.43,0.81,,0.0008699999999999,2401.0,0.2400999999999999,290.0,0.0002021252983297,0.0111468625926406,0.0008520841165923,-9.581032254064352e-06,1.6586239317007472e-06,5627097215804.543,3745560000000.0,3025260000000.0,4.304268503432702,1.0334439329789613,24220281041049.61,16121725354471.797,13021393555534.914,6.943928236770861e-05,4.622081127987194e-05,3.7332193726050414e-05,3.791767832054975e-05,2.5239112416864886e-05,2.038543695208318e-05
29,29,2,25,3000,1000000.0,295,17.15,2.43,0.81,,0.0008849999999999,2468.0,0.2467999999999999,295.0,0.0002058411286611,0.0119700378799266,0.0008641768104839,-1.5890509983502658e-05,1.2107020867753802e-06,5775120000000.0,3850080000000.0,3109680000000.0,4.299435054724588,1.0610964518180648,24829656972542.72,16553104648361.809,13369815292907.615,7.254649162615219e-05,4.8364327750768135e-05,3.906349549100503e-05,3.956347493680252e-05,2.6375649957868343e-05,2.1303409581355203e-05
30,30,2,25,3000,1000000.0,300,17.15,2.43,0.81,,0.0009,2408.5,0.24085,300.0,0.000238326544121,0.0111574846814306,0.0008542783837007,-2.973885466690656e-05,-4.6549517446882405e-07,5626142122504.259,3757260000000.0,3034710000000.0,3.776352936514305,0.9095576282947098,21246836144463.1,14189099001397.473,11460426116513.344,7.191078743185522e-05,4.802358690966536e-05,3.8788281734729705e-05,3.919591276589818e-05,2.6175882512766565e-05,2.114205895261915e-05
31,31,2,25,3000,1000000.0,305,17.15,2.43,0.81,,0.000915,2530.0,0.253,305.0,0.0002284062571504,0.0122525657881665,0.000831597100924,9.955740749687676e-05,8.040172198161632e-06,5894900000000.0,3946800000000.0,3187800000000.0,4.023458757163455,1.0175907134411275,23709863623178.277,15874415129681.588,12821642989358.207,7.668811262545686e-05,5.134483077069215e-05,4.147082485325135e-05,4.173040778980826e-05,2.7939672168283644e-05,2.256665828976756e-05
32,32,2,25,3000,1000000.0,310,17.15,2.43,0.81,,0.0009299999999999,2586.0,0.2586,310.0,0.0002161046886044,0.01249554015823,0.0008915308663987,3.625784816938191e-05,2.102384005261808e-05,6025380000000.0,4034160000000.0,3258360000000.0,4.303469874194824,1.1128774844358906,25930045387356.246,17360888757199.89,14022256303892.22,7.974238996141003e-05,5.338975465227453e-05,4.312249414222173e-05,4.335304783284407e-05,2.902607494387843e-05,2.344413745467104e-05
33,33,2,25,3000,1000000.0,315,17.15,2.43,0.81,,0.0009449999999999,2577.5,0.25775,315.0,0.0002186271795209,0.0112988306026605,0.0008419459292226,6.414456544030215e-05,-1.0826354568165345e-05,6004056505585.548,4020900000000.0,3247650000000.0,4.322435734607904,1.114113683966782,25952285207304.125,17380173469881.797,14037832417981.451,8.082361633290477e-05,5.4127351834654766e-05,4.371824571260577e-05,4.387775516374016e-05,2.9384811014645264e-05,2.373388581952118e-05
34,34,2,25,3000,1000000.0,320,17.15,2.43,0.81,,0.0009599999999999,2719.0,0.2719,320.0,0.0002693563770037,0.0115097288898912,0.0008606309620287,7.07892343658082e-05,-9.374675589943135e-06,6309612408052.506,4241640000000.001,3425940000000.0005,3.5800102403236056,0.9731657603973496,22582930330617.76,15181385862198.656,12261888581006.604,8.63368204400567e-05,5.8039969393998726e-05,4.687843681822973e-05,4.684613631542904e-05,3.149233784746972e-05,2.5436119030648617e-05
35,35,2,25,3000,1000000.0,325,17.15,2.43,0.81,,0.0009749999999999,2797.0,0.2797,325.0,0.0002752490969725,0.0120927339897465,0.0008914274608022,-3.2075923124176784e-05,-3.044356609069979e-06,6489040000000.0,4363320000000.0,3524220000000.0,3.5538137094272697,0.9935556332066826,23050490690395.03,15499467878024.248,12518800978404.2,9.021653905934753e-05,6.0662845229561264e-05,4.899691345464564e-05,4.89116858937879e-05,3.2888892238926345e-05,2.656410526990205e-05
36,36,2,25,3000,1000000.0,330,17.15,2.43,0.81,,0.00099,2832.0,0.2832,330.0,0.0002458018055619,0.012183670763631,0.0008781310178651,4.663361717954522e-05,-1.076388082735321e-06,6550045029581.904,4417920000000.0,3568320000000.0,4.045235142192752,1.1472115467087811,26533500315673.805,17896500128656.99,14454865488530.645,9.255226002519676e-05,6.242529307262137e-05,5.042042902019419e-05,5.013467404711789e-05,3.38151841958224e-05,2.731226415816424e-05
37,37,2,25,3000,1000000.0,335,17.15,2.43,0.81,,0.0010049999999999,2875.5,0.28755,335.0,0.0002503407905009,0.011814460589838,0.0007712133598076,0.0001351814963733,3.064180649898438e-07,6642405000000.0,4485780000000.0,3623130000000.0,4.032842983744725,1.1575377205769124,26739121345326.67,18057588440999.84,14584975279269.098,9.532573589598826e-05,6.437582164404403e-05,5.199585594326633e-05,5.159249694168819e-05,3.484168624633488e-05,2.814136196819356e-05
38,38,2,25,3000,1000000.0,340,17.15,2.43,0.81,,0.0010199999999999,3028.5,0.3028499999999999,340.0,0.0002708781338185,0.0120303464147042,0.0009733674389741,4.62194073939949e-06,5.227903287370817e-06,6981220807437.656,4724460000000.0,3815910000000.0,3.825621094116904,1.1617777586214713,26781004002332.84,18123733034494.957,14638399758630.54,0.0001017214857325,6.883883259673149e-05,5.56005955588985e-05,5.503698033392978e-05,3.724563644103874e-05,3.008301404853129e-05
39,39,2,25,3000,1000000.0,345,17.15,2.43,0.81,,0.001035,2990.5,0.29905,345.0,0.0002750957563079,0.012264489887991,0.0008652192117424,1.8123536426912576e-05,-1.0349234160197195e-05,6878150000000.0,4665180000000.0,3768030000000.0,3.762330363177943,1.125152447004255,25878506281097.875,17552378173266.389,14176920832253.62,0.0001017771294705,6.903144433657293e-05,5.575616657953967e-05,5.5002538953950966e-05,3.730606989920153e-05,3.013182568781661e-05
40,40,2,25,3000,1000000.0,350,17.15,2.43,0.81,,0.00105,3110.0,0.3109999999999999,350.0,0.0002613212899689,0.0119472890903687,0.0008511874247863,-3.759264867005887e-05,3.268752772188628e-06,7153000000000.0,4851600000000.0,3918600000000.0,4.035379045425984,1.255082233151673,28866891362488.49,19579282837166.11,15814036137711.086,0.0001074503039823,7.287933661413891e-05,5.886407957295836e-05,5.8033215152080605e-05,3.936165897271554e-05,3.1792109170270246e-05
41,41,2,25,3000,1000000.0,355,17.15,2.43,0.81,,0.001065,3093.0,0.3093,355.0,0.0002476896545999,0.0122641074031054,0.0008844705230791,1.490159320444294e-05,7.7138025562443e-06,7109670541516.801,4825080000000.0,3897180000000.0,4.299741945691679,1.329930720866531,30570220719052.637,20746919245517.883,16757127082918.29,0.000108333214953,7.352189187295055e-05,5.938306651276776e-05,5.848403781910075e-05,3.969103203198263e-05,3.205814125660135e-05
42,42,2,25,3000,1000000.0,360,17.15,2.43,0.81,,0.0010799999999999,3178.5,0.3178499999999999,360.0,0.0002686772743061,0.0114758424057402,0.0008123650225195,1.227485840316517e-05,-7.525453662145134e-07,7278765000000.0,4958460000000.0,4004910000000.001,4.035844626131468,1.282065555003923,29359301209589.84,20000222658061.2,16154025993049.43,0.000112555857681,7.667560610595959e-05,6.19302972394289e-05,6.071962460896768e-05,4.1363587069864446e-05,3.340905109489052e-05
