,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.1,50,2.25,100000.0,3540540000000.0,6.0,0.006,50.0,0.0012051772631409,0.1222963946914934,0.0194654588101379,212432400.0,41.487672833862526,0.2489260370031751,8813325910.512217,4.3803659196647216e-10,1.2406767782365686e-10
1,1,0.1,55,2.25,100000.0,3647750000000.0,8.0,0.008,55.0,0.0014337668485003,0.1738152849953321,0.0170275903371826,291820000.0,38.36049079913239,0.306883926393059,11194358425.002811,6.680535272291495e-10,1.8972450223486387e-10
2,2,0.1,60,2.25,100000.0,3748020000000.0,15.0,0.015,60.0,0.0034618741990782,0.1081570351449136,0.0205022029493831,562203000.0,17.33165232173259,0.2599747848259888,9743906930.235027,1.4139252143230203e-09,4.12166243896717e-10
3,3,0.1,65,2.25,100000.0,3842310000000.0,15.0,0.015,65.0,0.0045523088868852,0.1282062918270433,0.021089890357404,576346500.0,14.278468710077854,0.2141770306511678,8229345466.412886,1.577789751356476e-09,4.919447663066789e-10
4,4,0.1,70,2.25,100000.0,3931350000000.0,17.0,0.017,70.0,0.0033972666395276,0.1309494902684776,0.0236263077929125,668329500.0,20.604800101805647,0.350281601730696,13770795749.639715,1.979032998888576e-09,6.825852938623142e-10
5,5,0.1,75,2.25,100000.0,4015760000000.0,23.0,0.023,75.0,0.0050535128166894,0.1351186790534085,0.0215771026784152,923624800.0,14.841161528730936,0.3413467151608115,13707664848.741806,2.9456776508201804e-09,1.086170803887107e-09
6,6,0.1,80,2.25,100000.0,4096050000000.0,31.0,0.031,80.0,0.0049040292305496,0.1260589778591691,0.0228004986965088,1269775500.0,16.31311646791187,0.5057066105052679,20713995619.601025,4.340287174256088e-09,1.7597057307257363e-09
7,7,0.1,85,2.25,100000.0,4172620000000.0,29.0,0.029,85.0,0.0055562076944523,0.1155232466746325,0.0231416867544857,1210059800.0,15.2982042202757,0.4436479223879953,18511741939.14597,4.407534171533044e-09,1.8699112917744203e-09
8,8,0.1,90,2.25,100000.0,4245860000000.0,32.0,0.032,90.0,0.005907851140047,0.1269414394773652,0.0229147485600815,1358675200.0,15.233965424403518,0.4874868935809126,20698011019.794537,5.249757173158946e-09,2.3725728574945995e-09
9,9,0.1,95,2.25,100000.0,4316040000000.0,48.0,0.048,95.0,0.0055163028856378,0.1044763512182311,0.0231629815424078,2071699200.0,17.221679441739813,0.826640613203511,35678139522.10882,8.46085861227289e-09,3.854614533746264e-09
10,10,0.1,100,2.25,100000.0,4383450000000.0,52.0,0.052,100.0,0.0053643468272351,0.1077683343514945,0.0207434948626833,2279394000.0,18.641598543236192,0.969363124248282,42491547869.86132,9.431649134502217e-09,4.538274997013499e-09
11,11,0.1,105,2.25,100000.0,4448300000000.0,44.0,0.044,105.0,0.005596469651031,0.1351834135039531,0.0187699780928431,1957252000.0,18.761827821339963,0.8255204241389584,36721625026.97329,8.557298913475041e-09,4.342544243541657e-09
12,12,0.1,110,2.25,100000.0,4510800000000.0,67.0,0.067,110.0,0.0071261193826311,0.1118672370977539,0.022434845989011,3022236000.0,15.4361713709299,1.0342234818523035,46651752819.3937,1.3688796642449836e-08,7.571281480869102e-09
13,13,0.1,115,2.25,100000.0,4571120000000.0,63.0,0.063,115.0,0.0080814493500135,0.1285935895405056,0.020267251535347,2879805600.0,14.230120739395204,0.8964976065818978,40979981393.98645,1.3532043087359953e-08,7.858701916779462e-09
14,14,0.1,120,2.25,100000.0,4629430000000.0,75.0,0.075,120.0,0.0070968097281572,0.1210098331058771,0.0196662955949465,3472072500.0,16.909006243170044,1.2681754682377533,58709295579.23901,1.687021948226029e-08,1.0403992808450073e-08
15,15,0.1,125,2.25,100000.0,4685840000000.0,77.0,0.077,125.0,0.0088753151257785,0.138993444012221,0.0222667113061942,3608096800.0,14.084006959587796,1.0844685358882604,50816460442.06646,1.8253654294837592e-08,1.1364227580819916e-08
