,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2.25,0.02,550,100000.0,17.15,2.43,0.81,,,,,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2.25,0.02,600,100000.0,17.15,2.43,0.81,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2.25,0.02,650,100000.0,17.15,2.43,0.81,,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2.25,0.02,700,100000.0,17.15,2.43,0.81,,,,,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2.25,0.02,750,100000.0,17.15,2.43,0.81,,0.75,5.5,0.0054999999999999,750.0,0.0479526485921662,0.0001172023655899,9.603756936540956e-05,-4.830325824284242e-06,-2.813226676309594e-06,124630346742.12846,79860000000.0,57860000000.0,44368500000.0,34886500000.0,27813500000.0,16.52621753697432,0.0892618487160764,2022679119332.369,1296082043357.431,939034648493.125,720075333592.5891,566187906406.0735,451397168957.19904,4.071677918666477e-06,2.609029077464569e-06,1.8902882847746057e-06,1.449520493657485e-06,1.1397432120081109e-06,9.086680471582872e-07,2.301945958854488e-06,1.475029229072815e-06,1.06868508883237e-06,8.194945448299173e-07,6.443602203862856e-07,5.137205792989825e-07
6,6,2.25,0.02,800,100000.0,17.15,2.43,0.81,,0.7999999999999999,6.1,0.0060999999999999,800.0,0.0594819820795702,0.0001843967896379,0.0001042480230454,4.4000341304196965e-06,7.709185285922503e-06,135631905430.55872,88572000000.0,64172000000.0,49208700000.0,38692300000.0,30847700000.0,14.370112806018962,0.0905459597267449,2013265745373.2883,1314727335232.3376,952543496325.3574,730434257115.6521,574333022546.7437,457890918338.1496,4.729982759126527e-06,3.0888309915829288e-06,2.2379133630476868e-06,1.7160881273484494e-06,1.34934262944976e-06,1.0757726118756796e-06,2.652350188819312e-06,1.7320700478132062e-06,1.2549157646690722e-06,9.62300900530932e-07,7.566474044958102e-07,6.032423024649713e-07
7,7,2.25,0.02,850,100000.0,17.15,2.43,0.81,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2.25,0.02,900,100000.0,17.15,2.43,0.81,,0.9000000000000001,7.9,0.0078999999999999,900.0,0.0754318004286713,0.0001901863929243,0.000125977092762,-1.4856643175839292e-05,1.2850072361629298e-05,168282534141.12616,114708000000.0,83108000000.0,63729300000.0,50109700000.0,39950300000.0,12.455349754616448,0.0945987139609641,2015102697701.593,1373573326713.2,995178470869.3434,763127825523.0983,600039642654.396,478385696500.596,6.610216560204867e-06,4.505783829901776e-06,3.2645210668434354e-06,2.503316677397908e-06,1.9683324265197635e-06,1.5692664481965072e-06,3.6191815916831086e-06,2.4669766481566717e-06,1.7873687561024922e-06,1.3705992163002664e-06,1.077688214824915e-06,8.591942775294963e-07
9,9,2.25,0.02,950,100000.0,17.15,2.43,0.81,,0.95,8.3,0.0082999999999999,950.0,0.0747262047062264,0.0001758623563858,0.0001215093061362,-7.931012489246507e-06,-1.0744889024780851e-06,172546286158.6314,120516000000.0,87316000000.0,66956100000.0,52646900000.0,41973100000.0,14.80823150865685,0.1091833434862911,2269780774571.2944,1585342147420.948,1148608773475.7834,880782031903.9109,692549947733.5452,552140168010.1746,7.15738908062984e-06,4.999121810411891e-06,3.621953267598698e-06,2.777404658718507e-06,2.183845016766021e-06,1.7410853302515792e-06,3.850336533096903e-06,2.6892909024776127e-06,1.948439414191769e-06,1.4941122390004754e-06,1.1748052475492768e-06,9.36621494065378e-07
