,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
46,46,2.25,0.02,2750,100000.0,17.15,2.43,0.81,,0.275,233.0,0.233,275.0,0.0485798692730441,0.000316189117151,0.0002993654992869,-2.6884249833469566e-06,-5.416900980374487e-07,0.0,1927749668849.4773,2057438925155.9248,1879611000000.0,1477919000000.0,1178281000000.0,0.5671539383558761,1.3211686765903043,0.0,10930826089232.88,11666196832247.346,10657867714053.984,8380172915612.299,6681149997517.167,0.0,0.0002288274556816,0.000244221810576,0.0002231133065414,0.0001754317222501,0.0001398641367522,0.0,0.0001123318689164,0.0001198889894154,0.0001095267813439,8.611979348763e-05,6.8659592569279e-05
47,47,2.25,0.02,2800,100000.0,17.15,2.43,0.81,,0.28,230.4,0.2304,280.0,0.0483869473681897,0.0003285243010304,0.0002888381035763,-1.963013437995265e-06,1.5984712594910324e-07,0.0,1852907876234.6523,2000950233679.8333,1858636800000.0,1461427200000.0,1165132800000.0,0.5816001089089038,1.3398366829035662,0.0,10775147320399.855,11636052620437.08,10808462520983.066,8498584079657.317,6775554105443.333,0.0,0.0002240672557764,0.000241969627069,0.0002247600393967,0.000176726531535,0.0001408964322832,0.0,0.0001080034901046,0.0001166326785777,0.0001083374213103,8.518461179761599e-05,6.791401259034199e-05
48,48,2.25,0.02,2850,100000.0,17.15,2.43,0.81,,0.285,226.33,0.22633,285.0,0.0510870861660987,0.0003365528921628,0.0002932714552574,-3.4923242784964373e-06,-5.616665268442179e-07,0.0,1767788042572.9875,1932442430397.0615,1825804110000.0,1435611190000.0,1144550810000.0,0.5588482053299124,1.264559206798895,0.0,9877049639485.129,10797012623017.004,10201199121246.688,8021099048725.394,6394875908782.013,0.0,0.000217712412261,0.0002379904677174,0.0002248573966625,0.0001768030825623,0.0001409574631117,0.0,0.0001033262439547,0.0001129502028428,0.000106717251356,8.3910688651449e-05,6.689836867576401e-05
49,49,2.25,0.02,2900,100000.0,17.15,2.43,0.81,,0.2899999999999999,187.13,0.18713,290.0,0.0521099591574602,0.0003449934970033,0.000297977985951,-5.314026425999063e-06,-3.6832881547838013e-07,0.0,1418481410991.3755,1570254640363.3115,1509577710000.0,1186965590000.0,946316410000.0,0.5579333395861186,1.044527368207174,0.0,7917718458150.057,8764890433996.645,8426202279327.273,6625437096538.104,5282174901023.679,0.0,0.0001778505276147,0.0001968799972379,0.0001892722668895,0.0001488228571811,0.0001186500376422,0.0,8.308234021690699e-05,9.1971899840875e-05,8.841797144061502e-05,6.9522151090593e-05,5.5427008996551005e-05
50,50,2.25,0.02,2950,100000.0,17.15,2.43,0.81,,0.295,186.26,0.1862599999999999,295.0,0.0525713251817705,0.0003233633945895,0.0002991147854308,-2.2019206372442964e-06,-1.0181181791915455e-06,0.0,1368968471255.3357,1535654708252.464,1502559420000.0,1181447180000.0,941916820000.0,0.5638490778923178,1.050313785415938,0.0,7719566504666.924,8659504508302.659,8472881306950.372,6662140340893.295,5311436812848.398,0.0,0.0001746666064739,0.0001959340936174,0.000191711467742,0.000150740775987,0.0001201791114877,0.0,8.0297999322833e-05,9.0075121021806e-05,8.813388899967802e-05,6.929877995846798e-05,5.5248924838399e-05
51,51,2.25,0.02,3000,100000.0,17.15,2.43,0.81,,0.3,146.32999999999998,0.14633,300.0,0.0548086394504616,0.0003462428851127,0.0003053786720659,-2.915114290806378e-06,5.749637954638464e-07,0.0,1042241078464.623,1185019196772.1755,1180444110000.0,928171190000.0,739990810000.0,0.5502027342697564,0.805296703906526,0.0,5735756886240.305,6521506548394.67,6496328510413.943,5107996992879.095,4072385431655.3022,0.0,0.0001352934820095,0.0001538275325087,0.000153233639759,0.0001204860514431,9.605832605200998e-05,0.0,6.1176589135422e-05,6.9557258888047e-05,6.928871429745001e-05,5.4481010882448e-05,4.343535740699e-05
52,52,2.25,0.02,3050,100000.0,17.15,2.43,0.81,,0.305,91.53,0.0915299999999999,305.0,0.055277405409588,0.0003151322969529,0.0003201428019547,-5.483115215456131e-07,-9.976812672238102e-07,0.0,631281821259.7108,727824615324.3464,731439035642.7482,580574790000.0,462867210000.0,0.5558680491690466,0.5095114104503471,0.0,3514096920591.0537,4051512578546.804,4071632630927.327,3231830876486.552,2576599202647.4053,0.0,8.334959286695898e-05,9.6096360330448e-05,9.6573580570038e-05,7.665462673827299e-05,6.1113423839734e-05,0.0,3.7044446474405e-05,4.2709704441253e-05,4.292180337315999e-05,3.4068891275257e-05,2.7161655869302004e-05
53,53,2.25,0.02,3100,100000.0,17.15,2.43,0.81,,0.31,44.54,0.0445399999999999,310.0,0.054690018391434,0.0003397508007993,0.0003001306900809,5.389725998702082e-07,-1.997115048388868e-06,0.0,297194628950.9144,347643327534.606,350988904266.6666,282517220000.0,225238780000.0,0.5714525584913306,0.2541392852453488,0.0,1695752819495.78,1983606348898.956,2002695762446.7632,1612005486311.248,1285182365485.729,0.0,3.9894367193076e-05,4.666642398567501e-05,4.711552250099099e-05,3.7924123167477e-05,3.0235265782424004e-05,0.0,1.7436394669884997e-05,2.0396217403534e-05,2.0592502230430003e-05,1.6575271788549e-05,1.3214748452575e-05
54,54,2.25,0.02,3150,100000.0,17.15,2.43,0.81,,0.3149999999999999,15.64,0.0156399999999999,315.0,0.0498876321207399,0.0002760752868927,0.0003098261521013,-1.2852646713489302e-06,-1.987291554542634e-06,0.0,100896244157.84409,119784772253.49684,121517542498.78276,99204520000.0,79091480000.0,0.7547127298563012,0.1166292977235815,0.0,752395019122.53,893248968408.2152,906170437514.61,739779635460.6775,589794358588.1516,0.0,1.3767501854466e-05,1.6344880702961e-05,1.6581320798074e-05,1.3536662583143002e-05,1.0792196544688596e-05,0.0,5.9218708971084505e-06,7.030489218360057e-06,7.1321901466015625e-06,5.822579073712136e-06,4.642090868006034e-06
55,55,2.25,0.02,3200,100000.0,17.15,2.43,0.81,,0.3199999999999999,4.5600000000000005,0.00456,320.0,0.0552476104576282,0.0003734896819937,0.0003780705970327,-5.604797929413096e-07,7.674179173426189e-06,0.0,28407887122.23292,34259083142.8078,34925664785.27608,28924080000.0,23059920000.0,0.5824365515421361,0.026622195376658,0.0,165850947632.92358,200011404573.0263,203903042011.68512,168864585274.14175,134628442019.75952,0.0,3.939300414948098e-06,4.750681381530227e-06,4.8431157582747386e-06,4.01088049441095e-06,3.197701822518709e-06,0.0,1.6667773898843506e-06,2.010084908282746e-06,2.0491952865167022e-06,1.6970640005632611e-06,1.3529958459480392e-06
56,56,2.25,0.02,3250,100000.0,17.15,2.43,0.81,,0.325,0.8300000000000001,0.0008299999999999,325.0,0.0502372624454875,0.0003894511631016,0.0003218706156508,1.834487230908228e-07,-7.284063477654685e-06,0.0,4990923478.596221,6114688725.175114,6264910358.639963,5264690000.0,4197310000.0,0.677461883503724,0.0055552567300285,0.0,33404652100.63784,40926103244.04706,41931548714.28982,35236993438.57143,28092933283.75464,0.0,7.030054396078052e-07,8.612954002884633e-07,8.824551367431411e-07,7.415673118854978e-07,5.912195958071831e-07,0.0,2.925786403529183e-07,3.584561696979267e-07,3.6726248409229253e-07,3.0862742109459266e-07,2.4605531585611777e-07
57,57,2.25,0.02,3300,100000.0,17.15,2.43,0.81,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,2.25,0.02,3350,100000.0,17.15,2.43,0.81,,,,,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,2.25,0.02,3400,100000.0,17.15,2.43,0.81,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,2.25,0.02,3450,100000.0,17.15,2.43,0.81,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,2.25,0.02,3500,100000.0,17.15,2.43,0.81,,,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
