,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,500000.0,17.15,2.43,0.81,,0.5,500000.0,100.0,500.0,0.4999312630563395,0.0586989230336618,0.0467900216838513,6.401524296877583e-05,-3.2514636033444094e-05,2150000000000000.0,1521880408827353.8,1260000000000000.0,1.0001374927889892,100.01374927889891,2150295609496326.8,1522089656409271.5,1260173240914126.2,0.0466530950385029,0.0330234564419805,0.0273408836039598,0.0260876739987186,0.0184661953351277,0.0152885903434351
1,1,2.25,0.02,501,500000.0,17.15,2.43,0.81,,0.501,500000.0,100.0,501.0,0.5009650161656509,0.0579181855828377,0.0462563869029064,-5.9973764731545365e-05,3.921064982038332e-05,2150000000000000.0,1521290589521447.2,1260000000000000.0,1.0000698328889646,100.00698328889646,2150150140711274.0,1521396825638268.2,1260087989440095.5,0.0467377722919629,0.0330705735641672,0.0273905084129643,0.0261473900404956,0.0185012922833268,0.0153235867214067
2,2,2.25,0.02,502,500000.0,17.15,2.43,0.81,,0.502,500000.0,100.0,502.0,0.5017046069665412,0.058843407302718,0.0460356952548853,-4.029959579692371e-06,-1.7678186187306762e-05,2148522303709537.2,1520700770215540.5,1260000000000000.0,1.0005887787940495,100.05887787940496,2149787308080504.0,1521596126581138.2,1260741861280502.2,0.0468092425031407,0.0331310738570556,0.0274512605487622,0.0261893677476809,0.0185365502776463,0.0153587436840213
3,3,2.25,0.02,503,500000.0,17.15,2.43,0.81,,0.503,500000.0,100.0,503.0,0.502862676290647,0.0582924450801282,0.0466746687430257,3.173060529458468e-05,-1.610131554250236e-05,2146752849131524.8,1520110950909634.0,1260000000000000.0,1.000273083916997,100.0273083916997,2147339092808390.5,1520526068762378.5,1260344085735416.0,0.0468638606100035,0.0331841961891368,0.0275059443347159,0.0262279739572969,0.0185719704291013,0.0153940623391106
4,4,2.25,0.02,504,500000.0,17.15,2.43,0.81,,0.504,500000.0,100.0,504.0,0.5039318792067888,0.057635124591523,0.044613743632021,-3.0616427864038354e-05,-2.113185081286864e-05,2144983394553512.8,1520000000000000.0,1260000000000000.0,1.0001351785747676,100.01351785747676,2145273350351688.8,1520205471433647.0,1260170325004207.2,0.0469217892697677,0.0332501966547357,0.0275626630164257,0.0262667581322698,0.018613417923154,0.0154295438047197
5,5,2.25,0.02,505,500000.0,17.15,2.43,0.81,,0.505,500000.0,100.0,505.0,0.5049115615524897,0.0585202567310981,0.0455506516854473,-7.084398002836618e-06,-3.52829693855545e-05,2143213939975500.0,1520000000000000.0,1260000000000000.0,1.0001751563129957,100.01751563129952,2143589337427186.8,1520266237595753.0,1260220696954374.2,0.0469847745877804,0.0333223184309088,0.0276224481729902,0.0263057215060087,0.0186564187285896,0.0154651892092256
6,6,2.25,0.02,506,500000.0,17.15,2.43,0.81,,0.506,500000.0,100.0,506.0,0.5057714455106748,0.0584040668055271,0.046160483704194,3.1970477571167434e-05,1.1712753599198004e-05,2141444485397488.0,1520000000000000.0,1260000000000000.0,1.0004518928289723,100.04518928289724,2142412188804080.8,1520686877100038.0,1260569384964505.2,0.0470302655517974,0.0333821418795561,0.0276720386633163,0.026344865323347,0.0186996186754075,0.0155009996914562
7,7,2.25,0.02,507,500000.0,17.15,2.43,0.81,,0.507,500000.0,100.0,507.0,0.5058744767302983,0.0584563933836952,0.0456416060266083,-9.595789647169654e-05,3.287047619127728e-06,2139675029036908.8,1520000000000000.0,1260000000000000.0,1.0022249062197732,100.22249062197731,2144435605317306.5,1523381857454055.0,1262803381836914.2,0.047084273254492,0.0334481144919663,0.0277267264867615,0.0263841908186939,0.0187430191501865,0.0155369764008125
8,8,2.25,0.02,508,500000.0,17.15,2.43,0.81,,0.508,500000.0,100.0,508.0,0.5079486407949503,0.05849876369185,0.0467472108637344,-2.4677120828606707e-06,-3.8933970136287975e-05,2137905564752837.2,1520000000000000.0,1260000000000000.0,1.0001011110197466,100.01011110197469,2138121730564612.0,1520153688750015.0,1260127399884880.8,0.0471416072956816,0.0335165613817559,0.0277834653559292,0.0264236991840777,0.0187866215524077,0.0155731204973906
9,9,2.25,0.02,509,500000.0,17.15,2.43,0.81,,0.509,500000.0,100.0,509.0,0.5089643527779231,0.0570316234713593,0.0457350598255384,2.8438454602173208e-05,3.772321021943032e-05,2136136100468766.5,1520000000000000.0,1260000000000000.0,1.0000700387402033,100.00700387402031,2136285712750146.5,1520106458885109.0,1260088248812656.2,0.0472057638204775,0.0335899763088035,0.0278443224665081,0.0264633917968807,0.0188304272946052,0.0156094331521069
