,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.005,31.901,0.031901,5.0,0.0003810072164512,3.90403457648098e-05,2.9084478483221508e-05,-8.440939151891641e-07,-3.669822524577845e-09,776191812344.281,463202520000.0,335598520000.0,257345367000.0,202348043000.0,161323357000.0,0.131556849067146,0.4195601413126875,10208430659631.906,6092013251860.221,4413772686609.471,3384591659969.4487,2661269976346.376,2121715634618.2605,1.6842674599723002e-05,1.00510842733176e-05,7.2821905341116e-06,5.5841664485434e-06,4.3907732469454e-06,3.5005739097908007e-06,9.4181576562377e-06,5.620407598671701e-06,4.0720859461448e-06,3.1225776927327e-06,2.4552510604938e-06,1.9574656492065e-06
1,1,2.25,0.02,550,100000.0,17.15,2.43,0.81,,0.0055,27.299,0.0272989999999999,5.5,0.0004370726253964,3.88124035216134e-05,2.84242331222594e-05,-6.738713153166695e-07,-3.639927467909604e-08,656637877838.765,396381480000.0,287185480000.0,220221033000.0,173157557000.0,138051043000.0,0.1264847357493134,0.3454547876341523,8309414214488.849,5016003516447.893,3634184365911.282,2786783771844.707,2191219717963.429,1746964861065.9087,1.56304876660447e-05,9.4353920833512e-06,6.8361105176895005e-06,5.2421010975476e-06,4.1218107427474e-06,3.2861417193872e-06,8.9134024243534e-06,5.3806028620058e-06,3.8983431204063e-06,2.9893473338702e-06,2.3504933852408e-06,1.8739468783167e-06
2,2,2.25,0.02,600,100000.0,17.15,2.43,0.81,,0.0059999999999999,18.365,0.018365,6.0,0.0004795174561988,3.7587209008742e-05,2.8709468224243305e-05,-8.72390164647782e-07,9.053310550628089e-08,436119154143.96063,266659800000.0,193199800000.0,148150455000.0,116489195000.0,92871805000.0,0.1256992023981931,0.2306191612300225,5476582277431.371,3348590221059.927,2426113576139.837,1860404773642.592,1462817339682.0332,1166241098340.224,1.13531443647e-05,6.941743275652101e-06,5.029417304398e-06,3.856683402526301e-06,3.0324709089158007e-06,2.4176581091576e-06,6.479599357327099e-06,3.9618729246055e-06,2.8704478765048e-06,2.201131465757e-06,1.7307272700255006e-06,1.3798341170612003e-06
3,3,2.25,0.02,650,100000.0,17.15,2.43,0.81,,0.0065,24.644,0.024644,6.5,0.0005292575979686,3.81499513327741e-05,2.9005962545928306e-05,-6.743559861513318e-07,2.2404226139796226e-08,577056318887.5154,357830880000.0,259254880000.0,198803148000.0,156316892000.0,124624708000.0,0.1236563946245576,0.3045671290541412,7131650152009.479,4422314713866.13,3204046197649.565,2456943030079.757,1931869299590.4167,1540195971626.7915,1.6300930407360103e-05,1.0108157698939e-05,7.3235412529502e-06,5.6158752174474994e-06,4.415705529226499e-06,3.5204513418409995e-06,9.255692318966e-06,5.739426844661699e-06,4.1583175210635e-06,3.1887022283666e-06,2.5072441098956e-06,1.9989174623588003e-06
4,4,2.25,0.02,700,100000.0,17.15,2.43,0.81,,0.007,27.295,0.0272949999999999,7.0,0.0006171427595712,3.690363573485921e-05,2.8556626327197198e-05,-7.937331569724371e-07,4.710435973511218e-08,629235447654.4321,396323400000.0,287143400000.0,220188765000.0,173132185000.0,138030815000.0,0.1136044691080661,0.3101669883268904,7150322907034.178,4503624670506.448,3262956717198.8867,2502117094833.0244,1967389206957.4656,1568514459969.0847,1.91669087308854e-05,1.20722608111644e-05,8.7465691276479e-06,6.707088702731401e-06,5.2737155871358e-06,4.204505710885099e-06,1.0909245249222e-05,6.8711786418299e-06,4.9782919636398e-06,3.8174792082397e-06,3.0016450499398e-06,2.3930819829015e-06
5,5,2.25,0.02,750,100000.0,17.15,2.43,0.81,,0.0075,30.722,0.030722,7.5,0.0006995197611637,3.7581057323785e-05,2.94644287360718e-05,-7.505051992128097e-07,1.024132744138528e-07,696162456838.4855,446083440000.0,323195440000.0,247834374000.0,194869646000.0,155361154000.0,0.1074017870998836,0.3301579998087413,7481401090154.729,4793894157222.924,3473262157987.9595,2663384584457.116,2094192192786.847,1669609005032.8052,2.2743652548594403e-05,1.4573562057793402e-05,1.0558806669971402e-05,8.096757928389499e-06,6.3663983562382e-06,5.0756544990535e-06,1.28582515905318e-05,8.2392450864676e-06,5.969480599837399e-06,4.577547528411199e-06,3.5992790346736995e-06,2.8695497522217e-06
6,6,2.25,0.02,800,100000.0,17.15,2.43,0.81,,0.0079999999999999,34.485,0.034485,8.0,0.0007503050042753,3.699121254032469e-05,2.9486556917817003e-05,-5.766470785543718e-07,5.175476389307963e-08,766764960454.5604,500722200000.0,362782200000.0,278190495000.0,218738355000.0,174390645000.0,0.1067766223282963,0.3682574917496158,8188109064766.992,5347098780204.421,3874068813205.958,2970733185944.15,2335857270167.813,1862278135777.8071,2.67399107292582e-05,1.74620224171696e-05,1.26515479220812e-05,9.701524437968502e-06,7.628209930585601e-06,6.0816423804148e-06,1.49944747969559e-05,9.7918746883338e-06,7.0943885482968e-06,5.4401551729189e-06,4.2775386465632e-06,3.4102968525412e-06
7,7,2.25,0.02,850,100000.0,17.15,2.43,0.81,,0.0084999999999999,37.871,0.037871,8.5,0.000809908155598,3.76249020529886e-05,3.05086418669471e-05,-5.612686858672449e-07,1.8958428317703957e-08,825123780613.2428,549886920000.0,398402920000.0,305505357000.0,240215753000.0,191513647000.0,0.1055758966817881,0.3997511201222302,8709676415717.385,5804386264174.783,4205381783685.862,3224792286026.0303,2535621354935.3057,2021541414458.118,3.05926435745098e-05,2.0387843551596697e-05,1.4771357724710498e-05,1.1327047791372502e-05,8.906342399984399e-06,7.1006422066405e-06,1.6987642687416996e-05,1.13210681050805e-05,8.2023165609811e-06,6.289742176561999e-06,4.9455602610552e-06,3.9428816396274e-06
8,8,2.25,0.02,900,100000.0,17.15,2.43,0.81,,0.009,40.471,0.040471,9.0,0.0008966710519006,3.721641069412011e-05,2.9145933476923604e-05,-4.200262286999183e-07,-1.1717916723431601e-07,862096511294.3694,587638920000.0,425754920000.0,326479557000.0,256707553000.0,204661847000.0,0.100538256012896,0.4067790476249487,8665039110106.356,5906431771514.254,4279315581014.46,3281486577190.4614,2580199499085.0493,2057081643839.3655,3.38635537225377e-05,2.3082731313917695e-05,1.6723852164078e-05,1.2824269525438903e-05,1.00835926118579e-05,8.0392129651844e-06,1.8540746607215696e-05,1.26381027756385e-05,9.1565317630659e-06,7.021458339605601e-06,5.5209012331866e-06,4.4015761526445e-06
9,9,2.25,0.02,950,100000.0,17.15,2.43,0.81,,0.0095,42.541,0.0425409999999999,9.5,0.0009805586914845,3.61082075354648e-05,2.9488616347174e-05,-4.560415282660147e-07,5.652372048793142e-08,884372477045.101,617695320000.0,447531320000.0,343178247000.0,269837563000.0,215129837000.0,0.0973381087882166,0.4145066621584793,8617058451018.8125,6018636734541.12,4360610085907.204,3343825243632.452,2629215758071.236,2096160190535.4304,3.66846372143458e-05,2.56226073417745e-05,1.8564037826134e-05,1.4235370070667502e-05,1.11931266094264e-05,8.9237965101479e-06,1.97345983680087e-05,1.37837499135297e-05,9.9865736288104e-06,7.6579552722065e-06,6.0213722934928e-06,4.800580117955499e-06
