Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,2.25,0.02,500,100000.0,17.15,2.43,0.81
1,2.25,0.02,550,100000.0,17.15,2.43,0.81
2,2.25,0.02,600,100000.0,17.15,2.43,0.81
3,2.25,0.02,650,100000.0,17.15,2.43,0.81
4,2.25,0.02,700,100000.0,17.15,2.43,0.81
5,2.25,0.02,750,100000.0,17.15,2.43,0.81
6,2.25,0.02,800,100000.0,17.15,2.43,0.81
7,2.25,0.02,850,100000.0,17.15,2.43,0.81
8,2.25,0.02,900,100000.0,17.15,2.43,0.81
9,2.25,0.02,950,100000.0,17.15,2.43,0.81
10,2.25,0.02,1000,100000.0,17.15,2.43,0.81
11,2.25,0.02,1050,100000.0,17.15,2.43,0.81
12,2.25,0.02,1100,100000.0,17.15,2.43,0.81
13,2.25,0.02,1150,100000.0,17.15,2.43,0.81
14,2.25,0.02,1200,100000.0,17.15,2.43,0.81
15,2.25,0.02,1250,100000.0,17.15,2.43,0.81
16,2.25,0.02,1300,100000.0,17.15,2.43,0.81
17,2.25,0.02,1350,100000.0,17.15,2.43,0.81
18,2.25,0.02,1400,100000.0,17.15,2.43,0.81
19,2.25,0.02,1450,100000.0,17.15,2.43,0.81
20,2.25,0.02,1500,100000.0,17.15,2.43,0.81
21,2.25,0.02,1550,100000.0,17.15,2.43,0.81
22,2.25,0.02,1600,100000.0,17.15,2.43,0.81
23,2.25,0.02,1650,100000.0,17.15,2.43,0.81
24,2.25,0.02,1700,100000.0,17.15,2.43,0.81
25,2.25,0.02,1750,100000.0,17.15,2.43,0.81
26,2.25,0.02,1800,100000.0,17.15,2.43,0.81
27,2.25,0.02,1850,100000.0,17.15,2.43,0.81
28,2.25,0.02,1900,100000.0,17.15,2.43,0.81
29,2.25,0.02,1950,100000.0,17.15,2.43,0.81
30,2.25,0.02,2000,100000.0,17.15,2.43,0.81
31,2.25,0.02,2050,100000.0,17.15,2.43,0.81
32,2.25,0.02,2100,100000.0,17.15,2.43,0.81
33,2.25,0.02,2100,100000.0,17.15,2.43,0.81
34,2.25,0.02,2150,100000.0,17.15,2.43,0.81
35,2.25,0.02,2200,100000.0,17.15,2.43,0.81
36,2.25,0.02,2250,100000.0,17.15,2.43,0.81
37,2.25,0.02,2300,100000.0,17.15,2.43,0.81
38,2.25,0.02,2350,100000.0,17.15,2.43,0.81
39,2.25,0.02,2400,100000.0,17.15,2.43,0.81
40,2.25,0.02,2450,100000.0,17.15,2.43,0.81
41,2.25,0.02,2500,100000.0,17.15,2.43,0.81
42,2.25,0.02,2550,100000.0,17.15,2.43,0.81
43,2.25,0.02,2600,100000.0,17.15,2.43,0.81
44,2.25,0.02,2650,100000.0,17.15,2.43,0.81
45,2.25,0.02,2700,100000.0,17.15,2.43,0.81
46,2.25,0.02,2750,100000.0,17.15,2.43,0.81
47,2.25,0.02,2800,100000.0,17.15,2.43,0.81
48,2.25,0.02,2850,100000.0,17.15,2.43,0.81
49,2.25,0.02,2900,100000.0,17.15,2.43,0.81
50,2.25,0.02,2950,100000.0,17.15,2.43,0.81
51,2.25,0.02,3000,100000.0,17.15,2.43,0.81
52,2.25,0.02,3050,100000.0,17.15,2.43,0.81
53,2.25,0.02,3100,100000.0,17.15,2.43,0.81
54,2.25,0.02,3150,100000.0,17.15,2.43,0.81
55,2.25,0.02,3200,100000.0,17.15,2.43,0.81
56,2.25,0.02,3250,100000.0,17.15,2.43,0.81
57,2.25,0.02,3300,100000.0,17.15,2.43,0.81
58,2.25,0.02,3350,100000.0,17.15,2.43,0.81
59,2.25,0.02,3400,100000.0,17.15,2.43,0.81
60,2.25,0.02,3450,100000.0,17.15,2.43,0.81
61,2.25,0.02,3500,100000.0,17.15,2.43,0.81
