,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.5,3190.1,3.1901,500.0,0.0381007216451223,0.0039040345764809,0.0029084478483221,-8.440939151891642e-05,-3.669822524577845e-07,77619181234428.1,46320252000000.0,33559852000000.0,25734536700000.0,20234804300000.0,16132335700000.0,13.1556849067146,41.956014131268745,1020843065963190.6,609201325186022.1,441377268660947.1,338459165996944.9,266126997634637.6,212171563461826.03,0.0016842674599723,0.0010051084273317,0.0007282190534111,0.0005584166448543,0.0004390773246945,0.000350057390979,0.0009418157656237,0.0005620407598671,0.0004072085946144,0.0003122577692732,0.0002455251060493,0.0001957465649206
1,1,2.25,0.02,550,100000.0,17.15,2.43,0.81,,0.5499999999999999,2729.9,2.7299,550.0,0.0437072625396467,0.0038812403521613,0.0028424233122259,-6.738713153166694e-05,-3.639927467909604e-06,65663787783876.5,39638148000000.0,28718548000000.0,22022103300000.0,17315755700000.0,13805104300000.0,12.648473574931348,34.54547876341523,830941421448884.9,501600351644789.2,363418436591128.3,278678377184470.7,219121971796342.88,174696486106590.88,0.0015630487666044,0.0009435392083351,0.0006836110517689,0.0005242101097547,0.0004121810742747,0.0003286141719387,0.0008913402424353,0.0005380602862005,0.0003898343120406,0.000298934733387,0.000235049338524,0.0001873946878316
2,2,2.25,0.02,600,100000.0,17.15,2.43,0.81,,0.5999999999999999,1836.5,1.8365,600.0,0.0479517456198891,0.0037587209008742,0.0028709468224243,-8.72390164647782e-05,9.053310550628088e-06,43611915414396.06,26665980000000.0,19319980000000.0,14815045500000.0,11648919500000.0,9287180500000.0,12.569920239819314,23.061916123002256,547658227743137.1,334859022105992.7,242611357613983.7,186040477364259.2,146281733968203.3,116624109834022.4,0.00113531443647,0.0006941743275652,0.0005029417304398,0.0003856683402526,0.0003032470908915,0.0002417658109157,0.0006479599357327,0.0003961872924605,0.0002870447876504,0.0002201131465757,0.0001730727270025,0.0001379834117061
3,3,2.25,0.02,650,100000.0,17.15,2.43,0.81,,0.6500000000000001,2464.4,2.4644000000000004,650.0,0.0529257597968694,0.0038149951332774,0.0029005962545928,-6.743559861513318e-05,2.2404226139796228e-06,57705631888751.55,35783088000000.0,25925488000000.0,19880314800000.0,15631689200000.0,12462470800000.0,12.365639462455764,30.45671290541412,713165015200947.8,442231471386613.0,320404619764956.5,245694303007975.7,193186929959041.7,154019597162679.2,0.001630093040736,0.0010108157698939,0.000732354125295,0.0005615875217447,0.0004415705529226,0.000352045134184,0.0009255692318966,0.0005739426844661,0.0004158317521063,0.0003188702228366,0.0002507244109895,0.0001998917462358
4,4,2.25,0.02,700,100000.0,17.15,2.43,0.81,,0.7000000000000001,2729.5,2.7295,700.0,0.0617142759571265,0.0036903635734859,0.0028556626327197,-7.937331569724371e-05,4.710435973511218e-06,62923544765443.21,39632340000000.0,28714340000000.0,22018876500000.0,17313218500000.0,13803081500000.0,11.36044691080662,31.01669883268904,715032290703417.9,450362467050644.9,326295671719888.7,250211709483302.44,196738920695746.56,156851445996908.47,0.0019166908730885,0.0012072260811164,0.0008746569127647,0.0006707088702731,0.0005273715587135,0.0004204505710885,0.0010909245249222,0.0006871178641829,0.0004978291963639,0.0003817479208239,0.0003001645049939,0.0002393081982901
5,5,2.25,0.02,750,100000.0,17.15,2.43,0.81,,0.75,3072.2,3.0722,750.0,0.0699519761163741,0.0037581057323785,0.0029464428736071,-7.505051992128096e-05,1.024132744138528e-05,69616245683848.55,44608344000000.0,32319544000000.0,24783437400000.0,19486964600000.0,15536115400000.0,10.740178709988369,33.015799980874135,748140109015472.9,479389415722292.4,347326215798795.94,266338458445711.7,209419219278684.7,166960900503280.5,0.0022743652548594,0.0014573562057793,0.0010558806669971,0.0008096757928389,0.0006366398356238,0.0005075654499053,0.0012858251590531,0.0008239245086467,0.0005969480599837,0.0004577547528411,0.0003599279034673,0.0002869549752221
6,6,2.25,0.02,800,100000.0,17.15,2.43,0.81,,0.7999999999999999,3448.5,3.4485,800.0,0.0750305004275332,0.0036991212540324,0.0029486556917817,-5.766470785543719e-05,5.175476389307961e-06,76676496045456.05,50072220000000.0,36278220000000.0,27819049500000.0,21873835500000.0,17439064500000.0,10.677662232829634,36.82574917496158,818810906476699.2,534709878020442.1,387406881320595.8,297073318594415.0,233585727016781.3,186227813577780.7,0.0026739910729258,0.0017462022417169,0.0012651547922081,0.0009701524437968,0.0007628209930585,0.0006081642380414,0.0014994474796955,0.0009791874688333,0.0007094388548296,0.0005440155172918,0.0004277538646563,0.0003410296852541
7,7,2.25,0.02,850,100000.0,17.15,2.43,0.81,,0.8499999999999999,3787.1,3.7871,850.0,0.0809908155598008,0.0037624902052988,0.0030508641866947,-5.612686858672449e-05,1.8958428317703957e-06,82512378061324.28,54988692000000.0,39840292000000.0,30550535700000.0,24021575300000.0,19151364700000.0,10.557589668178816,39.97511201222302,870967641571738.5,580438626417478.2,420538178368586.2,322479228602603.06,253562135493530.6,202154141445811.75,0.0030592643574509,0.0020387843551596,0.001477135772471,0.0011327047791372,0.0008906342399984,0.000710064220664,0.0016987642687416,0.001132106810508,0.0008202316560981,0.0006289742176562,0.0004945560261055,0.0003942881639627
8,8,2.25,0.02,900,100000.0,17.15,2.43,0.81,,0.9000000000000001,4047.1,4.0471,900.0,0.0896671051900624,0.003721641069412,0.0029145933476923,-4.200262286999183e-05,-1.17179167234316e-05,86209651129436.94,58763892000000.0,42575492000000.0,32647955700000.0,25670755300000.0,20466184700000.0,10.0538256012896,40.67790476249488,866503911010635.6,590643177151425.4,427931558101446.0,328148657719046.1,258019949908504.9,205708164383936.56,0.0033863553722537,0.0023082731313917,0.0016723852164077,0.0012824269525438,0.0010083592611857,0.0008039212965184,0.0018540746607215,0.0012638102775638,0.0009156531763065,0.0007021458339605,0.0005520901233186,0.0004401576152644
9,9,2.25,0.02,950,100000.0,17.15,2.43,0.81,,0.95,4254.1,4.254099999999999,950.0,0.0980558691484588,0.0036108207535464,0.0029488616347174,-4.560415282660146e-05,5.652372048793141e-06,88437247704510.1,61769532000000.0,44753132000000.0,34317824700000.0,26983756300000.0,21512983700000.0,9.733810878821664,41.45066621584793,861705845101881.2,601863673454112.0,436061008590720.4,334382524363245.25,262921575807123.5,209616019053543.03,0.0036684637214345,0.0025622607341774,0.0018564037826134,0.0014235370070667,0.0011193126609426,0.0008923796510147,0.0019734598368008,0.0013783749913529,0.000998657362881,0.0007657955272206,0.0006021372293492,0.0004800580117955
