,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
21,21,0.1,544,2,100000.0,0.01715,0.00243,5.72,1.19668353378915,6945560000000.0,100000.0,100.0,6945560000000.0,544.0,0.5434230583034605,0.0353174922285252,0.004992722493439076,1.0010616805594164,100.10616805594168,6952933966026.262
22,22,0.1,546,2,100000.0,0.01715,0.00243,5.72,1.19757869607337,6951320000000.0,100000.0,100.0,6951320000000.0,546.0,0.5425549934501532,0.034525403388003036,0.005321456162235212,1.0063495988267284,100.63495988267285,6995458093316.215
23,23,0.1,548,2,100000.0,0.01715,0.00243,5.72,1.19860065465315,6957060000000.0,100000.0,100.0,6957060000000.0,548.0,0.5476320123234473,0.03911187666263509,0.0050189150653369,1.0006719615878399,100.06719615878396,6961734877084.297
24,24,0.1,550,2,100000.0,0.01715,0.00243,5.72,1.19963845879841,6962770000000.0,100000.0,100.0,6962770000000.0,550.0,0.5483980952869841,0.032789305743631064,0.004617313066294586,1.002921061773888,100.2921061773888,6983108681287.375
25,25,0.1,552,2,100000.0,0.01715,0.00243,5.72,1.20065872263705,6968460000000.0,100000.0,100.0,6968460000000.0,552.0,0.5508126211542503,0.03354719526863581,0.004740388777301008,1.002155685618208,100.2155685618208,6983481809003.059
26,26,0.1,554,2,100000.0,0.01715,0.00243,5.72,1.20181115118366,6974130000000.0,100000.0,100.0,6974130000000.0,554.0,0.5536620338245939,0.03820568562164382,0.004735866177367968,1.0006104196328427,100.06104196328425,6978387145873.998
27,27,0.1,556,2,100000.0,0.01715,0.00243,5.72,1.20295231364558,6979770000000.0,100000.0,100.0,6979770000000.0,556.0,0.555413146278056,0.03755348338510998,0.005453427914648619,1.0010566075467904,100.10566075467904,6987144877656.86
28,28,0.1,558,2,100000.0,0.01715,0.00243,5.72,1.20410472404016,6985390000000.0,100000.0,100.0,6985390000000.0,558.0,0.5576812236909063,0.035108801796569125,0.004875132929650177,1.000571610259682,100.0571610259682,6989382920591.88
29,29,0.1,560,2,100000.0,0.01715,0.00243,5.72,1.20514112000624,6990990000000.0,100000.0,100.0,6990990000000.0,560.0,0.5596768111577148,0.03397791936566897,0.005057630379959896,1.0005774561958651,100.05774561958654,6995026990490.732
30,30,0.1,562,2,100000.0,0.01715,0.00243,5.72,1.20653239223348,6996560000000.0,100000.0,100.0,6996560000000.0,562.0,0.5614702027910424,0.03322883914884438,0.004929515438467948,1.0009435891812672,100.09435891812672,7003161878322.087
31,31,0.1,564,2,100000.0,0.01715,0.00243,5.72,1.20811897847302,7002110000000.0,100000.0,100.0,7002110000000.0,564.0,0.5636299157262101,0.032868780109515466,0.004787472479636064,1.0006566086424156,100.06566086424156,7006707645941.1455
32,32,0.1,566,2,100000.0,0.01715,0.00243,5.72,1.2098506842126,7007640000000.0,100000.0,100.0,7007640000000.0,566.0,0.5645099448474865,0.03705187919170694,0.00557666331530728,1.0026395551860756,100.26395551860756,7026137052504.151
33,33,0.1,568,2,100000.0,0.01715,0.00243,5.72,1.21147483348648,7013140000000.0,100000.0,100.0,7013140000000.0,568.0,0.5672242323773844,0.03423270616161997,0.00483882954958284,1.001367655996226,100.1367655996226,7022731562973.372
34,34,0.1,570,2,100000.0,0.01715,0.00243,5.72,1.21322571296527,7018630000000.0,100000.0,100.0,7018630000000.0,570.0,0.5670123425859401,0.03833722639309248,0.0047528375383760245,1.0052691223623709,100.52691223623707,7055612020286.207
35,35,0.1,572,2,100000.0,0.01715,0.00243,5.72,1.22040172983306,7024090000000.0,100000.0,100.0,7024090000000.0,572.0,0.5715791407842516,0.03438913041184981,0.005010098630161963,1.0007363096126478,100.07363096126478,7029261904987.104
36,36,0.1,574,2,100000.0,0.01715,0.00243,5.72,1.22372713714585,7029530000000.0,100000.0,100.0,7029530000000.0,574.0,0.5677920322455066,0.03439937778008541,0.005470975167049438,1.0109335238994852,101.09335238994852,7106387534257.148
37,37,0.1,576,2,100000.0,0.01715,0.00243,5.72,1.22027554950736,7034950000000.0,100000.0,100.0,7034950000000.0,576.0,0.5705004209867184,0.03722918841278256,0.004873610075960173,1.00963992104295,100.963992104295,7102766362541.101
38,38,0.1,578,2,100000.0,0.01715,0.00243,5.72,1.21702969464689,7040340000000.0,100000.0,100.0,7040340000000.0,578.0,0.5773001341822237,0.03805095148366623,0.004947609510927859,1.0012123084273448,100.12123084273446,7048875063513.373
39,39,0.1,580,2,100000.0,0.01715,0.00243,5.72,1.21534946177801,7045720000000.0,100000.0,100.0,7045720000000.0,580.0,0.5797150805527737,0.0341913717825046,0.00468698343172928,1.0004914818620119,100.0491481862012,7049182843584.8125
40,40,0.1,582,2,100000.0,0.01715,0.00243,5.72,1.21559007975785,7051070000000.0,100000.0,100.0,7051070000000.0,582.0,0.5812030150739247,0.03773483518217411,0.00505851971042523,1.0013712677075048,100.13712677075048,7060738904594.356
41,41,0.1,584,2,100000.0,0.01715,0.00243,5.72,1.21587072513883,7056400000000.0,100000.0,100.0,7056400000000.0,584.0,0.5836924937210597,0.03478031629809032,0.004889286467396637,1.0005268292504157,100.05268292504158,7060117517922.634
42,42,0.1,586,2,100000.0,0.01715,0.00243,5.72,1.21614745395122,7061710000000.0,100000.0,100.0,7061710000000.0,586.0,0.585853796300853,0.03832780751765386,0.004847323150124629,1.0002495566301186,100.02495566301184,7063472296550.475
43,43,0.1,588,2,100000.0,0.01715,0.00243,5.72,1.21641984515278,7067000000000.0,100000.0,100.0,7067000000000.0,588.0,0.5877510788296831,0.038701496867464394,0.00490286178350444,1.0004235146123637,100.04235146123636,7069992977765.574
44,44,0.1,590,2,100000.0,0.01715,0.00243,5.72,1.21696884226858,7072270000000.0,100000.0,100.0,7072270000000.0,590.0,0.5892222655858177,0.03492100082962625,0.004961806385946643,1.0013199338511232,100.13199338511232,7081604928577.283
45,45,0.1,592,2,100000.0,0.01715,0.00243,5.72,1.21747564218327,7077510000000.0,100000.0,100.0,7077510000000.0,592.0,0.5906548874024793,0.038340300148670806,0.004984809999849236,1.0022773240791016,100.22773240791018,7093627783943.084
46,46,0.1,594,2,100000.0,0.01715,0.00243,5.72,1.21811891168984,7082740000000.0,100000.0,100.0,7082740000000.0,594.0,0.5934546642328087,0.03424457260400139,0.0047525195902763445,1.0009189173159443,100.0918917315944,7089248452430.33
47,47,0.1,596,2,100000.0,0.01715,0.00243,5.72,1.21860384648691,7087950000000.0,100000.0,100.0,7087950000000.0,596.0,0.59475119984927,0.03385760244555768,0.004804692458814709,1.0020997017762157,100.20997017762156,7102832581204.728
48,48,0.1,598,2,100000.0,0.01715,0.00243,5.72,1.21910049382016,7093130000000.0,100000.0,100.0,7093130000000.0,598.0,0.5973116909241297,0.03408763153654409,0.0052249363042323,1.0011523448918356,100.11523448918356,7101303732122.628
49,49,0.1,600,2,100000.0,0.01715,0.00243,5.72,1.21985929056978,7098300000000.0,100000.0,100.0,7098300000000.0,600.0,0.5994632154333884,0.03464707668796159,0.005267576825427733,1.0008954420434677,100.08954420434677,7104656116257.147
50,50,0.1,602,2,100000.0,0.01715,0.00243,5.72,1.22050059246538,7103440000000.0,100000.0,100.0,7103440000000.0,602.0,0.5991211301310385,0.0368773237125753,0.004844897357001148,1.0048051549581163,100.4805154958116,7137573129935.681
51,51,0.1,604,2,100000.0,0.01715,0.00243,5.72,1.22113579614298,7108560000000.0,100000.0,100.0,7108560000000.0,604.0,0.5807496089257711,0.038500495213688826,0.004889688519367563,1.0400351385810416,104.00351385810416,7393152184711.649
52,52,0.1,606,2,100000.0,0.01715,0.00243,5.72,1.22175151083902,7113670000000.0,100000.0,100.0,7113670000000.0,606.0,0.6052608520109288,0.033875416633337305,0.004808264211439266,1.0012212056778749,100.12212056778748,7122357254194.528
53,53,0.1,608,2,100000.0,0.01715,0.00243,5.72,1.22238215795596,7118750000000.0,100000.0,100.0,7118750000000.0,608.0,0.6072795441680228,0.03924900081079181,0.005526464029878801,1.0011863660465699,100.11863660465698,7127195443294.019
54,54,0.1,610,2,100000.0,0.01715,0.00243,5.72,1.22318836533182,7123820000000.0,100000.0,100.0,7123820000000.0,610.0,0.6094788299658376,0.03337710166500063,0.004927119142028604,1.0008551076896168,100.08551076896165,7129911633261.444
55,55,0.1,612,2,100000.0,0.01715,0.00243,5.72,1.22388822314828,7128860000000.0,100000.0,100.0,7128860000000.0,612.0,0.6082323755970265,0.033584400988949936,0.00503471233972462,1.0061943831899367,100.61943831899367,7173018890547.412
56,56,0.1,614,2,100000.0,0.01715,0.00243,5.72,1.2245971197151,7133890000000.0,100000.0,100.0,7133890000000.0,614.0,0.6137240980931438,0.03486663336493724,0.005397976657074227,1.0004495536474995,100.04495536475,7137097066270.361
57,57,0.1,616,2,100000.0,0.01715,0.00243,5.72,1.2252878876884,7138890000000.0,100000.0,100.0,7138890000000.0,616.0,0.60248380953999,0.03703050209564933,0.004959736066503494,1.022434113989436,102.24341139894364,7299044672018.048
58,58,0.1,618,2,100000.0,0.01715,0.00243,5.72,1.225923815419,7143880000000.0,100000.0,100.0,7143880000000.0,618.0,0.6175803400432187,0.03460659250545728,0.004887929384639585,1.0006795228564949,100.06795228564948,7148734429744.057
59,59,0.1,620,2,100000.0,0.01715,0.00243,5.72,1.22668718395639,7148840000000.0,100000.0,100.0,7148840000000.0,620.0,0.6190467752417135,0.03908625531446992,0.004837775641542665,1.001539826708433,100.1539826708433,7159847974766.313
60,60,0.1,622,2,100000.0,0.01715,0.00243,5.72,1.22741865002142,7153790000000.0,100000.0,100.0,7153790000000.0,622.0,0.6216727833377718,0.032913681586308204,0.005404312496910261,1.0005263487014364,100.05263487014363,7157555388076.85
61,61,0.1,624,2,100000.0,0.01715,0.00243,5.72,1.22816432589286,7158720000000.0,100000.0,100.0,7158720000000.0,624.0,0.6234891707338193,0.034362330822960294,0.004723944204306,1.000819307359548,100.0819307359548,7164585191980.944
62,62,0.1,626,2,100000.0,0.01715,0.00243,5.72,1.22887045718098,7163630000000.0,100000.0,100.0,7163630000000.0,626.0,0.6253539683327745,0.03436851441361648,0.004701191734443728,1.0010330655915527,100.10330655915529,7171030499663.615
63,63,0.1,628,2,100000.0,0.01715,0.00243,5.72,1.22959507691401,7168520000000.0,100000.0,100.0,7168520000000.0,628.0,0.6273852820127104,0.034631426572769054,0.005470456426606041,1.0009798093849405,100.09798093849406,7175543783172.134
64,64,0.1,630,2,100000.0,0.01715,0.00243,5.72,1.23040421769492,7173390000000.0,100000.0,100.0,7173390000000.0,630.0,0.6282691392258357,0.0386549564179889,0.00475137788561443,1.0027549670453288,100.27549670453288,7193152453053.291
65,65,0.1,632,2,100000.0,0.01715,0.00243,5.72,1.23117903184959,7178240000000.0,100000.0,100.0,7178240000000.0,632.0,0.6317829136719411,0.03871627835908933,0.004769810105875383,1.0003436090520355,100.03436090520351,7180706508241.682
66,66,0.1,634,2,100000.0,0.01715,0.00243,5.72,1.2319261619573,7183080000000.0,100000.0,100.0,7183080000000.0,634.0,0.633485306901207,0.03501585372455064,0.004953304772264778,1.0008124783529877,100.08124783529878,7188916097007.779
67,67,0.1,636,2,100000.0,0.01715,0.00243,5.72,1.23270341452702,7187890000000.0,100000.0,100.0,7187890000000.0,636.0,0.6350170907780921,0.03502135700120309,0.00499578919862113,1.0015478468787409,100.15478468787408,7199015753101.232
68,68,0.1,638,2,100000.0,0.01715,0.00243,5.72,1.23347773841695,7192690000000.0,100000.0,100.0,7192690000000.0,638.0,0.6371780927387363,0.03711915751656448,0.0048378854969907,1.0012899176394012,100.12899176394012,7201967977705.744
69,69,0.1,640,2,100000.0,0.01715,0.00243,5.72,1.23422873606346,7197470000000.0,100000.0,100.0,7197470000000.0,640.0,0.6393451149848488,0.03821927704606976,0.00521226761676308,1.0010243059652795,100.10243059652792,7204842411455.919
70,70,0.1,642,2,100000.0,0.01715,0.00243,5.72,1.23521015912391,7202230000000.0,100000.0,100.0,7202230000000.0,642.0,0.6414188697672216,0.0354071553990858,0.005062115575721286,1.00090600738483,100.090600738483,7208755273567.245
71,71,0.1,644,2,100000.0,0.01715,0.00243,5.72,1.23598529338285,7206970000000.0,100000.0,100.0,7206970000000.0,644.0,0.6431341289189731,0.033584685381855835,0.00494096920506532,1.0013463304808319,100.13463304808317,7216672963385.44
72,72,0.1,646,2,100000.0,0.01715,0.00243,5.72,1.23678336528058,7211700000000.0,100000.0,100.0,7211700000000.0,646.0,0.6407101386221257,0.03661443480643596,0.0054304975525313595,1.0082562473402568,100.82562473402568,7271241578943.7295
73,73,0.1,648,2,100000.0,0.01715,0.00243,5.72,1.2375610899281,7216400000000.0,100000.0,100.0,7216400000000.0,648.0,0.647741393699107,0.03814907290434456,0.00553515528297757,1.0003992431291386,100.03992431291385,7219281098117.117
74,74,0.1,650,2,100000.0,0.01715,0.00243,5.72,1.23833604842222,7221090000000.0,100000.0,100.0,7221090000000.0,650.0,0.6491936380721199,0.03418914916612921,0.004933120358495023,1.0012420977048924,100.12420977048924,7230059299315.82
75,75,0.1,652,2,100000.0,0.01715,0.00243,5.72,1.23915559600907,7225770000000.0,100000.0,100.0,7225770000000.0,652.0,0.6515543560113883,0.034176774459291584,0.004858290904664612,1.0006839705459722,100.0683970545972,7230712213851.97
76,76,0.1,654,2,100000.0,0.01715,0.00243,5.72,1.23991243430684,7230420000000.0,100000.0,100.0,7230420000000.0,654.0,0.6514775087725866,0.03430859573448028,0.004827160276283941,1.0038719544319588,100.38719544319588,7258415856763.923
