,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,4464.0,0.4463999999999999,150.0,0.0001495163460489,0.007153576160776,0.0018254976096648,-0.0003697298814884,-4.995253101588565e-06,10758240000000.0,6963840000000.0,5624640000000.0,4.061761907934164,1.8127056221716875,43686205494337.67,28278207705878.32,22840090839363.26,6.565345550688207e-05,4.2497672444288806e-05,3.432504312807942e-05,4.261836851112378e-05,2.758699372504278e-05,2.2281802624073018e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,4100.25,0.410025,155.0,0.0001593875376002,0.0068661141534986,0.0019513236506878,-0.0003321301692649,-6.198363123182853e-07,9881602500000.0,6396390000000.0,5166315000000.0,3.930572749192096,1.6103709773267092,38809940553573.695,25121787246296.664,20290674314316.54,6.254446555217865e-05,4.0485214216348005e-05,3.269959609781954e-05,4.023388259148874e-05,2.6043509063370303e-05,2.1035141935799093e-05
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,3772.25,0.3772249999999999,160.0,0.0001644444132224,0.0063607021614257,0.0019698140282338,-0.0003388528838013,5.875312260895263e-06,9091122500000.0,5884710000000.0,4753035000000.0,3.9042763462732784,1.4727079493021022,35492261578180.67,22974244009112.8,18556120161206.49,5.937640708344902e-05,3.843452076770974e-05,3.104326677391941e-05,3.807385373739404e-05,2.4645316112172075e-05,1.990583224444668e-05
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,3497.75,0.349775,165.0,0.0001589585611014,0.0067450630032635,0.0019756435921997,-0.0003222188366652,4.4289205772314006e-06,8429577500000.0,5456490000000.0,4407165000000.0,4.166893970084605,1.4572747442138438,35120321335553.637,22733486009735.965,18361661777094.44,5.664247429285086e-05,3.6664838131471926e-05,2.961390772157348e-05,3.616494055867552e-05,2.340967106702648e-05,1.890781124644446e-05
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,3206.75,0.320675,170.0,0.0001745344688259,0.0061902560580142,0.002039244877456,-0.0003830133289728,1.02493434454692e-05,7715383494732.512,5002530000000.0,4040505000000.0,3.9078781678995216,1.2540618909621075,30172506166374.33,19563365499008.883,15801179826122.56,5.350693097432831e-05,3.4693029528571294e-05,2.802129308076912e-05,3.392898571989424e-05,2.199900614781133e-05,1.7768428042462996e-05
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,3021.75,0.3021749999999999,175.0,0.0001915613842342,0.0062396759724297,0.0018846640977315,-0.0003486958673031,1.1824735270896867e-05,7252200000000.0,4713930000000.0,3807405000000.0,3.694673997427389,1.1162591868121146,26790220483490.75,17413643314268.988,14064865753832.645,5.208710554424114e-05,3.385661860375674e-05,2.73457304107266e-05,3.2561010925956275e-05,2.1164657101871585e-05,1.709453073612704e-05
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,2885.75,0.2885749999999999,180.0,0.0001850480033169,0.0061036965201051,0.0019534298043462,-0.0003317884594044,8.575503954448554e-07,6925800000000.0,4501770000000.0,3636045000000.0,3.904465934844735,1.127043953889811,27049054893355.465,17581885680681.05,14200753819011.62,5.142369803531705e-05,3.342540372295609e-05,2.699744146854145e-05,3.176171149480635e-05,2.0645112471624133e-05,1.6674898534773336e-05
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,2844.25,0.284425,185.0,0.0001775167576311,0.0063808562020072,0.0019837726925561,-0.000314506714671,-6.999488890870726e-06,6826200000000.0,4437030000000.0,3583755000000.0,4.184845966628117,1.1901534523757225,28563682857017.336,18566393857061.27,14995933499934.102,5.21790692251089e-05,3.3916394996320786e-05,2.739401134318217e-05,3.1886881030290714e-05,2.072647266968896e-05,1.6740612540902622e-05
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,2806.5,0.28065,190.0,0.0001877770000291,0.0062192659235186,0.0018884753881548,-0.0003649694925834,1.0837217169371195e-05,6735600000000.0,4378140000000.0,3536190000000.0,4.064972726339803,1.1409768285059316,27383443884142.363,17799238524692.53,14376308039174.74,5.295802200932151e-05,3.442271430605898e-05,2.780296155489379e-05,3.205962988348184e-05,2.0838759424263196e-05,1.6831305688827965e-05
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,2763.0,0.2763,195.0,0.000187032290725,0.0066046123611272,0.0020039563405083,-0.0003530890397085,1.0073041576983743e-05,6631200000000.0,4310280000000.0,3481380000000.0,4.183392594924957,1.1558809673148456,27741143215556.293,18031743090111.59,14564100188167.057,5.364595370352747e-05,3.4869869907292855e-05,2.816412569435192e-05,3.2120981668196544e-05,2.0878638084327752e-05,1.6863515375803182e-05
