Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv
0,2500,500000.0,0.01715,0.0024300000000000003,0.81
1,3000,500000.0,0.01715,0.0024300000000000003,0.81
2,3500,500000.0,0.01715,0.0024300000000000003,0.81
3,4000,500000.0,0.01715,0.0024300000000000003,0.81
4,4500,500000.0,0.01715,0.0024300000000000003,0.81
5,5000,500000.0,0.01715,0.0024300000000000003,0.81
6,5500,500000.0,0.01715,0.0024300000000000003,0.81
7,6000,500000.0,0.01715,0.0024300000000000003,0.81
8,6500,500000.0,0.01715,0.0024300000000000003,0.81
9,7000,500000.0,0.01715,0.0024300000000000003,0.81
10,7500,500000.0,0.01715,0.0024300000000000003,0.81
11,8000,500000.0,0.01715,0.0024300000000000003,0.81
12,8500,500000.0,0.01715,0.0024300000000000003,0.81
13,9000,500000.0,0.01715,0.0024300000000000003,0.81
14,9500,500000.0,0.01715,0.0024300000000000003,0.81
15,10000,500000.0,0.01715,0.0024300000000000003,0.81
16,10500,500000.0,0.01715,0.0024300000000000003,0.81
17,11000,500000.0,0.01715,0.0024300000000000003,0.81
18,11500,500000.0,0.01715,0.0024300000000000003,0.81
19,12000,500000.0,0.01715,0.0024300000000000003,0.81
20,12500,500000.0,0.01715,0.0024300000000000003,0.81
21,13000,500000.0,0.01715,0.0024300000000000003,0.81
22,13500,500000.0,0.01715,0.0024300000000000003,0.81
23,14000,500000.0,0.01715,0.0024300000000000003,0.81
24,14500,500000.0,0.01715,0.0024300000000000003,0.81
25,15000,500000.0,0.01715,0.0024300000000000003,0.81
26,15500,500000.0,0.01715,0.0024300000000000003,0.81
27,16000,500000.0,0.01715,0.0024300000000000003,0.81
28,16500,500000.0,0.01715,0.0024300000000000003,0.81
29,17000,500000.0,0.01715,0.0024300000000000003,0.81
30,17500,500000.0,0.01715,0.0024300000000000003,0.81
31,18000,500000.0,0.01715,0.0024300000000000003,0.81
32,18500,500000.0,0.01715,0.0024300000000000003,0.81
33,19000,500000.0,0.01715,0.0024300000000000003,0.81
34,19500,500000.0,0.01715,0.0024300000000000003,0.81
35,20000,500000.0,0.01715,0.0024300000000000003,0.81
36,20500,500000.0,0.01715,0.0024300000000000003,0.81
37,21000,500000.0,0.01715,0.0024300000000000003,0.81
38,21500,500000.0,0.01715,0.0024300000000000003,0.81
39,22000,500000.0,0.01715,0.0024300000000000003,0.81
40,22500,500000.0,0.01715,0.0024300000000000003,0.81
41,23000,500000.0,0.01715,0.0024300000000000003,0.81
42,23100,500000.0,0.01715,0.0024300000000000003,0.81
43,23450,500000.0,0.01715,0.0024300000000000003,0.81
44,23950,500000.0,0.01715,0.0024300000000000003,0.81
45,24450,500000.0,0.01715,0.0024300000000000003,0.81
46,24950,500000.0,0.01715,0.0024300000000000003,0.81
47,25450,500000.0,0.01715,0.0024300000000000003,0.81
48,25950,500000.0,0.01715,0.0024300000000000003,0.81
49,26450,500000.0,0.01715,0.0024300000000000003,0.81
50,26950,500000.0,0.01715,0.0024300000000000003,0.81
51,27450,500000.0,0.01715,0.0024300000000000003,0.81
52,27950,500000.0,0.01715,0.0024300000000000003,0.81
53,28450,500000.0,0.01715,0.0024300000000000003,0.81
54,28950,500000.0,0.01715,0.0024300000000000003,0.81
55,29450,500000.0,0.01715,0.0024300000000000003,0.81
56,29950,500000.0,0.01715,0.0024300000000000003,0.81
57,30450,500000.0,0.01715,0.0024300000000000003,0.81
58,30950,500000.0,0.01715,0.0024300000000000003,0.81
59,31450,500000.0,0.01715,0.0024300000000000003,0.81
60,31950,500000.0,0.01715,0.0024300000000000003,0.81
61,32450,500000.0,0.01715,0.0024300000000000003,0.81
62,32950,500000.0,0.01715,0.0024300000000000003,0.81
63,33450,500000.0,0.01715,0.0024300000000000003,0.81
64,33950,500000.0,0.01715,0.0024300000000000003,0.81
65,34450,500000.0,0.01715,0.0024300000000000003,0.81
66,34950,500000.0,0.01715,0.0024300000000000003,0.81
67,35450,500000.0,0.01715,0.0024300000000000003,0.81
68,35950,500000.0,0.01715,0.0024300000000000003,0.81
69,36450,500000.0,0.01715,0.0024300000000000003,0.81
70,36950,500000.0,0.01715,0.0024300000000000003,0.81
71,37450,500000.0,0.01715,0.0024300000000000003,0.81
72,37950,500000.0,0.01715,0.0024300000000000003,0.81
73,38450,500000.0,0.01715,0.0024300000000000003,0.81
74,38950,500000.0,0.01715,0.0024300000000000003,0.81
75,39450,500000.0,0.01715,0.0024300000000000003,0.81
76,39950,500000.0,0.01715,0.0024300000000000003,0.81
