,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,3900,500000.0,0.01715,0.00243,0.81,559267000000.0,3.9,429.0,0.0858,3900.0,0.057276865829408,0.049616123229381,0.0809990219577928,-0.0009450371748977,-0.0011813983686633,479851086.0,68.09031785390737,5.842149271865252,32673212968.28264,8.08474816310891e-08,2.6424099980175774e-08
1,1,4400,500000.0,0.01715,0.00243,0.81,561978000000.0,4.4,572.0,0.1144,4400.0,0.0907020896256654,0.0385985398384061,0.0729595463921023,0.0003422732042183,0.0006090420749876,642902832.0,48.51045899999817,5.549596509599791,31187511472.718708,1.1974979879058077e-07,3.2147713417073374e-08
2,2,4900,500000.0,0.01715,0.00243,0.81,562635000000.0,4.9,615.0,0.123,4900.0,0.1110409031334711,0.0529054998189107,0.0803305661507879,-0.0012910953752268,-0.0005806261345852,692041050.0,44.12788316491087,5.427729629284037,30538306599.722244,1.372482311652667e-07,3.0579340285449165e-08
3,3,5400,500000.0,0.01715,0.00243,0.81,561640000000.0,5.4,767.0,0.1534,5400.0,0.1271281090866978,0.0525993904898952,0.0785214365870177,0.0010337100691145,-0.00054160066388,861555760.0,42.47683725333594,6.515946834661733,36596163802.19416,1.7547414955276177e-07,3.31404564355255e-08
4,4,5900,500000.0,0.01715,0.00243,0.81,559305000000.0,5.9,820.0,0.164,5900.0,0.1454906313474566,0.0555050009264608,0.0807308594159115,0.0006037141815022,0.0010545198732026,917260200.0,40.552439324493584,6.650600049216949,37197138605.27285,1.86143226266833e-07,3.061156368369237e-08
5,5,6400,500000.0,0.01715,0.00243,0.81,555867000000.0,6.4,925.0,0.185,6400.0,0.1563973131487728,0.0485415278031781,0.0832409503967589,-0.0007442489176994,-0.0032889398472018,1028353950.0,40.92141911614559,7.570462536486935,42081702987.69383,2.031539352254905e-07,2.9974261030258334e-08
6,6,6900,500000.0,0.01715,0.00243,0.81,551518000000.0,6.9,1038.0,0.2076,6900.0,0.1540544236522691,0.0554730223389531,0.0864357660947044,0.0013334612182328,-0.0020488389056502,1144951368.0,44.78936622796788,9.298272428926133,51281646134.56481,2.165061804704315e-07,2.9512478715314923e-08
7,7,7400,500000.0,0.01715,0.00243,0.81,546412000000.0,7.4,1112.0,0.2224,7400.0,0.1938028734584804,0.0515970171545467,0.0814989411375407,0.0012164813082889,-0.0005569888435271,1215220288.0,38.18312839198097,8.491927754376567,46400912281.24409,2.1735614522975282e-07,2.801102000407988e-08
8,8,7900,500000.0,0.01715,0.00243,0.81,540675000000.0,7.9,1164.0,0.2328,7900.0,0.0881594475176825,0.0601450792910552,0.0823574655769037,-0.0009645627998503,-0.0006562390166316,1258691400.0,89.61036193444224,20.86129225833816,112791791917.7698,2.1128393105830574e-07,2.6010749888409464e-08
9,9,8400,500000.0,0.01715,0.00243,0.81,534413000000.0,8.4,1303.0,0.2606,8400.0,0.1904571765226137,0.0591864908214579,0.0841765932644792,-0.0007156190146703,-0.0014185285594406,1392680278.0,44.10440264508823,11.493607329309992,61423331736.78541,2.182635895254232e-07,2.5535072084840643e-08
