,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,500000.0,17.15,2.43,0.81,1.132207708766776,,244.0,0.0006804252842688,500.0,0.0422226233824289,0.0001750947999149,0.0002563292622271,9.66521005357116e-07,-6.515224877574065e-06,21977736681.8845,11907442474.705223,7892933297.51889,11.841992750456992,0.0080575912835395,260260198458.3289,141007847461.9429,93468058889.0593,4.768974130935582e-07,2.583809513664789e-07,1.7126965919149457e-07,2.6667350222636457e-07,1.4448254764586316e-07,9.577128872525784e-08
1,1,0.02,510,500000.0,17.15,2.43,0.81,1.134734428137802,,362.0,0.001146424938887,510.0,0.0280711148186014,0.0001452785498982,0.0001877303547502,4.13629392845648e-06,-6.473826571131662e-06,37029525526.0529,20062436430.524017,13298529291.090206,18.16814199563053,0.0208284110770326,672757677788.1545,364497193848.07135,241609568493.5788,8.199108823087575e-07,4.442241622415868e-07,2.944571589715662e-07,4.598101818409643e-07,2.4912316353612615e-07,1.6513306840108933e-07
2,2,0.02,520,500000.0,17.15,2.43,0.81,1.1371251937425453,,344.0,0.001300129634687,520.0,0.0329269225177313,0.0001162321789369,0.0001824103856745,1.2610974302578408e-05,2.6904376964775424e-06,41994187200.39266,22752268607.023888,15081503762.37012,15.792547867781362,0.0205323594901167,663195211530.7725,359316291077.0439,238175370085.35483,9.484558288841644e-07,5.138692571353831e-07,3.406219075868825e-07,5.331877512410096e-07,2.8887881259187826e-07,1.9148538434661648e-07
3,3,0.02,530,500000.0,17.15,2.43,0.81,1.1396961390385214,,369.0,0.0015088999918886,530.0,0.033836103815247,0.0001576696996349,0.0001923443277269,-8.671474441331083e-06,2.22967689258372e-06,48737469738.00343,26405749858.05139,17503239905.90835,15.663741986782007,0.0236350201568012,763411151064.6818,413612852744.0226,274166233818.89505,1.1221723037709898e-06,6.079880902784e-07,4.030092484131109e-07,6.328563473697367e-07,3.428788259743155e-07,2.2727967893154643e-07
4,4,0.02,540,500000.0,17.15,2.43,0.81,1.1421032315621116,,386.0,0.0018061225724462,540.0,0.0397761651494192,0.0001239571778684,0.0001208924080653,-6.06146284869816e-06,-3.5906147032567552e-06,58337759090.01517,31607145017.81008,20951021840.376965,13.575969376924306,0.0245198647345025,791991630924.4336,429097632853.7952,284430430920.23,1.3693182143702129e-06,7.418906734203938e-07,4.917675320958039e-07,7.747717906630061e-07,4.1976799803723234e-07,2.782462158418226e-07
5,5,0.02,550,500000.0,17.15,2.43,0.81,1.1446849391252194,,352.0,0.0017458516886852,550.0,0.0367611953824962,0.000125512276575,0.0002460082699469,-1.3808218218521215e-06,7.354599588876411e-06,56391009544.53295,30552404551.99154,20251879588.74868,14.961428600928508,0.0261204353880745,843690063034.8079,457107619291.30457,302997050501.6647,1.3423212533257085e-06,7.272638369411733e-07,4.820720290581491e-07,7.654687281220622e-07,4.1472763907542073e-07,2.749051779014217e-07
6,6,0.02,560,500000.0,17.15,2.43,0.81,1.1470719240942415,,372.0,0.0020580942100357,560.0,0.0500597578845827,0.0001565954748949,0.0001882201584692,3.815037591479747e-06,-7.823461034186133e-07,66476442984.15468,36016648675.6256,23873892836.414684,11.18663021285741,0.0230231388708928,743647385529.8378,402904930240.6242,267068410902.3566,1.6122970812904087e-06,8.735355703585805e-07,5.790292923519734e-07,9.216032843461116e-07,4.993206648934042e-07,3.309782693007708e-07
7,7,0.02,570,500000.0,17.15,2.43,0.81,1.1496258456588988,,303.0,0.0017619463653444,570.0,0.0464200203487052,0.000145635197274,0.0001806767958664,3.03310773948402e-06,-7.652330450669116e-06,56910867600.62462,30834061393.52727,20438577837.99522,12.279184621596098,0.0216352647134142,698819050243.2814,378617132484.75,250969070675.6057,1.4054127820721824e-06,7.614465537542784e-07,5.047302870599788e-07,8.051290308978179e-07,4.3621541921708404e-07,2.891485064524671e-07
8,8,0.02,580,500000.0,17.15,2.43,0.81,1.1519513659104534,,263.0,0.0016900469952076,580.0,0.0614978843389053,0.0001510604558842,0.0002479042995705,3.504857840214572e-06,6.923594658672097e-06,54588517945.20628,29575822416.133434,19604545144.408447,9.431218752237225,0.0159392029133643,514836254101.66766,278936050983.8756,184894753795.0261,1.3722706180756251e-06,7.434902729511901e-07,4.928278380705032e-07,7.857968006622563e-07,4.2574130066840514e-07,2.8220566215734285e-07
9,9,0.02,590,500000.0,17.15,2.43,0.81,1.1544339730283155,,309.0,0.0020861048189165,590.0,0.065984839929456,8.28168128443515e-05,0.0002014059713925,5.998236094060203e-06,5.4032866772037545e-08,67381185651.00302,36506834331.03879,24198815899.431427,8.941447772409013,0.0186527972861126,602485352341.4392,326423952506.9717,216372448518.9069,1.723827218942947e-06,9.339621155263646e-07,6.190834594346188e-07,9.85605060622904e-07,5.339965498730904e-07,3.539634273444485e-07
