,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
12,12,0.02,524,100000.0,0.01715,0.00243,0.81,1.18564428721044,7474740000000.0,280.0,1.7073526570225942e-06,524.0,0.1451370118271597,0.0392557070795523,0.0014970184102553,0.0189612862294188,8.138211503298829e-07,127620.17199553066,3.610381620809578,6.164194653154774e-06,460757.5234172212,2.904739820284769e-12,1.634874979958405e-12
13,13,0.02,526,100000.0,0.01715,0.00243,0.81,1.18623535979449,7480250000000.0,285.0,1.0393067574038016e-06,526.0,0.1316370330846439,0.036828498781098,0.00174953254299,0.0185617874605331,5.2719742044910565e-05,77742.74372069786,3.995836032416325,4.152899389967882e-06,310647.2566180725,1.7763734391454713e-12,1.0004035923785918e-12
14,14,0.02,528,100000.0,0.01715,0.00243,0.81,1.18691311580508,7485730000000.0,238.0,3.919081725357474e-07,528.0,0.107824304384394,0.0337948340286609,0.0016581264759707,0.0190485772872305,-8.706711291249935e-05,29337.1876439602,4.896855147960686,1.919117552209539e-06,143659.95834101512,6.7288533618204e-13,3.7922137695064633e-13
15,15,0.02,530,100000.0,0.01715,0.00243,0.81,1.18740617352132,7491180000000.0,275.0,3.037919101124298e-07,530.0,0.1164604616939186,0.0443060035056023,0.0018813285908748,0.0166721823985442,4.232250286981558e-05,22757.59881196032,4.550900728806536,1.3825268251361865e-06,103567.57301923697,5.239900065472633e-13,2.955075619736732e-13
16,16,0.02,532,100000.0,0.01715,0.00243,0.81,1.18810554884438,7496600000000.0,273.0,1.536233014846264e-07,532.0,0.1468560961686762,0.0369812508470865,0.0020795454900379,0.0187113742369333,-3.514939116935918e-05,11516.5244190965,3.62259391253976,5.565148367824677e-07,41719.69125423447,2.66215807147071e-13,1.502112385536514e-13
17,17,0.02,534,100000.0,0.01715,0.00243,0.81,1.18943277689967,7502000000000.0,245.0,1.4014831526199766e-07,534.0,0.1278644031531257,0.035361391070088,0.0016175910633127,0.0166374380875466,-3.229990276305833e-05,10513.926610955064,4.176299164048817,5.853012918715309e-07,43909.30291620226,2.439264684776566e-13,1.3775058834553058e-13
18,18,0.02,536,100000.0,0.01715,0.00243,0.81,1.19165789569026,7507360000000.0,277.0,3.241722840109089e-07,536.0,0.0913121175192372,0.0229852898677589,0.0022152369990943,0.0177335861660504,1.0747638718480716e-05,24336.78038092137,5.869976675188565,1.902883745886638e-06,142856.3331851951,5.668402920379075e-13,3.202933662195746e-13
19,19,0.02,538,100000.0,0.01715,0.00243,0.81,1.1933953170949,7512700000000.0,291.0,5.146510090443035e-07,538.0,0.1054916899291811,0.0368854850122401,0.0019791371599665,0.0188335078196455,-2.404935313877197e-05,38664.186356471386,5.099927779725315,2.624682977888708e-06,197184.5580798449,9.041073848593222e-13,5.111623381633965e-13
20,20,0.02,540,100000.0,0.01715,0.00243,0.81,1.19462031821519,7518020000000.0,285.0,2.184694223461274e-06,540.0,0.1208556860192402,0.0415386694379197,0.0015385487787851,0.0178941352604117,-2.5429403020031392e-06,164245.74865866327,4.468138966287709,9.761517389270989e-06,733872.8296288707,3.855216566069183e-12,2.181314037118005e-12
21,21,0.02,542,100000.0,0.01715,0.00243,0.81,1.19557065892945,7523300000000.0,279.0,4.328737450549224e-06,542.0,0.1213905452368635,0.0269443387003735,0.0016022068554145,0.017532745041639,-7.625949341925503e-05,325663.90461716976,4.4649276345404125,1.932749946562724e-05,1454065.767297534,7.672374526685701e-12,4.343860387461001e-12
22,22,0.02,544,100000.0,0.01715,0.00243,0.81,1.19668353378915,7528560000000.0,314.0,7.336541618043787e-06,544.0,0.1046541512102976,0.0454170318967276,0.0018380550162669,0.0171559057214281,1.022311323438807e-05,552335.9376393973,5.198073785977752,3.813588466448821e-05,2871082.9584967936,1.300090405511148e-11,7.399457885843257e-12
23,23,0.02,546,100000.0,0.01715,0.00243,0.81,1.19757869607337,7533790000000.0,282.0,2.251885913027204e-05,546.0,0.1208670390152519,0.0285736187623964,0.0019437937213488,0.0166574942330354,2.332358118232868e-05,1696523.5572705215,4.517360600941845,0.0001017258070132,7663808.676183559,4.008261533818797e-11,2.282733059261863e-11
24,24,0.02,548,100000.0,0.01715,0.00243,0.81,1.19860065465315,7539000000000.0,303.0,4.164392725332874e-05,548.0,0.0783096255534019,0.0301293683083906,0.0022683186462025,0.0185179123874541,-2.585214143446736e-06,3139535.675628454,6.997862601530391,0.0002914184811069,21970039.290650807,7.445841905853773e-11,4.2429471864538255e-11
25,25,0.02,550,100000.0,0.01715,0.00243,0.81,1.19963845879841,7544180000000.0,282.0,7.009149299428375e-05,550.0,0.1069038209678865,0.0188272608274318,0.0023381274582092,0.0166012887229882,-2.224558112527641e-05,5287828.396176156,5.144811429754394,0.0003606075142855,27204879.97122693,1.2587049775232456e-10,7.177859218413484e-11
26,26,0.02,552,100000.0,0.01715,0.00243,0.81,1.20065872263705,7549330000000.0,275.0,0.0001495452021022,552.0,0.0782251267869469,0.0239759534890136,0.0019135597308225,0.0162529364785889,1.345441067845315e-05,11289660.805866493,7.056556156226132,0.0010552741165287,79666125.46134208,2.697441954877998e-10,1.538915671957455e-10
27,27,0.02,554,100000.0,0.01715,0.00243,0.81,1.20181115118366,7554450000000.0,277.0,0.0002324168711178,554.0,0.0987927420717369,0.0277435903438544,0.0018958696687199,0.016402198398759,-4.961711692824971e-05,17557816.320165277,5.607699395545888,0.0013033239476824,98458955.96569656,4.211073022176044e-10,2.4034129861993644e-10
28,28,0.02,556,100000.0,0.01715,0.00243,0.81,1.20295231364558,7559550000000.0,274.0,0.0004184487356162,556.0,0.1077552635143774,0.0419083479940342,0.0013141708460875,0.0162444462283016,7.736609901170665e-05,31632841.393280115,5.159840752705454,0.0021591288389509,163220424.14491472,7.616475728807481e-10,4.3483828291394545e-10
29,29,0.02,558,100000.0,0.01715,0.00243,0.81,1.20410472404016,7564630000000.0,312.0,0.0008280440014149,558.0,0.1141387699151437,0.0278211476088087,0.001904577590222,0.0161815788043922,-2.674396652610877e-05,62638464.9442387,4.8887858211092015,0.0040481297733721,306226039.2754399,1.513394308893683e-09,8.647092377649574e-10
30,30,0.02,560,100000.0,0.01715,0.00243,0.81,1.20514112000624,7569670000000.0,315.0,0.001190948598492,560.0,0.1172951209061921,0.0321370597120235,0.0015032866689478,0.0161422032424205,-5.2551270219598e-05,90150878.7754728,4.774282132739907,0.0056859246147922,430405729.7885411,2.18648881018056e-09,1.249816359548113e-09
31,31,0.02,562,100000.0,0.01715,0.00243,0.81,1.20653239223348,7574700000000.0,300.0,0.0026217819101748,562.0,0.077972899034421,0.0398334783321731,0.0018670614304157,0.017505381659978,7.577220299945537e-05,198592114.35001373,7.207632484613733,0.0188968404633488,1431378974.577284,4.834324268729725e-09,2.764285273736544e-09
32,32,0.02,564,100000.0,0.01715,0.00243,0.81,1.20811897847302,7579690000000.0,299.0,0.0045417884150263,564.0,0.0799775050650168,0.0337110825227196,0.0017227837877035,0.0151434497102072,-1.4711128111151025e-05,344253482.3149089,7.051982923717139,0.0320286143459019,2427669678.7148976,8.409978950347665e-09,4.811171732634729e-09
33,33,0.02,566,100000.0,0.01715,0.00243,0.81,1.2098506842126,7584670000000.0,280.0,0.0060593631237969,566.0,0.0875631443201427,0.037819680856451,0.0019897148756023,0.0159489914922213,-5.135800374301633e-05,459582697.0416888,6.4639067543146576,0.0391671582227561,2970699699.573919,1.1268490766307535e-08,6.449038010928541e-09
34,34,0.02,568,100000.0,0.01715,0.00243,0.81,1.21147483348648,7589610000000.0,290.0,0.0192311144494863,568.0,0.0892523495999739,0.036412707814968,0.001857515169255,0.0168547449474529,4.443442483894912e-05,1459566585.369657,6.363978119856306,0.1223863915769832,9288649813.76588,3.5914842198300674e-08,2.0564638570170577e-08
35,35,0.02,570,100000.0,0.01715,0.00243,0.81,1.21322571296527,7594530000000.0,246.0,0.0276242122895692,570.0,0.0611127409817982,0.0355750473626385,0.0019325156153178,0.0146035640959329,1.5719957943297585e-05,2097929089.5950265,9.32702396984237,0.2576516901728269,19567434905.6824,5.1808318563843984e-08,2.967980784709468e-08
36,36,0.02,572,100000.0,0.01715,0.00243,0.81,1.22040172983306,7599430000000.0,72.0,0.0099319635994312,572.0,0.106640803228179,0.0406499259026629,0.0019610664308346,0.0111195816421034,6.947398074168574e-05,754772621.3642575,5.363800559304613,0.0532730719096223,4048449808.621413,1.870795426283689e-08,1.0714791397025778e-08
37,37,0.02,574,100000.0,0.01715,0.00243,0.81,1.22372713714585,7604300000000.0,19.0,0.0016914394308852,574.0,0.1532387857811189,0.0459518937899076,0.0016494237644659,0.0266734159694969,-0.0001351658883451,128622128.642805,3.745787967935757,0.0063357734687019,481791221.880504,3.198965830104764e-09,1.8322543313081103e-09
38,38,0.02,576,100000.0,0.01715,0.00243,0.81,1.22027554950736,7609150000000.0,130.0,0.0052133012102165,576.0,0.0563937953522781,0.0424625487644204,0.001651748432051,0.0182439149044014,-3.578886630217695e-05,396687909.0371912,10.21388960260379,0.0532480830262723,4051726509.593606,9.902246874702402e-09,5.6705701310545045e-09
39,39,0.02,578,100000.0,0.01715,0.00243,0.81,1.21702969464689,7613970000000.0,189.0,0.0023167130180596,578.0,0.066320549074021,0.0209891547438123,0.0017312167466646,0.0169781355928936,0.0001396392865417,176393834.1811542,8.715247507298049,0.020190727355769,1537315923.6500494,4.419630050800086e-09,2.530312223056744e-09
40,40,0.02,580,100000.0,0.01715,0.00243,0.81,1.21534946177801,7618770000000.0,219.0,0.0019731297735102,580.0,0.073470332726174,0.0262300155696431,0.0017013115606994,0.0156118043639156,7.507677189140829e-05,150328219.24527046,7.894342906567139,0.0155765630312474,1186742511.2557704,3.77901811778407e-09,2.1639611804584846e-09
41,41,0.02,582,100000.0,0.01715,0.00243,0.81,1.21559007975785,7623550000000.0,218.0,0.001256052594722,582.0,0.0877796183679038,0.0393193987604215,0.0010052313731186,0.0152252405190427,3.1459370919725576e-05,95755797.58493224,6.630240718986829,0.0083279310587151,634883988.2266783,2.4160776846487594e-09,1.3827899442517723e-09
42,42,0.02,584,100000.0,0.01715,0.00243,0.81,1.21587072513883,7628300000000.0,237.0,0.0010788853247016,584.0,0.0575455738030541,0.0330015437651253,0.0017542767730015,0.0153344247130754,-6.403852798083422e-05,82300609.2242124,10.14847817833394,0.0109490441746589,835225936.7755083,2.083870982621632e-09,1.192286920118416e-09
43,43,0.02,586,100000.0,0.01715,0.00243,0.81,1.21614745395122,7633020000000.0,255.0,0.0010660767936948,586.0,0.0711646201581288,0.0408932678620418,0.0021710613676828,0.013424727026224,6.962508050974501e-05,81373854.87808716,8.23442883131954,0.0087785334864016,670067216.7237332,2.0675379250743046e-09,1.182642973237334e-09
44,44,0.02,588,100000.0,0.01715,0.00243,0.81,1.21641984515278,7637730000000.0,207.0,0.0007884894676822,588.0,0.0961131713784197,0.0284757906583511,0.0018758148837652,0.0163405508737441,-5.196082499344078e-05,60222696.62000885,6.117787932362653,0.0048238113501816,368429686.6362272,1.535467391713604e-09,8.780605589710214e-10
45,45,0.02,590,100000.0,0.01715,0.00243,0.81,1.21696884226858,7642410000000.0,271.0,0.0009999158206931,590.0,0.0889557572374997,0.0273097023650676,0.0011975032719305,0.0155588933651157,-3.827751209928237e-05,76417666.6722352,6.632510568425388,0.006631952248283,506840981.8180085,1.955009436907221e-09,1.117784412154049e-09
46,46,0.02,592,100000.0,0.01715,0.00243,0.81,1.21747564218327,7647060000000.0,241.0,0.0008632481928006,592.0,0.0648242522063355,0.0365636919597331,0.0015183230149279,0.0155214023379129,-2.969388969248712e-06,66013107.252382,9.132384560575634,0.0078835144678775,602857081.4672768,1.694740054889905e-09,9.685939608182052e-10
47,47,0.02,594,100000.0,0.01715,0.00243,0.81,1.21811891168984,7651700000000.0,310.0,0.0010809350917663,594.0,0.063590681145115,0.0376296666664861,0.0021008545271755,0.0162849993286568,4.958405767111986e-05,82709910.41668831,9.340991310416726,0.0100970052993142,772592554.4876313,2.130881912967537e-09,1.2173644908433114e-09
48,48,0.02,596,100000.0,0.01715,0.00243,0.81,1.21860384648691,7656310000000.0,299.0,0.0010290808188019,596.0,0.0601095131734155,0.0310372664528389,0.0013065398152365,0.0166796460782483,5.856067558012373e-05,78789617.63801181,9.91523585094666,0.0102035790281061,781217641.486794,2.036566302317781e-09,1.163289448873805e-09
49,49,0.02,598,100000.0,0.01715,0.00243,0.81,1.21910049382016,7660890000000.0,265.0,0.0009000980314278,598.0,0.0662368590881214,0.0345600506060523,0.0016939907485054,0.0157873292092562,4.193953926272764e-05,68955520.07984932,9.028205869550987,0.0081262703305077,622544631.1228366,1.7886844677243911e-09,1.02128698340048e-09
50,50,0.02,600,100000.0,0.01715,0.00243,0.81,1.21985929056978,7665460000000.0,298.0,0.0010036910379588,600.0,0.101856159521958,0.0371627709543687,0.0016776656057627,0.0149641553990539,-5.746956520428651e-05,76937535.0383196,5.890659954351142,0.0059124026038452,453212856.63671714,2.0028538853533403e-09,1.1430921982025451e-09
51,51,0.02,602,100000.0,0.01715,0.00243,0.81,1.22050059246538,7670000000000.0,308.0,0.0010348448289719,602.0,0.07321186035972,0.0304393513911833,0.0020501022084151,0.0156335440862822,1.1721544178732856e-05,79372598.38215138,8.222711416458013,0.0085092303894504,652657970.8708531,2.0733611071787443e-09,1.182841599821758e-09
52,52,0.02,604,100000.0,0.01715,0.00243,0.81,1.22113579614298,7674520000000.0,285.0,0.0009552290523092,604.0,0.1068274125311745,0.0315895245697766,0.0014434491530376,0.0163282797376411,0.000153185804347,73309244.66528603,5.653979495419677,0.0054008454751858,414488966.1622316,1.921336981234883e-09,1.095801065069311e-09
53,53,0.02,606,100000.0,0.01715,0.00243,0.81,1.22175151083902,7679020000000.0,289.0,0.0009704883277412,606.0,0.0623031259912068,0.0329098886471436,0.0013673080002978,0.0160108014656969,5.519917529803865e-05,74523992.78491487,9.726638757829395,0.0094395893826289,724867956.6099511,1.9597860772499154e-09,1.1173521669490614e-09
54,54,0.02,608,100000.0,0.01715,0.00243,0.81,1.22238215795596,7683490000000.0,313.0,0.0010550709921626,608.0,0.0854423434616364,0.0375465804477551,0.0015076543629342,0.0153792541556598,-2.0775550681224328e-05,81066274.17572121,7.11590969263374,0.0075077898995471,576860286.1527189,2.138866710890805e-09,1.2191557492403232e-09
55,55,0.02,610,100000.0,0.01715,0.00243,0.81,1.22318836533182,7687940000000.0,301.0,0.0010184565512121,610.0,0.0855657274516943,0.0445386227243955,0.0021516543928369,0.0148298506053921,4.5356471374179406e-05,78298328.5832581,7.129022544036364,0.0072605997137128,558190549.6304138,2.0727853139515434e-09,1.1811377266649887e-09
56,56,0.02,612,100000.0,0.01715,0.00243,0.81,1.22388822314828,7692370000000.0,345.0,0.0011766575829294,612.0,0.0738251740085615,0.0423964561270146,0.0011862463283325,0.0142592624368739,-7.166938652799935e-06,90512854.91199252,8.289855164161558,0.0097543209402978,750338457.7151872,2.4039956756448703e-09,1.369427033098398e-09
57,57,0.02,614,100000.0,0.01715,0.00243,0.81,1.2245971197151,7696780000000.0,309.0,0.0010624838083161,614.0,0.0603095245413669,0.0381439097468581,0.0015439742148631,0.0143331894094717,-2.6346875048553265e-05,81777041.26171346,10.180813141361291,0.0108169491181883,832556776.338897,2.179314249333976e-09,1.2409217517525499e-09
58,58,0.02,616,100000.0,0.01715,0.00243,0.81,1.2252878876884,7701170000000.0,330.0,0.0011441254745009,616.0,0.0366065310169005,0.0374699925028086,0.0018025863543185,0.0163088541748563,-4.819678020247307e-06,88111047.80462289,16.827598324342823,0.0192528839175497,1482697320.3931627,2.356108539226834e-09,1.3410085586197301e-09
59,59,0.02,618,100000.0,0.01715,0.00243,0.81,1.225923815419,7705530000000.0,312.0,0.0010915963353884,618.0,0.0804979893707695,0.0321147563646097,0.0019700837995811,0.0150910038270855,2.55011676818394e-05,84113283.10225719,7.677210385386447,0.0083804147226939,645755370.5815992,2.256343496115848e-09,1.2839785861652803e-09
60,60,0.02,620,100000.0,0.01715,0.00243,0.81,1.22668718395639,7709870000000.0,346.0,0.0012215064678125,620.0,0.0966047025716534,0.0201888073728554,0.0016220695729939,0.0147639879904773,-5.70404237914073e-05,94176560.70994024,6.417907032425621,0.0078395149499276,604416411.269984,2.5348413796201982e-09,1.441889202735988e-09
61,61,0.02,622,100000.0,0.01715,0.00243,0.81,1.22741865002142,7714190000000.0,307.0,0.0010942543994405,622.0,0.0899249003273325,0.0362578991066068,0.0021081420744228,0.013904586717907,2.651611434649285e-05,84412863.45619987,6.916882840413266,0.0075688294785367,583873886.7503369,2.279877156417539e-09,1.2961254129035092e-09
62,62,0.02,624,100000.0,0.01715,0.00243,0.81,1.22816432589286,7718490000000.0,349.0,0.0012568499768521,624.0,0.0623325508088328,0.0351609518388389,0.0018702226159917,0.0144195202855607,9.623650469524006e-06,97009839.77833624,10.01082086169938,0.0125820999682979,971148127.8430824,2.628723178160668e-09,1.49385042281436e-09
63,63,0.02,626,100000.0,0.01715,0.00243,0.81,1.22887045718098,7722770000000.0,371.0,0.0013497841038789,626.0,0.0699592018888779,0.0251189740282679,0.0016173162216595,0.0134570042656155,2.9893699624382028e-05,104240721.83913285,8.948072349286205,0.0120779658174253,932753520.7583792,2.833715337235674e-09,1.6098495709022761e-09
64,64,0.02,628,100000.0,0.01715,0.00243,0.81,1.22959507691401,7727030000000.0,336.0,0.0012357885537129,628.0,0.0422892170444129,0.0297606509786294,0.0017430859225002,0.0145500445776772,2.647687190424709e-05,95489752.28196946,14.850121233988864,0.0183516098422137,1418034397.990811,2.604311527342598e-09,1.4789887073981447e-09
65,65,0.02,630,100000.0,0.01715,0.00243,0.81,1.23040421769492,7731270000000.0,337.0,0.0012532742829582,630.0,0.0876387668618008,0.0239211243455582,0.0021229125986079,0.0159098636662306,-0.0001083063015036,96894018.6560638,7.188599549711356,0.0090092869461382,696532298.880704,2.651026327721418e-09,1.5051123957472715e-09
66,66,0.02,632,100000.0,0.01715,0.00243,0.81,1.23117903184959,7735480000000.0,368.0,0.0013836385809767,632.0,0.0469700195046698,0.0233133854052487,0.0018539094077459,0.0158878726832726,5.910553685953362e-05,107031085.70374364,13.455391474495034,0.0186173987662575,1440145158.0840998,2.937890297238528e-09,1.667531127094148e-09
67,67,0.02,634,100000.0,0.01715,0.00243,0.81,1.2319261619573,7739680000000.0,353.0,0.0013426384698092,634.0,0.0603620407022162,0.0318430673081037,0.0019015842660639,0.0156184899065157,1.6184560512264708e-05,103915921.12013306,10.503289693728355,0.0141021208023507,1091459023.3153825,2.861408844788997e-09,1.6238354573847263e-09
68,68,0.02,636,100000.0,0.01715,0.00243,0.81,1.23270341452702,7743850000000.0,347.0,0.0013350189009888,636.0,0.0500954685571741,0.0297644020757653,0.0013985044381128,0.013145492991827,2.3181933904869213e-05,103381861.1642223,12.695759083960468,0.0169490783394876,1312511202.9924152,2.855893897627481e-09,1.6203322038789202e-09
69,69,0.02,638,100000.0,0.01715,0.00243,0.81,1.23347773841695,7748010000000.0,383.0,0.001490271506805,638.0,0.084566620573355,0.0312243855112911,0.0017275191541005,0.0145107372485274,3.420493735189397e-05,115466385.37440418,7.544347825115985,0.0112431266011968,871118573.3733903,3.200228067593872e-09,1.8151769923618407e-09
70,70,0.02,640,100000.0,0.01715,0.00243,0.81,1.23422873606346,7752140000000.0,366.0,0.0014400025820429,640.0,0.0943838951476436,0.0393934567100843,0.0017524315813436,0.0149206317631437,3.3469347703112126e-05,111631016.16358304,6.780817839726313,0.0097643951975686,756949585.8688002,3.104313875448346e-09,1.760175214340859e-09
71,71,0.02,642,100000.0,0.01715,0.00243,0.81,1.23521015912391,7756250000000.0,374.0,0.0014877040247149,642.0,0.0544489774774774,0.0415650797602708,0.0015049936211373,0.0157771515814961,2.627381337202204e-06,115390043.4169511,11.790855030575369,0.0175413024838171,1360547273.9010682,3.2182817494749834e-09,1.825631794569765e-09
72,72,0.02,644,100000.0,0.01715,0.00243,0.81,1.23598529338285,7760350000000.0,386.0,0.0015533004308912,644.0,0.0750911069646917,0.0299634178654093,0.0019008337588437,0.0143100983780387,-3.8650383126267695e-05,120541549.9886668,8.576248586970651,0.0133214906255717,1033794297.7615558,3.37317929913595e-09,1.913641033700014e-09
73,73,0.02,646,100000.0,0.01715,0.00243,0.81,1.23678336528058,7764420000000.0,358.0,0.0014585735011715,646.0,0.0568969845108995,0.0341372167461183,0.0022106411225939,0.0146139777663359,2.52147599958253e-05,113249772.6396666,11.353853030229546,0.0165604291660894,1285821274.2576857,3.179323215643981e-09,1.8040349395621846e-09
74,74,0.02,648,100000.0,0.01715,0.00243,0.81,1.2375610899281,7768470000000.0,379.0,0.0015631327937057,648.0,0.0869813478323067,0.0345915864570237,0.0016766767380041,0.0142242617684299,7.647902997721073e-05,121431502.13919212,7.4498730607083,0.011645140890138,904649276.5081096,3.4194415616723204e-09,1.94101084988453e-09
75,75,0.02,650,100000.0,0.01715,0.00243,0.81,1.23833604842222,7772510000000.0,382.0,0.001595956060634,650.0,0.0946677819291608,0.0321129092462833,0.0018928888517223,0.0146355684781225,3.337655741853825e-05,124045844.40839083,6.866116293781872,0.0109580199120796,851713193.4683831,3.504099358831589e-09,1.9896327822973823e-09
76,76,0.02,652,100000.0,0.01715,0.00243,0.81,1.23915559600907,7776520000000.0,357.0,0.001511203331744,652.0,0.060098793834868,0.0398654755184167,0.0018578950094937,0.0137699285320745,6.176772469943032e-06,117519029.3337387,10.848803418442708,0.0163947478713863,1274940847.1679332,3.3299416773812126e-09,1.8911411620723728e-09
77,77,0.02,654,100000.0,0.01715,0.00243,0.81,1.23991243430684,7780510000000.0,429.0,0.0018396505246219,654.0,0.0465562117950639,0.0367025173693124,0.0017550351139217,0.0143020053050363,2.4373254001795768e-05,143134193.03326353,14.047534685142468,0.0258425545531674,2010682541.2646468,4.068496984077927e-09,2.3109411216198404e-09
78,78,0.02,656,100000.0,0.01715,0.00243,0.81,1.24074079328274,7784490000000.0,394.0,0.0017126713870655,656.0,0.057719810668118,0.0279578371016047,0.0015580820034101,0.0144641652513894,-6.585532260373288e-05,133322732.85897824,11.365248645251471,0.0194649361616075,1515246009.0067265,3.801061469139969e-09,2.159653867307739e-09
79,79,0.02,658,100000.0,0.01715,0.00243,0.81,1.24155651007879,7788440000000.0,397.0,0.0017491124318426,658.0,0.0497148467213719,0.0390441927378723,0.0016477773376806,0.0139807678966328,-3.1738911813438366e-05,136228572.28660378,13.235482826443716,0.0231503475531722,1803050928.9702904,3.896036028139978e-09,2.2140496728315035e-09
80,80,0.02,660,100000.0,0.01715,0.00243,0.81,1.24231942993718,7792380000000.0,417.0,0.0018609323104559,660.0,0.0606546056643537,0.0297266735276213,0.0017928842209072,0.0147031397457487,-5.39236472854112e-05,145010917.17350543,10.881284162529422,0.0202493332773033,1577904996.4339304,4.160423417082857e-09,2.3646335692924966e-09
