,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,500,100000.0,0.01715,0.00243,0.81,1.17577026432641,7406340000000.0,197.0,3.1975262844818364e-05,500.0,0.1538473662710089,0.0362789501082529,0.0014490554289544,0.0205886210924393,1.4833360530884466e-05,2368196.6821809206,3.249974387726781,0.0001039187852864,7696578.562187531,5.138776971332738e-11,2.8735229306782798e-11
1,1,0.02,502,100000.0,0.01715,0.00243,0.81,1.17662360156545,7412210000000.0,234.0,3.310318735559684e-05,502.0,0.131309917189867,0.0241388180211024,0.0015503277577733,0.0169860027595519,7.75332263831744e-05,2453677.763490285,3.823016652079181,0.0001265540364973,9380450.94865976,5.3457577451012654e-11,2.9909053851293773e-11
2,2,0.02,504,100000.0,0.01715,0.00243,0.81,1.17747901516844,7418040000000.0,214.0,2.5813160719714066e-05,504.0,0.0960326136931257,0.0379858722470713,0.0007881328019934,0.0195850252585531,7.510271445951207e-05,1914830.5874526773,5.248217044373514,0.0001354730700583,10049446.526156891,4.188716683770051e-11,2.344838287914157e-11
3,3,0.02,506,100000.0,0.01715,0.00243,0.81,1.17837189466193,7423850000000.0,233.0,2.341190737276812e-05,506.0,0.1319198939165176,0.0180444710537796,0.0018207880271625,0.0209179012539898,-5.36551213738614e-05,1738064.885493246,3.8356610589772777,8.98001414261097e-05,6666627.799262244,3.8171268818032955e-11,2.1382335915683987e-11
4,4,0.02,508,100000.0,0.01715,0.00243,0.81,1.1791362468331,7429620000000.0,240.0,1.979444173417884e-05,508.0,0.044768898264806,0.0356353386473489,0.0013225299096142,0.0192992326732764,-6.021068131396736e-05,1470651.801970898,11.34716331403116,0.0002246107630678,16687726.17503799,3.242841538943923e-11,1.8176696604601165e-11
5,5,0.02,510,100000.0,0.01715,0.00243,0.81,1.18000708146274,7435370000000.0,214.0,1.37973058804342e-05,510.0,0.1162966233116549,0.0412779114294062,0.0020686823192564,0.0185467078778776,7.739288972888014e-07,1025880.7422420402,4.385337987271461,6.0505849599472e-05,4498833.789364261,2.2715138057154928e-11,1.2738764646216547e-11
6,6,0.02,512,100000.0,0.01715,0.00243,0.81,1.18089388467086,7441080000000.0,216.0,1.0864294418244395e-05,512.0,0.1474988163449779,0.0305807121191894,0.0012361279684829,0.0180286728401884,0.0001195386860685,808420.8390971002,3.4712142964083696,3.77122941049996e-05,2806201.9741883045,1.7967666429031988e-11,1.0082841291102984e-11
7,7,0.02,514,100000.0,0.01715,0.00243,0.81,1.18169303123046,7446760000000.0,250.0,1.0008718809558426e-05,514.0,0.1136868985520322,0.0283972967204083,0.0026913695356182,0.0188243060663936,-2.6408430693404134e-05,745325.268822673,4.521189394262103,4.525131333192717e-05,3369756.70067662,1.6633718371150945e-11,9.337158964379347e-12
8,8,0.02,516,100000.0,0.01715,0.00243,0.81,1.18256256858225,7452420000000.0,226.0,6.728492595999996e-06,516.0,0.134824631669062,0.0306800789080778,0.001853328827038,0.0177110230275093,1.824695443286285e-05,501435.52792282286,3.827193841452977,2.5751245425673133e-05,1919090.9643519493,1.1237180263519428e-11,6.309806510328057e-12
9,9,0.02,518,100000.0,0.01715,0.00243,0.81,1.18333929872482,7458040000000.0,242.0,5.350572269474705e-06,518.0,0.1092642399246415,0.0222399062229938,0.0016745098858068,0.0173148285745178,-3.210931782345713e-05,399047.82008633134,4.740800836186291,2.5365997489200862e-05,1891806.2391435965,8.977993545045013e-12,5.043900949230958e-12
10,10,0.02,520,100000.0,0.01715,0.00243,0.81,1.18413280440169,7463630000000.0,254.0,3.899649341539575e-06,520.0,0.1360104638162056,0.0452685827377385,0.0014259095622518,0.017375611748568,-9.386652858862364e-05,291055.3981499502,3.8232352527132702,1.4909276835794196e-05,1112773.2586993864,6.573604760730797e-12,3.695444145295366e-12
11,11,0.02,522,100000.0,0.01715,0.00243,0.81,1.184814908884,7469200000000.0,251.0,2.1576204877253742e-06,522.0,0.1139678709396321,0.0250394003038505,0.0018187790186573,0.017999896902132,-0.0001076511801082,161156.98946918364,4.580238234655619,9.882415853756064e-06,738137.4049487478,3.654065051946044e-12,2.055289145778833e-12
