Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1389.57,23450000000000.0,4168.72,979400000.0,6947.86,43850.0,9727.01,1.986,12506.2,9.035e-05
1372.77,79650000000000.0,4118.32,38740000000.0,6863.87,20240000.0,9609.42,10700.0,12355.0,5.684
1346.7,165500000000000.0,4040.11,352700000000.0,6733.52,808800000.0,9426.92,1880000.0,12120.3,4390.0
1312.42,276000000000000.0,3937.25,1663000000000.0,6562.09,10840000000.0,9186.93,71620000.0,11811.8,475800.0
1271.22,404900000000000.0,3813.66,5363000000000.0,6356.1,77180000000.0,8898.53,1129000000.0,11441.0,16590000.0
1224.53,545700000000000.0,3673.6,13460000000000.0,6122.67,362400000000.0,8571.74,9934000000.0,11020.8,273900000.0
1173.82,692600000000000.0,3521.45,28220000000000.0,5869.08,1264000000000.0,8216.71,57690000000.0,10564.3,2651000000.0
1120.44,840000000000000.0,3361.32,51710000000000.0,5602.21,3522000000000.0,7843.09,245000000000.0,10084.0,17160000000.0
1065.66,983800000000000.0,3196.99,85340000000000.0,5328.31,8245000000000.0,7459.64,814800000000.0,9590.96,81180000000.0
1010.55,1121000000000000.0,3031.66,129500000000000.0,5052.76,16800000000000.0,7073.87,2230000000000.0,9094.97,298900000000.0
955.997,1248000000000000.0,2867.99,183700000000000.0,4779.99,30550000000000.0,6691.98,5210000000000.0,8603.97,897800000000.0
902.694,1366000000000000.0,2708.08,246600000000000.0,4513.47,50640000000000.0,6318.86,10690000000000.0,8124.25,2281000000000.0
851.167,1472000000000000.0,2553.5,316200000000000.0,4255.84,77730000000000.0,5958.17,19680000000000.0,7660.51,5041000000000.0
801.786,1568000000000000.0,2405.36,390300000000000.0,4008.93,111900000000000.0,5612.5,33120000000000.0,7216.08,9921000000000.0
754.791,1653000000000000.0,2264.37,466800000000000.0,3773.96,152700000000000.0,5283.54,51680000000000.0,6793.12,17710000000000.0
710.318,1730000000000000.0,2130.95,543600000000000.0,3551.59,199300000000000.0,4972.23,75670000000000.0,6392.86,29140000000000.0
668.419,1796000000000000.0,2005.26,619200000000000.0,3342.1,250300000000000.0,4678.94,105000000000000.0,6015.77,44720000000000.0
629.085,1855000000000000.0,1887.26,692200000000000.0,3145.43,304500000000000.0,4403.6,139300000000000.0,5661.77,64720000000000.0
592.26,1906000000000000.0,1776.78,761900000000000.0,2961.3,360500000000000.0,4145.82,177700000000000.0,5330.34,89090000000000.0
557.854,1951000000000000.0,1673.56,827300000000000.0,2789.27,417100000000000.0,3904.98,219500000000000.0,5020.69,117500000000000.0
525.759,1990000000000000.0,1577.28,888200000000000.0,2628.79,473300000000000.0,3680.31,263600000000000.0,4731.83,149500000000000.0
495.85,2024000000000000.0,1487.55,944400000000000.0,2479.25,528100000000000.0,3470.95,309200000000000.0,4462.65,184500000000000.0
467.998,2055000000000000.0,1403.99,996000000000000.0,2339.99,581000000000000.0,3275.99,355200000000000.0,4211.98,221500000000000.0
442.071,2081000000000000.0,1326.21,1043000000000000.0,2210.35,631500000000000.0,3094.5,401100000000000.0,3978.64,260100000000000.0
417.939,2103000000000000.0,1253.82,1086000000000000.0,2089.69,679200000000000.0,2925.57,446100000000000.0,3761.45,299400000000000.0
395.475,2123000000000000.0,1186.42,1125000000000000.0,1977.37,723800000000000.0,2768.32,489800000000000.0,3559.27,338800000000000.0
374.558,2141000000000000.0,1123.67,1160000000000000.0,1872.79,765500000000000.0,2621.91,531900000000000.0,3371.02,377800000000000.0
355.074,2156000000000000.0,1065.22,1192000000000000.0,1775.37,804100000000000.0,2485.52,571900000000000.0,3195.67,416000000000000.0
336.914,2170000000000000.0,1010.74,1221000000000000.0,1684.57,839800000000000.0,2358.4,609700000000000.0,3032.23,453100000000000.0
319.979,2183000000000000.0,959.936,1247000000000000.0,1599.89,872600000000000.0,2239.85,645300000000000.0,2879.81,488800000000000.0
304.173,2193000000000000.0,912.52,1270000000000000.0,1520.87,902800000000000.0,2129.21,678600000000000.0,2737.56,522700000000000.0
289.412,2202000000000000.0,868.235,1291000000000000.0,1447.06,930500000000000.0,2025.88,709700000000000.0,2604.7,555000000000000.0
275.614,2211000000000000.0,826.841,1310000000000000.0,1378.07,955800000000000.0,1929.29,738600000000000.0,2480.52,585400000000000.0
262.705,2218000000000000.0,788.116,1327000000000000.0,1313.53,978900000000000.0,1838.94,765400000000000.0,2364.35,614100000000000.0
250.619,2224000000000000.0,751.857,1342000000000000.0,1253.09,1000000000000000.0,1754.33,790200000000000.0,2255.57,640900000000000.0
239.292,2231000000000000.0,717.876,1356000000000000.0,1196.46,1020000000000000.0,1675.04,813100000000000.0,2153.63,666000000000000.0
228.668,2236000000000000.0,686.003,1368000000000000.0,1143.34,1037000000000000.0,1600.67,834300000000000.0,2058.01,689400000000000.0
218.693,2241000000000000.0,656.079,1380000000000000.0,1093.46,1053000000000000.0,1530.85,853800000000000.0,1968.24,711200000000000.0
209.32,2245000000000000.0,627.959,1390000000000000.0,1046.6,1068000000000000.0,1465.24,871900000000000.0,1883.88,731500000000000.0
200.504,2248000000000000.0,601.511,1399000000000000.0,1002.52,1082000000000000.0,1403.53,888500000000000.0,1804.53,750300000000000.0
192.205,2252000000000000.0,576.614,1408000000000000.0,961.023,1094000000000000.0,1345.43,903700000000000.0,1729.84,767700000000000.0
184.385,2255000000000000.0,553.155,1416000000000000.0,921.925,1105000000000000.0,1290.7,917700000000000.0,1659.47,784000000000000.0
177.011,2258000000000000.0,531.032,1422000000000000.0,885.053,1115000000000000.0,1239.07,930600000000000.0,1593.1,799000000000000.0
170.05,2260000000000000.0,510.151,1429000000000000.0,850.251,1125000000000000.0,1190.35,942500000000000.0,1530.45,812800000000000.0
163.475,2263000000000000.0,490.424,1435000000000000.0,817.374,1133000000000000.0,1144.32,953500000000000.0,1471.27,825700000000000.0
157.258,2265000000000000.0,471.774,1440000000000000.0,786.289,1142000000000000.0,1100.81,963600000000000.0,1415.32,837600000000000.0
151.375,2266000000000000.0,454.125,1445000000000000.0,756.875,1149000000000000.0,1059.63,972900000000000.0,1362.38,848600000000000.0
145.804,2268000000000000.0,437.411,1449000000000000.0,729.019,1155000000000000.0,1020.63,981400000000000.0,1312.23,858800000000000.0
140.523,2270000000000000.0,421.57,1453000000000000.0,702.617,1162000000000000.0,983.664,989300000000000.0,1264.71,868200000000000.0
135.515,2271000000000000.0,406.544,1457000000000000.0,677.574,1167000000000000.0,948.604,996600000000000.0,1219.63,877000000000000.0
130.76,2273000000000000.0,392.281,1460000000000000.0,653.802,1172000000000000.0,915.322,1004000000000000.0,1176.84,885100000000000.0
