Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5
1389.57,23450000000000.0,4168.72,979400000.0,6947.86,43850.0
1370.2,88190000000000.0,4110.61,52670000000.0,6851.01,33800000.0
1339.42,189300000000000.0,4018.26,528900000000.0,6697.09,1593000000.0
1298.76,319200000000000.0,3896.28,2591000000000.0,6493.8,22770000000.0
1250.1,469300000000000.0,3750.3,8443000000000.0,6250.49,165500000000.0
1195.45,630700000000000.0,3586.34,21080000000000.0,5977.23,772700000000.0
1136.78,795600000000000.0,3410.34,43590000000000.0,5683.9,2637000000000.0
1075.91,957500000000000.0,3227.73,78280000000000.0,5379.54,7120000000000.0
1014.39,1111000000000000.0,3043.16,126100000000000.0,5071.94,16050000000000.0
953.485,1254000000000000.0,2860.46,186500000000000.0,4767.43,31340000000000.0
894.174,1384000000000000.0,2682.52,257500000000000.0,4470.87,54560000000000.0
837.158,1500000000000000.0,2511.47,336500000000000.0,4185.79,86570000000000.0
782.912,1603000000000000.0,2348.74,420400000000000.0,3914.56,127300000000000.0
731.717,1694000000000000.0,2195.15,506100000000000.0,3658.59,175900000000000.0
683.708,1773000000000000.0,2051.12,591300000000000.0,3418.54,230900000000000.0
638.906,1841000000000000.0,1916.72,673800000000000.0,3194.53,290400000000000.0
597.251,1899000000000000.0,1791.75,752500000000000.0,2986.25,352600000000000.0
558.628,1950000000000000.0,1675.88,825800000000000.0,2793.14,415800000000000.0
522.886,1993000000000000.0,1568.66,893600000000000.0,2614.43,478500000000000.0
489.855,2030000000000000.0,1469.56,955600000000000.0,2449.27,539400000000000.0
459.352,2063000000000000.0,1378.05,1012000000000000.0,2296.76,597600000000000.0
431.194,2091000000000000.0,1293.58,1063000000000000.0,2155.97,652900000000000.0
405.203,2115000000000000.0,1215.61,1108000000000000.0,2026.01,704500000000000.0
381.206,2136000000000000.0,1143.62,1149000000000000.0,1906.03,752200000000000.0
359.039,2153000000000000.0,1077.12,1185000000000000.0,1795.19,796200000000000.0
338.55,2169000000000000.0,1015.65,1218000000000000.0,1692.75,836600000000000.0
319.599,2183000000000000.0,958.796,1247000000000000.0,1597.99,873300000000000.0
302.053,2194000000000000.0,906.158,1273000000000000.0,1510.26,906800000000000.0
285.793,2205000000000000.0,857.38,1296000000000000.0,1428.97,937100000000000.0
270.71,2213000000000000.0,812.131,1316000000000000.0,1353.55,964600000000000.0
256.704,2221000000000000.0,770.112,1334000000000000.0,1283.52,989500000000000.0
243.683,2228000000000000.0,731.049,1350000000000000.0,1218.42,1012000000000000.0
231.565,2235000000000000.0,694.695,1365000000000000.0,1157.83,1033000000000000.0
220.274,2240000000000000.0,660.823,1378000000000000.0,1101.37,1051000000000000.0
209.743,2245000000000000.0,629.229,1390000000000000.0,1048.71,1067000000000000.0
199.908,2249000000000000.0,599.725,1400000000000000.0,999.542,1082000000000000.0
190.715,2252000000000000.0,572.144,1409000000000000.0,953.573,1096000000000000.0
182.11,2256000000000000.0,546.33,1418000000000000.0,910.55,1108000000000000.0
174.048,2259000000000000.0,522.145,1425000000000000.0,870.242,1119000000000000.0
166.487,2262000000000000.0,499.461,1432000000000000.0,832.435,1129000000000000.0
159.387,2264000000000000.0,478.162,1438000000000000.0,796.937,1139000000000000.0
152.715,2266000000000000.0,458.144,1443000000000000.0,763.573,1147000000000000.0
146.436,2268000000000000.0,439.309,1449000000000000.0,732.181,1155000000000000.0
140.523,2270000000000000.0,421.57,1453000000000000.0,702.617,1162000000000000.0
134.949,2271000000000000.0,404.848,1457000000000000.0,674.746,1168000000000000.0
129.689,2273000000000000.0,389.068,1461000000000000.0,648.447,1173000000000000.0
124.721,2274000000000000.0,374.164,1464000000000000.0,623.607,1179000000000000.0
120.025,2276000000000000.0,360.074,1467000000000000.0,600.124,1183000000000000.0
115.581,2277000000000000.0,346.742,1470000000000000.0,577.904,1188000000000000.0
111.372,2277000000000000.0,334.117,1473000000000000.0,556.862,1192000000000000.0
107.383,2278000000000000.0,322.15,1475000000000000.0,536.917,1196000000000000.0
