,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
248,248,2.25,0.02,1340,1,100000.0,68.59,11.21,8.75,,960.4,0.9604,1340.0,0.1413532544944246,0.0426661972671175,0.0069285383634005,0.0001227725094714,3.149042835912568e-05,3023319992000.0,744934877399.9999,2018651784382.979,2507805647454.5454,9.537198100589531,9.16199301084637,28841770758284.164,7106505768715.636,19257469325124.33,23923883605309.875,0.000177121674544,4.364212629179994e-05,0.0001182630304821,0.0001469201860482,0.0001152654290637,2.840097591234196e-05,7.696200358314317e-05,9.561121374095675e-05
249,249,2.25,0.02,1345,1,100000.0,68.59,11.21,8.75,,966.4,0.9664,1345.0,0.1324609118425314,0.0444676387596642,0.00681656775963,0.0001449172224142,1.1124174902422214e-06,3042207872000.0,728940471771.429,2010034893617.021,2505071133483.146,10.449889127813815,10.128509562185132,31884345531567.555,7639777047393.067,21066491763582.133,26254798147183.355,0.0001788866988859,4.286286807675215e-05,0.0001181932734032,0.0001473021977451,0.0001164044826055,2.789156495444499e-05,7.691028412756251e-05,9.585193433594844e-05
250,250,2.25,0.02,1350,1,100000.0,68.59,11.21,8.75,,986.5,0.9865,1350.0,0.1385991768859639,0.0486932785476355,0.0068893343501128,0.0008837167837174,-2.2731014174781005e-05,3105482270000.0,724393507323.5297,2030332368578.9475,2538469871363.6367,9.833175480007151,9.69395662635704,30516381580639.445,7118336787033.906,19951296419759.84,24944568505132.53,0.0001832593046688,4.274757957603536e-05,0.0001198130485904,0.0001497990273661,0.0001192563197953,2.7818063751844427e-05,7.79685553439635e-05,9.748198458408188e-05
251,251,2.25,0.02,1355,1,100000.0,68.59,11.21,8.75,,967.3,0.9673,1355.0,0.1395517024492391,0.0455945087684208,0.0071889757062275,0.0003740609243956,3.247385758750414e-05,3045041054000.0,690788808094.0476,1969778282750.0,2470785910651.686,9.88586156194089,9.554831560420574,30078418655572.76,6823499126602.209,19457148457614.742,24406020053899.73,0.0001803647138676,4.091699373025472e-05,0.0001166744520189,0.0001463502743969,0.0001176970743877,2.670040248741576e-05,7.613596564412671e-05,9.550093675758348e-05
252,252,2.25,0.02,1360,1,100000.0,68.59,11.21,8.75,,969.8,0.9698,1360.0,0.1323465383366737,0.0473850479452573,0.006709161975086,0.0005458100504544,-8.247338795243339e-06,3052911004000.0,672851927366.6664,1953936472583.3333,2458908288488.889,10.506532088075245,10.1864379308261,32066702877481.945,7067399870857.1455,20523461124713.773,25827507381198.09,0.0001814914893193,4.000015009583285e-05,0.0001161589184813,0.0001461788197536,0.0001187750601673,2.6177647514780845e-05,7.60188953396386e-05,9.566508146770603e-05
253,253,2.25,0.02,1365,1,100000.0,68.59,11.21,8.75,,987.3,0.9873,1365.0,0.1287547671062838,0.0486481014759195,0.0069054422790745,0.0003607011261382,-8.698354961116385e-06,3108000654000.0,666113166910.5886,1968003601875.0,2484730669800.0005,10.92863151634659,10.81230052859306,34036905818000.395,7294860474719.088,21552361374279.46,27211237450106.285,0.0001854253928023,3.97407559957642e-05,0.00011741240802,0.0001482406896738,0.0001213382597645,2.600546829845725e-05,7.683207271997921e-05,9.700541570641716e-05
254,254,2.25,0.02,1370,1,100000.0,68.59,11.21,8.75,,967.9,0.9679,1370.0,0.1402008323769678,0.0466816322459254,0.0070452278260129,0.0004789649001089,4.983061970430789e-05,3046929842000.0,634492417596.4706,1908679841134.0208,2417802477655.556,9.9985073212199,9.690069479084151,30504144918767.336,6352180607977.972,19108627207269.31,24205676201244.08,0.0001824477350557,3.7992901216447766e-05,0.0001142902305006,0.00014477608896,0.0001193685443518,2.485729577583391e-05,7.477570737908204e-05,9.472143346061398e-05
255,255,2.25,0.02,1375,1,100000.0,68.59,11.21,8.75,,971.3,0.9713,1375.0,0.1346377259374321,0.0468435409179701,0.0070766409731636,0.0001449578765287,4.533368867228533e-05,3057632974000.0,617933689547.059,1894743648463.9172,2408184884599.9995,10.319704469706783,10.031449765472631,31578803232712.523,6381932219792.526,19568645864320.11,24871394724426.44,0.0001837433648556,3.713369666685542e-05,0.0001138614661955,0.000144715862778,0.0001201965899852,2.429118306616948e-05,7.448301590747594e-05,9.466656516474355e-05
256,256,2.25,0.02,1380,1,100000.0,68.59,11.21,8.75,,976.1,0.9761,1380.0,0.1341239663296391,0.0457559885617059,0.0068667855452717,0.0002501269873691,1.6179038519793338e-05,3072743278000.0,602876707445.238,1883529453051.5464,2401947199413.044,10.381565196645138,10.14414446530397,31933563893887.6,6265411756061.153,19574628497500.117,24962298318695.008,0.000185302471466,3.635661484602093e-05,0.0001135866654492,0.0001448499637339,0.0001212041463722,2.3780430085644334e-05,7.429568918386649e-05,9.474464138298044e-05
257,257,2.25,0.02,1385,1,100000.0,68.59,11.21,8.75,,956.1,0.9561,1385.0,0.1356336040200176,0.0437866064054173,0.0068323487470616,-0.0002299807979457,1.3817965925988417e-05,3009783678000.0,573300483635.7141,1824877435775.5105,2335048527260.87,10.398336687273748,9.929668329712555,31258397308568.53,5954067206114.886,18952439786243.22,24250870630147.688,0.0001821566291952,3.4697006425561374e-05,0.0001104443235655,0.0001413206443513,0.0001191186831095,2.268960362034876e-05,7.22234619634034e-05,9.241458367841464e-05
258,258,2.25,0.02,1390,1,100000.0,68.59,11.21,8.75,,963.2,0.9632,1390.0,0.1319984850346827,0.0481828515822962,0.0065303920723908,0.0003348859361107,-1.4875479089414958e-06,3032134336000.0,560069656533.3333,1818332301714.2856,2334626564869.5654,10.665201597846195,10.25181724408945,32272515648048.707,5961100252013.79,19353416160921.277,24848593102407.73,0.000184158307824,3.4016131470907126e-05,0.0001104373891914,0.0001417947986284,0.0001204068848084,2.2240519431560668e-05,7.220647363691646e-05,9.270866020989128e-05
259,259,2.25,0.02,1395,1,100000.0,68.59,11.21,8.75,,961.5,0.9614999999999998,1395.0,0.1436182451113154,0.0458396797315839,0.0071143639259935,0.0001468978994166,2.915540745703729e-05,3026782770000.0,542135021876.4708,1795216067272.7273,2312851650967.741,9.813427224421854,9.427288184757217,29676914659852.02,5315510230139.52,17601684056252.21,22676982883270.32,0.0001845013133512,3.304651544252538e-05,0.0001094296311727,0.0001409827528489,0.0001205901560772,2.1599219987309464e-05,7.152326486410134e-05,9.214640189514804e-05
260,260,2.25,0.02,1400,1,100000.0,68.59,11.21,8.75,,954.3,0.9543,1400.0,0.1341625282705763,0.0474285390824468,0.0067584834182074,0.0002848496920649,1.4444005093715054e-05,3004117314000.0,521568779635.71423,1762103671909.0906,2278060323387.0967,10.574942180702964,10.088201655394846,31757457047149.863,5513665541363.599,18627745132485.195,24082083124261.797,0.0001837625785316,3.1904487677895576e-05,0.0001077883053637,0.0001393494978126,0.0001200825560915,2.084849081770926e-05,7.043596867379073e-05,9.106012780806316e-05
261,261,2.25,0.02,1405,1,100000.0,68.59,11.21,8.75,,962.0,0.962,1405.0,0.1409247094361489,0.051360833387664,0.0072349237491536,0.0002079300158183,4.385331016872784e-06,3028356760000.0,509459945428.5713,1756624243636.3635,2278894080851.0635,10.078420444624124,9.722966969997906,30607705562214.0,5149129128834.65,17754261434068.52,23032860578210.637,0.0001858796335974,3.127049931489609e-05,0.0001078210715092,0.0001398778381566,0.0001214439524787,2.043049558087408e-05,7.04446034843396e-05,9.138880468599184e-05
262,262,2.25,0.02,1410,1,100000.0,68.59,11.21,8.75,,961.0,0.961,1410.0,0.1337400077508618,0.0457397671765914,0.0064617995640539,0.0007188025090413,3.478348096200214e-05,3025208780000.0,492907345154.7618,1735243919393.9397,2259076020000.0,10.72442587391755,10.282917948790304,32370420044432.9,5274220381459.396,18567503479984.57,24172625758314.008,0.0001863403830935,3.036105941943805e-05,0.0001068838682599,0.0001391497650632,0.0001217123353476,1.9830996288724458e-05,6.981355839752889e-05,9.088874127956098e-05
263,263,2.25,0.02,1415,1,100000.0,68.59,11.21,8.75,,975.6,0.9755999999999998,1415.0,0.1411140805887043,0.044096426207151,0.0072513763548806,0.0004609920965379,1.2686115301107997e-07,3071169288000.0,484444098599.9998,1741886498181.8184,2275747039914.8936,10.154893781721889,9.9059494248805,31183730670535.32,4918899897410.2295,17686592409667.17,23107252030769.21,0.0001898212934541,2.9942278259231065e-05,0.0001076616484239,0.0001406582334549,0.0001239549285814,1.9552563864952663e-05,7.030397748599756e-05,9.185102980303484e-05
264,264,2.25,0.02,1420,1,100000.0,68.59,11.21,8.75,,965.1,0.9650999999999998,1420.0,0.1545015969462383,0.0447257520288614,0.0069820686884712,0.0007190423394775,-5.882164379510831e-05,3038115498000.0,463761571071.4288,1703750769690.0002,2233841285842.105,9.247139761884137,8.930171164633846,28112000222844.05,4291234285822.5728,15764983934523.225,20669966881355.05,0.0001884142009919,2.876100856657159e-05,0.0001056611706078,0.0001385356880907,0.0001230125800886,1.877759665195925e-05,6.89844668992129e-05,9.044770689630188e-05
265,265,2.25,0.02,1425,1,100000.0,68.59,11.21,8.75,,943.9,0.9439,1425.0,0.140184291243122,0.0469176897982587,0.0072783360681148,0.0004224305002826,3.9354252361534766e-06,2971378322000.0,438720438739.28577,1647484648742.5745,2167837245578.9475,10.34933713193904,9.72514526373018,30614562787317.33,4520203408101.486,16974284912371.045,22335556861298.848,0.0001849174478844,2.730283897737305e-05,0.0001025277240594,0.000134910767812,0.0001206866738421,1.7819242371805958e-05,6.691488626363998e-05,8.80497325645576e-05
