,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,100.0,0.0966467482821335,0.1781743155940294,0.1078349855151878,-4.738556457671371e-05,-6.944235566835557e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0487061048470865,104.87061048470862,1445924516180016.8,811378669789666.4,557202722451773.2,403881889923129.1,0.0057050579571489,0.0032013858846336,0.0021985060699203,0.0015935614647033,0.0027451320033448,0.0015404272687452,0.0010578664436745,0.0007667821447058
1,1,2.25,0.02,105,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,105.0,0.1048082401675144,0.1791132039499748,0.1052937744239571,6.138193199754416e-05,-1.9072879698364487e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0018320879397469,100.18320879397464,1381296027888684.5,775112477278542.2,532297432292497.9,385829581035706.9,0.0060281185166405,0.0033826708992305,0.0023230009666119,0.0016838001375158,0.0030590694129667,0.0017165928396071,0.0011788456354396,0.0008544724998363
2,2,2.25,0.02,110,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,110.0,0.1098948696754547,0.1753345576805756,0.1021921947064558,7.53301934836497e-06,-3.222634929665576e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.000956806251697,100.0956806251697,1380089215755652.5,774435276212906.8,531832374124876.7,385492489050878.6,0.0062449465054054,0.0035043436443349,0.0024065579879443,0.0017443654691846,0.0034540835882366,0.0019382545325185,0.0013310686397558,0.0009648095678292
3,3,2.25,0.02,115,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,115.0,0.1146656173967187,0.170818907910469,0.0988086031777941,-9.90997430511581e-05,-4.944197292490304e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0029384356499824,100.29384356499824,1382821426921126.5,775968452970213.1,532885261383291.3,386255662091263.8,0.0064787619857254,0.0036355488983266,0.0024966613237186,0.0018096758204707,0.0037625256516612,0.0021113363969785,0.0014499301401563,0.0010509649390909
4,4,2.25,0.02,120,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,120.0,0.1121912791364555,0.1733696069486703,0.0983370456827454,-2.5317763051759987e-05,3.980191104515584e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0954469607624515,109.5446960762452,1510369406090445.5,847541836307105.2,582037260980148.9,421882915316678.5,0.0066992127945357,0.0037592545842079,0.002581614438118,0.0018712530939044,0.0041314555397408,0.0023183609259119,0.0015921012809948,0.0011540160311633
5,5,2.25,0.02,125,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,125.0,0.1248531096880412,0.1687183040281624,0.0962512252488771,-1.0085207185103423e-05,-3.4233727161882746e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0011776566037676,100.11776566037676,1380393717595576.8,774606147026052.0,531949717217340.2,385577543821869.4,0.0069753092356316,0.0039141857445854,0.0026880112015148,0.0019483735460326,0.0043426373875576,0.0024368653463349,0.0016734825005669,0.0012130042583213
6,6,2.25,0.02,130,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,130.0,0.1298377145141898,0.1654389302803995,0.0941603154933796,3.980755936404808e-05,1.9864001286838337e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0012514208139454,100.12514208139451,1380495421475643.5,774663218026645.4,531988909912548.7,385605952189549.9,0.007244270488467,0.0040651130033105,0.002791658342591,0.0020235009665139,0.0045765716125563,0.0025681372337494,0.0017636315958933,0.0012783477778847
7,7,2.25,0.02,135,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,135.0,0.1347707217591562,0.1663080002001302,0.0936600528705448,-0.0002154339341884,-3.696089188421145e-06,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0017038742110935,100.17038742110935,1381119250646029.5,775013278957752.0,532229309261335.0,385780202851673.1,0.0075318428747682,0.0042264838754788,0.0029024774861604,0.0021038269292937,0.0047880691555583,0.0026868188061167,0.001845134472035,0.0013374241863873
8,8,2.25,0.02,140,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,140.0,0.1399118797100612,0.1679379562388094,0.0916063408931918,-0.0001508706669411,1.9600098422036643e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0006301464650666,100.06301464650667,1379638827041639.8,774182541169289.8,531658811940405.1,385366684527212.4,0.0078550249312737,0.0044078370679676,0.0030270192030462,0.0021940995391774,0.0050200617508701,0.0028170011505468,0.0019345353392655,0.0014022253615484
9,9,2.25,0.02,145,1,100000.0,68.59,11.21,8.75,,100000.0,100.0,145.0,0.1445076304380535,0.1702037947153939,0.0874312493336377,-1.2191324323804064e-05,-9.430817058918762e-05,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0034147301250742,100.34147301250742,1383478127454548.5,776336959624119.2,533138328068975.0,386439094524689.1,0.00813908494936,0.0045672369792605,0.0031364848173617,0.0022734444120754,0.0052316898255306,0.0029357559705853,0.0020160885172001,0.0014613382307184
