,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.02,50,2.25,100000.0,0.01715,0.00243,0.81,3991950000000.0,2.0,0.002,50.0,0.0002064256279966,0.0240276927731166,0.0008702354149965,-0.0070990952273923,0.0008781349137774,79839000.0,242.21798661948,0.48443597323896,19338441833.71266,1.6462838750591326e-10,4.662866554142843e-11
1,1,0.02,55,2.25,100000.0,0.01715,0.00243,0.81,4110400000000.0,,,55.0,,,,,,,,,,,
2,2,0.02,60,2.25,100000.0,0.01715,0.00243,0.81,,,,60.0,,,,,,,,,,,
3,3,0.02,65,2.25,100000.0,0.01715,0.00243,0.81,4324710000000.0,2.0,0.002,65.0,0.0025915352279402,0.0719902442043185,0.0002094731324361,0.0210597382233858,0.0006679899372507,86494200.0,25.081657891126707,0.0501633157822534,2169417933.9666915,2.367840566599733e-10,7.382775640328023e-11
4,4,0.02,70,2.25,100000.0,0.01715,0.00243,0.81,4422500000000.0,6.0,0.006,70.0,0.0032440657695578,0.0727279696092114,0.001884096400935,0.0149186333657576,-0.0001137301761019,265350000.0,21.577860922819816,0.1294671655369189,5725685395.870238,7.857447655012739e-10,2.7101004478534185e-10
5,5,0.02,75,2.25,100000.0,0.01715,0.00243,0.81,4515030000000.0,4.0,0.004,75.0,0.0023052886113924,0.0429008627653194,0.0014016876707213,0.0211640664850627,0.0002161287922847,180601200.0,32.53388735334878,0.1301355494133951,5875659096.679614,5.759837961814208e-10,2.1238467241998726e-10
6,6,0.02,80,2.25,100000.0,0.01715,0.00243,0.81,4602860000000.0,6.0,0.006,80.0,0.0025994415864839,0.0404957780297448,0.0013793706544967,0.0212789171259726,-0.0007261335420269,276171600.0,30.77584063283772,0.1846550437970263,8499413148.915806,9.439968351679354e-10,3.8272966141156124e-10
7,7,0.02,85,2.25,100000.0,0.01715,0.00243,0.81,4686480000000.0,4.0,0.004,85.0,0.004379741486807,0.0243822368567295,0.0012049534708482,0.0013806190468408,-0.0002746458948817,187459200.0,19.4075381517475,0.07763015260699,3638121575.896064,6.828033042402096e-10,2.8968161311283896e-10
8,8,0.02,90,2.25,100000.0,0.01715,0.00243,0.81,4766300000000.0,4.0,0.004,90.0,0.0022237347356624,0.0290485254128438,0.0014468501693024,0.0205537962633083,-9.451900473605974e-06,190652000.0,40.47245319176392,0.1618898127670556,7716154145.916175,7.366563433093496e-10,3.329241311146773e-10
9,9,0.02,95,2.25,100000.0,0.01715,0.00243,0.81,4842650000000.0,7.0,0.0069999999999999,95.0,0.0036087202416943,0.0379137265696268,0.0020683766122972,0.0114129076976932,-0.0001850054745725,338985499.99999994,26.3251218263998,0.1842758527847985,8923834584.883047,1.3844231764488935e-09,6.307182215590197e-10
10,10,0.02,100,2.25,100000.0,0.01715,0.00243,0.81,4915840000000.0,9.0,0.009,100.0,0.0051245259693684,0.0384187795907582,0.0023519580392028,0.0014932552053664,0.0002704755381528,442425600.00000006,19.514000045612907,0.1756260004105161,8633493178.580318,1.830663337414077e-09,8.808696690956874e-10
11,11,0.02,105,2.25,100000.0,0.01715,0.00243,0.81,4986130000000.0,15.0,0.015,105.0,0.0050409794178388,0.0318503553423596,0.001990561888509,0.0107440059269259,0.0002636931499383,747919500.0,20.82928560041923,0.3124392840062884,15578628871.622751,3.269977869337619e-09,1.659404879574809e-09
12,12,0.02,110,2.25,100000.0,0.01715,0.00243,0.81,5053740000000.0,10.0,0.01,110.0,0.0053899589568048,0.0363435200600988,0.0010873650421058,0.0113400836603459,-0.0002123397108259,505374000.0,20.408318668386904,0.204083186683869,10313833638.717363,2.289021080544816e-09,1.2660589070849332e-09
13,13,0.02,115,2.25,100000.0,0.01715,0.00243,0.81,5118880000000.0,12.0,0.012,115.0,0.0072197695442381,0.0408446136839044,0.001599286473136,0.0186294055907696,0.0001006711917445,614265600.0,15.928486261971916,0.1911418351436629,9784321170.801935,2.8863991952383915e-09,1.6762694843470291e-09
14,14,0.02,120,2.25,100000.0,0.01715,0.00243,0.81,5181720000000.0,11.0,0.011,120.0,0.0055529017602012,0.030359159184507,0.0023279406566289,0.0026455945230285,3.378354377300016e-05,569989200.0,21.610322887406976,0.2377135517614768,12317650654.334791,2.769482177148651e-09,1.7079607461233051e-09
15,15,0.02,125,2.25,100000.0,0.01715,0.00243,0.81,5242420000000.0,17.0,0.017,125.0,0.0070425113721317,0.0301730037934232,0.002368093091289,0.0135559444474764,0.0002704527245433,891211400.0000001,17.749350110337478,0.3017389518757372,15818423160.92402,4.508710741690252e-09,2.807000403154685e-09
16,16,0.02,130,2.25,100000.0,0.01715,0.00243,0.81,5301120000000.0,16.0,0.016,130.0,0.0055967623279467,0.0415831586068673,0.001825116279301,0.0089869175003291,-0.0001820286938557,848179200.0,23.22771495063503,0.3716434392101604,19701264684.65766,4.456464491896145e-09,2.815373738245476e-09
17,17,0.02,135,2.25,100000.0,0.01715,0.00243,0.81,5357950000000.0,20.0,0.02,135.0,0.0077826875110564,0.0485818343467457,0.0017064593451543,0.0201052745089702,1.1630182465775828e-05,1071590000.0,17.346193048122924,0.3469238609624585,18588007008.43804,5.8538026691711165e-09,3.721321922006393e-09
18,18,0.02,140,2.25,100000.0,0.01715,0.00243,0.81,5413020000000.0,19.0,0.019,140.0,0.008679990760938,0.0419524747630391,0.0019405376804681,0.0157212518339277,1.6116427993525175e-05,1028473800.0,16.129049425954715,0.3064519390931396,16588304753.499464,5.859343719519516e-09,3.7446434032885254e-09
19,19,0.02,145,2.25,100000.0,0.01715,0.00243,0.81,5466440000000.0,14.0,0.0139999999999999,145.0,0.0069385804438831,0.0558749347346759,0.0018235668310194,0.0127103411520071,-2.5643870842441552e-05,765301599.9999999,20.89764630859453,0.2925670483203235,15993002156.20149,4.517689487210518e-09,2.903907536559637e-09
20,20,0.02,150,2.25,100000.0,0.01715,0.00243,0.81,5518300000000.0,23.0,0.023,150.0,0.008291695143919,0.0331800526776773,0.0027609161330344,0.0164104844145572,0.0004678563921942,1269209000.0,18.09039013090185,0.4160789730107425,22960485967.65181,7.745500807793309e-09,5.027924351904671e-09
21,21,0.02,155,2.25,100000.0,0.01715,0.00243,0.81,5568680000000.0,21.0,0.021,155.0,0.0066230814945763,0.033660462397807,0.0018667688207593,0.005877714058241,6.918695455077872e-05,1169422800.0,23.403003590840463,0.4914630754076497,27368005987.61071,7.401727000305092e-09,4.761415937851175e-09
22,22,0.02,160,2.25,100000.0,0.01715,0.00243,0.81,5617670000000.0,28.0,0.0279999999999999,160.0,0.0071448539728896,0.0448704395535203,0.0022803476249653,0.0155454856283129,-4.09884743528286e-05,1572947599.9999998,22.39373969112636,0.6270247113515379,35224179102.18194,1.0273316305938472e-08,6.5875448118738895e-09
23,23,0.02,165,2.25,100000.0,0.01715,0.00243,0.81,5665330000000.0,19.0,0.019,165.0,0.0109242935406011,0.0410966514324217,0.0014798779704106,0.0172558738631993,0.0001252669314914,1076412700.0,15.103951517483624,0.2869750788321888,16258085233.603643,7.232945979587729e-09,4.618072650984397e-09
24,24,0.02,170,2.25,100000.0,0.01715,0.00243,0.81,5711740000000.0,24.0,0.024,170.0,0.0062420985148078,0.0273965331014154,0.001646617477031,0.0063786824841163,-2.0219518697623983e-05,1370817600.0,27.23443079225944,0.6536263390142265,37333437056.01119,9.506752678161897e-09,6.0282746550101595e-09
25,25,0.02,175,2.25,100000.0,0.01715,0.00243,0.81,5756950000000.0,21.0,0.021,175.0,0.0115534921161272,0.042553819108972,0.0020975277129719,0.013305253606326,-0.0001748138960108,1208959500.0,15.146935510149516,0.3180856457131399,18312031580.882603,8.683048050965638e-09,5.428000260409067e-09
26,26,0.02,180,2.25,100000.0,0.01715,0.00243,0.81,5801030000000.0,14.0,0.0139999999999999,180.0,0.007773468360316,0.0299508810210994,0.0015807455873783,0.0105396134613037,-0.0004600162804397,812144199.9999999,23.15568696708256,0.3241796175391558,18805756867.331688,6.0301276534023694e-09,3.724492444566737e-09
27,27,0.02,185,2.25,100000.0,0.01715,0.00243,0.81,5844010000000.0,19.0,0.019,185.0,0.0128048867431983,0.0377942238510754,0.0019332856745243,0.0161389023470628,-8.967477447284876e-05,1110361900.0,14.447609237798774,0.2745045755181767,16042074843.739798,8.48754071738646e-09,5.186777094996859e-09
28,28,0.02,190,2.25,100000.0,0.01715,0.00243,0.81,5885960000000.0,2.0,0.002,190.0,0.0157586831062774,0.0321411598481743,0.000251852411617,0.0242690651846873,-0.0009411589460225,117719200.0,12.056845024335454,0.0241136900486709,1419322150.7887502,9.255561471167707e-10,5.603114766582895e-10
29,29,0.02,195,2.25,100000.0,0.01715,0.00243,0.81,5926920000000.0,12.0,0.012,195.0,0.0138181028971298,0.0395134161585416,0.002336425802402,0.0139137124195252,0.0002579997084342,711230400.0,14.111922703984485,0.1693430724478138,10036828429.523966,5.7538052103603145e-09,3.44514094587165e-09
30,30,0.02,200,2.25,100000.0,0.01715,0.00243,0.81,5966920000000.0,11.0,0.011,200.0,0.012353381751122,0.0335604970909368,0.0024581763583418,0.0124152130996041,4.265700988979951e-05,656361200.0000001,16.189898768556525,0.1780888864541217,10626421383.608284,5.4553230156634154e-09,3.236606786230294e-09
31,31,0.02,205,2.25,100000.0,0.01715,0.00243,0.81,6006020000000.0,7.0,0.0069999999999999,205.0,0.0100344319201409,0.0366251485272201,0.0018064081384067,0.0071782235053861,-0.0003767328050681,420421400.0,20.42965676896247,0.1430075973827372,8589064900.326677,3.586094365907238e-09,2.1074969233815478e-09
32,32,0.02,210,2.25,100000.0,0.01715,0.00243,0.81,6044240000000.0,14.0,0.0139999999999999,210.0,0.01357987936442,0.0420180058544857,0.0019662774185569,0.0094194810123122,-0.0002807494482728,846193599.9999999,15.464054898028834,0.2164967685724036,13085584284.76065,7.408963949263009e-09,4.313265098071198e-09
33,33,0.02,215,2.25,100000.0,0.01715,0.00243,0.81,6081620000000.0,12.0,0.012,215.0,0.0127740468268812,0.0306341510809922,0.00203646090655,0.0120921672720699,-0.0003499380938105,729794400.0,16.831001397893928,0.2019720167747271,12283170566.57516,6.552008909060164e-09,3.7907557416261725e-09
34,34,0.02,220,2.25,100000.0,0.01715,0.00243,0.81,6118190000000.0,7.0,0.0069999999999999,220.0,0.0185312998316149,0.0330783039270949,0.0015975349080958,0.0189170488344927,-0.0004445402593464,428273300.0,11.87180618731736,0.0831026433112215,5084377612.802823,3.941651959636136e-09,2.267736093828598e-09
35,35,0.02,225,2.25,100000.0,0.01715,0.00243,0.81,6153990000000.0,14.0,0.0139999999999999,225.0,0.0187635996326418,0.0509910758370363,0.0017394726345192,0.019576860562112,-1.288199038839874e-06,861558599.9999999,11.99130254349394,0.1678782356089151,10331209831.549076,8.121138275064008e-09,4.649069574813091e-09
36,36,0.02,230,2.25,100000.0,0.01715,0.00243,0.81,6189040000000.0,8.0,0.008,230.0,0.0129556113923629,0.0490222262357223,0.0011575485455815,0.0044026625868068,-0.0001207018707741,495123200.0,17.75292520240154,0.1420234016192123,8789885135.573698,4.776085297500626e-09,2.723719620204421e-09
37,37,0.02,235,2.25,100000.0,0.01715,0.00243,0.81,6223360000000.0,14.0,0.0139999999999999,235.0,0.0178748185389471,0.0558685244735219,0.0014883178026185,0.0193476725419965,-0.000294032625002,871270399.9999999,13.14698661068715,0.1840578125496201,11454580283.088036,8.603606265529293e-09,4.880055114626099e-09
38,38,0.02,240,2.25,100000.0,0.01715,0.00243,0.81,6257000000000.0,17.0,0.017,240.0,0.0153116597007828,0.0394875477896276,0.0015570124386723,0.0058824162733406,-0.0003102975558431,1063690000.0,15.674329542977569,0.2664636022306186,16672627591.56981,1.0740279665186053e-08,6.068103507290693e-09
39,39,0.02,245,2.25,100000.0,0.01715,0.00243,0.81,6289960000000.0,9.0,0.009,245.0,0.0207130274083348,0.0362210454541679,0.0014052700325476,0.0029095736783677,-0.0004275558699269,566096400.0000001,11.828304726783358,0.1064547425410502,6695960723.935044,5.840398776305097e-09,3.285603844546595e-09
40,40,0.02,250,2.25,100000.0,0.01715,0.00243,0.81,6322270000000.0,18.0,0.018,250.0,0.013837301892815,0.0466712727734564,0.0021629972762989,0.0132188370308504,-0.0001450532201035,1138008600.0000002,18.067105996278944,0.325207907933021,20560522000.87701,1.2000463351710023e-08,6.721846426461904e-09
41,41,0.02,255,2.25,100000.0,0.01715,0.00243,0.81,6353960000000.0,20.0,0.02,255.0,0.0210670759993464,0.04602770266186,0.0021074056314799,0.0134049858521917,0.0001065095805486,1270792000.0,12.104195191013243,0.2420839038202649,15381914415.178102,1.3687387765338712e-08,7.630849048389663e-09
42,42,0.02,260,2.25,100000.0,0.01715,0.00243,0.81,6385040000000.0,12.0,0.012,260.0,0.023804798878908,0.0345929317947344,0.0021346828390507,0.0170646847858231,7.725503893284593e-05,766204800.0,10.922167472306151,0.1310660096676738,8368617143.684841,8.419525817980628e-09,4.678627562329407e-09
43,43,0.02,265,2.25,100000.0,0.01715,0.00243,0.81,6415530000000.0,12.0,0.012,265.0,0.0203844449868602,0.0248764543216255,0.0016340154883427,0.0118807487213389,1.035622611520356e-05,769863600.0,13.00010866966544,0.1560013040359852,10008310460.819847,8.635492748354362e-09,4.77568065506653e-09
44,44,0.02,270,2.25,100000.0,0.01715,0.00243,0.81,6445450000000.0,13.0,0.013,270.0,0.0191199903197369,0.0431161818932853,0.0012210317669394,0.0088170231707964,-0.0002292237633558,837908500.0,14.121346061628865,0.1835774988011752,11832395896.480349,9.587680309572722e-09,5.281723744508111e-09
45,45,0.02,275,2.25,100000.0,0.01715,0.00243,0.81,6474830000000.0,17.0,0.017,275.0,0.0167919691174153,0.0453640319605817,0.0020775485926912,0.0085775234408129,-0.0003183215138515,1100721100.0,16.376876236318903,0.2784068960174213,18026373225.4048,1.2845583775626365e-08,7.049916577266104e-09
46,46,0.02,280,2.25,100000.0,0.01715,0.00243,0.81,6503670000000.0,15.0,0.015,280.0,0.0177945548349585,0.0353907183056545,0.0021600827802145,0.0105277392221923,0.0003183853292607,975550500.0,15.735150589433234,0.2360272588414984,15350434025.096884,1.1601448624007112e-08,6.350330681803387e-09
47,47,0.02,285,2.25,100000.0,0.01715,0.00243,0.81,6531990000000.0,16.0,0.016,285.0,0.021452779310256,0.0337220592594192,0.0022034814082208,0.0096200724743443,1.8472474804516893e-05,1045118400.0,13.284991929402272,0.2125598708704363,13884389509.269815,1.2658819516937716e-08,6.920740998261732e-09
48,48,0.02,290,2.25,100000.0,0.01715,0.00243,0.81,6559810000000.0,16.0,0.016,290.0,0.0155791504090153,0.0440451781244999,0.0017622086936784,0.016933515887482,-0.0001316610713274,1049569600.0,18.614622260285937,0.297833956164575,19537341639.87941,1.2951857240757242e-08,7.072428454950372e-09
49,49,0.02,295,2.25,100000.0,0.01715,0.00243,0.81,6587140000000.0,15.0,0.015,295.0,0.0222624295953055,0.0434334481268353,0.0018425006272133,0.0056784020687828,-2.1782884860809005e-06,988071000.0,13.251024500138415,0.1987653675020762,13092953028.876265,1.2412051096348445e-08,6.768954107322688e-09
50,50,0.02,300,2.25,100000.0,0.01715,0.00243,0.81,6613990000000.0,18.0,0.018,300.0,0.0182912468916512,0.0450056581914901,0.0014773023132523,0.0111787821803317,-0.0001707531083354,1190518200.0000002,16.401287554482153,0.2952231759806787,19526031337.0445,1.5216661675060646e-08,8.294039947331388e-09
51,51,0.02,305,2.25,100000.0,0.01715,0.00243,0.81,6640390000000.0,16.0,0.016,305.0,0.0209321004336716,0.0425272669897354,0.0014370726326186,0.0091097492946118,4.712079976533172e-05,1062462400.0,14.57092187028558,0.2331347499245692,15481056620.516106,1.3821818214306128e-08,7.521245349936111e-09
52,52,0.02,310,2.25,100000.0,0.01715,0.00243,0.81,6666330000000.0,18.0,0.018,310.0,0.0189636333954886,0.0457622552331363,0.0019573945580142,0.0082874436923334,-5.133402150417744e-05,1199939400.0000002,16.34707830165857,0.2942474094298543,19615503329.045208,1.58804980872344e-08,8.63365135555172e-09
53,53,0.02,315,2.25,100000.0,0.01715,0.00243,0.81,6691840000000.0,24.0,0.024,315.0,0.0221161884105946,0.037663431805435,0.0022531702743217,0.0124538569210936,7.529954152143559e-05,1606041600.0,14.242960593024272,0.3418310542325825,22874787219.557648,2.1619731588522943e-08,1.1736981496097521e-08
54,54,0.02,320,2.25,100000.0,0.01715,0.00243,0.81,6716920000000.0,27.0,0.027,320.0,0.0257986485476105,0.0348907981009768,0.0018885496070985,0.0188569920533025,-0.0002702217032258,1813568400.0,12.403750506909343,0.3349012636865522,22495049960.81477,2.4815744483247807e-08,1.3464959016393445e-08
55,55,0.02,325,2.25,100000.0,0.01715,0.00243,0.81,6741590000000.0,18.0,0.018,325.0,0.0194573783220591,0.0440559420124509,0.0018993950382609,0.0084343310282717,-0.0002358110278223,1213486200.0000002,16.70317524902842,0.3006571544825115,20269072660.877552,1.6870989416042932e-08,9.146754504648808e-09
56,56,0.02,330,2.25,100000.0,0.01715,0.00243,0.81,6765860000000.0,13.0,0.013,330.0,0.0282366802898291,0.0415230933646071,0.0020795031862411,0.0115501509996424,4.59533239529414e-05,879561800.0,11.686926246739624,0.1519300412076151,10279373886.04955,1.2428224852528428e-08,6.732250533873202e-09
57,57,0.02,335,2.25,100000.0,0.01715,0.00243,0.81,6789730000000.0,28.0,0.0279999999999999,335.0,0.0230755707259494,0.0349817364163454,0.0019735470914142,0.0169069714860883,7.134892507552006e-05,1901124400.0,14.51751742041543,0.406490487771632,27599606595.37683,2.7283202764634067e-08,1.4766301481582165e-08
58,58,0.02,340,2.25,100000.0,0.01715,0.00243,0.81,6813220000000.0,29.0,0.029,340.0,0.0210856144256724,0.0359010106974265,0.0020480537565198,0.0052643282749904,-0.0001298513384408,1975833800.0,16.12473761191605,0.4676173907455655,31859801589.75502,2.8789341469112625e-08,1.5576634659350712e-08
59,59,0.02,345,2.25,100000.0,0.01715,0.00243,0.81,6836340000000.0,23.0,0.023,345.0,0.0185489699882445,0.0396739066267396,0.0020711569875658,0.0090683187657505,8.871594038286169e-05,1572358200.0,18.59941550493879,0.4277865566135921,29244943484.397648,2.326644578782684e-08,1.2573685241680426e-08
60,60,0.02,350,2.25,100000.0,0.01715,0.00243,0.81,6859090000000.0,18.0,0.018,350.0,0.0279685278064545,0.033420098518093,0.0024925719772261,0.0133480559117672,-0.0002742994040226,1234636200.0000002,12.51406589656917,0.225253186138245,15450318765.089756,1.854634908397257e-08,1.0016763348126277e-08
