,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2000,1000000.0,7282370000000.0,,,,2000.0,,,,,,,,,,,
1,1,3000,1000000.0,7590970000000.0,3.0,10.0,0.001,3000.0,0.5413148004341599,0.0156419312296792,0.0104465259399249,0.0010412070884115,0.0008227110316511,75909700.0,5.542061657271996,0.0055420616572719,420696237.78502,9.853850364858843e-09,4.455683645797871e-09
2,2,4000,1000000.0,7650350000000.0,4.0,17.0,0.0017,4000.0,0.5175103554834548,0.0102081900445211,0.0121718058341713,-0.0003119968471607,0.0016481436931169,130055950.0,7.729313930855018,0.0131398336824535,1005243266.1255838,2.2421761588019123e-08,7.044254090680128e-09
3,3,5000,1000000.0,7571910000000.0,5.0,34.0,0.0034,5000.0,0.8009212093064251,0.009835264059992,0.012470138524736,0.00027387180993,0.0002908729636243,257444940.0,6.242811330130535,0.0212255585224438,1607180188.3167758,5.14683719010338e-08,1.1073662703669933e-08
4,4,6000,1000000.0,7410190000000.0,6.0,31.0,0.0031,6000.0,1.189558747875096,0.0112888037634877,0.011341900339311,0.0001725065394635,-4.35400855853044e-05,229715890.00000003,5.043887080581582,0.0156360499498029,1158661009.7753,4.644225513823909e-08,7.454967903991071e-09
5,5,7000,1000000.0,7196220000000.0,7.0,58.0,0.0058,7000.0,2.17088437287407,0.0121602614780653,0.0112221425547987,0.0011659998726879,0.0007254725911179,417380760.0,3.22449232555513,0.0187020554882197,1345841057.4543676,7.811237097063849e-08,1.0513025014294244e-08
6,6,8000,1000000.0,6949360000000.0,8.0,70.0,0.0069999999999999,8000.0,2.619697517469345,0.0114506580536052,0.0115022273083269,-0.000156774731306,0.0011767467427761,486455200.0,3.053787678406506,0.0213765137488455,1485530895.8567724,8.057005547790918e-08,9.827218954037103e-09
7,7,9000,1000000.0,6682400000000.0,9.0,84.0,0.0084,9000.0,2.9907376290718,0.0108106071618584,0.0126681917049571,-0.0006563665673752,0.000532148223189,561321600.0,3.0092910566659183,0.0252780448759937,1689180070.793404,8.068382012219066e-08,8.676858581767705e-09
8,8,10000,1000000.0,6404160000000.0,10.0,94.0,0.0093999999999999,10000.0,3.277745456475127,0.0110795652554735,0.0118923113337165,-0.0007188175488502,9.987621764397156e-05,601991039.9999999,3.0508775415263503,0.0286782488903476,1836600944.1360905,7.462799575053958e-08,7.379746829236e-09
9,9,11000,1000000.0,6120870000000.0,11.0,90.0,0.009,11000.0,4.515235875398948,0.0120210697182023,0.0124189277594183,0.0003860749540075,4.338867789632553e-05,550878300.0000001,2.436196093305554,0.0219257648397499,1342047562.346805,5.8927702664043656e-08,6.753160956880553e-09
10,10,12000,1000000.0,5836990000000.0,12.0,87.0,0.0087,12000.0,5.2741267066656805,0.012163336718727,0.0106535807983266,-0.0005239965247547,0.0012098780968597,507818130.0,2.275258192950476,0.0197947462786691,1155417360.8112895,4.704586012790473e-08,6.2252907197689445e-09
11,11,13000,1000000.0,5555780000000.0,13.0,108.0,0.0107999999999999,13000.0,7.586986949641869,0.0117234805103181,0.0176681440287478,-0.0001546203395847,0.001578671804858,600024239.9999999,1.7134601767851525,0.0185053699092796,1028117640.3457766,4.8392829664525554e-08,7.355636028411221e-09
12,12,14000,1000000.0,5279600000000.0,14.0,110.0,0.011,14000.0,8.681065265620418,0.014712664046322,0.0146060541494769,0.0006659415521892,8.407069030839706e-05,580756000.0,1.6127053042031758,0.0177397583462349,936588281.6478196,4.1007902241134737e-08,7.1194286372763675e-09
13,13,15000,1000000.0,5010160000000.0,15.0,103.0,0.0103,15000.0,11.848202102617506,0.0128982905673277,0.0127381234606235,-0.0005418083790955,0.0018432189426002,516046480.0,1.2660148662290458,0.0130399531221591,653322515.3451699,3.2088893488882455e-08,6.3261612241245315e-09
14,14,16000,1000000.0,4748680000000.0,16.0,112.0,0.0112,16000.0,10.38670256953992,0.0117043827936977,0.0130713750518551,0.0001458448863699,0.0007150539142084,531852160.0,1.5404311322942523,0.0172528286816956,819281625.0419439,2.9285744955902508e-08,6.519921444980839e-09
