,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
15,15,17000,1000000.0,4496010000000.0,17.0,123.0,0.0123,17000.0,7.165993851340318,0.0154047715181992,0.0128532510892075,0.0008480267107292,0.0009573382697823,553009230.0,2.372315739123938,0.0291794835912244,1311912500.2098098,2.7107689771695442e-08,6.779283810653963e-09
16,16,18000,1000000.0,4252710000000.0,18.0,114.0,0.0114,18000.0,14.047985930395951,0.007042395286197,0.0095057640277232,-0.0003827380865356,0.0006109081632108,484808940.0,1.2813224678032302,0.0146070761329568,621196587.4138682,2.1260290763520643e-08,5.943223403707581e-09
17,17,19000,1000000.0,3795430000000.0,20.0,90.0,0.009,20000.0,11.859994463226537,0.0113161309842819,0.0116386054979147,-0.0006525234714011,0.0019508913532829,341588700.00000006,1.6863414280683364,0.015177072852615,576035176.1700066,1.2150850643400954e-08,4.187501072653587e-09
18,18,20000,1000000.0,3581670000000.0,21.0,120.0,0.012,21000.0,17.994807191375003,0.0078698377682639,0.0104188383414948,-0.0002243626508478,0.0016854980182975,429800400.0,1.167003334721219,0.0140040400166546,501578500.0645138,1.3854614309610964e-08,5.268879316051556e-09
19,19,21000,1000000.0,3377790000000.0,22.0,127.0,0.0127,22000.0,1.9162558409880148,0.0155292499260995,0.015031809684976,5.814077375513196e-05,0.0006236706767834,428979330.0,11.480721691450594,0.1458051654814225,4924992299.114943,1.2592638427297205e-08,5.258813902571181e-09
20,20,22000,1000000.0,2999030000000.0,24.0,75.0,0.0075,24000.0,14.554026336171216,0.0116519225406194,0.0117209165765776,-0.0002218126903612,0.0010280324332356,224927250.0,1.649028210176633,0.0123677115763247,370911380.487452,6.602713309511404e-09,2.757360242431968e-09
21,21,23000,1000000.0,2823720000000.0,25.0,93.0,0.0093,25000.0,17.062213153364898,0.0123289194851893,0.0109439294338327,0.0003360315194563,0.000617785210874,262605960.0,1.4652260978857636,0.0136266027103376,384777106.0523449,7.708767467032206e-09,3.2192597096602563e-09
22,22,24000,1000000.0,2657430000000.0,26.0,77.0,0.0077,26000.0,16.785813026110418,0.0111026470508517,0.0125621193753452,8.958550710435771e-05,0.0010220687579896,204622110.0,1.5489270587940462,0.0119267383527141,316944723.00653183,6.0066582822548474e-09,2.5084415998352407e-09
23,23,25000,1000000.0,2499860000000.0,27.0,79.0,0.0078999999999999,27000.0,16.551962592166134,0.0117602465219628,0.0125446488598656,0.0005314547430878,0.0004202466882535,197488940.0,1.6312264995559385,0.0128866893464919,322149192.2972127,5.797264905071747e-09,2.42099679552403e-09
24,24,26000,1000000.0,2076230000000.0,30.0,62.0,0.0062,30000.0,20.72489434822125,0.0118538230116995,0.0109809930009978,0.0006091189908175,0.0007163212313825,128726260.0,1.4475345203665562,0.0089747140262726,186335705.02768064,3.778744417075413e-09,1.5780421068632668e-09
25,25,27000,1000000.0,1950280000000.0,31.0,44.0,0.0044,31000.0,19.46588378098895,0.0123943293525297,0.0120180322911608,-0.0008915101416278,-0.0002021800616863,85812320.0,1.5925297997656631,0.0070071311189689,136658676.787027,2.519010690719118e-09,1.0519644884239222e-09
26,26,28000,1000000.0,1831390000000.0,32.0,27.0,0.0026999999999999,32000.0,17.975314970484362,0.0132615618809911,0.011371152311213,0.0011867287207731,0.001501549584685,49447529.99999999,1.780219153463753,0.0048065917143521,88027439.99747352,1.451526502251125e-09,6.061722326150433e-10
27,27,29000,1000000.0,1719250000000.0,33.0,10.0,0.001,33000.0,21.756898067788395,0.0103210158428663,0.0124553111721983,0.0004245660280869,-0.0002689917610365,17192500.0,1.516760334914529,0.0015167603349145,26076902.058018044,5.046838414366193e-10,2.1076110594875286e-10
28,28,30000,1000000.0,,,,,,,,,,,,,,,,
29,29,31000,1000000.0,,,,,,,,,,,,,,,,
30,30,32000,1000000.0,,,,,,,,,,,,,,,,
31,31,33000,1000000.0,,,,,,,,,,,,,,,,
