,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,0.0006,3746.0,0.3746,150.0,0.0001196998598799,0.0208065328972001,0.0012779033706325,-0.0001345674923358,-2.1022691241899403e-05,9027860000000.0,5843760000000.0,4719960000000.0,5.154819936969244,1.9300534949341757,46514289227913.64,30108834520973.14,24318674036170.61,5.509360312024646e-05,3.566224932264917e-05,2.880412445290894e-05,3.576353235722888e-05,2.314983837231413e-05,1.8697946377638332e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,0.00062,3492.5,0.34925,155.0,0.0001334780266403,0.0228166943182694,0.0012219128589787,-0.0001535098946742,-1.2045543719563883e-06,8416925000000.0,5448300000000.0,4400550000000.0,4.671570238125472,1.6299769104552886,39282443541972.45,25427639803102.5,20537709071736.637,5.3273957915001264e-05,3.448438769601741e-05,2.7852774677552525e-05,3.427030911548672e-05,2.2183270630771486e-05,1.7917257047930817e-05
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,0.00064,3246.0,0.3246,160.0,0.000116712777924,0.0194739061421642,0.0013102704572942,-0.0002153054456867,-8.05754136881253e-06,7822860000000.0,5063760000000.0,4089960000000.001,5.527166058055409,1.790582836964007,43153046370832.56,27933092256638.52,22561343745746.49,5.1093065781132095e-05,3.307268988322243e-05,2.671255721337197e-05,3.276233792340939e-05,2.120715649814052e-05,1.7128857171575035e-05
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,0.00066,2952.5,0.29525,165.0,0.0001206706594132,0.020787854991449,0.0013424586321949,-1.7725525699868457e-05,5.418675940379431e-07,7115525000000.0,4605900000000.0,3720150000000.0,5.516236393906948,1.6305234211430726,39295614449548.05,25436165369831.93,20544595106402.71,4.781270969898997e-05,3.094930586324662e-05,2.499751627416073e-05,3.052733528682423e-05,1.9760432799770043e-05,1.5960349569045036e-05
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,0.00068,2805.0,0.2804999999999999,170.0,0.000135497944214,0.0197096631490494,0.0013600553107083,3.807131050705514e-06,-3.437073688457673e-06,6748780136501.035,4375800000000.001,3534300000000.0,5.018527719792552,1.4076996712684733,33869003848897.36,21960114871788.18,17737015857982.76,4.680344316924952e-05,3.0346596344474148e-05,2.451071243207527e-05,2.9678273936011024e-05,1.924291330618563e-05,1.5542353054996088e-05
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,0.0007,2692.0,0.2692,175.0,0.0001511247287879,0.0230633106187996,0.0012997830194186,-0.0002477022820916,-1.5312311117877492e-05,6460800000000.0,4199520000000.001,3391920000000.0,4.657526288698199,1.254116791609452,30098802998626.85,19564221949107.453,15801871574279.096,4.6403073756961086e-05,3.0161997942024703e-05,2.4361613722404568e-05,2.900777410860405e-05,1.8855053170592632e-05,1.5229081407017128e-05
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,0.00072,2516.5,0.25165,180.0,0.0001555571445521,0.0208354849540536,0.0013190905253263,-0.0001820681528185,-1.3594732025040792e-05,6039600000000.0,3925740000000.0,3170790000000.0,4.655691428648848,1.171017935838116,28104430460114.78,18267879799074.605,14754825991560.262,4.484370999077376e-05,2.914841149400294e-05,2.3542947745156225e-05,2.769759922955217e-05,1.8003439499208918e-05,1.4541239595514891e-05
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,0.00074,2509.0,0.2509,185.0,0.0001477097040946,0.0195147454782735,0.0014818247319882,-0.0002156892013994,-6.332259721237899e-06,6021600000000.0,3914040000000.001,3161340000000.0,5.009826646932726,1.2569643774427737,30167145058626.56,19608644288107.27,15837751155778.943,4.602875439423336e-05,2.991869035625169e-05,2.416509605697252e-05,2.8128393954469333e-05,1.828345607040507e-05,1.47674068260964e-05
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,0.0007599999999999,2506.5,0.25065,190.0,0.0001514720771779,0.0218257960689546,0.0011240192947192,-0.0002376395713084,-1.1981178877730764e-07,6015600000000.0,3910140000000.0,3158190000000.0,5.159612267922806,1.2940705075132184,31057692180317.24,20187499917206.207,16305288394666.553,4.72970896726757e-05,3.074310828723921e-05,2.4830972078154744e-05,2.8632625085675115e-05,1.861120630568883e-05,1.503212816997944e-05
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,0.00078,2506.5,0.25065,195.0,0.0001554802773568,0.0187878661508244,0.0013603195157727,-0.0001849711102316,-1.929513356929832e-05,6015600000000.0,3910140000000.001,3158190000000.0,5.162541465269028,1.3020169225994809,31248406142387.53,20311463992551.9,16405413224753.455,4.8665791877629966e-05,3.163276472045948e-05,2.554954073575573e-05,2.9139066431898163e-05,1.8940393180733805e-05,1.5298009876746534e-05
