,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,500,2,100000.0,1.17577026432641,,0.5,2570.0,0.0004171392157928,500.0,0.0445353191799995,0.0088528662718302,0.0065263683741404,-0.0001903684097815,4.304538371313962e-05,5598536539.480533,2917238077.294056,1781259536.4941332,1142006202.4681287,747379990.1516584,11.227044269720787,0.0046832404423424,62855017574.39736,32751961039.09552,19998279672.081963,12821354191.4054,8390868235.736155,1.2148328244321708e-07,6.330148152090196e-08,3.865175369502349e-08,2.4780522743397882e-08,1.6217483586242197e-08,6.793153307529428e-08,3.5397188807951724e-08,2.161345027682217e-08,1.3856876983489884e-08,9.068560714531178e-09
1,1,0.02,502,2,100000.0,1.17662360156545,,0.502,2588.0,0.0003661155934883,502.0,0.0297055133024741,0.0097020625689249,0.0061539406007133,-0.0001553050407609,5.50762233435223e-05,4908406527.744893,2560407436.125487,1563379485.002278,1002318321.449116,655961986.5412891,16.899219848127938,0.0061870679041882,82948241016.34721,43268888163.86619,26419893623.10653,16938397671.97518,11085245822.575983,1.0693805275584944e-07,5.5782866381007133e-08,3.406090284078351e-08,2.1837223329283883e-08,1.4291256668752842e-08,5.98309188544534e-08,3.1210032966756935e-08,1.9056781580164576e-08,1.2217738245186936e-08,7.995834934721551e-09
2,2,0.02,504,2,100000.0,1.17747901516844,,0.504,2594.0,0.0003128941070417,504.0,0.0405986106333102,0.0099310153790003,0.0062776156321512,-0.000234684676941,-7.69333559192557e-06,4190310449.218673,2188206163.95018,1336114158.0076158,856613325.789318,560606113.7045944,12.414217928592834,0.0038843356333889,52019427105.06034,27164868191.967674,16586812334.98486,10634184506.885284,6959486467.630327,9.16635832111284e-08,4.7867292942400335e-08,2.9227670070348653e-08,1.8738527328659264e-08,1.2263331267450617e-08,5.131315764412264e-08,2.6796049889227883e-08,1.6361612642130784e-08,1.0489803836486489e-08,6.864997292538693e-09
3,3,0.02,506,2,100000.0,1.17837189466193,,0.506,2609.0,0.0002621530744015,506.0,0.0334427074255927,0.0093952596249427,0.0066473503921134,-0.000235492971719,-2.210013765757852e-05,3506922199.135029,1833351796.642502,1119440815.2478435,717699093.3197602,469694420.343699,15.13035393817346,0.0039664688016751,53060974106.55061,27739261576.38727,16937535747.53732,10859041303.034157,7106642822.585386,7.701879895532283e-08,4.026395380964424e-08,2.458508692129576e-08,1.5762061157913857e-08,1.03153985394403e-08,4.314349200535976e-08,2.255459177308433e-08,1.3771787088698732e-08,8.829407479450843e-09,5.778359575259064e-09
4,4,0.02,508,2,100000.0,1.1791362468331,,0.508,2603.0,0.0002146872159752,508.0,0.0472613526186478,0.0086281004657129,0.0061985940981659,-0.000186622577739,6.486062708671654e-05,2868776076.634966,1501402163.6901717,916753055.913327,587751338.0476875,384650791.11859214,10.74874018310596,0.0023076171051526,30835728691.25932,16138181767.85878,9853940410.08076,6317586424.947474,4134511414.959908,6.325757201516376e-08,3.3106472222383475e-08,2.0214743467389075e-08,1.2960134078213505e-08,8.481692007281114e-09,3.545698057259356e-08,1.855675937316672e-08,1.1330718893721696e-08,7.264382865015251e-09,4.754137396433708e-09
5,5,0.02,510,2,100000.0,1.18000708146274,,0.51,2537.0,0.0001635689954143,510.0,0.0396915325923146,0.0094154642560156,0.0061234412971602,-5.7171617816318265e-05,-9.011110942954056e-05,2183282454.2711663,1143909955.2902267,698469052.8382627,447804474.4357007,293063297.7039044,12.849088122607546,0.0021017124362048,28053188651.47309,14698199819.85218,8974690410.833063,5753879153.722276,3765596137.699437,4.834242453771765e-08,2.5328550863118642e-08,1.5465560771905095e-08,9.915324501742854e-09,6.4890322946121514e-09,2.7110676900310264e-08,1.420437980447854e-08,8.673164930776294e-09,5.560564276596202e-09,3.639082226785117e-09
6,6,0.02,512,2,100000.0,1.18089388467086,,0.512,2509.0,0.0001261968272934,512.0,0.04273591246573,0.0094715455087779,0.0063598811421685,-0.0001115618104132,-8.067673774921136e-05,1682573124.514841,882549939.8667812,538883167.9717467,345490316.04942423,226104331.5250456,11.980556175337853,0.001511908178538,20158161837.36378,10573439132.115011,6456120065.829535,4139166139.465355,2708855645.323021,3.739625598655007e-08,1.9615232759461214e-08,1.1977020554233124e-08,7.678741631858506e-09,5.025312325618218e-09,2.0985502790979768e-08,1.1007399296000107e-08,6.721095244370975e-09,4.309047782872586e-09,2.8200337989111902e-09
7,7,0.02,514,2,100000.0,1.18169303123046,,0.514,2565.0,0.000102689454986,514.0,0.0404279301830001,0.0090587948703785,0.0054762968821141,-0.0001331022725926,8.040834118336565e-06,1367617062.2584174,718152542.0777776,438502456.8924141,281133947.8099122,183986642.7094409,12.713982577721367,0.0013055919416085,17387859502.548,9130578908.123177,5575112597.218168,3574332114.461252,2339202969.9412785,3.052165008321975e-08,1.6027293897223215e-08,9.786232505611637e-09,6.274177339816595e-09,4.106102566087204e-09,1.713300010997276e-08,8.996749106125781e-09,5.493396396908558e-09,3.5219419906843566e-09,2.3049165272689035e-09
8,8,0.02,516,2,100000.0,1.18256256858225,,0.516,2527.0,7.523407429244244e-05,516.0,0.0377913955110216,0.0083927905110927,0.0061165989611831,-4.6927953111364856e-05,-2.1969164808613472e-05,1000836787.1882696,526144984.5197387,321263039.36210185,205969077.5311626,134795386.2282833,13.65390171552442,0.0010272386560474,13665327125.549864,7183931906.748631,4386493964.280792,2812281541.047724,1840482955.2671344,2.2428772525522377e-08,1.1790919682709303e-08,7.199511171999991e-09,4.6157711690598754e-09,3.0207673158154796e-09,1.2594014831251304e-08,6.620737590037839e-09,4.04260867930915e-09,2.5918088247875862e-09,1.69619573848049e-09
9,9,0.02,518,2,100000.0,1.18333929872482,,0.518,2527.0,5.587147159075447e-05,518.0,0.0416663665263286,0.0085056181573725,0.0062737383807653,-0.0002178823743637,5.004657147535967e-05,742415368.6068974,390733784.281646,238581240.55740795,152959886.48872444,100103798.21972296,12.432089552917471,0.0006945991382695,9229774347.98318,4857637397.53976,2966063348.2558413,1901611006.8319128,1244499384.0547764,1.6703262244742806e-08,8.790939873704094e-09,5.367729705251458e-09,3.441374202343688e-09,2.252189359302168e-09,9.384012125739332e-09,4.938812859592678e-09,3.0156289174963203e-09,1.9333886261747396e-09,1.2652960809379948e-09
10,10,0.02,520,2,100000.0,1.18413280440169,,0.52,2593.0,3.981019977406346e-05,520.0,0.0355987983564318,0.0084905172719815,0.0066768173407475,-9.694169111555088e-05,-6.385738872537591e-05,528390295.87888247,278410243.5079264,169996718.87121034,108988782.02345128,71327138.73119403,14.60723462611058,0.000581516928612,7718321026.062826,4066803749.2328606,2483181958.2207294,1592024710.6305757,1041892250.6556904,1.1933910130482733e-08,6.288008790742431e-09,3.8394451626170414e-09,2.461556050599342e-09,1.610952491219972e-09,6.708815015107585e-09,3.534892363795176e-09,2.1583979663843387e-09,1.3837982699909764e-09,9.056195449399067e-10
11,11,0.02,522,2,100000.0,1.184814908884,,0.522,2564.0,2.2040394145529324e-05,522.0,0.041119048956034,0.0092559977977516,0.0059610860248672,-0.0002103487737763,5.9738380714826414e-05,292200962.8074166,154138174.0331106,94116450.2723564,60340207.45615709,39489333.38266198,12.69484614194607,0.0002797994125853,3709446265.36866,1956760403.9508457,1194793855.633683,766009649.8290212,501311011.5409086,6.6253491695049075e-09,3.494920802134165e-09,2.133991413504265e-09,1.3681506710875803e-09,8.95379055624663e-10,3.726536895621558e-09,1.965775838105979e-09,1.2002986610828703e-09,7.695389064238942e-10,5.036207150726568e-10
12,12,0.02,524,2,100000.0,1.18564428721044,,0.524,2515.0,1.5335685472899374e-05,524.0,0.0401289315509529,0.0090805020699729,0.0060240493586109,-0.0001477812230847,-1.471189447037149e-05,203078544.79682395,107249196.2135934,65486137.392665446,41984659.47601134,27476640.94808435,13.0579105834069,0.0002002520096403,2651781479.36532,1400450414.2993643,855112126.5261244,548231929.3125433,358787520.632462,4.622234294884644e-09,2.441079698169261e-09,1.4905182150026904e-09,9.556052958879987e-10,6.253908911230957e-10,2.6015325529126913e-09,1.373913110823844e-09,8.389085039090581e-10,5.378434164922479e-10,3.5198881271604027e-10
13,13,0.02,526,2,100000.0,1.18623535979449,,0.526,2504.0,9.131312703646032e-06,526.0,0.0396069839509891,0.009507068053693,0.0060512648129293,-0.0001957832827022,-8.178200913654166e-06,120778859.40291528,63859287.51418631,38992348.88085522,24998886.10189878,16360390.344868524,13.280486104442788,0.000121268271476,1604001964.0108654,848082380.471768,517837347.491783,331997359.50281465,217273936.63828635,2.759721969994012e-09,1.4591450822792787e-09,8.909509694009431e-10,5.712090306353961e-10,3.7382476449617617e-10,1.554197845964327e-09,8.217494981325297e-10,5.017585439977414e-10,3.216888710752374e-10,2.1052760026740643e-10
14,14,0.02,528,2,100000.0,1.18691311580508,,0.528,2562.0,4.21877621023775e-06,528.0,0.0418088511747782,0.0093688696971779,0.0062819123771633,-0.0001724740357736,1.500893301739104e-05,55736513.44622741,29503758.299725093,18014933.79743304,11549785.818529991,7558696.960358772,12.628904769297336,5.327852300206967e-05,703891120.4850664,372600153.9035941,227508883.35297787,145861145.20799616,95458064.0923482,1.2783871120516463e-09,6.767058438960947e-10,4.1319518870373184e-10,2.6490887973483406e-10,1.7336823171311332e-10,7.20467061533693e-10,3.8137451971965807e-10,2.3286649297291315e-10,1.4929603119233242e-10,9.770600727128808e-11
15,15,0.02,530,2,100000.0,1.18740617352132,,0.53,2579.0,2.8490157679271147e-06,530.0,0.0493769666254593,0.0090217924699718,0.0064132108893553,-0.0002463495482885,5.597206450308094e-05,37595675.366617866,19924420.8320522,12165810.151887009,7799778.958011741,5104524.571079653,10.73374968576393,3.0580622103724155e-05,403542568.65251726,213863745.8450686,130584760.8948808,83720874.93958664,54790689.01080049,8.656343028223877e-10,4.5875654494579557e-10,2.8011579753263595e-10,1.7958864030628044e-10,1.1753084697208856e-10,4.881800782297002e-10,2.587187283011092e-10,1.5797312041239088e-10,1.0128017823234772e-10,6.628228327154185e-11
16,16,0.02,532,2,100000.0,1.18810554884438,,0.532,2495.0,1.4039931765719516e-06,532.0,0.0401011293134843,0.0084686745147675,0.006395080729506,-0.0001805867099015,3.81262546555932e-05,18505309.62260004,9818742.040765349,5995303.582734017,3843726.1594327977,2515506.4946004343,13.266459301960632,1.8626018337222224e-05,245499936.9784038,130259941.68026336,79536450.9832396,50992636.66199665,33371864.53443431,4.277684619430883e-10,2.2696989494650798e-10,1.3858734842976839e-10,8.88515167205273e-11,5.8148410707428597e-11,2.4136669858662347e-10,1.2806688453128623e-10,7.819737482380744e-11,5.013412432939264e-11,3.281001562564559e-11
17,17,0.02,534,2,100000.0,1.18943277689967,,0.534,2583.0,1.4775636666193466e-06,534.0,0.0403253232869929,0.0094340735057926,0.0058247659932034,-0.0001114172799661,6.486439060900928e-05,19451983.96816927,10333252.848682404,6309462.817924602,4045140.825740452,2647321.270208551,13.242299291677195,1.9566340295881336e-05,257588993.5234041,136836026.87882838,83551795.00466657,53566965.491437286,35056620.581324674,4.512922649940876e-10,2.3973477926310357e-10,1.4638156039284243e-10,9.38485641596112e-11,6.141870228530131e-11,2.5485456911133437e-10,1.3538345017036704e-10,8.266485467073399e-11,5.2998327770870346e-11,3.468447859726304e-11
18,18,0.02,536,2,100000.0,1.19165789569026,,0.536,2549.0,2.9830871911328767e-06,536.0,0.0435802607032655,0.009369015507931,0.0066381675959773,-6.179063441974027e-05,1.5941725323192571e-06,39224711.34674501,20862041.28595631,12738319.261831788,8166827.634036388,5344737.658608953,12.299146249940538,3.668942564006757e-05,482430461.465319,256585296.8482742,156670451.57970378,100445007.4690694,65735710.13079628,9.13602641223728e-10,4.859083818790106e-10,2.9669465300797806e-10,1.902177234885816e-10,1.244869949045085e-10,5.162315901937915e-10,2.745627533759137e-10,1.6764744935407456e-10,1.0748261163958975e-10,7.034143339594775e-11
19,19,0.02,538,2,100000.0,1.1933953170949,,0.538,2474.0,4.375417856960849e-06,538.0,0.03597938444193,0.0087755261533831,0.006634367334686,-0.0002843011881204,3.6033405439471166e-05,57461614.397508696,30599222.25758428,18683821.82443708,11978625.221180284,7839348.665959613,14.953007349759426,6.542565537340422e-05,859223942.4149896,457550395.31458,279379325.0624032,179116470.97232243,117221838.21942088,1.3436586882690479e-09,7.155195911526865e-10,4.3689478250308557e-10,2.801032310128665e-10,1.8331209548897904e-10,7.596749327471073e-10,4.045389666540931e-10,2.470106563618156e-10,1.5836417762911778e-10,1.036406083093307e-10
20,20,0.02,540,2,100000.0,1.19462031821519,,0.54,2541.0,1.947827376075473e-05,540.0,0.0374608971407042,0.0092960849205705,0.0061311880394626,-0.000191521120961,3.617837170886598e-05,255501386.7648613,136220138.84941253,83175735.04769962,53325864.85755582,34898833.53166903,14.415031171617285,0.0002807799234305,3683060454.6069193,1963617547.716316,1198980813.43477,768694004.1751177,503067773.21209145,5.997191324303952e-09,3.1973925670118075e-09,1.952321288493571e-09,1.2516778015731735e-09,8.191539949529436e-10,3.393261414708232e-09,1.809111672216877e-09,1.1046398454075623e-09,7.082098532546022e-10,4.634842367815458e-10
