,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,7.0,0.006999999999999999,247837800.0,0.002137309582427229,0.06139663216121151,0.025237494279137507
1,1,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,4943630000000.0,152.0,0.152,7514317600.0,0.02013614217179338,0.01677437656430303,0.033650764051241046
2,2,0.1,250,2.25,1,100000.0,0.01715,0.00243,5.72,5711030000000.0,91.0,0.091,5197037300.0,0.038482937259590705,0.13151257088470186,0.030422142828333967
3,3,0.1,350,2.25,1,100000.0,0.01715,0.00243,5.72,6242890000000.0,160.0,0.16,9988624000.0,0.05156095203517452,0.09342129708325315,0.028094512845934567
4,4,0.1,450,2.25,1,100000.0,0.01715,0.00243,5.72,6644880000000.0,219.0,0.219,14552287200.0,0.060184721897257994,0.08459947084378772,0.03263807285650827
5,5,0.1,550,2.25,1,100000.0,0.01715,0.00243,5.72,6962770000000.0,212.0,0.212,14761072400.0,0.11206555749220116,0.072972751096376,0.038898527940554
6,6,0.1,650,2.25,1,100000.0,0.01715,0.00243,5.72,7221090000000.0,124.0,0.124,8954151600.0,0.12397743490646462,0.11448607868454674,0.0385086504125372
7,7,0.1,750,2.25,1,100000.0,0.01715,0.00243,5.72,7434690000000.0,200.0,0.2,14869380000.0,0.1456764997501523,0.1273397252604195,0.041630208080007475
8,8,0.1,850,2.25,1,100000.0,0.01715,0.00243,5.72,7613330000000.0,249.0,0.249,18957191700.0,0.21674431561200436,0.09135964235049734,0.04346417661211296
9,9,0.1,950,2.25,1,100000.0,0.01715,0.00243,5.72,7763820000000.0,290.0,0.29,22515078000.0,0.18765560556596483,0.03948610977391284,0.04006706426059949
10,10,0.1,1050,2.25,1,100000.0,0.01715,0.00243,5.72,7891090000000.0,347.0,0.347,27382082300.0,0.2910732004079364,0.11731232664850921,0.03999675663996091
11,11,0.1,1150,2.25,1,100000.0,0.01715,0.00243,5.72,7998900000000.0,379.0,0.379,30315831000.0,0.3280988271358183,0.099941287207539,0.034819907734496724
12,12,0.1,1250,2.25,1,100000.0,0.01715,0.00243,5.72,8090120000000.0,376.0,0.376,30418851200.0,0.3420740152698727,0.11923539529692793,0.03902473161060728
13,13,0.1,1350,2.25,1,100000.0,0.01715,0.00243,5.72,8167050000000.0,332.0,0.332,27114606000.0,0.4052232518465644,0.08086038923328592,0.04174712652836442
14,14,0.1,1450,2.25,1,100000.0,0.01715,0.00243,5.72,8231550000000.0,372.0,0.372,30621366000.0,0.4410580191467943,0.15370701343604823,0.04353197746506457
15,15,0.1,1550,2.25,1,100000.0,0.01715,0.00243,5.72,8285110000000.0,300.0,0.3,24855330000.0,0.5410764346738688,0.06034285295865224,0.03706086256605354
16,16,0.1,1650,2.25,1,100000.0,0.01715,0.00243,5.72,8329020000000.0,276.0,0.276,22988095200.0,0.4089908866289989,0.09749207197056876,0.04329513962725941
17,17,0.1,1750,2.25,1,100000.0,0.01715,0.00243,5.72,8364330000000.0,238.0,0.238,19907105400.0,0.5802739689204373,0.10711941876848464,0.038661801789159
18,18,0.1,1850,2.25,1,100000.0,0.01715,0.00243,5.72,8391950000000.0,183.0,0.183,15357268500.0,0.48158318558989777,0.15262002732398852,0.03940428019021009
19,19,0.1,1950,2.25,1,100000.0,0.01715,0.00243,5.72,8412650000000.0,126.0,0.126,10599939000.0,0.5113684812799875,0.1584686045217944,0.025052541901992208
20,20,0.1,2050,2.25,1,100000.0,0.01715,0.00243,5.72,8427110000000.0,47.0,0.047,3960741700.0,0.5108812666861495,0.12880598377306487,0.02713432261788547
21,21,0.1,2150,2.25,1,100000.0,0.01715,0.00243,5.72,8435920000000.0,100.0,0.1,8435920000.0,0.5756034273385922,0.01031017358874598,0.04250838140575404
22,22,0.1,2250,2.25,1,100000.0,0.01715,0.00243,5.72,8439580000000.0,55.0,0.055,4641769000.0,0.7240396071200806,0.1373246551809403,0.029368816549384415
23,23,0.1,2350,2.25,1,100000.0,0.01715,0.00243,5.72,8438560000000.0,31.0,0.031,2615953600.0,0.7588577658318695,0.12773024134882227,0.03139580143401165
24,24,0.1,2450,2.25,1,100000.0,0.01715,0.00243,5.72,8433260000000.0,40.0,0.04,3373304000.0,0.8080757893316209,0.11675503597011434,0.028632511781002543
25,25,0.1,2550,2.25,1,100000.0,0.01715,0.00243,5.72,8424040000000.0,31.0,0.031,2611452400.0,0.9232097201418835,0.15967652555590492,0.03534043420914896
