sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
2	2	1	0.0823233706249376	0.0140669741123398	0	-0.000744909805351909	-3.93740183127037e-05	0.999999721779496	2349.95173255345	2.11440063736586	5.59111e+13	5.55914e+13	-9.6812e+09	5.96216e+12
24	2	1	0.0859253008842251	0.00816423651093579	0	-0.000801101638084138	4.25753457170484e-05	0.999999678211702	2350.04480455587	2.24653911766995	5.60233e+13	5.60066e+13	2.18399e+09	-1.34424e+12
26	2	1	0.152278920316365	0.000839825398249228	0	-0.000634743763327147	0.000226965127821759	0.999999772793567	2349.98631192241	2.25956220397006	5.5209e+13	5.31775e+13	2.39668e+10	-1.48375e+13
39	2	1	0.142723568181114	0.00155968328601608	0	-0.000705510934887943	-0.000439294654333629	0.999999654637204	2349.29361946936	2.43662850448936	5.16472e+13	4.38104e+13	-4.45752e+10	2.73505e+13
44	2	1	-0.0481828790322237	-0.0200917675659013	0	0.000112878975108492	2.08186186033583e-05	0.999999993412461	2349.36683126616	-0.513479847687222	5.5986e+13	5.58637e+13	5.87582e+09	-3.69462e+12
54	2	1	-0.0149750497732767	0.0175382078837624	0	0.000614111932908122	0.000459696966357007	0.999999705772573	2350.21857151221	-1.33917136997866	5.31689e+13	4.73834e+13	3.76841e+10	-2.41153e+13
59	2	1	0.0514132925282869	-0.00576056250218304	0	0.00135158523909766	5.39433629735233e-05	0.999999085153309	2349.8274753672	-2.20913726115896	5.59358e+13	5.56813e+13	8.20759e+09	-5.31632e+12
62	2	1	0.10391171342599	0.00762121254681761	0	-0.000689179164688414	0.00011662621264694	0.999999755715173	2350.25605328903	2.11962000878611	5.58072e+13	5.52176e+13	1.30956e+10	-8.0879e+12
63	2	1	0.0069916725993262	-0.0202816667338656	0	0.00109060236885225	-0.00023100618001707	0.999999378611116	2349.10932320956	-1.96862450946924	5.53334e+13	5.35794e+13	-2.15382e+10	1.382e+13
78	2	1	0.0417092064164714	-0.0141588782912083	0	0.000252572493671095	-0.000454677157845078	0.9999998647379	2349.7513437845	-0.225402644739461	5.30154e+13	4.69946e+13	-3.91101e+10	2.45384e+13
84	2	1	-0.0146018731357127	0.0148667749907308	0	0.000285247388774494	-1.45984117836812e-05	0.999999959210406	2350.36126449668	-0.646030989263181	5.59891e+13	5.58811e+13	-5.49457e+09	3.4698e+12
86	2	1	0.0856138253419175	0.0102805162441321	0	0.00015397997401385	-8.28757551775208e-05	0.999999984710889	2350.19103638322	0.227497318697942	5.57843e+13	5.5135e+13	-1.3491e+10	8.48607e+12
