,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.cFactor,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,36,2.25,100000.0,17.15,2.43,0.81,,0.036,53.0,0.053,36.0,0.0010995174790023,0.0388621658081634,0.0054339017788212,0.0043109749666459,0.0002107663984284,1207340000000.0,781750000000.0,633880000000.0,548020000000.0,488713000000.0,32.74163502399551,1.7353066562717618,39530285629870.74,25595773180008.49,20754267609010.28,17943070825850.016,16001262677481.916,1.7779846805214075e-06,1.1512411781251432e-06,9.334809823984212e-07,8.070395784280664e-07,7.197013493892844e-07,3.517672882913146e-07,2.277685470718565e-07,1.846855473206375e-07,1.5966961198122008e-07,1.4239008627454838e-07
1,1,0.02,36,5.0,100000.0,17.15,2.43,0.81,,0.036,43.0,0.043,36.0,0.0006237156170826,0.0317588020531506,0.0056936065217605,0.0044379605586933,-0.0003661120743351,979540000000.0,634250000000.0,514280000000.0,444620000000.0,396503000000.0,57.71861247980713,2.481900336631706,56537689668470.266,36608029965317.67,29683528026115.207,25662849480771.844,22885603004080.965,1.4425158728758589e-06,9.340258614977576e-07,7.57352495153436e-07,6.547679598567332e-07,5.839086419573439e-07,2.8539610182125524e-07,1.847933495111288e-07,1.4983921763749837e-07,1.2954327009797096e-07,1.1552403226048265e-07
2,2,0.02,46,2.25,100000.0,17.15,2.43,0.81,,0.046,62.0,0.062,46.0,0.0012181920449359,0.0392958891138372,0.0056774625772852,-0.0015194729564736,-0.0003249295003629,1412360000000.0,914500000000.0,741520000000.0,641080000000.0,571702000000.0,37.76087702363627,2.3411743754654486,53331952273102.914,34532322038115.367,28000445530566.76,24207743042312.74,21587968916166.902,2.6579707166180726e-06,1.721030205009507e-06,1.3954929662314377e-06,1.206471343715139e-06,1.0759064081622143e-06,7.254256491522518e-07,4.697115155836574e-07,3.808643882291893e-07,3.292757336362724e-07,2.936413481489427e-07
3,3,0.02,46,5.0,100000.0,17.15,2.43,0.81,,0.046,47.0,0.047,46.0,0.0007093160972911,0.0340063489276721,0.0062570357978189,0.0055606823219165,-2.1597919802972364e-05,1070660000000.0,693250000000.0,562120000000.0,485980000000.0,433387000000.0,64.85119987501903,3.0480063941258946,69433585658187.88,44958094313356.95,36454156473745.7,31516386115261.75,28105666960234.875,2.014913285178216e-06,1.304651929603981e-06,1.0578737002077026e-06,9.145831153969602e-07,8.156064707036141e-07,5.499194437121908e-07,3.560716327811596e-07,2.887197781737403e-07,2.496122496920129e-07,2.225990865000049e-07
4,4,0.02,56,2.25,100000.0,17.15,2.43,0.81,,0.056,113.0,0.1129999999999999,56.0,0.0014967916018093,0.0141887161992176,0.0042265602960207,-0.0007026697194486,-0.0001386922630825,2574140000000.0,1666750000000.0,1351480000000.0,1168420000000.0,1041973000000.0,37.41335796667026,4.227709450233738,96307221276324.58,62358714390947.66,50563405024795.52,43714515715416.86,38983708840605.305,6.009734164013916e-06,3.891289680386534e-06,3.1552423442320647e-06,2.7278600200133403e-06,2.432649636802999e-06,1.7123216594913604e-06,1.1087245161324656e-06,8.99006455114867e-07,7.772346777498097e-07,6.931219500513535e-07
5,5,0.02,56,5.0,100000.0,17.15,2.43,0.81,,0.056,90.0,0.09,56.0,0.0009661052718272,0.0338297401744657,0.0056990347334575,0.0014116831975615,-0.0002173751279922,2050200000000.0,1327500000000.0,1076400000000.0,930600000000.0,829890000000.0,57.964697671178136,5.216822790406033,118839223165449.42,76948136158488.98,62393200573256.15,53941947652798.375,48104322950334.03,4.786513935940287e-06,3.099257267564497e-06,2.513024875937043e-06,2.172631874346908e-06,1.9375085602855744e-06,1.3637960119842694e-06,8.830549243532912e-07,7.160228403569737e-07,6.190364690042732e-07,5.520440310143524e-07
6,6,0.02,66,2.25,100000.0,17.15,2.43,0.81,,0.066,160.0,0.16,66.0,0.0018712155303006,0.0153891090936686,0.0064726206697327,0.0011522575623222,-0.0001905266052891,3644800000000.0,2360000000000.0,1913600000000.0,1654400000000.0,1475360000000.0,35.271190801518664,5.643390528242986,128556436233375.23,83240010291584.06,67494950717786.125,58352658062032.48,52037704060928.58,1.0139885891045396e-05,6.565553858337122e-06,5.323662653946574e-06,4.602564535268192e-06,4.104472686625533e-06,3.216727548083669e-06,2.082824026963746e-06,1.6888525669482304e-06,1.4600949450037375e-06,1.3020827357717082e-06
7,7,0.02,66,5.0,100000.0,17.15,2.43,0.81,,0.066,133.0,0.133,66.0,0.0008711428152707,0.0293981106936313,0.0039020040800265,0.0003675229760598,0.000267979591466,3029740000000.0,1961750000000.0,1590680000000.0,1375220000000.0,1226393000000.0,75.76254873833116,10.076418982198046,229540824414471.44,148627179987421.16,120513971027088.6,104190172275927.8,92914659434848.16,8.428780146931487e-06,5.4576166447427326e-06,4.425294581093089e-06,3.825881769941685e-06,3.411842920757473e-06,2.6739047743445502e-06,1.7313474724136137e-06,1.4038586962757163e-06,1.2137039230343568e-06,1.0823562741102329e-06
8,8,0.02,76,2.25,100000.0,17.15,2.43,0.81,,0.076,214.0,0.214,76.0,0.0014743770499734,0.0254580631022872,0.0034962606668724,0.0012240185977644,0.0003527655931655,4874920000000.0,3156500000000.0,2559440000000.0,2212760000000.0,1973294000000.0,51.5471941192852,11.03109954152703,251288447555985.72,162708718237523.72,131931950516663.3,114061569259389.52,101717768872420.77,1.5770702410347144e-05,1.0211495195461824e-05,8.279964917811756e-06,7.1584312082084926e-06,6.383742182871423e-06,5.91188610573609e-06,3.82793327741911e-06,3.1038699659615296e-06,2.683446107695837e-06,2.393042220412313e-06
9,9,0.02,76,5.0,100000.0,17.15,2.43,0.81,,0.076,183.0,0.183,76.0,0.001113458633938,0.024926503706405,0.0044120557574974,0.0014146711582274,-0.0002562149017883,4168740000000.0,2699250000000.0,2188680000000.0,1892220000000.0,1687443000000.0,68.25579117492963,12.49080978501212,284540646902576.1,184239444328928.8,149390085028744.97,129154973177025.31,115177757027596.77,1.3486161406979095e-05,8.732259910137915e-06,7.080530747474539e-06,6.121462201411935e-06,5.458994483483506e-06,5.0554913894846e-06,3.273419578353725e-06,2.654243942854953e-06,2.2947226061137297e-06,2.046386571660996e-06
10,10,0.02,86,2.25,100000.0,17.15,2.43,0.81,,0.086,242.0,0.242,86.0,0.0016846400091594,0.0226961582851538,0.0052956358776159,0.0013661969411582,0.0001552589142811,5512760000000.0,3569500000000.0,2894320000000.0,2502280000000.0,2231482000000.0,51.04948210443418,12.353974669273072,281423542966040.56,182221126371777.8,147753537044505.94,127740098080283.56,113916000425367.0,2.0325080539000656e-05,1.3160445037324832e-05,1.0671113399756272e-05,9.22569502955517e-06,8.22728567384219e-06,8.719562057419067e-06,5.6458972935439525e-06,4.577961466493944e-06,3.957869695948777e-06,3.529547047035172e-06
11,11,0.02,86,5.0,100000.0,17.15,2.43,0.81,,0.086,197.0,0.197,86.0,0.0007908768357793,0.0297546815321985,0.0048465825245853,0.0017198930666401,-9.286810923072269e-05,4487660000000.0,2905750000000.0,2356120000000.0,2036980000000.0,1816537000000.0,108.74006685914564,21.421793171251693,487988448441113.5,315971449275962.5,256204646328170.25,221501341390742.5,197530354832111.88,1.654562341397987e-05,1.0713254844433852e-05,8.6868154535206e-06,7.5101732265387136e-06,6.69741850308641e-06,7.098155889717173e-06,4.596040358794044e-06,3.7266876400797806e-06,3.2219021905037565e-06,2.8732263151484664e-06
12,12,0.02,96,2.25,100000.0,17.15,2.43,0.81,,0.096,286.0,0.286,96.0,0.0028106635826929,0.0231116352599169,0.0066683784030769,0.001799200784316,-0.000115635233849,6515080000000.0,4218500000000.0,3420560000000.0,2957240000000.0,2637206000000.0,34.15563519986232,9.768511667160624,222526695777918.9,144085547090619.16,116831399539241.05,101006410638440.84,90075446082888.1,2.6894805325835048e-05,1.7414327416859832e-05,1.4120363112247024e-05,1.2207738677310554e-05,1.0886611058363694e-05,1.2282879441106629e-05,7.953137478328478e-06,6.4487813044616e-06,5.575284171248573e-06,4.971924114418095e-06
13,13,0.02,96,5.0,100000.0,17.15,2.43,0.81,,0.096,249.0,0.249,96.0,0.0016968163040189,0.0181315102045944,0.0059470270908025,0.0026581662170818,-3.637050823049168e-05,5672220000000.0,3672750000000.0,2978040000000.0,2574660000000.0,2296029000000.0,56.57654265380453,14.087559120797328,320914596771763.1,207791497031760.6,168487207084736.03,145665361309044.38,129901382652872.16,2.341540743403121e-05,1.516142491887447e-05,1.2293602849473806e-05,1.0628415841434712e-05,9.478203334029931e-06,1.0693835597327096e-05,6.924235077285983e-06,5.614498408429854e-06,4.854006149094038e-06,4.328703162552817e-06
14,14,0.02,106,2.25,100000.0,17.15,2.43,0.81,,0.106,345.0,0.345,106.0,0.0039772289410393,0.0208747348936777,0.007909972032435,0.0010867495914409,-1.834532432664736e-05,7859100000000.0,5088750000000.0,4126200000000.0,3567300000000.0,3181245000000.0,26.65172198317036,9.194844084193774,209458548237934.2,135623950241858.2,109970335246957.56,95074687830563.62,84785657300350.81,3.4551864874377494e-05,2.2372256668001227e-05,1.814048744063015e-05,1.5683331115059845e-05,1.3986073134619616e-05,1.784510041402649e-05,1.1554663349731817e-05,9.369069400867289e-06,8.100014849913691e-06,7.223427169347598e-06
15,15,0.02,106,5.0,100000.0,17.15,2.43,0.81,,0.106,258.0,0.258,106.0,0.0018718256476404,0.0228914299243124,0.006261940181699,0.001364039624816,-0.0002222050422422,5877240000000.001,3805500000000.001,3085680000000.0005,2667720000000.0005,2379018000000.0,56.62920589512186,14.61033512094144,332823434055046.06,215502443033886.28,174739608046459.66,151070865150534.5,134721900150201.02,2.583878590605621e-05,1.6730557160418314e-05,1.3565929738210372e-05,1.1728404138218667e-05,1.045915034415032e-05,1.3345031613967636e-05,8.64087867892988e-06,7.006434508474669e-06,6.057402409500676e-06,5.401867274468638e-06
16,16,0.02,116,2.25,100000.0,17.15,2.43,0.81,,0.116,380.0,0.38,116.0,0.0037298034812067,0.0220686109178701,0.0067311507587776,0.0001515402405317,2.215103077135517e-06,8652241719171.917,5605000000000.0,4544800000000.0,3929200000000.0,3503980000000.0,31.100834289121416,11.818317029866138,269091935937388.8,174320176190525.53,141347071677199.0,122201398088815.88,108976701332395.66,4.090861995620596e-05,2.65009719211219e-05,2.148824570688935e-05,1.8577630485722064e-05,1.6567149971841697e-05,2.4040455631071887e-05,1.5573623366714514e-05,1.2627832912942751e-05,1.0917373939784957e-05,9.735890241659291e-06
17,17,0.02,116,5.0,100000.0,17.15,2.43,0.81,,0.116,331.0,0.331,116.0,0.0019131199333344,0.0194494672190488,0.0069396138131617,0.0020941716417885,7.226888417293052e-05,7536557918541.854,4882250000000.0,3958760000000.0,3422540000000.0,3052151000000.0,60.63394039171422,20.06983426965741,456971203591568.56,296030055477446.75,240035217865102.6,207522086348257.6,185063941800510.97,3.5633561067116245e-05,2.3083741331293023e-05,1.8717392971000986e-05,1.618209392308948e-05,1.4430859580735793e-05,2.094050214180209e-05,1.3565445616796064e-05,1.0999507089958027e-05,9.509607300181106e-06,8.480472815761119e-06
18,18,0.02,126,2.25,100000.0,17.15,2.43,0.81,,0.126,410.0,0.41,126.0,0.0027706600905617,0.0208038472722906,0.0066178701775996,0.000280158561022,7.73488362034019e-05,9322344464573.27,6047500000000.001,4903600000000.0,4239400000000.001,3780610000000.001,45.47652757161403,18.64537630436175,423947855075249.7,275019300489335.88,222998700600166.56,192793190987100.53,171929014902519.72,4.7496511855571824e-05,3.081147200021629e-05,2.4983403737124527e-05,2.1599364100490607e-05,1.926187005518606e-05,2.9665357299926203e-05,1.9244220051411267e-05,1.5604126902703642e-05,1.3490524429260509e-05,1.2030573091122936e-05
19,19,0.02,126,5.0,100000.0,17.15,2.43,0.81,,0.126,377.0,0.377,126.0,0.0022204950057016,0.0172385261387149,0.0054814627549444,0.0009942756706164,2.204147519799213e-05,8572009422302.736,5560750000000.0,4508920000000.0,3898180000000.0,3476317000000.0,56.74410420940599,21.39252728694606,486410995943156.56,315539777482454.4,255854626351874.88,221198732147022.25,197260494112929.6,4.3673621876952616e-05,2.833152425385741e-05,2.297254441194133e-05,1.9860878697280383e-05,1.7711524416597912e-05,2.727765780993214e-05,1.7695295022883042e-05,1.434818498126652e-05,1.2404701731295635e-05,1.1062258671593527e-05
20,20,0.02,136,2.25,100000.0,17.15,2.43,0.81,,0.136,495.0,0.495,136.0,0.0047453617640087,0.0222936566483273,0.0051955442132138,0.0005270003613473,1.6269165157995857e-05,11240516657696.45,7301250000000.001,5920200000000.0,5118300000000.0,4564395000000.0,28.65956417306128,14.186484265665335,322148308489615.7,209250642918563.7,169670351817357.38,146688247306979.56,130813571413700.05,6.204240232360301e-05,4.029949011774681e-05,3.267673910564419e-05,2.82506256147459e-05,2.5193328703440224e-05,3.939921295521332e-05,2.55916620516092e-05,2.0750934110999725e-05,1.7940188855161972e-05,1.5998692595111076e-05
21,21,0.02,136,5.0,100000.0,17.15,2.43,0.81,,0.136,369.0,0.369,136.0,0.0018421278603,0.0187498114078772,0.0057738058932271,0.0013472948036596,0.0001196000379396,8379294235737.353,5442750000000.0,4413240000000.0,3815460000000.0,3402549000000.0,73.82766578311774,27.24240867397044,618623734334422.2,401825527941064.06,325819207740686.5,281686505688854.4,251202250382681.47,4.624979082304951e-05,3.004143808777489e-05,2.435902369693476e-05,2.1059557276446942e-05,1.8780481397109987e-05,2.937032238479538e-05,1.907742080210867e-05,1.546887815547252e-05,1.3373595328393467e-05,1.1926298116355533e-05
22,22,0.02,146,2.25,100000.0,17.15,2.43,0.81,,0.146,493.0,0.493,146.0,0.0038202488294984,0.0186184309931358,0.0047445934602453,0.0011957137726405,0.0001171889858505,11181967035345.85,7271750000000.001,5896280000000.0,5097620000000.0,4545953000000.0,38.21740585917965,18.84118108857557,427345772493780.2,277907421056489.7,225340525819363.72,194817812455871.38,173734530817755.3,6.640127643722645e-05,4.318144387352572e-05,3.501356398151644e-05,3.027092404422073e-05,2.699498942086648e-05,4.279032234557572e-05,2.78269937241696e-05,2.2563447114648705e-05,1.950719424460432e-05,1.7396115873258838e-05
23,23,0.02,146,5.0,100000.0,17.15,2.43,0.81,,0.146,421.0,0.421,146.0,0.0019817181001258,0.0204830207608051,0.0041802608970114,0.0009380393897022,-0.0001807628152074,9548900855741.588,6209750000000.0,5035160000000.0,4353140000000.0,3882041000000.0,73.67344527495136,31.016520460754524,703500424631414.1,457493676796129.25,370957584710624.1,320710821564201.75,286003335168617.5,5.6703726937266407e-05,3.687502610700674e-05,2.990002116880004e-05,2.585001830145422e-05,2.305251632086164e-05,3.654102577583648e-05,2.376301086790142e-05,1.926817694780345e-05,1.6658273381294963e-05,1.4855506658502985e-05
24,24,0.02,156,2.25,100000.0,17.15,2.43,0.81,,0.156,533.0,0.5329999999999999,156.0,0.006022349895602,0.0183127184472876,0.0063213389202734,0.0011216704123573,0.0001251578149895,12072531483812.943,7861749999999.998,6374679999999.999,5511219999999.999,4914792999999.999,25.903509876422685,13.806570764133289,312720938524372.44,203646918770966.0,165126586339034.12,142759941701138.2,127310389016073.05,7.693786854412258e-05,5.01026888053902e-05,4.062563783813335e-05,3.512283405069388e-05,3.1321823286406985e-05,4.942929319801041e-05,3.218883680862632e-05,2.6100236490248863e-05,2.256492017635228e-05,2.012293316693853e-05
25,25,0.02,156,5.0,100000.0,17.15,2.43,0.81,,0.156,384.0,0.384,156.0,0.0022245785082475,0.01406421474624,0.0048974654650844,0.0005058078655008,-6.879334745841777e-05,8697658705035.971,5664000000000.0,4592640000000.0,3970560000000.0,3540864000000.0,70.12564376650971,26.92824720633973,609928915952034.6,397191646293511.0,322061836587823.1,278438076113552.8,248305367489658.62,5.542990904492136e-05,3.6096496250037226e-05,2.9268752213589507e-05,2.5304255676297283e-05,2.256581640146395e-05,3.56113481951895e-05,2.319045653754692e-05,1.880392272468212e-05,1.6256903091405773e-05,1.4497572863235266e-05
26,26,0.02,166,2.25,100000.0,17.15,2.43,0.81,,0.166,619.0,0.619,166.0,0.0053358214541958,0.0171760831865222,0.0066472937658147,0.0005919842609751,3.440573831455309e-05,14002629163380.28,9130250000000.0,7403240000000.0,6400460000000.0,5707799000000.0,31.11048625314563,19.257390990697147,435628602095238.3,284046517112782.9,230318396248737.84,199121422843808.5,177572402325218.38,9.474272487400934e-05,6.177588177819771e-05,5.0090816682525056e-05,4.330594017536029e-05,3.861934955096685e-05,6.036937899928209e-05,3.936314503348147e-05,3.191750607460599e-05,2.759423184042023e-05,2.46079701934734e-05
27,27,0.02,166,5.0,100000.0,17.15,2.43,0.81,,0.166,439.0,0.439,166.0,0.0031598583266827,0.0226802727032854,0.0055287701780957,0.0009538494243294,-6.262587034206462e-05,9930782233802.816,6475250000000.0,5250440000000.0,4539260000000.0,4048019000000.0,52.53400084372401,23.06242637039484,521703722249436.56,340170788963323.9,275826619389922.25,238465488669882.62,212658633561410.8,6.719233638075945e-05,4.381197431442454e-05,3.552482798647576e-05,3.071293657024745e-05,2.738916712903788e-05,4.281447072808536e-05,2.791667313359994e-05,2.2636163435786804e-05,1.957006103060498e-05,1.7452179184062717e-05
28,28,0.02,176,2.25,100000.0,17.15,2.43,0.81,,0.176,628.0,0.628,176.0,0.0055852160439826,0.0203954101095715,0.0050402816908943,0.0004742022925439,-1.032976174440027e-05,14181958392458.443,9263000000000.0,7510880000000.0,6493520000000.0,5790788000000.0,31.51176223337272,19.789386682558067,446898500866735.3,291893453567731.5,236681064723394.53,204622258297650.44,182477934599868.0,0.0001025043882092,6.695113056371802e-05,5.428715400285203e-05,4.693387729009114e-05,4.1854669486647045e-05,6.394254799067978e-05,4.176431813201727e-05,3.386449117687637e-05,2.927749488034295e-05,2.6109069660700423e-05
29,29,0.02,176,5.0,100000.0,17.15,2.43,0.81,,0.176,474.0,0.474,176.0,0.0026358804347808,0.0189672467518969,0.0058511082532384,0.000109003681979,0.0001255172647898,10704217003225.006,6991500000000.0,5669040000000.0,4901160000000.0,4370754000000.001,66.77085867691721,31.649387012858764,714729760769391.1,466828458439666.7,378526668673790.8,327254661712959.6,291838997645570.7,7.736796180128337e-05,5.053317816433494e-05,4.0974699040369214e-05,3.5424614387743946e-05,3.159094480361576e-05,4.826236902481245e-05,3.152274967289201e-05,2.556014142968057e-05,2.209798180459006e-05,1.970652710059236e-05
