,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,2757.0,0.2757,150.0,0.0001045978609041,0.0019364256389445,0.0233762317656436,-0.0009502047846014,4.030887709583637e-05,6644370000000.0,4300920000000.0,3473820000000.0,4.347397872750024,1.1986069226443097,28886426835727.863,18698267993251.23,15102447225318.305,4.05480682868445e-05,2.624688237654665e-05,2.119940499644153e-05,2.6321425175888956e-05,1.7037934968625216e-05,1.3761409013120366e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,2536.0,0.2536,155.0,0.0001197997615136,0.0019090528425328,0.023296896309042,-0.0008906879125857,9.58706549962466e-05,6111760000000.0,3956160000000.0,3195360000000.0,3.894393670910126,0.9875732657357724,23800515704232.117,15406142945478.05,12443423148270.73,3.868368139511616e-05,2.504005932629926e-05,2.022466330201094e-05,2.4884610999820848e-05,1.6107880979137148e-05,1.301021156007231e-05
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,2340.25,0.2340249999999999,160.0,0.0001114373656178,0.0019725540580295,0.0213267691295273,-0.0008544851203592,-0.0001410257975742,5640002500000.0,3650790000000.001,2948715000000.0,4.35074808749374,1.0200625421936855,24583507266867.824,15912975658221.496,12852788031640.44,3.683627455153863e-05,2.384422751053953e-05,1.925879914312808e-05,2.362047483834221e-05,1.5289601970047244e-05,1.234929389888431e-05
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,2146.25,0.2146249999999999,165.0,0.0001275086554528,0.0020473140737877,0.0232210339659578,-0.0008427436893639,0.0002773387931652,5172462500000.0,3348150000000.0,2704275000000.0,3.895226268553181,0.835793924602578,20142633582922.125,13038385223800.217,10531003449992.482,3.475631776171286e-05,2.249786543911704e-05,1.817135285467145e-05,2.2191123915104663e-05,1.4364378965793887e-05,1.160199839544891e-05
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,2069.75,0.2069749999999999,170.0,0.0001185914518869,0.0018851008151761,0.0241127980223685,-0.0008199851096161,-1.7083472472625008e-05,4979781706781.823,3228810000000.0,2607885000000.0,4.342956750185952,0.9001641627753547,21657789737356.14,14042560939295.531,11342068450969.469,3.453526791427957e-05,2.239210972690744e-05,1.808593477942524e-05,2.189896879823844e-05,1.419893754562485e-05,1.1468372633004688e-05
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,1904.75,0.190475,175.0,0.0001131169806356,0.001955186620728,0.023842728146811,-0.0007953063609807,0.0001036217129956,4571400000000.0,2971410000000.0,2399985000000.0,4.6699094680078925,0.8896891215497398,21352538917193.758,13879150296175.94,11210082931526.72,3.283293266663136e-05,2.1341406233310385e-05,1.7237289649981467e-05,2.052472426945155e-05,1.3341070775143504e-05,1.0775480241462062e-05
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,1872.25,0.187225,180.0,0.0001254620752603,0.0018791477504618,0.0213514912859429,-0.0007931099161813,-0.0001078880542229,4493400000000.0,2920710000000.0,2359035000000.0,4.304144439769482,0.8058417342785541,19340201622685.3,12571131054745.443,10153605851909.78,3.336325691644195e-05,2.168611699568727e-05,1.7515709881132024e-05,2.0606727660452644e-05,1.3394372979294216e-05,1.0818532021737636e-05
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,1809.75,0.1809749999999999,185.0,0.0001243782012635,0.0017880938764988,0.0235125032321541,-0.0007881216496629,-0.000176576375188,4343400000000.001,2823210000000.0,2280285000000.0,4.482202397407698,0.8121782880289836,19492278912695.61,12669981293252.145,10233446429165.191,3.3200692811862825e-05,2.158045032771084e-05,1.743036372622798e-05,2.028910361064204e-05,1.3187917346917329e-05,1.0651779395587073e-05
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,1798.5,0.17985,190.0,0.0001367492637385,0.0019968515459231,0.0227164385584467,-0.0007819103958291,-0.0001949577754892,4316400000000.0,2805660000000.0,2266110000000.0,4.183116911879736,0.7525810972848125,18061946334835.5,11740265117643.074,9482521825788.637,3.39372893581916e-05,2.2059238082824543e-05,1.781707691305059e-05,2.0544893762851267e-05,1.3354180945853322e-05,1.0786069225496917e-05
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,1846.5,0.18465,195.0,0.0001503368513978,0.0017705481419958,0.0223113883014325,-0.000730402047783,-8.936692880299582e-06,4431600000000.0,2880540000000.0,2326590000000.0,3.903780304261971,0.7217513910554029,17322033385329.668,11259321700464.283,9094067527298.076,3.5851340395788446e-05,2.3303371257262485e-05,1.882195370778893e-05,2.146630208118889e-05,1.3953096352772778e-05,1.1269808592624166e-05
10,10,2,25,3000,1000000.0,200,17.15,2.43,0.81,,1844.75,0.184475,200.0,0.0001494767335898,0.0019088926264724,0.0217331646687555,-0.0007334885321958,-1.657172716918487e-05,4414299492547.372,2877810000000.0,2324385000000.0,4.032899477982531,0.7431788537148514,17783515581110.75,11593590117951.682,9364053556807.129,3.668929488782245e-05,2.391881654142007e-05,1.931904412960852e-05,2.1767514127940176e-05,1.419087443846681e-05,1.146186012337704e-05
11,11,2,25,3000,1000000.0,205,17.15,2.43,0.81,,1822.0,0.1822,205.0,0.0001274356211098,0.00163979398084,0.0234337215397579,-0.0006846383583175,5.191086255893408e-05,4354580000000.0,2842320000000.0,2295720000000.0,4.84746306328795,0.8835030131764948,21115722014918.23,13782647005553.32,11132137966023.836,3.714352981054805e-05,2.4244312344960236e-05,1.958194458631403e-05,2.182872696922379e-05,1.42480393606649e-05,1.1508031791306266e-05
12,12,2,25,3000,1000000.0,210,17.15,2.43,0.81,,1845.0,0.1845,210.0,0.0001620649180508,0.0017127231345991,0.0217381823526559,-0.0006966960983316,4.335538021573218e-06,4409550000000.0,2878200000000.0,2324700000000.0,3.93020279831641,0.727074346917715,17377076891333.389,11342359811916.355,9161136771163.21,3.860841890375052e-05,2.5200474263535903e-05,2.0354229212855925e-05,2.2476603596623576e-05,1.467092117603882e-05,1.184959018064674e-05
13,13,2,25,3000,1000000.0,215,17.15,2.43,0.81,,1915.25,0.1915249999999999,215.0,0.0001499509996278,0.0019344249264473,0.0221523482717929,-0.0006643736728155,-4.9270738511725e-05,4570469565390.645,2987790000000.0,2413215000000.0,4.347121023796293,0.8318578094827167,19851094118121.844,12976981827930.385,10481408399482.23,4.103314208909776e-05,2.682402975194228e-05,2.166556249195338e-05,2.3740294180021475e-05,1.5519414916411065e-05,1.2534912047870476e-05
14,14,2,25,3000,1000000.0,220,17.15,2.43,0.81,,1952.0,0.1952,220.0,0.0001751032834604,0.0019200771435802,0.0239597321568627,-0.0006834029056478,-8.253280071813119e-05,4645760000000.0,3045120000000.0,2459520000000.0,3.798458611837464,0.7416048321828547,17650195005951.938,11569035382052.531,9344220885503.969,4.275767134677594e-05,2.8026036681080027e-05,2.263641424241079e-05,2.4599613460061957e-05,1.6124116385586827e-05,1.3023324772973975e-05
15,15,2,25,3000,1000000.0,225,17.15,2.43,0.81,,1993.75,0.1993749999999999,225.0,0.0001623803314671,0.0019623472616419,0.0230904243072702,-0.0006439351730676,-0.0002679440516135,4745125000000.0,3110250000000.0,2512125000000.0,4.215240830285698,0.8420264320554877,20040229082920.61,13135612340065.604,10609533043899.145,4.47280269240689e-05,2.931753025275104e-05,2.367954366568354e-05,2.5605241786437947e-05,1.6783267725564366e-05,1.3555716239878913e-05
16,16,2,25,3000,1000000.0,230,17.15,2.43,0.81,,2080.25,0.208025,230.0,0.0001716153404415,0.0019204123473424,0.0218026085735128,-0.0006412267026586,-5.238689725403147e-05,4950995000000.0,3245190000000.0,2621115000000.0,4.039682718842619,0.8402827295064557,19998728962253.645,13108410580300.703,10587562391781.34,4.775856681225827e-05,3.13039345492113e-05,2.5283947135901434e-05,2.723589244259608e-05,1.7852097567415916e-05,1.4419001881374394e-05
17,17,2,25,3000,1000000.0,235,17.15,2.43,0.81,,2192.25,0.219225,235.0,0.0001696995910975,0.0018120326865881,0.0221134106714413,-0.000629079849184,5.106168337102605e-05,5217555000000.0,3419910000000.0,2762235000000.0,4.1681160228072205,0.9132663074777064,21735738117969.41,14246954396652.22,11507155474219.102,5.152222420128549e-05,3.377086964454008e-05,2.7276471635974678e-05,2.9223942376090108e-05,1.9155189120462423e-05,1.5471498904988883e-05
18,18,2,25,3000,1000000.0,240,17.15,2.43,0.81,,2288.5,0.2288499999999999,240.0,0.0001727784597349,0.0017749269917575,0.0228048871061408,-0.0006176300293332,-0.0001822840906087,5428597048718.877,3570060000000.0,2883510000000.0,4.18030632274887,0.9572462133887142,22707030670304.977,14933040928863.943,12061302288697.797,5.4813573966892926e-05,3.604757290328395e-05,2.911534734496011e-05,3.0968880774472743e-05,2.0366360130525063e-05,1.64497524131164e-05
19,19,2,25,3000,1000000.0,245,17.15,2.43,0.81,,2364.25,0.236425,245.0,0.0001951056743436,0.0017684173398021,0.0221937891103389,-0.0006004549292665,1.3559231874276516e-05,5603272500000.0,3688230000000.0,2978955000000.0,3.8247465759651376,0.9045228642734018,21437191883279.625,14110556682665.07,11396988089844.863,5.780878636978435e-05,3.805135305352894e-05,3.073378515861953e-05,3.2521198983145285e-05,2.14063588243488e-05,1.7289751358127876e-05
20,20,2,25,3000,1000000.0,250,17.15,2.43,0.81,,2476.25,0.2476249999999999,250.0,0.0001807092110439,0.0016725949463504,0.0226029982148447,-0.000591356848569,-8.950408547049266e-05,5868712500000.0,3862950000000.0,3120075000000.0,4.164856860325703,1.031313620840685,24442132813924.24,16088492485114.688,12994551622592.633,6.188641217471687e-05,4.073535991247187e-05,3.290163685238112e-05,3.4664574719432966e-05,2.2817188422917892e-05,1.8429267572356767e-05
21,21,2,25,3000,1000000.0,255,17.15,2.43,0.81,,2611.25,0.261125,255.0,0.0001779346073859,0.0016084274254383,0.0236585264116434,-0.0005730317600325,6.358264711685191e-05,6177116457202.141,4073550000000.001,3290175000000.0,4.299340999605151,1.1226822349981374,26557927850705.508,17513842865970.943,14145796160976.531,6.653220056577393e-05,4.387520414945603e-05,3.543766488994525e-05,3.709233551929276e-05,2.4460844214527413e-05,1.975683571173368e-05
22,22,2,25,3000,1000000.0,260,17.15,2.43,0.81,,2756.75,0.275675,260.0,0.0001942705219447,0.0018230701330711,0.0239300124182866,-0.0005561445117473,-6.316073231640543e-05,6505930000000.0,4300530000000.0,3473505000000.0,4.033635891605536,1.1123429963336855,26251294713474.98,17352550742805.494,14015521753804.438,7.149112822704153e-05,4.725684747211218e-05,3.8168992189013686e-05,3.972674592561383e-05,2.626005239150745e-05,2.1210042316217555e-05
23,23,2,25,3000,1000000.0,265,17.15,2.43,0.81,,2811.0,0.2811,265.0,0.0001916562531505,0.0019249459043639,0.0235284819302738,-0.0005841644767519,-1.6742399378875006e-05,6633960000000.0,4385160000000.0,3541860000000.0,4.162093297299196,1.1702702431931995,27618377739359.52,18256215793813.91,14745405064234.314,7.441254979826675e-05,4.918795664631191e-05,3.972873421432886e-05,4.115232157811482e-05,2.72023820601098e-05,2.1971154740857918e-05
