,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,30,2.25,1,100000.0,0.01715,0.00243,5.72,3011670000000.0,901.4,0.9014,27147193380.0,30.0,0.0016110386814283115,0.11079521480017508,0.02855183023531137,19.03266399829572,17.12112995922098,515631934642.8705
1,1,0.1,40,2.25,1,100000.0,0.01715,0.00243,5.72,3300160000000.0,1192.4,1.1924,39351107840.0,40.0,0.002457709473377179,0.0991884644741138,0.029512244008372567,16.335016736366814,19.468335797097744,642486230641.501
2,2,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,1483.2,1.4831999999999999,52513289280.0,50.0,0.0032256988073868344,0.10453203317241948,0.0274826315807112,15.517453974203784,23.024057870571728,815175978530.7405
3,3,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,3748020000000.0,1716.6,1.7166,64338511320.0,60.0,0.004123159486098872,0.10129072262951166,0.027583403814584177,14.586646738856576,25.043887755617202,938649921858.0841
4,4,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,3931350000000.0,1787.2,1.7872,70261087200.0,70.0,0.005307187647221667,0.10679507381419476,0.028161736131337704,13.298966629832975,23.76087024009357,934122972183.9187
5,5,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,4096050000000.0,1914.2,1.9142,78406589100.0,80.0,0.0061722887487064785,0.10324464298113067,0.027336382384996555,12.988143864736704,24.846649116817456,1017731171149.4016
6,6,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,4245860000000.0,1975.6,1.9756,83881210160.0,90.0,0.00752846995791856,0.10303906570543273,0.02864756473403148,11.982969438069588,23.671983598697015,1005079282823.637
7,7,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,4383450000000.0,2106.6,2.1066,92341757700.0,100.0,0.008660134503043081,0.09673546567758096,0.027936864501192198,11.622987481066472,24.47915000203007,1073031300763.987
8,8,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,4510800000000.0,2134.0,2.134,96260472000.0,110.0,0.009948769433233905,0.10860836619942534,0.02771301435109176,11.14666196776171,23.780469148872843,1072689402367.3562
9,9,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,4629430000000.0,2200.0,2.2,101847460000.0,120.0,0.01134930481237859,0.11143823515392216,0.028221140928226675,10.5974654478248,23.309533633077187,1079098542869.7653
10,10,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,4740500000000.0,2244.4,2.2444,106395782000.0,130.0,0.012760955225257931,0.10026792590327888,0.02891391342791061,10.197778687951567,22.87845961992777,1084553378282.676
11,11,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,4844980000000.0,2351.4,2.3514000000000004,113924859720.0,140.0,0.013192518507321439,0.0966602808276628,0.028208695275643056,10.644248698349603,24.99459741361097,1210983245769.9688
12,12,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,4943630000000.0,2404.8,2.4048,118884414240.0,150.0,0.015434067395534611,0.10392415371545184,0.02872586229823426,9.738715784101151,23.409277486082665,1157268064585.2285
13,13,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,5037080000000.0,2493.4,2.4934,125594552720.0,160.0,0.016817411904213486,0.1038043935231518,0.028653575446026248,9.528426962797711,23.76007269409568,1196813869659.7544
14,14,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,5125860000000.0,2488.2,2.4882,127541648520.0,170.0,0.018279021482368308,0.09665667666550781,0.02780996741247895,9.431473013249311,23.411230255514695,1200026887175.3257
15,15,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,5210430000000.0,2565.8,2.5658000000000003,133689212940.0,180.0,0.019821883609398586,0.10688864578176933,0.02801972346206888,9.123891914068384,23.405288304185557,1219516163387.7751
16,16,0.1,190,2.25,1,100000.0,0.01715,0.00243,5.72,5291170000000.0,2614.8,2.6148,138353513160.0,190.0,0.022514935577299867,0.103790604982263,0.028001692982863584,8.475899779556014,22.15508355874828,1172263134735.4211
17,17,0.1,200,2.25,1,100000.0,0.01715,0.00243,5.72,5368410000000.0,2626.2,2.6262,140985183420.0,200.0,0.023263554297591325,0.10607177077117567,0.02788471660469568,8.608929363871766,22.591345048318463,1212796026708.433
18,18,0.1,210,2.25,1,100000.0,0.01715,0.00243,5.72,5442440000000.0,2741.6,2.7415999999999996,149209935040.0,210.0,0.025976194787602932,0.10109726639517906,0.02847644865049223,8.122483393910615,22.263852315317767,1211696803949.7808
19,19,0.1,220,2.25,1,100000.0,0.01715,0.00243,5.72,5513500000000.0,2746.4,2.7464,151422764000.0,220.0,0.026083167748106463,0.10861287322830564,0.02814959765751936,8.438857005153654,23.174878969185006,1277746951966.0151
20,20,0.1,230,2.25,1,100000.0,0.01715,0.00243,5.72,5581830000000.0,2795.6,2.7956,156045639480.0,230.0,0.02824015111791596,0.10588507452528524,0.028430188364250396,8.198310669362844,22.944315396317073,1280712680086.245
