,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
29,29,0.1,320,2.25,1,100000.0,0.01715,0.00243,5.72,610000000000.0,317.99,0.31799000000000005,19397390000.0,0.004447803750861112,0.01078541302446725,0.0028383526616461196
30,30,0.1,330,2.25,1,100000.0,0.01715,0.00243,5.72,614900000000.0,318.49,0.31849,19583950100.0,0.004763053710930763,0.010527307679466942,0.0028373003109405134
31,31,0.1,340,2.25,1,100000.0,0.01715,0.00243,5.72,619661000000.0,321.79,0.3217899999999999,19940071319.0,0.0049621750880805855,0.010545040335350956,0.00282476021278565
32,32,0.1,350,2.25,1,100000.0,0.01715,0.00243,5.72,624289000000.0,322.03,0.32203000000000004,20103978667.0,0.005356541000363109,0.01044472814000621,0.0028374577882195346
33,33,0.1,360,2.25,1,100000.0,0.01715,0.00243,5.72,628792000000.0,331.87,0.33187,20867720104.0,0.005771396851295094,0.01058476534554482,0.0027929780614849445
34,34,0.1,370,2.25,1,100000.0,0.01715,0.00243,5.72,633174000000.0,333.27,0.33327,21101789898.0,0.0058324025912151,0.010728878800898622,0.0028523700818904375
35,35,0.1,380,2.25,1,100000.0,0.01715,0.00243,5.72,637442000000.0,337.62,0.33762,21521316804.0,0.006198771836359356,0.010533751180194124,0.0028396735783375185
36,36,0.1,390,2.25,1,100000.0,0.01715,0.00243,5.72,641600000000.0,337.26,0.33726,21638601600.0,0.006388618997572167,0.01080991400887343,0.0028449975751967845
37,37,0.1,400,2.25,1,100000.0,0.01715,0.00243,5.72,645653000000.0,339.77,0.33977,21937351981.0,0.006581389073129457,0.010742341641960316,0.0028685720513391415
38,38,0.1,410,2.25,1,100000.0,0.01715,0.00243,5.72,649606000000.0,347.53,0.34753,22575757318.0,0.0066409411653387445,0.011031291636967217,0.002865668077189008
39,39,0.1,420,2.25,1,100000.0,0.01715,0.00243,5.72,653462000000.0,348.21,0.34821,22754200302.0,0.007099762989573719,0.010513787786279672,0.0028286147437598308
40,40,0.1,430,2.25,1,100000.0,0.01715,0.00243,5.72,657225000000.0,353.52,0.35352000000000006,23234218200.0,0.007530885280983171,0.010448119971089603,0.0028423539207813354
41,41,0.1,440,2.25,1,100000.0,0.01715,0.00243,5.72,660899000000.0,355.85,0.35584999999999994,23518090915.0,0.007740143873235183,0.010580617507499048,0.0028359240814694758
42,42,0.1,450,2.25,1,100000.0,0.01715,0.00243,5.72,664488000000.0,361.1,0.3611,23994661680.0,0.007916716260490375,0.010447364327447358,0.002823790278407173
43,43,0.1,460,2.25,1,100000.0,0.01715,0.00243,5.72,667994000000.0,363.54,0.36354,24284253876.0,0.008474984283606091,0.010463882767181971,0.0028249799865312166
44,44,0.1,470,2.25,1,100000.0,0.01715,0.00243,5.72,671420000000.0,367.26,0.36726,24658570920.0,0.008134979860316206,0.010659972791699236,0.0028606035062724152
45,45,0.1,480,2.25,1,100000.0,0.01715,0.00243,5.72,674770000000.0,368.72,0.36872,24880119440.0,0.008721154820498215,0.01086584276642758,0.0028469209993077214
46,46,0.1,490,2.25,1,100000.0,0.01715,0.00243,5.72,678045000000.0,371.68,0.37168,25201576560.0,0.008941868355205999,0.010803509792092502,0.002849768080746484
47,47,0.1,500,2.25,1,100000.0,0.01715,0.00243,5.72,681250000000.0,375.76,0.3757599999999999,25598650000.0,0.009410495582805536,0.010276070220426932,0.0028407585654843205
