Simulation Number,Dipole.bendingRadius,Dipole.photonEnergy,Dipole.numberRays
0,13.895833333333334,1.0,1000
1,13.895833333333334,101.0,1000
2,13.895833333333334,201.0,1000
3,13.895833333333334,301.0,1000
4,13.895833333333334,401.0,1000
5,13.895833333333334,501.0,1000
6,13.895833333333334,601.0,1000
7,13.895833333333334,701.0,1000
8,13.895833333333334,801.0,1000
9,13.895833333333334,901.0,1000
10,13.895833333333334,1001.0,1000
11,13.895833333333334,1101.0,1000
12,13.895833333333334,1201.0,1000
13,13.895833333333334,1301.0,1000
14,13.895833333333334,1401.0,1000
15,13.895833333333334,1501.0,1000
16,13.895833333333334,1601.0,1000
17,13.895833333333334,1701.0,1000
18,13.895833333333334,1801.0,1000
19,13.895833333333334,1901.0,1000
20,13.895833333333334,2001.0,1000
21,13.895833333333334,2101.0,1000
22,13.895833333333334,2201.0,1000
23,13.895833333333334,2301.0,1000
24,13.895833333333334,2401.0,1000
25,13.895833333333334,2501.0,1000
26,13.895833333333334,2601.0,1000
27,13.895833333333334,2701.0,1000
28,13.895833333333334,2801.0,1000
29,13.895833333333334,2901.0,1000
30,13.895833333333334,3001.0,1000
31,13.895833333333334,3101.0,1000
32,13.895833333333334,3201.0,1000
33,13.895833333333334,3301.0,1000
34,13.895833333333334,3401.0,1000
35,13.895833333333334,3501.0,1000
36,13.895833333333334,3601.0,1000
37,13.895833333333334,3701.0,1000
38,13.895833333333334,3801.0,1000
39,13.895833333333334,3901.0,1000
40,13.895833333333334,4001.0,1000
41,13.895833333333334,4101.0,1000
42,13.895833333333334,4201.0,1000
43,13.895833333333334,4301.0,1000
44,13.895833333333334,4401.0,1000
45,13.895833333333334,4501.0,1000
46,13.895833333333334,4601.0,1000
47,13.895833333333334,4701.0,1000
48,13.895833333333334,4801.0,1000
49,13.895833333333334,4901.0,1000
50,13.895833333333334,5001.0,1000
51,13.895833333333334,5101.0,1000
52,13.895833333333334,5201.0,1000
53,13.895833333333334,5301.0,1000
54,13.895833333333334,5401.0,1000
55,13.895833333333334,5501.0,1000
56,13.895833333333334,5601.0,1000
57,13.895833333333334,5701.0,1000
58,13.895833333333334,5801.0,1000
59,13.895833333333334,5901.0,1000
60,13.895833333333334,6001.0,1000
61,13.895833333333334,6101.0,1000
62,13.895833333333334,6201.0,1000
63,13.895833333333334,6301.0,1000
64,13.895833333333334,6401.0,1000
