,Simulation Number,Dipole.bendingRadius,Dipole.photonEnergy,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
42,42,13.895833333333334,4201.0,1000,1920490000000.0,1000.0,100.0,4201.0,0.0,0.1345291841355516,0.0769887224362731,1920490000000.0,,,,0.0003452095880196,0.0001001815588289
43,43,13.895833333333334,4301.0,1000,1850510000000.0,1000.0,100.0,4301.0,0.0,0.1281319803926697,0.0764352075660807,1850510000000.0,,,,0.0003389124746811,9.455379714091914e-05
44,44,13.895833333333334,4401.0,1000,1782800000000.0,1000.0,100.0,4401.0,0.0,0.1388681147174202,0.0752839127535736,1782800000000.0,,,,0.0003321270967668,8.91267869538341e-05
45,45,13.895833333333334,4501.0,1000,1717310000000.0,1000.0,100.0,4501.0,0.0,0.1324021955092691,0.0869041201004672,1717310000000.0,,,,0.0003249606898353,8.390202481527298e-05
46,46,13.895833333333334,4601.0,1000,1653990000000.0,1000.0,100.0,4601.0,0.0,0.1203341074505328,0.0705230746845045,1653990000000.0,,,,0.0003173963495521,7.889585207558401e-05
47,47,13.895833333333334,4701.0,1000,1592780000000.0,1000.0,100.0,4701.0,0.0,0.1193533300580151,0.0812804989034211,1592780000000.0,,,,0.0003094946453513,7.411429789222025e-05
48,48,13.895833333333334,4801.0,1000,1533630000000.0,1000.0,100.0,4801.0,0.0,0.1213734648399519,0.0762496465971405,1533630000000.0,,,,0.0003013143835565,6.95559770437111e-05
49,49,13.895833333333334,4901.0,1000,1476480000000.0,1000.0,100.0,4901.0,0.0,0.139834132230438,0.0820169895941863,1476480000000.0,,,,0.0002928472226582,6.522401760652665e-05
50,50,13.895833333333334,5001.0,1000,1421300000000.0,1000.0,100.0,5001.0,0.0,0.1389437743861503,0.0756956385343024,1421300000000.0,,,,0.0002841676306188,6.111874874487898e-05
51,51,13.895833333333334,5101.0,1000,1368010000000.0,1000.0,100.0,5101.0,0.0,0.1349500863181491,0.0805827696162253,1368010000000.0,,,,0.0002753464118611,5.7236625063726526e-05
52,52,13.895833333333334,5201.0,1000,1316570000000.0,1000.0,100.0,5201.0,0.0,0.1514656635473516,0.0898588919283653,1316570000000.0,,,,0.0002663786452725,5.3570814593191685e-05
53,53,13.895833333333334,5301.0,1000,1266920000000.0,1000.0,100.0,5301.0,0.0,0.1381540170223731,0.0867856790963876,1266920000000.0,,,,0.0002573621285007,5.012145428650551e-05
54,54,13.895833333333334,5401.0,1000,1219010000000.0,1000.0,100.0,5401.0,0.0,0.1219359700230531,0.0803356958420973,1219010000000.0,,,,0.0002482820745607,4.687674248151672e-05
55,55,13.895833333333334,5501.0,1000,1172800000000.0,1000.0,100.0,5501.0,0.0,0.1135513803996831,0.081275424199616,1172800000000.0,,,,0.0002392089678772,4.3831643583857256e-05
56,56,13.895833333333334,5601.0,1000,1128220000000.0,1000.0,100.0,5601.0,0.0,0.136645721009305,0.088879878549822,1128220000000.0,,,,0.0002301959904193,4.098100584755386e-05
57,57,13.895833333333334,5701.0,1000,1085230000000.0,1000.0,100.0,5701.0,0.0,0.159930971328742,0.0969655899699706,1085230000000.0,,,,0.0002212453184063,3.831083945794415e-05
