Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9,Energy11[eV],Photons11
2119.72,0.0,6359.16,0.0,10598.6,0.0,14838.0,0.0,19077.5,0.0,23316.9,0.0
2116.4,1392000000000.0,6349.2,1376000.0,10582.0,2.656,14814.8,6.662e-06,19047.6,1.917e-11,23280.4,6.006e-17
2106.51,5547000000000.0,6319.52,86870000.0,10532.5,2658.0,14745.5,0.1057,18958.6,4.82e-06,23171.6,2.393e-10
2090.22,12400000000000.0,6270.66,967500000.0,10451.1,147500.0,14631.6,29.24,18812.0,0.006647,22992.4,1.645e-06
2067.84,21850000000000.0,6203.52,5268000000.0,10339.2,2485000.0,14474.9,1523.0,18610.6,1.071,22746.2,0.0008195
2039.76,33770000000000.0,6119.28,19310000000.0,10198.8,21630000.0,14278.3,31470.0,18357.8,52.55,22437.4,0.09552
2006.46,47970000000000.0,6019.37,54950000000.0,10032.3,123400000.0,14045.2,360000.0,18058.1,1205.0,22071.0,4.393
1968.48,64270000000000.0,5905.43,131000000000.0,9842.38,523800000.0,13779.3,2723000.0,17716.3,16240.0,21653.2,105.4
1926.4,82460000000000.0,5779.2,273800000000.0,9632.0,1786000000.0,13484.8,15140000.0,17337.6,147300.0,21190.4,1561.0
1880.84,102300000000000.0,5642.51,517000000000.0,9404.19,5137000000.0,13165.9,66380000.0,16927.5,984200.0,20689.2,15890.0
1832.4,123600000000000.0,5497.2,899900000000.0,9161.99,12900000000.0,12826.8,240500000.0,16491.6,5144000.0,20156.4,119800.0
1781.68,146200000000000.0,5345.05,1465000000000.0,8908.42,28970000000.0,12471.8,745100000.0,16035.2,21990000.0,19598.5,706500.0
1729.26,169700000000000.0,5187.79,2257000000000.0,8646.32,59280000000.0,12104.9,2026000000.0,15563.4,79460000.0,19021.9,3392000.0
1675.68,194100000000000.0,5027.03,3317000000000.0,8378.39,112100000000.0,11729.7,4932000000.0,15081.1,248900000.0,18432.5,13680000.0
1621.41,219000000000000.0,4864.24,4682000000000.0,8107.07,198100000000.0,11349.9,10920000000.0,14592.7,690100000.0,17835.5,47490000.0
1566.91,244400000000000.0,4700.74,6382000000000.0,7834.56,330200000000.0,10968.4,22250000000.0,14102.2,1721000000.0,17236.0,144800000.0
1512.56,270100000000000.0,4537.69,8437000000000.0,7562.82,522900000000.0,10587.9,42210000000.0,13613.1,3911000000.0,16638.2,394400000.0
1458.7,296000000000000.0,4376.11,10860000000000.0,7293.52,791600000000.0,10210.9,75180000000.0,13128.3,8195000000.0,16045.7,972200000.0
1405.62,321900000000000.0,4216.86,13660000000000.0,7028.1,1152000000000.0,9839.33,126700000000.0,12650.6,15980000000.0,15461.8,2195000000.0
1353.55,347800000000000.0,4060.64,16820000000000.0,6767.73,1619000000000.0,9474.83,203100000000.0,12181.9,29260000000.0,14889.0,4586000000.0
1302.68,373500000000000.0,3908.04,20330000000000.0,6513.39,2205000000000.0,9118.75,311800000000.0,11724.1,50610000000.0,14329.5,8942000000.0
1253.17,399000000000000.0,3759.5,24170000000000.0,6265.84,2921000000000.0,8772.18,460300000000.0,11278.5,83270000000.0,13784.8,16390000000.0
1205.13,424200000000000.0,3615.39,28320000000000.0,6025.65,3774000000000.0,8435.91,656300000000.0,10846.2,131000000000.0,13256.4,28450000000.0
1158.65,449100000000000.0,3475.95,32750000000000.0,5793.25,4771000000000.0,8110.55,906900000000.0,10427.9,197900000000.0,12745.2,46990000000.0
1113.78,473700000000000.0,3341.35,37430000000000.0,5568.92,5912000000000.0,7796.49,1219000000000.0,10024.1,288400000000.0,12251.6,74270000000.0
1070.57,497900000000000.0,3211.7,42330000000000.0,5352.83,7195000000000.0,7493.96,1597000000000.0,9635.09,406900000000.0,11776.2,112800000000.0
1029.01,521800000000000.0,3087.02,47410000000000.0,5145.03,8619000000000.0,7203.04,2046000000000.0,9261.05,557600000000.0,11319.1,165400000000.0
989.103,545200000000000.0,2967.31,52650000000000.0,4945.51,10180000000000.0,6923.72,2569000000000.0,8901.93,744500000000.0,10880.1,234800000000.0
950.84,568300000000000.0,2852.52,58020000000000.0,4754.2,11860000000000.0,6655.88,3166000000000.0,8557.56,970700000000.0,10459.2,323800000000.0
914.189,590900000000000.0,2742.57,63490000000000.0,4570.94,13660000000000.0,6399.32,3839000000000.0,8227.7,1239000000000.0,10056.1,435100000000.0
879.114,613100000000000.0,2637.34,69040000000000.0,4395.57,15560000000000.0,6153.8,4585000000000.0,7912.02,1551000000000.0,9670.25,571000000000.0
845.571,635000000000000.0,2536.71,74640000000000.0,4227.86,17560000000000.0,5919.0,5402000000000.0,7610.14,1908000000000.0,9301.28,733600000000.0
813.514,656400000000000.0,2440.54,80270000000000.0,4067.57,19650000000000.0,5694.6,6288000000000.0,7321.63,2311000000000.0,8948.66,924300000000.0
782.891,677500000000000.0,2348.67,85930000000000.0,3914.46,21810000000000.0,5480.24,7237000000000.0,7046.02,2759000000000.0,8611.8,1144000000000.0
753.649,698200000000000.0,2260.95,91580000000000.0,3768.24,24030000000000.0,5275.54,8246000000000.0,6782.84,3250000000000.0,8290.14,1394000000000.0
725.732,718500000000000.0,2177.2,97230000000000.0,3628.66,26300000000000.0,5080.13,9310000000000.0,6531.59,3785000000000.0,7983.05,1675000000000.0
699.086,738400000000000.0,2097.26,102900000000000.0,3495.43,28630000000000.0,4893.6,10420000000000.0,6291.78,4360000000000.0,7689.95,1985000000000.0
673.655,758000000000000.0,2020.97,108400000000000.0,3368.28,30980000000000.0,4715.59,11580000000000.0,6062.9,4973000000000.0,7410.21,2324000000000.0
649.385,777300000000000.0,1948.16,114000000000000.0,3246.93,33360000000000.0,4545.7,12780000000000.0,5844.47,5622000000000.0,7143.24,2693000000000.0
626.223,796200000000000.0,1878.67,119500000000000.0,3131.11,35770000000000.0,4383.56,14010000000000.0,5636.0,6304000000000.0,6888.45,3088000000000.0
604.115,814800000000000.0,1812.35,125000000000000.0,3020.58,38180000000000.0,4228.81,15270000000000.0,5437.04,7016000000000.0,6645.27,3509000000000.0
583.012,833000000000000.0,1749.04,130400000000000.0,2915.06,40610000000000.0,4081.08,16560000000000.0,5247.11,7755000000000.0,6413.13,3954000000000.0
562.864,851000000000000.0,1688.59,135700000000000.0,2814.32,43030000000000.0,3940.05,17860000000000.0,5065.78,8519000000000.0,6191.5,4422000000000.0
543.625,868600000000000.0,1630.87,141000000000000.0,2718.12,45460000000000.0,3805.37,19180000000000.0,4892.62,9303000000000.0,5979.87,4911000000000.0
525.249,886000000000000.0,1575.75,146200000000000.0,2626.24,47880000000000.0,3676.74,20520000000000.0,4727.24,10110000000000.0,5777.74,5418000000000.0
507.693,903000000000000.0,1523.08,151400000000000.0,2538.46,50280000000000.0,3553.85,21870000000000.0,4569.23,10930000000000.0,5584.62,5942000000000.0
490.916,919800000000000.0,1472.75,156500000000000.0,2454.58,52680000000000.0,3436.41,23220000000000.0,4418.24,11760000000000.0,5400.07,6482000000000.0
474.878,936300000000000.0,1424.63,161500000000000.0,2374.39,55060000000000.0,3324.15,24570000000000.0,4273.9,12600000000000.0,5223.66,7035000000000.0
459.542,952600000000000.0,1378.63,166500000000000.0,2297.71,57430000000000.0,3216.8,25930000000000.0,4135.88,13460000000000.0,5054.97,7600000000000.0
444.873,968500000000000.0,1334.62,171400000000000.0,2224.37,59780000000000.0,3114.11,27290000000000.0,4003.86,14320000000000.0,4893.61,8175000000000.0
430.837,984200000000000.0,1292.51,176200000000000.0,2154.19,62100000000000.0,3015.86,28640000000000.0,3877.53,15180000000000.0,4739.21,8758000000000.0
