,Energy[eV],alpha_norm_deg,alpha_deg,beta_norm_deg,beta_deg,cff,Efficiency
0,500,75.16,14.84,-72.69644289879542,17.303557101204575,1.1613047593936847,0.0005717885878594915
1,1000,82.54,7.46,-80.25962809526204,9.740371904737955,1.3030784300337173,0.05814806371277459
2,1500,85.04,4.96,-82.87957240444841,7.12042759555159,1.4336677127313173,0.1847941936993839
3,2000,86.28,3.72,-84.22084622264923,5.779153777350771,1.551993227214839,0.3029368193045858
4,2500,87.02,2.98,-85.04792179747281,4.95207820252719,1.660451553044291,0.39370008952552715
5,3000,87.52,2.48,-85.62012618395487,4.379873816045134,1.7649096688313317,0.46224575342008656
6,3500,87.88,2.12,-86.04222477205137,3.9577752279486305,1.8658165327664669,0.5049210611307092
7,4000,88.14,1.86,-86.36240099870177,3.637599001298227,1.9547281502217366,0.556016414579842
8,4500,88.34,1.6600000000000001,-86.61743586565915,3.3825641343408535,2.036790702315149,0.5797090610228265
9,5000,88.5,1.5,-86.8271222903334,3.1728777096665937,2.1144123806600317,0.5739778178908129
10,5500,88.64,1.36,-87.00737072809254,2.992629271907461,2.199668872577446,0.5865982826538536
11,6000,88.76,1.24,-87.16249352846998,2.83750647153002,2.287554965910078,0.20022099287241957
12,6500,88.86,1.1400000000000001,-87.2958866578888,2.7041133421111994,2.371305212368107,0.2716383021082956
13,7000,88.94,1.06,-87.41028096287755,2.5897190371224497,2.4424387076369594,0.32177404231125545
14,7500,89.0,1.0,-87.50786040428996,2.492139595710043,2.4914803440180546,0.29934152459982544
15,8000,89.06,0.9400000000000001,-87.5982052517231,2.401794748276899,2.5544671405937187,0.30714496144245546
