,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,0.01715,0.00243,0.81,,581.2,0.5812,100.0,0.0029224369644154,0.0396410831570186,0.0069642437021749,0.0010460612834033,-2.369643939575679e-05,14065040000000.0,9066720000000.0,7323120000000.0,35.05135426088653,20.372092120129853,493004629307142.4,317804637074025.7,256688360713636.16,5.8198153694683344e-05,3.751616519161406e-05,3.030151803938058e-05,2.800350416119141e-05,1.805184565762752e-05,1.458033687731454e-05
1,1,2.25,0.02,105,1,100000.0,0.01715,0.00243,0.81,,608.2,0.6082,105.0,0.003153141539829,0.0383925778401969,0.0068337590013054,0.0008377201668345,-4.572106217179445e-05,14718440000000.0,9487920000000.0,7663320000000.0,34.51686734719783,20.99828734644468,508158553783961.1,327573282604536.9,264578420565202.9,6.435047230507239e-05,4.1482122642939234e-05,3.350479136545092e-05,3.265572184670817e-05,2.105079590118378e-05,1.7002565920186903e-05
2,2,2.25,0.02,110,1,100000.0,0.01715,0.00243,0.81,,642.2,0.6422,110.0,0.0030096966243931,0.0398208284079455,0.0068468196194864,-3.438277584523021e-05,3.5820780467120815e-05,15541240000000.0,10018320000000.0,8091720000000.0,36.86472052742848,23.672768553707208,572880998999714.5,369295189437832.5,298276883776710.9,7.039188002906031e-05,4.537658382038598e-05,3.6650317701080975e-05,3.893379028035604e-05,2.509781522204769e-05,2.0271312294730823e-05
3,3,2.25,0.02,115,1,100000.0,0.01715,0.00243,0.81,,664.1,0.6641,115.0,0.0034178519301007,0.0375400405928835,0.0071720777259054,0.0001125482136313,1.884747019719824e-05,16071220000000.0,10359960000000.0,8367660000000.0,35.33675015713906,23.51649687463857,569099224366253.4,366857351244361.6,296307860620446.0,7.551775074902313e-05,4.8680864119205e-05,3.931915948089634e-05,4.385675457363665e-05,2.827129633672445e-05,2.2834508579662056e-05
4,4,2.25,0.02,120,1,100000.0,0.01715,0.00243,0.81,,694.4,0.6944,120.0,0.0035346576728101,0.036339814364939,0.0066844119715512,0.0009548483441726,5.467237111224059e-05,16804480000000.0,10832640000000.0,8749440000000.0,34.94302795960628,24.18137122638952,585189183678626.4,377229391131676.5,304685277452508.0,8.165015732973705e-05,5.263398571669001e-05,4.251206538655732e-05,5.035427372836916e-05,3.2459779758783444e-05,2.621751442055585e-05
5,5,2.25,0.02,125,1,100000.0,0.01715,0.00243,0.81,,719.1,0.7191000000000001,125.0,0.0036566637649854,0.0405617187359116,0.0068926206948998,0.0001259264246729,-3.7022987103047738e-06,17402220000000.0,11217960000000.0,9060660000000.0,34.83064387121904,25.087234604680525,607111077433268.8,391360859833016.2,316099156018974.6,8.803924214081745e-05,5.675256931391539e-05,4.583861367662397e-05,5.4810832262453695e-05,3.533260261546602e-05,2.8537871343261017e-05
6,6,2.25,0.02,130,1,100000.0,0.01715,0.00243,0.81,,713.6,0.7135999999999999,130.0,0.0038823241828992,0.0361150299731541,0.0070731857470558,0.0003411589350182,9.092157505272358e-06,17269120000000.0,11132160000000.0,8991360000000.0,34.298027347090226,24.449073339969758,591667574827268.1,381405544103528.2,308058324083618.94,9.07346231625269e-05,5.849008765848843e-05,4.724199387800988e-05,5.73216449196228e-05,3.695114300603784e-05,2.984515396641517e-05
7,7,2.25,0.02,135,1,100000.0,0.01715,0.00243,0.81,,691.8,0.6918,135.0,0.0040230732409895,0.0348150976646678,0.0071657857187508,0.000154937549831,1.1245748144460156e-05,16741560000000.0,10792080000000.0,8716680000000.0,34.135611665589536,23.608120380112723,571316513198727.8,368286677929758.4,297462316789420.3,9.145455688657828e-05,5.8954177166554585e-05,4.7616835403755626e-05,5.81385924062238e-05,3.747777031145005e-05,3.0270506790017344e-05
8,8,2.25,0.02,140,1,100000.0,0.01715,0.00243,0.81,,686.8,0.6868000000000001,140.0,0.0043694208749911,0.0340084686429672,0.0067837985413735,0.0003825008574664,1.6562008646500628e-05,16614145067667.66,10714080000000.0,8653680000000.0,33.25474836702276,22.87919650888577,553462856479766.6,356915465538618.0,288277876011960.75,9.46528599536712e-05,6.10394522042561e-05,4.9301096011129935e-05,6.04916223718293e-05,3.900965585540976e-05,3.150779896013866e-05
9,9,2.25,0.02,145,1,100000.0,0.01715,0.00243,0.81,,681.2,0.6812,145.0,0.0040739634266799,0.0339721003600127,0.0066544522062394,8.30891077080726e-05,3.587693087300064e-05,16418409590575.438,10626720000000.0,8583120000000.0,36.76542287780679,25.098321293417875,604924426058713.8,391533812177318.9,316238848297065.25,9.69203205691062e-05,6.273111310302992e-05,5.06674375062934e-05,6.229902478760667e-05,4.032268101479081e-05,3.25683192811772e-05
