,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,708108000000.0,127.96,0.12796,4530474984.0,10.0,0.0003673171779138329,0.020534042344023035,0.005859298702079473,5.568597734047062,3.5444827643671974,125493830065.5264
1,1,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,749604000000.0,168.68,0.16868,6322160136.0,12.0,0.0004809332963910151,0.02315773410655189,0.005727856864246632,5.073714045082606,4.271751480872839,160106099853.41013
2,2,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,786270000000.0,207.88,0.20788,8172490380.0,14.0,0.0005968523290397343,0.02118675073646808,0.005908827475823758,4.734512287746523,4.919393398642406,193398572377.52817
3,3,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,819210000000.0,249.32,0.24931999999999996,10212271860.0,16.0,0.0007221575112487245,0.022098912167190406,0.005737654768573062,4.442130145530083,5.534879868903654,226711446870.2281
4,4,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,849172000000.0,284.0,0.284,12058242400.0,18.0,0.0009289021630246451,0.02133977157039228,0.00570910166541907,3.9078332995731575,5.561418321444576,236130035942.88672
5,5,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,876690000000.0,313.12,0.31311999999999995,13725458640.0,20.0,0.001070660086331827,0.02090549228759465,0.005805873875306606,3.7447814717452577,5.861872470886465,256952248825.07275
6,6,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,902160000000.0,343.12,0.34312,15477456960.0,22.0,0.0012375808379437104,0.02048337279276504,0.005749141567954541,3.597148720318581,6.180467667916749,278788535564.38873
7,7,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,925886000000.0,364.28,0.36428,16864087604.0,24.0,0.0014714348233303555,0.022357565352782424,0.005700831798232385,3.267208031231463,5.951549138186198,275522801267.9333
8,8,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,948100000000.0,405.8,0.4058,19236949000.0,26.0,0.0015136169408867773,0.02194513246821417,0.005713044047306432,3.45185542579811,7.002714135140259,331963663576.324
9,9,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,968996000000.0,424.28,0.4242800000000001,20556281144.0,28.0,0.0017107493361345407,0.019346324925405712,0.005854270809332628,3.283834931452715,6.969988659894833,337694556574.1727
