Energy[eV],ThetaB[deg],Reflectivity_1,Reflectivity_2
18850,11.586776200756699,0.9858976657055701,0.9719942072436921
18900,11.555701038267092,0.9859669899532674,0.9721309052775065
18950,11.524793279189941,0.9860350849222959,0.9722651886977192
19000,11.494051564963744,0.986102015782916,0.9723971855311303
19050,11.463474551791188,0.9861678440963856,0.9725270167297131
19100,11.43306091043774,0.9862326280666843,0.9726547966633189
19150,11.402803309375006,0.986299734412764,0.9727871661026888
19200,11.372712481219914,0.9863714569607068,0.9729286511067875
19250,11.342781122591955,0.9864419215053672,0.9730676645032011
19300,11.313007960558673,0.9865111947758274,0.9732043374180305
19350,11.283391735791671,0.9865793397794329,0.9733387936796217
19400,11.25393120238411,0.9866464160631835,0.9734711503303246
19450,11.22462512767117,0.986712479953382,0.9736015180957532
19500,11.195472292053424,0.9867775847755222,0.973730001815413
19550,11.166465472164502,0.9868434992857222,0.9738600920824892
19600,11.137615507334134,0.9869154052107695,0.9740020170423374
19650,11.108915199468788,0.9869861393217274,0.9741416392132083
19700,11.080363379520103,0.9870557635084694,0.9742790802752874
19750,11.051958890663427,0.9871243362742375,0.9744144552648538
19800,11.023700588137405,0.9871919129694943,0.9745478730323696
19850,10.995587339086148,0.9872585460065325,0.9746794366629327
19900,10.967618022403851,0.9873242850567308,0.9748092438627846
19950,10.939791528581882,0.9873891772320456,0.9749373873149759
20000,10.912100742899732,0.9874586774268046,0.9750746396254941
20050,10.884556611910908,0.9875300454961227,0.9752155907575741
20100,10.857152043345973,0.9876003628342687,0.9753544766703791
20150,10.829885972603034,0.9876602202300386,0.9754727106248484
20200,10.80275734594783,0.9877160952350889,0.9755830847864511
20250,10.775765120374572,0.9877710729568311,0.9756916925702893
20300,10.748908263468905,0.9878251977124607,0.9757986212356621
20350,10.722185753272976,0.9878785115540935,0.9759039535903311
20400,10.69559657815258,0.9879310544148346,0.9760077682772069
20450,10.669133720007824,0.9879883898820192,0.9761210585416648
20500,10.642808220778361,0.9880471995796555,0.9762372685971995
20550,10.61661308236543,0.9881050469739244,0.9763515838553414
20600,10.590547333140972,0.9881619797281496,0.9764640981802559
20650,10.564610011166081,0.988218043019053,0.9765749005484069
20700,10.538800164069796,0.98827327970031,0.9766840753696071
20750,10.513116848929748,0.9883277304532587,0.9767917027828892
20800,10.487559132154574,0.9883814339260519,0.9768978589297186
20850,10.462126089368121,0.9884344268620762,0.977002616206161
20900,10.43681078863685,0.9884890542979271,0.9771106104668102
20950,10.411624356991487,0.9885482112660531,0.9772275659973131
21000,10.386559880365272,0.9886064667842749,0.9773427461676876
21050,10.361616470118907,0.9886638653183759,0.9774562385862717
21100,10.336793246274613,0.9887204490542751,0.9775681263780874
21150,10.312089337410251,0.9887762580455937,0.9776784884746464
21200,10.287503880555008,0.9888313303499107,0.9777873998815741
21250,10.263036021086624,0.9888857021546068,0.9778949319258097
21300,10.238684912630106,0.9889394078933107,0.9780011524843719
21350,10.21444971695794,0.9889924803536689,0.9781061261961023
21400,10.190323587233227,0.989048171597713,0.9782162857407791
21450,10.166317734546832,0.9891071574765954,0.9783329689714305
21500,10.142425327870779,0.9891653007722773,0.9784479922519097
21550,10.118645560598187,0.989212440016166,0.9785412514827369
21600,10.094977633791986,0.9892588403399818,0.9786330531908056
21650,10.071420756093463,0.989304535954865,0.9787234648608708
21700,10.047974143632157,0.9893495594015739,0.9788125506880884
21750,10.024637019937012,0.9893939416533206,0.9789003717802944
21800,10.001408615848812,0.9894377122110996,0.9789869863455346
21850,9.978288169433863,0.9894808991920752,0.9790724498659577
21900,9.955268909240381,0.9895240458902623,0.979157837395034
21950,9.932362120848675,0.9895730136878796,0.9792547494193125
22000,9.90956104683734,0.9896212230632204,0.9793501651371442
22050,9.886864953335792,0.9896687091676438,0.9794441539055504
22100,9.864273113285362,0.989715505421628,0.9795367816719885
22150,9.84178480636004,0.9897616436222465,0.9796281111858108
22200,9.819399318888326,0.989807154042704,0.9797182021941172
22250,9.79711594377616,0.989852065524597,0.9798071116233111
22300,9.774933980430953,0.989896405563505,0.9798948937475471
22350,9.752852734686652,0.9899402003885239,0.9799816003452709
22400,9.730871518729849,0.9899834750361617,0.9800672808446745
22450,9.708983634368401,0.990027337851243,0.9801541296928192
22500,9.687200439593635,0.9900761652225013,0.9802508129416937
22550,9.665515248558373,0.9901243038005867,0.9803461369765964
22600,9.643927398141104,0.9901717853130431,0.980440164430019
22650,9.622436231218522,0.9902186399651396,0.9805329549344107
22700,9.601041096597543,0.990264896532198,0.9806245653039247
22750,9.57974134894821,0.9903105824452113,0.9807150497029736
22800,9.55853634873755,0.9903557238703719,0.9808044598028082
22850,9.537425462164322,0.9904003457829731,0.9808928449270327
22900,9.51640806109462,0.9904444720362152,0.9809802521870971
22950,9.495483522998388,0.9904881254251793,0.9810667266082856
23000,9.474651230886748,0.990528537345857,0.9811467832965228
23050,9.453904556591706,0.9905670898649391,0.9812231595234944
23100,9.433254927339203,0.9906071246698943,0.9813024754467555
23150,9.412695725737885,0.9906465518170108,0.9813805906269334
