,Energy[eV],alpha_norm_deg,alpha_deg,beta_norm_deg,beta_deg,cff,Efficiency
0,500,73.52,16.48,-71.26537180850289,18.73462819149711,1.132207708766776,0.01394314107108341
1,510,73.84,16.16,-71.58967663917352,18.41032336082648,1.134734428137802,0.015834598603412825
2,520,74.14,15.860000000000001,-71.8948199905164,18.105180009483604,1.1371251937425453,0.018897233062312207
3,530,74.44,15.56,-72.19848633462291,17.801513665377087,1.1396961390385214,0.020445799348084777
4,540,74.72,15.280000000000001,-72.483183514929,17.516816485071004,1.1421032315621116,0.02339537010940797
5,550,75.0,15.0,-72.76651642467012,17.233483575329885,1.1446849391252194,0.024799029668824312
6,560,75.26,14.74,-73.031066701951,16.968933298048995,1.1470719240942415,0.02766255658650204
7,570,75.52,14.48,-73.29436058483238,16.705639415167624,1.1496258456588988,0.029075022530435927
8,580,75.76,14.24,-73.53905260313161,16.46094739686839,1.1519513659104534,0.032130171011551835
9,590,76.0,14.0,-73.78259206726509,16.217407932734915,1.1544339730283157,0.03375574140641599
10,600,76.24,13.76,-74.02499201634478,15.975007983655217,1.1570811972818376,0.03406117195166528
11,610,76.46,13.540000000000001,-74.24901600824793,15.750983991752065,1.1594574070393264,0.03597500575606669
12,620,76.68,13.32,-74.47199869673034,15.528001303269662,1.161985984354807,0.03688362368289374
13,630,76.88,13.120000000000001,-74.6767748802356,15.323225119764402,1.1642034075198844,0.03878308159716111
14,640,77.08,12.92,-74.88060462048806,15.119395379511943,1.1665588848071584,0.0393237889070757
15,650,77.28,12.72,-75.08349946567644,14.91650053432356,1.1690582049414966,0.039366001445945285
16,660,77.46,12.540000000000001,-75.26839584894695,14.731604151053048,1.1711961460005302,0.03935707877724824
17,670,77.66,12.34,-75.46948718018888,14.530512819811122,1.1739866608376612,0.03919833750662982
18,680,77.84,12.16,-75.65266988434547,14.347330115654529,1.1763985939537458,0.038048405158092886
19,690,78.02,11.98,-75.83502573330027,14.16497426669973,1.178948889451767,0.03688954619234328
20,700,78.2,11.8,-76.01656188153369,13.98343811846631,1.1816434119664396,0.035813155845549054
21,710,78.38,11.620000000000001,-76.19728374873425,13.80271625126575,1.1844885304175685,0.03461616361654914
22,720,78.53999999999999,11.46,-76.3603485229259,13.639651477074096,1.1868845751170944,0.03275756973615229
23,730,78.7,11.3,-76.52268537609525,13.477314623904746,1.1894102416047256,0.030001527930844235
24,740,78.86,11.14,-76.68430061737644,13.315699382623563,1.1920706597760105,0.027358659863769348
25,750,79.02,10.98,-76.84519920501535,13.154800794984652,1.1948713752184865,0.024780060662928777
26,760,79.16,10.84,-76.98868305707153,13.011316942928474,1.1971449744787888,0.022156417367703414
27,770,79.32,10.68,-77.14820094658148,12.851799053418517,1.2002248790949313,0.018140863315849902
28,780,79.46,10.540000000000001,-77.29038760481505,12.709612395184948,1.2027528561911223,0.013152452547191383
29,790,79.6,10.4,-77.4319500052578,12.568049994742196,1.205406795062256,0.009039540390584057
30,800,79.74,10.26,-77.57289238628769,12.427107613712309,1.2081915211478749,0.0058490352079222
31,810,79.88,10.120000000000001,-77.7132179961568,12.2867820038432,1.21111222038318,0.0034990238885319468
32,820,80.02,9.98,-77.85292911287156,12.147070887128436,1.2141744627673512,0.0014695422187227872
33,830,80.14,9.86,-77.97559294303566,12.024407056964336,1.216577539692153,0.00015435363282628435
34,840,80.28,9.72,-78.11412324709721,11.885876752902789,1.2199181257968412,5.589962463656776e-05
35,850,80.46,9.540000000000001,-78.28471455774562,11.715285442254384,1.225131389594826,0.009655582416827426
36,860,80.56,9.44,-78.38934811499789,11.610651885002113,1.2270854739722485,0.009605237792388494
37,870,80.66,9.34,-78.49351931155962,11.506480688440377,1.2291293841506863,0.009069329921771488
38,880,80.74,9.26,-78.58098478510406,11.419015214895936,1.2303568559527955,0.01002188442631766
39,890,80.82,9.18,-78.66804590175684,11.331954098243159,1.2316484350560246,0.010765640393652019
40,900,80.92,9.08,-78.77092497681258,11.22907502318742,1.2339391645767503,0.011364652587480083
41,910,81.0,9.0,-78.85718188418953,11.14281811581047,1.2353751421474406,0.01232429689524814
42,920,81.1,8.9,-78.95921935455401,11.040780645445992,1.2378459593338642,0.01348330433722785
43,930,81.18,8.82,-79.04469647170485,10.955303528295147,1.2394325836814508,0.015051597916304628
44,940,81.28,8.72,-79.14591088384834,10.854089116151656,1.2420927666865087,0.016195135971465952
45,950,81.36,8.64,-79.23062904883466,10.769370951165342,1.2438372185643578,0.01717406094716993
46,960,81.44,8.56,-79.3149862554502,10.685013744549806,1.2456553214920838,0.018067940190824087
47,970,81.53999999999999,8.46,-79.41501206603685,10.584987933963149,1.248607695195856,0.019197489721848617
48,980,81.62,8.38,-79.49863637343476,10.501363626565237,1.2505956151611441,0.02044939941778514
49,990,81.7,8.3,-79.58191246739341,10.418087532606592,1.25266275865464,0.02156709840434868
50,1000,81.78,8.22,-79.66484419487536,10.335155805124643,1.2548110036432727,0.021716127430646732
