,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
219,219,2.25,0.02,1195,1,100000.0,,990.4,0.9904,1195.0,0.0670553298916729,0.0154644631380042,0.0073376674363947,6664303039998.303,11805133036795.863,10734843449442.48,17.985626102692663,17.828101785919323,119963522747679.0,212503143554438.16,193236956454533.38,0.0003481940556246,0.0006167902516736,0.0005608701547218,0.0002217745496656,0.0003928509924091,0.0003572339159012
220,220,2.25,0.02,1200,1,100000.0,,989.0,0.989,1200.0,0.0723600704579439,0.0159369809591912,0.007551574956521,6499644904846.084,11759279089778.78,10702169103545.56,16.730337803315706,16.52683724921542,108613320040529.28,196505249428590.4,178840249734963.7,0.0003410119409902,0.0006169651797535,0.0005615025916393,0.0002171666194947,0.0003929019084902,0.0003575816709226
221,221,2.25,0.02,1205,1,100000.0,,992.8,0.9928,1205.0,0.078708523784553,0.0165666172679881,0.0074143401776458,6371880989756.687,11775182716260.258,10725722542888.0,15.558940039490642,15.450355949601292,99161794279047.72,183250165529627.3,166918040999478.56,0.0003357385063901,0.0006204419486151,0.0005651452172903,0.0002137397435127,0.0003949892563334,0.0003597859390329
222,222,2.25,0.02,1210,1,100000.0,,998.8,0.9988,1210.0,0.0798198537260759,0.0168755204295589,0.0067651397878192,6255918689223.551,11816890604741.912,10772870172643.455,15.38975580939191,15.377400607159291,96315346265524.02,181931378414190.25,165857769657244.4,0.0003309961308194,0.0006252231307328,0.0005699847651644,0.0002106831019995,0.0003979622006412,0.000362802302613
223,223,2.25,0.02,1215,1,100000.0,,990.8,0.9908,1215.0,0.0780451619094037,0.0167543811514209,0.0067300904278293,6051098590792.869,11693022244428.268,10669051778103.045,15.606782516448895,15.459900538147233,94418028219802.84,182451514825599.7,166474040498401.22,0.0003214586610103,0.0006211803059327,0.0005667828820467,0.0002045762183865,0.0003953190047036,0.0003607004965769
224,224,2.25,0.02,1220,1,100000.0,,1005.0,1.005,1220.0,0.0739236134199472,0.0181733327610452,0.0071338711564526,5984708659404.71,11830966508595.137,10804175906533.867,16.969392181662148,17.079094007256778,101704877412951.95,201056904673634.7,183607498486199.6,0.0003192635184858,0.0006311411648563,0.0005763654357409,0.00020312004383,0.0004015410895568,0.0003666919826137
225,225,2.25,0.02,1225,1,100000.0,,996.0,0.996,1225.0,0.0727414290764954,0.0185914627248108,0.0070936572354521,5772497821975.596,11695644562015.057,10689798190754.316,16.967269267178317,16.917017152644863,98045627176672.95,198650019745829.7,181565762400906.4,0.0003092048645707,0.0006264792650242,0.0005726009266348,0.0001966668934105,0.0003984663404617,0.0003641975218004
226,226,2.25,0.02,1230,1,100000.0,,1010.0,1.01,1230.0,0.0774558792417791,0.0164048073489562,0.0073983960550132,5692791110812.268,11830255306160.363,10822184771037.914,15.926827446057423,16.088912580447108,90683978733272.2,188451429133846.16,172393252188787.06,0.0003061575573012,0.0006362295746115,0.0005820156738003,0.0001946958935823,0.00040459979706,0.0003701233531138
227,227,2.25,0.02,1235,1,100000.0,,1021.8,1.0218,1235.0,0.0724007619915027,0.0169598875923034,0.0070375943276792,5596579107169.971,11938336300817.371,10930541776877.01,17.077251065426548,17.45526633692674,95605577306059.4,203940927530405.2,186724914780086.72,0.0003022178716027,0.0006446757060377,0.0005902543335875,0.000192123580323,0.0004098281949191,0.0003752318659007
228,228,2.25,0.02,1240,1,100000.0,,1030.2,1.0302,1240.0,0.0740934235047006,0.016927861693126,0.0069103784343154,5614590000000.0,12006097217444.027,11002170532460.074,16.88629803237357,17.347207170061303,94542279076834.1,202166817836243.6,185262018585642.16,0.0003044179599562,0.0006509596643692,0.000596527673184,0.0001934677886205,0.0004137066248154,0.0003791132750461
229,229,2.25,0.02,1245,1,100000.0,,1023.0,1.0229999999999997,1245.0,0.0807009342284345,0.0172425265547256,0.0067814980472018,5575350000000.0,11892018127747.82,10907175588776.434,15.50858539022236,15.857935695992657,86425749543159.95,184342970445165.03,169076528945960.4,0.0003035426794544,0.0006474454602165,0.0005938269890676,0.0001928249415076,0.0004112885648238,0.0003772275274054
230,230,2.25,0.02,1250,1,100000.0,,1038.8,1.0387999999999995,1250.0,0.077916019945087,0.0156409621718974,0.0069571362542358,5661460000000.0,12045052395119.836,11057253338797.402,16.07465195859755,16.695952827290643,90992942908734.0,193592247392342.1,177715999368466.88,0.0003094687012147,0.0006584108552885,0.0006044154387314,0.0001965286576665,0.0004181250028679,0.0003838351160572
231,231,2.25,0.02,1255,1,100000.0,,1010.4,1.0104,1255.0,0.0781174027077213,0.0157462900258579,0.007000890863326,5506680000000.0,11685952183457.344,10737077915854.049,16.181917366567127,16.34304508236182,89069595698871.9,189018253527877.97,173670376515869.06,0.000302167805225,0.0006412427312356,0.00058917519601,0.0001918479898687,0.0004071285122975,0.0003740705498087
232,232,2.25,0.02,1260,1,100000.0,,1003.4,1.0033999999999998,1260.0,0.074501695452227,0.0176815980305665,0.006636097092009,5468530000000.0,11575401273042.02,10644937298888.465,17.15892234516432,17.229559242113805,93901097869520.23,198763266877732.8,182786105062572.97,0.0003013030362437,0.0006377771630231,0.0005865108043257,0.0001912113540843,0.0004047428013538,0.0003722084134243
233,233,2.25,0.02,1265,1,100000.0,,1033.2,1.0332,1265.0,0.080451973261961,0.0167947072916297,0.0064476948391906,5630940000000.0,11888709329039.45,10942799554692.377,15.893002824450368,16.4344730626337,89567878191353.67,189106342641870.7,174060341184080.44,0.0003114825986601,0.0006576390578704,0.0006053148571842,0.0001975917481493,0.0004171791671665,0.0003839868465407
234,234,2.25,0.02,1270,1,100000.0,,1048.6,1.0486,1270.0,0.0797933627228303,0.0175334687762421,0.007279607076229,5714870000000.0,12034988082426.096,11087349128806.27,16.098690322110446,16.877213691948377,91980814621118.66,193703095219490.0,178450849250525.56,0.0003173515434435,0.0006683130225679,0.0006156898334913,0.0002012540366173,0.0004238224022997,0.0003904504857606
235,235,2.25,0.02,1275,1,100000.0,,1032.6,1.0326,1275.0,0.0756160131665637,0.0164983270070036,0.0070968180586006,5627670000000.0,11820900561236.83,10899902107503.473,16.938056790733448,17.49695670668243,95358414051419.22,200300005184930.1,184694088012846.0,0.0003137511014916,0.0006590330583902,0.0006076860036889,0.0001988779768951,0.0004177424740074,0.0003851950237834
236,236,2.25,0.02,1280,1,100000.0,,1036.2,1.0362,1280.0,0.0832112267210049,0.0173867812605439,0.0067091265852818,5647290000000.0,11831553753304.465,10919567856215.666,15.451895857474762,16.013892864072957,87275716109197.62,182850061977357.7,168755828769940.62,0.0003160680507829,0.0006621894984214,0.0006111473871018,0.0002002734246166,0.0004195898897897,0.0003872475558894
237,237,2.25,0.02,1285,1,100000.0,,1032.0,1.0319999999999998,1285.0,0.0804726257581023,0.0153673110029352,0.0071260436437451,5624400000000.0,11753162574560.51,10857047127186.87,16.312948679361472,16.823396479221945,91687510811759.6,191597009570333.7,176988767843277.4,0.0003159934185951,0.0006603232382547,0.0006099771420184,0.0002001473241451,0.0004182426640247,0.0003863539098613
238,238,2.25,0.02,1290,1,100000.0,,1032.6,1.0326,1290.0,0.0773403618548854,0.0160252539736524,0.0066422246230505,5627670000000.0,11729543446832.23,10845087992081.344,16.733012493027122,17.28874063458962,94223636458513.4,196386823953547.03,181578455795464.5,0.0003174190282585,0.0006615846847469,0.0006116984989924,0.0002009544826403,0.0004188419603434,0.0003872595668612
239,239,2.25,0.02,1295,1,100000.0,,1039.4,1.0394,1295.0,0.0752809729715408,0.0170120254859059,0.0071270962085138,5664730000000.0,11776133327328.973,10898114524911.986,17.43945135743657,18.12162574282372,98762860298389.23,205313335439146.62,190005342238682.03,0.0003207477419636,0.0006667869737488,0.0006170718861317,0.0002029619889431,0.0004219278663191,0.0003904692720934
240,240,2.25,0.02,1300,1,100000.0,,1025.2,1.0252,1300.0,0.0813394064372459,0.0165829810123458,0.006651295931726,5587340000000.0,11585016869157.473,10731086863072.902,16.236864294200355,16.64265570049755,90702473567711.69,188066179319005.03,174203847009612.38,0.000317610538047,0.0006585465429163,0.0006100051674698,0.0002008685679772,0.0004164890177616,0.0003857896693283
241,241,2.25,0.02,1305,1,100000.0,,1012.4,1.0124,1305.0,0.0837119160909878,0.016972545264814,0.0066871181795981,5517580000000.0,11380914035182.713,10579191192494.06,15.688479025540811,15.891686546613077,86609691679041.27,178646699388653.75,166062021283885.2,0.0003148398441039,0.0006494088351411,0.0006036615519469,0.0002003107630757,0.0004131738144055,0.0003840679900415
242,242,2.25,0.02,1310,1,100000.0,,1032.6,1.0326,1310.0,0.076769991367746,0.0154450482503952,0.0066848874468282,5627670000000.0,11547087999398.385,10772001907783.818,17.26453029615019,17.780920479521694,96906016613393.22,198835806205057.1,185489162625954.0,0.0003223284418409,0.0006613669391856,0.0006169733816026,0.0002063360012905,0.0004233688123763,0.0003949506277991
243,243,2.25,0.02,1315,1,100000.0,,1055.8,1.0558,1315.0,0.0850154076567832,0.0161845937052621,0.0066675609377204,5754110000000.0,11744249760433.162,10995340437766.396,15.526338619591389,16.374688000398343,89242049602170.97,182144748651113.88,170529711239427.94,0.0003308404000112,0.0006752516529182,0.0006321920902954,0.0002116247979506,0.0004319303041885,0.0004043868988499
244,244,2.25,0.02,1320,1,100000.0,,1021.6,1.0215999999999998,1320.0,0.0784510277389017,0.0159409820411752,0.0073133907198583,5567719999999.999,11321664111442.85,10621097032839.633,17.804782951923034,18.230177084952057,99354465112988.72,202032049381313.2,189530618387945.72,0.0003213290779843,0.0006534056831482,0.0006129739492547,0.0002054054452888,0.0004176811079259,0.000391835646456
245,245,2.25,0.02,1325,1,100000.0,,1067.2,1.0672,1325.0,0.0823626986227281,0.0180515692567118,0.0069907275949442,5816240000000.0,11795543618353.766,11076295286884.955,16.169414174991992,17.250188561072342,94013527657844.23,190662810716787.8,179036902414619.84,0.0003369186693753,0.000683283162396,0.000641619099223,0.0002173157973396,0.0004407242422041,0.0004138505188642
246,246,2.25,0.02,1330,1,100000.0,,1024.8,1.0248,1330.0,0.0837022133866412,0.0164493346740546,0.0069742084315741,5585160000000.0,11296682728646.473,10618099226112.027,16.15892387428738,16.5694250666647,90303366613322.6,182649822379189.2,171678180598627.75,0.0003247537238407,0.0006568549125138,0.0006173981163996,0.0002113829384602,0.0004275483585135,0.0004018658400617
247,247,2.25,0.02,1335,1,100000.0,,1060.4,1.0604,1335.0,0.084388183467854,0.0159979066681367,0.0066325470236448,5779180000000.0,11657840153518.123,10968192632988.549,15.913157999645648,16.855554115587857,91862769929953.84,185306823442566.8,174344553447312.84,0.0003372861053816,0.000680378099063,0.0006401286992717,0.0002195270003342,0.0004428328377517,0.0004166359981534
248,248,2.25,0.02,1340,1,100000.0,,1054.8,1.0547999999999995,1340.0,0.0835985604406686,0.0167521067577536,0.0067924297322722,5748660000000.0,11565167735218.396,10891605131838.402,16.18204519341445,17.08300529283434,93102378845947.16,187303585166147.84,176394907200092.06,0.0003367861451248,0.0006775471604281,0.0006380863899715,0.0002191702377502,0.0004409272007997,0.0004152473248073
249,249,2.25,0.02,1345,1,100000.0,,1045.2,1.0452,1345.0,0.091542613116826,0.0165481982771533,0.007181855989132,5696340000000.0,11429086288085.355,10773983572256.676,14.72578623335123,15.387631096344766,83862589475078.97,168261159174655.4,158616613708347.2,0.0003349539220218,0.0006720485921346,0.0006335275024535,0.0002179599614306,0.0004373129424401,0.0004122466432593
