,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
10,10,2.25,0.02,100000.0,150,226.5,18.76,5.23,,891.3,0.8913,150.0,0.0095396828127263,0.0516236672064654,0.006845623884838,0.0004565287289693,-2.924366168718041e-05,12236073510978.262,6895943535000.0,4735690812000.0,3432610212000.0,15.875255075513484,14.143078527585825,194161055239625.7,109424291414005.14,75145570555910.1,54468389748579.625,7.467211252323332e-05,4.2083326088011936e-05,2.8900123628027653e-05,2.094791730115809e-05,4.8472751121007886e-05,2.7318024398649928e-05,1.8760263405590417e-05,1.3598157967294162e-05
11,11,2.25,0.02,100000.0,155,226.5,18.76,5.23,,811.5,0.8115,155.0,0.0094157824109259,0.0451639083649552,0.0070454202418603,0.0012351902119833,1.3167159947651211e-05,11090385882812.502,6278534925000.0,4311694260000.0,3125281260000.0,16.640436266036385,13.492309497472585,184392999109435.6,104389323966470.52,71687878514351.22,51962122029046.31,7.019532083059755e-05,3.973926408543686e-05,2.7290372499409527e-05,1.9781107983946884e-05,4.515555887857079e-05,2.5563650938095474e-05,1.7555472467875116e-05,1.272487931792642e-05
12,12,2.25,0.02,100000.0,160,226.5,18.76,5.23,,715.6,0.7155999999999999,160.0,0.0099906308208346,0.046396114561857,0.0066793550828949,0.0013987132389557,1.4455314569884889e-05,9737323769600.0,5536561420000.0,3802154544000.0,2755947344000.0,16.2909999921382,11.689146636268742,159056743135382.22,90438343067479.44,62107241473688.52,45017709091463.63,6.359691006771871e-05,3.616067484696621e-05,2.483282740923681e-05,1.7999785108812928e-05,4.078016119543003e-05,2.3187260947498917e-05,1.5923520554829632e-05,1.1541978021241666e-05
13,13,2.25,0.02,100000.0,165,226.5,18.76,5.23,,659.7,0.6597000000000001,165.0,0.009913450556533,0.0429217740749753,0.006972313672263,0.0014494036195881,-6.878933411490308e-05,8936090043750.0,5104065915000.0,3505144428000.0,2540663028000.0,16.844062952606954,11.13759253577942,150866347992000.56,86170996569698.6,59176702164804.65,42893541877495.13,6.004598102119708e-05,3.4296727490719885e-05,2.3552788162362755e-05,1.707196360081945e-05,3.8338002736102826e-05,2.1897685906978937e-05,1.5037923299025683e-05,1.0900063186707108e-05
14,14,2.25,0.02,100000.0,170,226.5,18.76,5.23,,565.9,0.5659000000000001,170.0,0.0111600193494268,0.0450274170303417,0.0060447395787361,0.0016006763171622,2.0678727052204703e-05,7625870075412.842,4378340005000.0,3006762516000.0,2179416716000.0,15.469980973278377,8.754029860074759,117966238468306.42,67729491325905.41,46512261613743.62,33713869958314.32,5.288614675121307e-05,3.036421152488641e-05,2.085218894299271e-05,1.5114465776966827e-05,3.353534365039641e-05,1.9254083171355947e-05,1.3222466846674111e-05,9.584150766497507e-06
15,15,2.25,0.02,100000.0,175,226.5,18.76,5.23,,522.4,0.5224,175.0,0.0108113430716428,0.0428368459386587,0.0071173724465409,0.0014596476002498,-4.296760551713038e-05,7005519454159.292,4041782680000.001,2775636576000.0,2011887776000.0,16.67029834848533,8.713218589931087,116846520559158.9,67413736569367.31,46295421540765.45,33556695962286.2,5.031538446278779e-05,2.9029089247407105e-05,1.9935312772202653e-05,1.4449878785979509e-05,3.1453461775582574e-05,1.814684233802444e-05,1.2462085005601035e-05,9.03299686386667e-06
16,16,2.25,0.02,100000.0,180,226.5,18.76,5.23,,479.8,0.4798,180.0,0.010557002647502,0.0457164890738265,0.0064857417326283,0.0012076684993157,4.775392747001186e-05,6401850424786.325,3712188610000.0,2549292552000.0,1847824952000.0,17.18977890114239,8.252876570390438,110116051225225.38,63852093381282.3,43849513908861.3,31783808362950.47,4.753340020091226e-05,2.7562803738309416e-05,1.892836212390349e-05,1.372000236128277e-05,2.9358879295527844e-05,1.70240930499186e-05,1.1691052954529822e-05,8.474123280823645e-06
17,17,2.25,0.02,100000.0,185,226.5,18.76,5.23,,450.5,0.4505,185.0,0.0108958243530053,0.0399006433095918,0.006082188389743,0.0018140215798499,-4.268792302901084e-05,5980840606198.348,3485495975000.0,2393614620000.0,1734983620000.0,17.428248205882433,7.842439911897128,104116277639833.36,60676565476352.48,41668765437488.3,30203118286294.688,4.571719199776828e-05,2.6642925165298917e-05,1.8296648641295707e-05,1.326211221652018e-05,2.793799667032588e-05,1.6281620152703132e-05,1.1181170288052578e-05,8.104540781172998e-06
18,18,2.25,0.02,100000.0,190,226.5,18.76,5.23,,434.7,0.4347,190.0,0.0110801490864445,0.0468862594287348,0.0071337514002712,0.0012142918725285,-4.365575401265333e-05,5741106895440.0,3363252165000.0,2309665428000.0,1674134028000.0,17.804827125538118,7.762303725661781,102517173783980.8,60056555810258.914,41242982647335.19,29894494600417.68,4.513891343407847e-05,2.64432540793646e-05,1.8159527372497323e-05,1.3162721465255966e-05,2.732611232693625e-05,1.6008168480123373e-05,1.0993381254283756e-05,7.968424091843729e-06
19,19,2.25,0.02,100000.0,195,226.5,18.76,5.23,,416.5,0.4164999999999999,195.0,0.0120148795552608,0.0407241442810444,0.006781117237081,0.0003810835100848,2.6213095814976743e-05,5469886810769.23,3222439675000.0,2212964460000.0,1604041460000.0,16.88945476086527,7.021682690142711,92215629138579.16,54326407889499.64,37307885336573.86,27042185243585.21,4.425100956298432e-05,2.60693162048287e-05,1.7902730873554056e-05,1.297658552022237e-05,2.6495677098538492e-05,1.56092299625323e-05,1.0719415920501634e-05,7.76984351726493e-06
20,20,2.25,0.02,100000.0,200,226.5,18.76,5.23,,404.6,0.4046,200.0,0.0127298631281319,0.039899918732323,0.0071099047423075,0.001122629057326,-6.210679570789627e-05,5282783409473.685,3130369970000.0,2149736904000.0,1558211704000.0,15.932933805423849,6.436538861640488,84040634485187.83,49799179345569.36,34198875741222.69,24788655925504.305,4.390766840036649e-05,2.60179598441873e-05,1.786746262578015e-05,1.2951021742460258e-05,2.605012702348545e-05,1.543628216950289e-05,1.0600646491742811e-05,7.683754883058094e-06
21,21,2.25,0.02,100000.0,205,226.5,18.76,5.23,,384.2,0.3842,205.0,0.0125867020361624,0.0422824160188591,0.0069390883164728,0.0011909660328113,9.936156103106696e-06,4985025067826.087,2972536190000.0,2041346808000.0,1479646408000.0,16.882992460716537,6.462206509966356,83847635204714.27,49997768657284.2,34335254117013.645,24887508199442.832,4.25210760195306e-05,2.5355025418340678e-05,1.741220186943749e-05,1.26210312968457e-05,2.4989034795620237e-05,1.4900789719708155e-05,1.0232904693754276e-05,7.4172015329204435e-06
22,22,2.25,0.02,100000.0,210,226.5,18.76,5.23,,367.9,0.3678999999999999,210.0,0.0131639928260767,0.0377689824383934,0.0067860199786316,0.0007918490335878,-4.490326137388821e-05,4743337809014.084,2846423905000.0,1954740996000.0,1416871196000.0,16.225275914412563,5.972485068961651,77003300465827.39,46208818354302.84,31733246567809.805,23001473396987.87,4.153094377712328e-05,2.492225431209293e-05,1.7115002488213653e-05,1.2405609794157229e-05,2.4178005387871008e-05,1.4508950296660275e-05,9.963814561839906e-06,7.222154691514089e-06
23,23,2.25,0.02,100000.0,215,226.5,18.76,5.23,,366.3,0.3663,215.0,0.0132453434751681,0.040443000122996,0.0061104410559243,0.0010967864827551,-4.7510877558224165e-05,4692527296027.398,2834044785000.0,1946239812000.0,1410709212000.0,16.654941563723888,6.128889148074055,78514822881964.53,47418908894191.58,32564258977113.0,23603823042628.73,4.2128962142734313e-05,2.544372316366842e-05,1.747311378025315e-05,1.266518258446111e-05,2.437429608962935e-05,1.4720819371544184e-05,1.0109312625474303e-05,7.327617264744611e-06
24,24,2.25,0.02,100000.0,220,226.5,18.76,5.23,,355.6,0.3555999999999999,220.0,0.0140754254028535,0.0408459171257458,0.0070121117197298,0.0006969744312271,-2.8020527864982603e-05,4524266558933.332,2751259420000.0,1889388144000.0,1369500944000.0,15.80362766648393,5.630155220499498,71631954403008.45,43560229433243.59,29914365923766.75,21683078991396.48,4.1639495499569576e-05,2.5321464318019312e-05,1.7389154262735695e-05,1.2604325508130295e-05,2.3956297471252196e-05,1.456810473643801e-05,1.0004438029175824e-05,7.251600137671758e-06
25,25,2.25,0.02,100000.0,225,226.5,18.76,5.23,,351.0,0.351,225.0,0.0136392749791269,0.0399544484755215,0.006768703289319,0.0009600136249881,7.479339393528942e-06,4436402678709.678,2715669450000.0,1864947240000.0,1351785240000.0,17.80634759775685,6.182610936447487,78144021993946.94,47834551684747.39,32849695731970.24,23810718542884.023,4.181797918059858e-05,2.559817418434106e-05,1.757918081455978e-05,1.2742064036306512e-05,2.393934053378199e-05,1.4654065568197451e-05,1.0063470403656408e-05,7.294389065311881e-06
26,26,2.25,0.02,100000.0,230,226.5,18.76,5.23,,344.2,0.3441999999999999,230.0,0.0148062473585667,0.0408029535655935,0.0062130442522808,0.0013508234985614,-3.00484460211924e-05,4319858572405.064,2663058190000.0,1828817208000.0,1325596808000.0,16.074637632238627,5.519567729856019,69272957506649.84,42704619547509.52,29326788044980.195,21257180023930.688,4.167046305837792e-05,2.568854189754717e-05,1.764123955198412e-05,1.2787046587803923e-05,2.3763951174511577e-05,1.4649735342333125e-05,1.0060496682839883e-05,7.292233598486099e-06
27,27,2.25,0.02,100000.0,235,226.5,18.76,5.23,,349.8,0.3498,235.0,0.0146244610850174,0.0396742073770104,0.0061310242338313,0.0020479132948179,8.131399866066305e-05,4358307188888.889,2706385110000.0,1858571352000.0,1347163752000.0,16.46965821036802,5.72826099235563,71370843518625.9,44319268884805.89,30435625435023.625,22060907864199.7,4.30373383939427e-05,2.672496608324028e-05,1.835298907090204e-05,1.3302949919337504e-05,2.441122674229369e-05,1.5158679209351564e-05,1.0410006620476428e-05,7.545571797442546e-06
28,28,2.25,0.02,100000.0,240,226.5,18.76,5.23,,360.7,0.3606999999999999,240.0,0.0155239964208475,0.0420910997709019,0.0066707988068326,0.0018948409162719,4.074438561198337e-06,4457668578614.458,2790717865000.0,1916485668000.0,1389142268000.0,15.726261941577684,5.674598470289474,70128858600673.84,43904084634706.14,30150503576280.84,21854240612717.637,4.500992506184288e-05,2.8178407559280355e-05,1.935111926279357e-05,1.4026432939155984e-05,2.5429960172822825e-05,1.5920394912488876e-05,1.093310400931018e-05,7.924732834356387e-06
29,29,2.25,0.02,100000.0,245,226.5,18.76,5.23,,360.8,0.3608,245.0,0.0166682679740148,0.0406993932286759,0.0065937970279282,0.0010908787221438,2.581337277027846e-05,4424562135529.412,2791491560000.0,1917016992000.0,1389527392000.0,14.949143191900683,5.401527837793424,66240009825689.7,41791350804615.84,28699613768877.54,20802580070023.55,4.564806856576343e-05,2.8799730736832108e-05,1.9777804088195716e-05,1.4335710454755075e-05,2.5680004965463e-05,1.6201720063147142e-05,1.112630004178855e-05,8.064768723591956e-06
30,30,2.25,0.02,100000.0,250,226.5,18.76,5.23,,370.9,0.3708999999999999,250.0,0.0147218652727957,0.0376747952999362,0.0066482015676035,0.0010844081747064,-2.7723418256137097e-05,4515054080171.428,2869634755000.0,1970680716000.0,1428424916000.0,17.27817796978102,6.417332304997396,78119715307345.4,49650579177149.61,34096826696204.363,24714686866298.176,4.7611890648353655e-05,3.0260708671420295e-05,2.078110983544384e-05,1.5062944915466777e-05,2.666895499215256e-05,1.694999855286474e-05,1.1640169616066154e-05,8.437241086828117e-06
31,31,2.25,0.02,100000.0,255,226.5,18.76,5.23,,385.1,0.3850999999999999,255.0,0.0151779465905377,0.0355705728744733,0.0064669174892958,0.0013026064837271,7.5791510321076355e-06,4649519264357.541,2979499445000.0,2046128724000.0,1483112524000.0,17.491530394764496,6.736322996810929,81331247843695.53,52118594210176.33,35791700799575.7,25943196578238.125,5.0078827293273855e-05,3.2091454974792475e-05,2.20383487330623e-05,1.5974239856418845e-05,2.7919423205286277e-05,1.789129181215791e-05,1.2286589328873773e-05,8.905790870905852e-06
32,32,2.25,0.02,100000.0,260,226.5,18.76,5.23,,385.9,0.3859,260.0,0.0168073119103268,0.0359101927802047,0.0060493189790253,0.0010272935306476,-2.444638854933457e-05,4619833270273.224,2985689005000.0,2050379316000.0,1486193516000.0,15.730924916497548,6.051700491599742,72448425169270.06,46821704118482.62,32154137119987.414,23306551001268.586,5.076554661864724e-05,3.280857241048136e-05,2.2530818898179e-05,1.633120110769001e-05,2.820979361088146e-05,1.8231322580251213e-05,1.2520100606349264e-05,9.075048794934265e-06
33,33,2.25,0.02,100000.0,265,226.5,18.76,5.23,,390.6,0.3905999999999999,265.0,0.0161492121800278,0.0379295693530074,0.00674712808653,0.0009718252032972,4.708498371563852e-05,4632813990000.0,3022052670000.0,2075351544000.0,1504294344000.0,16.71691261519042,6.520511125058803,77338236462168.62,50448868549023.71,34645040530107.44,25112053265271.465,5.196586981787376e-05,3.389810080244077e-05,2.327903697291056e-05,1.6873538246258794e-05,2.873864948357681e-05,1.8746643528426538e-05,1.2873989913464222e-05,9.331561328742905e-06
34,34,2.25,0.02,100000.0,270,226.5,18.76,5.23,,396.1,0.3961,270.0,0.0160631998106281,0.0375759278909085,0.0066691226979934,0.0010399976345911,3.827829646867173e-06,4655998304293.193,3064605895000.0,2104574364000.0,1525476164000.0,17.21381100836627,6.813734869121433,80092749296977.53,52717525995649.07,36203008656010.766,26241328277355.23,5.327577326578718e-05,3.5066432189304655e-05,2.4081371879810663e-05,1.745510133899504e-05,2.934890480067317e-05,1.9317624446083344e-05,1.326610291030805e-05,9.615779857919983e-06
35,35,2.25,0.02,100000.0,275,226.5,18.76,5.23,,400.6,0.4006,275.0,0.0174690848031104,0.0417802287121081,0.0068090144765864,0.0005810271575375,-0.0001026559586841,4668089791546.393,3099422170000.0,2128483944000.0,1542806744000.0,16.24449314332867,6.507099731209614,75825576205276.77,50345105265382.24,34573782575852.18,25060402768823.715,5.447732262918861e-05,3.6170731296755046e-05,2.4839733532615675e-05,1.80047909317386e-05,2.9898258156030245e-05,1.985123001296976e-05,1.3632548918386628e-05,9.88139396986534e-06
36,36,2.25,0.02,100000.0,280,226.5,18.76,5.23,,397.7,0.3976999999999999,280.0,0.0178518069188498,0.0369804241040286,0.0067090726623312,0.0008648924242943,-5.27313899666009e-07,4590299024467.005,3076985015000.0,2113075548000.0,1531638148000.0,16.29319251571176,6.514550426406042,75191688376094.47,50402750921582.23,34613369907597.645,25089097184192.008,5.458878684515453e-05,3.659214317286728e-05,2.5129132124649284e-05,1.821455812343021e-05,2.988047951769281e-05,2.0029585703870543e-05,1.3755032143833564e-05,9.970174506255616e-06
37,37,2.25,0.02,100000.0,285,226.5,18.76,5.23,,408.9,0.4089,285.0,0.018532253150289,0.0364980714334123,0.0070085125758054,0.001012313419474,-9.83153479521642e-05,4672851018208.956,3163638855000.0,2172583836000.0,1574772036000.0,16.23580219939268,6.645220123040393,75940630027321.95,51413735830957.37,35307649366543.14,25592337546658.08,5.659911610880243e-05,3.831903952912559e-05,2.6315053553109597e-05,1.907415942925179e-05,3.09434716875024e-05,2.0949516463868883e-05,1.4386781465110505e-05,1.042809062825925e-05
38,38,2.25,0.02,100000.0,290,226.5,18.76,5.23,,386.9,0.3868999999999999,290.0,0.0172610117719727,0.0402717338243868,0.0062768510042549,0.0009671228172749,-3.406021575305813e-05,4375143523658.536,2993425955000.0,2055692556000.0,1490044756000.0,17.472367954290497,6.739953121847394,76216754331384.77,52146680306077.2,35810988525124.45,25957177060983.56,5.398997296248763e-05,3.693935650378727e-05,2.5367575924645074e-05,1.8387391328837036e-05,2.948150322876584e-05,2.017092616052236e-05,1.3852095685397194e-05,1.00405298814714e-05
39,39,2.25,0.02,100000.0,295,226.5,18.76,5.23,,400.2,0.4001999999999999,295.0,0.0196596562028445,0.0371301541017167,0.0065910359844631,0.0012897604004727,6.777791077449429e-05,4478681298461.539,3096327390000.0,2126358648000.0,1541266248000.0,15.533595889778947,6.204910545423662,69439822134971.86,48007082644415.6,32968178906366.81,23896599688957.42,5.626075567521445e-05,3.889576131239882e-05,2.6711109007488727e-05,1.936123560275856e-05,3.06819936731374e-05,2.1211935178905395e-05,1.456699377273568e-05,1.0558715416075794e-05
40,40,2.25,0.02,100000.0,300,226.5,18.76,5.23,,410.1,0.4101,300.0,0.0217255912600762,0.0389703473438936,0.0064896756774541,0.0008790161900256,-8.403458511122705e-05,4542779166056.338,3172923195000.0,2178959724000.0,1579393524000.0,14.140636895279346,5.804334784714778,64296052506262.84,44907848012599.0,30839823751537.945,22353886296284.945,5.806373529979924e-05,4.0554859874689415e-05,2.7850471268470756e-05,2.0187089039453384e-05,3.164839636653689e-05,2.2104955412814635e-05,1.5180262674255775e-05,1.1003236221514711e-05
41,41,2.25,0.02,100000.0,305,226.5,18.76,5.23,,397.3,0.3972999999999999,305.0,0.0199809942033311,0.0358451018800681,0.0070487098911798,0.0013968787924347,6.031195618265053e-06,4352644727162.791,3073890235000.0,2110950252000.0,1530097652000.0,15.686353573941725,6.243639275308174,68402576315068.29,48306724891095.58,33173953943138.4,24045753322637.85,5.6624558356420126e-05,3.998894646897693e-05,2.746183831313721e-05,1.9905392977747396e-05,3.081267526652903e-05,2.17602831273914e-05,1.4943563900992132e-05,1.0831667878367425e-05
42,42,2.25,0.02,100000.0,310,226.5,18.76,5.23,,385.7,0.3857,310.0,0.0199694967045672,0.0382069195386562,0.0068808047116209,0.0013146478238469,-5.9564165177876254e-05,4175708665205.48,2984141615000.0,2049316668000.0,1485423268000.0,16.675861390663467,6.423781551822782,69545865411805.8,49700476677375.28,34131093092406.883,24739524463641.977,5.52630686771713e-05,3.9493373756244734e-05,2.7121510824889627e-05,1.965871057005668e-05,3.004452789677574e-05,2.147111620762102e-05,1.4744982645484374e-05,1.068772857307316e-05
43,43,2.25,0.02,100000.0,315,226.5,18.76,5.23,,395.0,0.395,315.0,0.0187053342408886,0.0408696806298775,0.0066550166354112,0.0015132589391017,-8.518410515951998e-05,4226622058558.559,3056095250000.0,2098729800000.0,1521239800000.0,17.93665445196296,7.113246808018642,76113938903146.47,55034834891299.85,37794387470236.98,27394820636913.72,5.68966796577164e-05,4.113963113655331e-05,2.82520545873995e-05,2.047817202105993e-05,3.088823159518371e-05,2.233400019000848e-05,1.5337555906340436e-05,1.1117248384927942e-05
44,44,2.25,0.02,100000.0,320,226.5,18.76,5.23,,393.6,0.3936,320.0,0.0238083227372441,0.0371988412228787,0.0059867181267672,0.0008787403905675,-7.758813444776267e-06,4161140941592.921,3045263520000.0,2091291264000.0,1515848064000.0,14.026026096788677,5.5298118896,58461195765045.41,42783878099240.734,29381217724298.312,21296632741703.105,5.693847023655192e-05,4.166949611411171e-05,2.861593179913828e-05,2.074192417096034e-05,3.089466724276046e-05,2.2609761225944407e-05,1.5526930862437635e-05,1.1254514611546689e-05
45,45,2.25,0.02,100000.0,325,226.5,18.76,5.23,,389.3,0.3892999999999999,325.0,0.0234061812006074,0.0338098574037039,0.0069341436452894,0.0008768143297536,2.969151318006864e-05,4066812420000.0,3011994635000.0,2068444332000.0,1499287732000.0,14.205623394437302,5.52759887034656,57743919184955.96,42766756079927.82,29369459421880.15,21288109873433.484,5.6540527032653465e-05,4.187549030904767e-05,2.8757395372807687e-05,2.084446239122868e-05,3.065394136513189e-05,2.270316341105839e-05,1.559107348014035e-05,1.1301007639341666e-05
46,46,2.25,0.02,100000.0,330,226.5,18.76,5.23,,384.5,0.3844999999999999,330.0,0.0215889287786353,0.0371848728691966,0.0065716412830525,0.0016193873073534,-7.904514621917699e-06,3965595441810.3447,2974857275000.0,2042940780000.0,1480801780000.0,15.867111311837451,6.093694644629898,62848186492921.81,47146610780769.3,32377262133633.363,23468280563184.445,5.603393851913621e-05,4.2034789503000246e-05,2.8866791820926973e-05,2.092375712981661e-05,3.0353048563788047e-05,2.276984343546449e-05,1.563686503532365e-05,1.1334199113655672e-05
47,47,2.25,0.02,100000.0,335,226.5,18.76,5.23,,404.4,0.4043999999999998,335.0,0.0231073212547527,0.0353093890996961,0.0066989664976403,0.001224974967391,4.605857153449805e-05,4114344433531.915,3128822580000.0,2148674256000.0,1557441456000.0,14.901205122056089,6.024091943976909,61288796134485.27,46608098165952.14,32007446280415.875,23200223858321.63,5.904531729938069e-05,4.490200686746512e-05,3.083581242847509e-05,2.235097873558138e-05,3.195669378847678e-05,2.4302006485562828e-05,1.668905614477951e-05,1.2096867558593372e-05
48,48,2.25,0.02,100000.0,340,226.5,18.76,5.23,,388.7,0.3887,340.0,0.0209013323376552,0.0357844850087517,0.006540257044418,0.0009963899927508,-5.501621605666218e-07,3901277702268.908,3007352465000.0,2065256388000.0,1496976988000.0,16.999741715725584,6.62033579602725,66446535689667.59,51221207037073.04,35175432964883.824,25496502031091.984,5.684446532722271e-05,4.381932176322856e-05,3.009229388392796e-05,2.181204799661576e-05,3.075601676260116e-05,2.3708689789193196e-05,1.628160437065418e-05,1.1801530895731832e-05
