,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100000.0,100,226.5,18.76,5.23,,1042.4,1.0424,100.0,0.006292074821232,0.0602009057882965,0.0067204433108719,0.0010186564523507,-3.568795432934611e-05,14372298480000.0,8064996680000.0,5538521376000.0,4014532576000.0,16.004451457347336,16.699572984897287,230248702443868.3,129203761205501.08,88728839166275.64,64314063462355.83,5.946952414532086e-05,3.337124646142143e-05,2.2917227272850775e-05,1.6611284708067737e-05,2.8615256002867044e-05,1.6057413849400708e-05,1.1027199808863934e-05,7.992937076414605e-06
1,1,2.25,0.02,100000.0,105,226.5,18.76,5.23,,1104.1,1.1041,105.0,0.0062785914495222,0.0547437467178778,0.0069016118959149,0.0007482249345693,1.6765446545124343e-06,15222999570000.0,8542366495000.0,5866348284000.0,4252154084000.0,16.931669268071293,18.70065433896565,257839011829356.75,144686027587860.3,99361064659965.84,72020708016398.08,6.65564565422296e-05,3.7348069398406064e-05,2.564825367236276e-05,1.859083731831244e-05,3.377518538856551e-05,1.895290154210361e-05,1.3015634660889184e-05,9.434230870693372e-06
2,2,2.25,0.02,100000.0,110,226.5,18.76,5.23,,1141.1,1.1411,110.0,0.0066458978142662,0.0539251468330983,0.0070429100716642,0.0012735174193945,-2.733650120407236e-05,15733144470000.0,8828633645000.0,6062938164000.0,4394649964000.0,16.983928009180097,19.37027050010699,267071478574325.1,149866814345802.78,102918896031988.44,74599560560832.03,7.126108457318164e-05,3.99880653255059e-05,2.7461233200433112e-05,1.9904954368866458e-05,3.941454782536808e-05,2.211742247057025e-05,1.518882424825451e-05,1.1009441978500442e-05
3,3,2.25,0.02,100000.0,115,226.5,18.76,5.23,,1153.2,1.1532,115.0,0.0070428672351609,0.052965499226749,0.0073073212387729,0.0013215620727873,7.901490207709153e-07,15899975640000.0,8922250740000.0,6127228368000.0,4441249968000.0,16.459035894032333,18.97604357501193,261635995999192.1,146816700337688.56,100824273764496.4,73081298057828.95,7.471308321938593e-05,4.19251498955031e-05,2.8791498385123704e-05,2.0869181561669307e-05,4.338944581495874e-05,2.434793132995678e-05,1.6720594376282587e-05,1.2119727677596824e-05
4,4,2.25,0.02,100000.0,120,226.5,18.76,5.23,,1194.8,1.1948,120.0,0.0074796674179338,0.0533756585961919,0.007312643163488,0.0016093233226172,4.34317482579162e-05,16473543960000.0,9244107860000.0,6348259152000.0,4601461552000.0,16.259493513864605,19.44327266518211,268078010525731.4,150431628446880.72,103306774055552.2,74880709419055.95,8.004219446911417e-05,4.491557377211666e-05,3.0845129306633896e-05,2.235773196597193e-05,4.936263078882313e-05,2.769977634279722e-05,1.902242610532624e-05,1.37881835403401e-05
5,5,2.25,0.02,100000.0,125,226.5,18.76,5.23,,1164.3,1.1642999999999997,125.0,0.0073536932077544,0.055411188214102,0.0068912609323159,0.0007590951763046,-6.275983481194434e-06,16053019110000.0,9008130885000.0,6186205332000.0,4483998732000.0,17.647629182575205,20.51627115141624,282872191754381.6,158733364084949.84,109007872532550.8,79013084109180.27,8.121352543046003e-05,4.557286462420836e-05,3.12965144192387e-05,2.2684913196458063e-05,5.056132710333359e-05,2.8372423227379248e-05,1.948435675410084e-05,1.4123008579635647e-05
6,6,2.25,0.02,100000.0,130,226.5,18.76,5.23,,1133.4,1.1334000000000002,130.0,0.0076426522750238,0.0521557183651816,0.0073635181020237,0.0014034705323294,-2.042643425496036e-05,15626979180000.0,8769059130000.0,6022026216000.0,4364995416000.0,17.275150781890403,19.59614895102261,270185822892014.44,151614424626614.4,104119042452531.38,75469472686136.33,8.210656171628628e-05,4.607399077952242e-05,3.1640655654927285e-05,2.2934359954468868e-05,5.187086265671315e-05,2.9107267407316435e-05,1.998900050785516e-05,1.448879371454557e-05
7,7,2.25,0.02,100000.0,135,226.5,18.76,5.23,,1066.0,1.0659999999999998,135.0,0.0081931663850184,0.0486037761655447,0.0069917211892048,0.0008044587186602,-4.4235463834889645e-05,14697688200000.0,8247588700000.0,5663913840000.0,4105421840000.0,16.561009810432544,17.652772769820352,243391135118452.1,136578620281461.56,93793418391520.28,67985064602042.92,8.028944504503106e-05,4.505431811260421e-05,3.094041000247038e-05,2.242679506627105e-05,5.104081719825184e-05,2.864148847320544e-05,1.9669133471894487e-05,1.4256941826888852e-05
8,8,2.25,0.02,100000.0,140,226.5,18.76,5.23,,1045.3,1.0453,140.0,0.0085823298807838,0.050092469407412,0.0068244711854615,0.000769765181438,-4.018202899119999e-05,14412282810000.0,8087433835000.0,5553929772000.0,4025701172000.0,16.45341361058175,17.219300389752213,237414547983786.6,133224866150493.38,91490275602847.05,66315658433029.31,8.210857560660522e-05,4.60751208714669e-05,3.164143172944285e-05,2.293492248302344e-05,5.247470548184612e-05,2.9446113026666472e-05,2.0221697901344244e-05,1.4657461704265762e-05
9,9,2.25,0.02,100000.0,145,226.5,18.76,5.23,,958.7,0.9587,145.0,0.0089928873998871,0.0503060166150724,0.0068001600487094,0.0013248406856225,-3.127348560488451e-05,13209966519545.455,7417413965000.0,5093803188000.0,3692183788000.0,16.34896452116682,15.702096715161495,216359832996712.25,121486337180368.72,83429008350864.66,60472542953298.56,7.798040259128352e-05,4.3786100920171854e-05,3.0069479944046927e-05,2.1795511578568126e-05,5.0124710746467184e-05,2.8145092490001588e-05,1.932824061439922e-05,1.4009849617897714e-05
