,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,7.95,0.0079499999999999,10.0,0.0013953118248778,0.0327053220021621,0.0006973739792613,192390000000.0,124020000000.0,100170000000.0,0.7208072686922182,0.0570893364214288,1381561941398.5771,890593648174.2894,719325638910.0029,7.960690328161263e-07,5.131684674351889e-07,4.144822236976525e-07,3.830486202365309e-07,2.4692390395412736e-07,1.9943853780910287e-07
1,1,2.25,0.02,105,1,100000.0,,8.39,0.0083899999999999,10.5,0.0014538836870242,0.0322579361761905,0.0007266959005487,203038000000.0,130884000000.0,105714000000.0,0.729671518825536,0.0613641387849343,1485012158595.4114,957280565044.9758,773188148690.173,8.877021746786541e-07,5.722377654953308e-07,4.621920413616133e-07,4.504792934789239e-07,2.903916106723643e-07,2.34547070158448e-07
2,2,2.25,0.02,110,1,100000.0,,8.72,0.0087199999999999,11.0,0.0013579274130324,0.0304370965654771,0.0007135709928179,211024000000.0,136032000000.0,109872000000.0,0.8474981403552055,0.0748666093531772,1811771946346.8892,1167919105909.5647,943319277850.0332,9.558037898682743e-07,6.161379802456645e-07,4.976499071214983e-07,5.286556388114368e-07,3.407862795643972e-07,2.75250456571244e-07
3,3,2.25,0.02,115,1,100000.0,,9.63,0.00963,11.5,0.0015770067861655,0.0259266324070664,0.0006519106524049,233046000000.0,150228000000.0,121338000000.0,0.7394981659835695,0.0711425956612058,1721650815001.182,1109824492314.8113,896396705331.194,1.095069928795502e-06,7.059128466615631e-07,5.701603761497241e-07,6.359592629786491e-07,4.099572108457408e-07,3.311192856830983e-07
4,4,2.25,0.02,120,1,100000.0,,10.3,0.0102999999999999,12.0,0.001316881666637,0.0254171626576024,0.0006664071388702,249260000000.0,160680000000.0,129780000000.0,1.1021142016787089,0.115878268950972,2804254108613.5244,1807700995635.1648,1460066188782.2483,1.2111126447239225e-06,7.807172420534378e-07,6.305793108893149e-07,7.469023896921119e-07,4.81474267735411e-07,3.888830624016781e-07
5,5,2.25,0.02,125,1,100000.0,,10.44,0.0104399999999999,12.5,0.0014490516904947,0.0262995613564572,0.0006847130695397,252648000000.0,162864000000.0,131544000000.0,0.9476822779995532,0.1007937003256951,2439207547881.8223,1572381725080.8442,1270000624103.7583,1.2781667194411546e-06,8.239421827802486e-07,6.654917630148161e-07,7.957517575024569e-07,5.129639428528233e-07,4.143170307657419e-07
6,6,2.25,0.02,130,1,100000.0,,11.13,0.01113,13.0,0.0014071446114366,0.0256266037055343,0.0006334910619434,269346000000.0,173628000000.0,140238000000.0,1.0336637410611682,0.1160072880702812,2807376371300.8057,1809713693896.3872,1461691829685.5437,1.4151854761756228e-06,9.122683234851124e-07,7.36832107430283e-07,8.940441535249465e-07,5.763259832640149e-07,4.654940634055506e-07
7,7,2.25,0.02,135,1,100000.0,,11.58,0.0115799999999999,13.5,0.0016223033687559,0.0191883147077806,0.0006512582322493,280236000000.0,180648000000.0,145908000000.0,0.8955219915028859,0.1038155820859421,2512337086479.8,1619523080540.6973,1308076334282.8706,1.5308525133659678e-06,9.868305458061606e-07,7.970554408434376e-07,9.73178519896027e-07,6.273382194371083e-07,5.066962541607414e-07
8,8,2.25,0.02,140,1,100000.0,,11.19,0.0111899999999999,14.0,0.0016886074244488,0.0199015151717502,0.0005893613120125,270693481810.1356,174564000000.0,140994000000.0,0.8570800698115256,0.0956800934919383,2314564579736.5586,1492609458474.2388,1205569177998.423,1.542174581947628e-06,9.945129152091232e-07,8.032604315150612e-07,9.855871495934334e-07,6.355824825597483e-07,5.133550820674891e-07
9,9,2.25,0.02,145,1,100000.0,,11.19,0.0111899999999999,14.5,0.001583094850263,0.0225689312446985,0.0005638898699673,269703469346.0644,174564000000.0,140994000000.0,1.00985038915169,0.113389847477212,2732943275533.976,1768881620644.5083,1428712078212.8718,1.59209980500357e-06,1.0304773276907e-06,8.323086108271038e-07,1.0233794588568971e-06,6.623763954132547e-07,5.34996319372244e-07
