,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,100000.0,100.0,100.0,0.0999865018083454,0.107785747600485,0.0992500959920694,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0001350001391232,100.0135000139123,2420326700336677.0,1560210600217032.0,1260170100175295.0,0.0100134469536619,0.0064549492759143,0.0052136128767,0.0048182216381953,0.0031059610560267,0.0025086608529446
1,1,2.25,0.02,150,1,100000.0,,100000.0,100.0,150.0,0.1497345772651499,0.1002461605470024,0.0899233103115005,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0017726215260223,100.17726215260222,2414272017877714.0,1562765289580594.8,1262233503122788.2,0.0147073153017208,0.0095200879131471,0.0076893017760034,0.0095471255625277,0.0061798821068644,0.0049914432401597
2,2,2.25,0.02,200,1,100000.0,,100000.0,100.0,200.0,0.1994918477547003,0.0772822919602633,0.0683743980563077,2392898491691216.5,1560000000000000.0,1260000000000000.0,1.0025472331376897,100.25472331376896,2398993762024379.5,1563973683694796.0,1263209513753488.8,0.0198884916047282,0.0129658851017319,0.0104724456590912,0.011799709515078,0.0076925732150518,0.0062132322121572
3,3,2.25,0.02,250,1,100000.0,,100000.0,100.0,250.0,0.2496410394020358,0.0787550953297317,0.0635593910467432,2370000000000000.0,1560000000000000.0,1260000000000000.0,1.0014379069996822,100.14379069996822,2373407839589247.0,1562243134919504.2,1261811762819599.8,0.0249919887631365,0.0164504229833303,0.0132868801019206,0.0139988186650915,0.009214412285883,0.0074424099232132
4,4,2.25,0.02,300,1,100000.0,,100000.0,100.0,300.0,0.2975328731791364,0.066449888395929,0.0655177468138149,2335952718498758.0,1560000000000000.0,1260000000000000.0,1.0082919470191725,100.82919470191725,2355322314679841.0,1572935437349908.8,1270447853244157.2,0.0298570842565311,0.0199392098441624,0.0161047464125927,0.0162739932596629,0.0108681264325374,0.0087781021185879
5,5,2.25,0.02,350,1,100000.0,,100000.0,100.0,350.0,0.3483381453236802,0.0645408383912621,0.0537689193895788,2300000000000000.0,1560000000000000.0,1260000000000000.0,1.0047708087633511,100.47708087633512,2310972860155708.0,1567442461670828.0,1266011219041822.8,0.0345499369718277,0.0234338702939353,0.0189273567758708,0.0186601977980966,0.0126564819847959,0.0102225431415659
6,6,2.25,0.02,400,1,100000.0,,100000.0,100.0,400.0,0.3983716422584393,0.0604721657100521,0.0548257147607512,2259006997877350.5,1550000000000000.0,1260000000000000.0,1.0040875342740996,100.40875342740996,2268240766406605.0,1556335678124854.2,1265150293185365.2,0.0389700932675005,0.0267390249881401,0.0217362396677784,0.0209648730221002,0.0143848838072611,0.0116935184497735
7,7,2.25,0.02,450,1,100000.0,,100000.0,100.0,450.0,0.449343088445687,0.0674405825552469,0.0471994127995667,2210000000000000.0,1540000000000000.0,1260000000000000.0,1.0014619375955804,100.14619375955805,2213230882086232.8,1542251383897193.8,1261842041370431.2,0.0430352550465212,0.029988367769974,0.0245359372663424,0.0236428116759116,0.016475081439323,0.0134796120867188
8,8,2.25,0.02,500,1,100000.0,,100000.0,100.0,500.0,0.4993612659032465,0.0582245980736275,0.0451727653372599,2150000000000000.0,1521880408827353.8,1260000000000000.0,1.0012791022058911,100.12791022058911,2152750069742666.5,1523827049415387.5,1261611668779423.0,0.0466530950385029,0.0330234564419805,0.0273408836039598,0.0260876739987186,0.0184661953351277,0.0152885903434351
9,9,2.25,0.02,550,1,100000.0,,100000.0,100.0,550.0,0.5495559993131565,0.0553709405896245,0.0478203883523925,2083588353441012.8,1502389444711665.2,1260000000000000.0,1.00080792619387,100.08079261938704,2085271739049000.8,1503603264497442.0,1261017987004276.5,0.0495973551918249,0.0357626029166238,0.0299928090107116,0.0282832625221738,0.0203938916269844,0.0171036235248124
