Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,PG.cFactor
126,0.1,4136,100000.0,4.39375723050564
127,0.1,4176,100000.0,4.4693171924677
128,0.1,4216,100000.0,4.51798023073832
129,0.1,4256,100000.0,4.6141951946457
130,0.1,4296,100000.0,4.6822403967796
131,0.1,4336,100000.0,4.77464856910558
132,0.1,4376,100000.0,4.83501779085518
133,0.1,4416,100000.0,4.85986029179908
134,0.1,4456,100000.0,4.93811886690595
135,0.1,4496,100000.0,5.04311620735308
136,0.1,4536,100000.0,5.1439527597377
137,0.1,4576,100000.0,5.16882861700551
138,0.1,4616,100000.0,5.25364767820562
139,0.1,4656,100000.0,5.3293036223888
140,0.1,4696,100000.0,5.35604891573161
141,0.1,4736,100000.0,5.48516515738505
142,0.1,4776,100000.0,5.52251087964269
143,0.1,4816,100000.0,5.58384346440811
144,0.1,4856,100000.0,5.66961940354871
145,0.1,4896,100000.0,5.69197928332433
146,0.1,4936,100000.0,5.77981050647594
147,0.1,4976,100000.0,5.84309365791407
148,0.1,5016,100000.0,5.87732309837458
149,0.1,5056,100000.0,5.97462265476542
150,0.1,5096,100000.0,5.98670584712395
151,0.1,5136,100000.0,6.05619589798946
152,0.1,5176,100000.0,6.07823469786764
153,0.1,5216,100000.0,6.14920264259965
154,0.1,5256,100000.0,6.21171128479502
155,0.1,5296,100000.0,6.20937265815489
156,0.1,5336,100000.0,6.29748096597792
157,0.1,5376,100000.0,6.33136271650017
158,0.1,5416,100000.0,6.36614235030186
159,0.1,5456,100000.0,6.40184070985492
160,0.1,5496,100000.0,6.43847955608377
161,0.1,5536,100000.0,6.47608160855513
162,0.1,5576,100000.0,6.51467058819009
163,0.1,5616,100000.0,6.61780373571361
164,0.1,5656,100000.0,6.65949546873268
165,0.1,5696,100000.0,6.5091839297979
166,0.1,5736,100000.0,6.54984666055737
167,0.1,5776,100000.0,6.59156613541509
168,0.1,5816,100000.0,6.44331800086203
169,0.1,5856,100000.0,6.48400425509237
170,0.1,5896,100000.0,6.40053728632138
171,0.1,5936,100000.0,6.91085639789351
172,0.1,5976,100000.0,7.43256615550895
