Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,Dipole.numberRays
215,0.1,1125,2.25,100000.0
216,0.1,1130,2.25,100000.0
217,0.1,1135,2.25,100000.0
218,0.1,1140,2.25,100000.0
219,0.1,1145,2.25,100000.0
220,0.1,1150,2.25,100000.0
221,0.1,1155,2.25,100000.0
222,0.1,1160,2.25,100000.0
223,0.1,1165,2.25,100000.0
224,0.1,1170,2.25,100000.0
225,0.1,1175,2.25,100000.0
226,0.1,1180,2.25,100000.0
227,0.1,1185,2.25,100000.0
228,0.1,1190,2.25,100000.0
229,0.1,1195,2.25,100000.0
230,0.1,1200,2.25,100000.0
231,0.1,1205,2.25,100000.0
232,0.1,1210,2.25,100000.0
233,0.1,1215,2.25,100000.0
234,0.1,1220,2.25,100000.0
235,0.1,1225,2.25,100000.0
236,0.1,1230,2.25,100000.0
237,0.1,1235,2.25,100000.0
238,0.1,1240,2.25,100000.0
239,0.1,1245,2.25,100000.0
240,0.1,1250,2.25,100000.0
241,0.1,1255,2.25,100000.0
242,0.1,1260,2.25,100000.0
243,0.1,1265,2.25,100000.0
244,0.1,1270,2.25,100000.0
245,0.1,1275,2.25,100000.0
246,0.1,1280,2.25,100000.0
247,0.1,1285,2.25,100000.0
248,0.1,1290,2.25,100000.0
249,0.1,1295,2.25,100000.0
250,0.1,1300,2.25,100000.0
251,0.1,1305,2.25,100000.0
252,0.1,1310,2.25,100000.0
253,0.1,1315,2.25,100000.0
254,0.1,1320,2.25,100000.0
255,0.1,1325,2.25,100000.0
256,0.1,1330,2.25,100000.0
257,0.1,1335,2.25,100000.0
258,0.1,1340,2.25,100000.0
259,0.1,1345,2.25,100000.0
260,0.1,1350,2.25,100000.0
261,0.1,1355,2.25,100000.0
262,0.1,1360,2.25,100000.0
263,0.1,1365,2.25,100000.0
264,0.1,1370,2.25,100000.0
265,0.1,1375,2.25,100000.0
266,0.1,1380,2.25,100000.0
267,0.1,1385,2.25,100000.0
268,0.1,1390,2.25,100000.0
269,0.1,1395,2.25,100000.0
270,0.1,1400,2.25,100000.0
271,0.1,1405,2.25,100000.0
272,0.1,1410,2.25,100000.0
273,0.1,1415,2.25,100000.0
274,0.1,1420,2.25,100000.0
275,0.1,1425,2.25,100000.0
276,0.1,1430,2.25,100000.0
277,0.1,1435,2.25,100000.0
278,0.1,1440,2.25,100000.0
279,0.1,1445,2.25,100000.0
280,0.1,1450,2.25,100000.0
281,0.1,1455,2.25,100000.0
282,0.1,1460,2.25,100000.0
283,0.1,1465,2.25,100000.0
284,0.1,1470,2.25,100000.0
285,0.1,1475,2.25,100000.0
286,0.1,1480,2.25,100000.0
287,0.1,1485,2.25,100000.0
288,0.1,1490,2.25,100000.0
289,0.1,1495,2.25,100000.0
290,0.1,1500,2.25,100000.0
291,0.1,1505,2.25,100000.0
292,0.1,1510,2.25,100000.0
293,0.1,1515,2.25,100000.0
294,0.1,1520,2.25,100000.0
295,0.1,1525,2.25,100000.0
296,0.1,1530,2.25,100000.0
297,0.1,1535,2.25,100000.0
298,0.1,1540,2.25,100000.0
299,0.1,1545,2.25,100000.0
300,0.1,1550,2.25,100000.0
301,0.1,1555,2.25,100000.0
302,0.1,1560,2.25,100000.0
303,0.1,1565,2.25,100000.0
304,0.1,1570,2.25,100000.0
305,0.1,1575,2.25,100000.0
306,0.1,1580,2.25,100000.0
307,0.1,1585,2.25,100000.0
308,0.1,1590,2.25,100000.0
309,0.1,1595,2.25,100000.0
310,0.1,1600,2.25,100000.0
311,0.1,1605,2.25,100000.0
312,0.1,1610,2.25,100000.0
313,0.1,1615,2.25,100000.0
314,0.1,1620,2.25,100000.0
315,0.1,1625,2.25,100000.0
316,0.1,1630,2.25,100000.0
317,0.1,1635,2.25,100000.0
318,0.1,1640,2.25,100000.0
319,0.1,1645,2.25,100000.0
320,0.1,1650,2.25,100000.0
321,0.1,1655,2.25,100000.0
322,0.1,1660,2.25,100000.0
323,0.1,1665,2.25,100000.0
324,0.1,1670,2.25,100000.0
325,0.1,1675,2.25,100000.0
326,0.1,1680,2.25,100000.0
327,0.1,1685,2.25,100000.0
328,0.1,1690,2.25,100000.0
329,0.1,1695,2.25,100000.0
330,0.1,1700,2.25,100000.0
331,0.1,1705,2.25,100000.0
332,0.1,1710,2.25,100000.0
333,0.1,1715,2.25,100000.0
334,0.1,1720,2.25,100000.0
335,0.1,1725,2.25,100000.0
336,0.1,1730,2.25,100000.0
337,0.1,1735,2.25,100000.0
338,0.1,1740,2.25,100000.0
339,0.1,1745,2.25,100000.0
340,0.1,1750,2.25,100000.0
341,0.1,1755,2.25,100000.0
342,0.1,1760,2.25,100000.0
343,0.1,1765,2.25,100000.0
344,0.1,1770,2.25,100000.0
345,0.1,1775,2.25,100000.0
346,0.1,1780,2.25,100000.0
347,0.1,1785,2.25,100000.0
348,0.1,1790,2.25,100000.0
349,0.1,1795,2.25,100000.0
350,0.1,1800,2.25,100000.0
351,0.1,1805,2.25,100000.0
352,0.1,1810,2.25,100000.0
353,0.1,1815,2.25,100000.0
354,0.1,1820,2.25,100000.0
355,0.1,1825,2.25,100000.0
356,0.1,1830,2.25,100000.0
357,0.1,1835,2.25,100000.0
358,0.1,1840,2.25,100000.0
359,0.1,1845,2.25,100000.0
360,0.1,1850,2.25,100000.0
361,0.1,1855,2.25,100000.0
362,0.1,1860,2.25,100000.0
363,0.1,1865,2.25,100000.0
364,0.1,1870,2.25,100000.0
365,0.1,1875,2.25,100000.0
366,0.1,1880,2.25,100000.0
367,0.1,1885,2.25,100000.0
368,0.1,1890,2.25,100000.0
369,0.1,1895,2.25,100000.0
370,0.1,1900,2.25,100000.0
371,0.1,1905,2.25,100000.0
372,0.1,1910,2.25,100000.0
373,0.1,1915,2.25,100000.0
374,0.1,1920,2.25,100000.0
375,0.1,1925,2.25,100000.0
376,0.1,1930,2.25,100000.0
377,0.1,1935,2.25,100000.0
378,0.1,1940,2.25,100000.0
379,0.1,1945,2.25,100000.0
380,0.1,1950,2.25,100000.0
381,0.1,1955,2.25,100000.0
382,0.1,1960,2.25,100000.0
383,0.1,1965,2.25,100000.0
384,0.1,1970,2.25,100000.0
385,0.1,1975,2.25,100000.0
386,0.1,1980,2.25,100000.0
387,0.1,1985,2.25,100000.0
388,0.1,1990,2.25,100000.0
389,0.1,1995,2.25,100000.0
390,0.1,2000,2.25,100000.0
391,0.1,2005,2.25,100000.0
392,0.1,2010,2.25,100000.0
393,0.1,2015,2.25,100000.0
394,0.1,2020,2.25,100000.0
395,0.1,2025,2.25,100000.0
396,0.1,2030,2.25,100000.0
397,0.1,2035,2.25,100000.0
398,0.1,2040,2.25,100000.0
399,0.1,2045,2.25,100000.0
400,0.1,2050,2.25,100000.0
401,0.1,2055,2.25,100000.0
402,0.1,2060,2.25,100000.0
403,0.1,2065,2.25,100000.0
404,0.1,2070,2.25,100000.0
405,0.1,2075,2.25,100000.0
406,0.1,2080,2.25,100000.0
407,0.1,2085,2.25,100000.0
408,0.1,2090,2.25,100000.0
409,0.1,2095,2.25,100000.0
410,0.1,2100,2.25,100000.0
411,0.1,2105,2.25,100000.0
412,0.1,2110,2.25,100000.0
413,0.1,2115,2.25,100000.0
414,0.1,2120,2.25,100000.0
415,0.1,2125,2.25,100000.0
416,0.1,2130,2.25,100000.0
417,0.1,2135,2.25,100000.0
418,0.1,2140,2.25,100000.0
419,0.1,2145,2.25,100000.0
420,0.1,2150,2.25,100000.0
421,0.1,2155,2.25,100000.0
422,0.1,2160,2.25,100000.0
423,0.1,2165,2.25,100000.0
424,0.1,2170,2.25,100000.0
425,0.1,2175,2.25,100000.0
426,0.1,2180,2.25,100000.0
427,0.1,2185,2.25,100000.0
428,0.1,2190,2.25,100000.0
429,0.1,2195,2.25,100000.0
430,0.1,2200,2.25,100000.0
431,0.1,2205,2.25,100000.0
432,0.1,2210,2.25,100000.0
433,0.1,2215,2.25,100000.0
434,0.1,2220,2.25,100000.0
435,0.1,2225,2.25,100000.0
436,0.1,2230,2.25,100000.0
437,0.1,2235,2.25,100000.0
438,0.1,2240,2.25,100000.0
439,0.1,2245,2.25,100000.0
440,0.1,2250,2.25,100000.0
441,0.1,2255,2.25,100000.0
442,0.1,2260,2.25,100000.0
443,0.1,2265,2.25,100000.0
444,0.1,2270,2.25,100000.0
445,0.1,2275,2.25,100000.0
446,0.1,2280,2.25,100000.0
447,0.1,2285,2.25,100000.0
448,0.1,2290,2.25,100000.0
449,0.1,2295,2.25,100000.0
450,0.1,2300,2.25,100000.0
451,0.1,2305,2.25,100000.0
452,0.1,2310,2.25,100000.0
453,0.1,2315,2.25,100000.0
454,0.1,2320,2.25,100000.0
455,0.1,2325,2.25,100000.0
456,0.1,2330,2.25,100000.0
457,0.1,2335,2.25,100000.0
458,0.1,2340,2.25,100000.0
459,0.1,2345,2.25,100000.0
460,0.1,2350,2.25,100000.0
461,0.1,2355,2.25,100000.0
462,0.1,2360,2.25,100000.0
463,0.1,2365,2.25,100000.0
464,0.1,2370,2.25,100000.0
465,0.1,2375,2.25,100000.0
466,0.1,2380,2.25,100000.0
467,0.1,2385,2.25,100000.0
468,0.1,2390,2.25,100000.0
469,0.1,2395,2.25,100000.0
470,0.1,2400,2.25,100000.0
471,0.1,2405,2.25,100000.0
472,0.1,2410,2.25,100000.0
473,0.1,2415,2.25,100000.0
474,0.1,2420,2.25,100000.0
475,0.1,2425,2.25,100000.0
476,0.1,2430,2.25,100000.0
477,0.1,2435,2.25,100000.0
478,0.1,2440,2.25,100000.0
479,0.1,2445,2.25,100000.0
480,0.1,2450,2.25,100000.0
481,0.1,2455,2.25,100000.0
482,0.1,2460,2.25,100000.0
483,0.1,2465,2.25,100000.0
484,0.1,2470,2.25,100000.0
485,0.1,2475,2.25,100000.0
486,0.1,2480,2.25,100000.0
487,0.1,2485,2.25,100000.0
488,0.1,2490,2.25,100000.0
489,0.1,2495,2.25,100000.0
490,0.1,2500,2.25,100000.0
491,0.1,2505,2.25,100000.0
492,0.1,2510,2.25,100000.0
493,0.1,2515,2.25,100000.0
494,0.1,2520,2.25,100000.0
495,0.1,2525,2.25,100000.0
496,0.1,2530,2.25,100000.0
497,0.1,2535,2.25,100000.0
498,0.1,2540,2.25,100000.0
499,0.1,2545,2.25,100000.0
500,0.1,2550,2.25,100000.0
