,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
12,12,2,25,3000,1000000.0,210,17.15,2.43,0.81,,1333.75,0.1333749999999999,210.0,0.0001461419753496,0.012039067964292,0.0008380167069847,-3.6206638768453495e-05,-1.696527713102224e-06,3187662500000.0,2080650000000.0,1680524999999.9998,4.310973169624285,0.5749674233582036,13741721418261.066,8969491804387.977,7244589534313.365,2.791001556253509e-05,1.8217416015713284e-05,1.4714066781922267e-05,1.6248330648778693e-05,1.0605604942299066e-05,8.566065530318475e-06
13,13,2,25,3000,1000000.0,215,17.15,2.43,0.81,,1364.5,0.13645,215.0,0.0001496617857554,0.0114913429385654,0.0008083047657744,-2.703501847569328e-05,-3.1367944517198743e-06,3256183642853.693,2128620000000.0,1719270000000.0,4.353881108349016,0.5937952830246853,14170073197425.137,9263206415185.09,7481820566111.035,2.923363653861056e-05,1.911050181257029e-05,1.5435405310152923e-05,1.6913526384878897e-05,1.1056646209864457e-05,8.93036809258283e-06
14,14,2,25,3000,1000000.0,220,17.15,2.43,0.81,,1425.0,0.1425,220.0,0.0001527153571884,0.0118159939130863,0.0008343114903333,-4.2708574506309006e-05,-4.888908691291352e-06,3391500000000.0,2223000000000.0,1795500000000.0,4.367076357824741,0.6222532260045637,14809626778908.615,9707150325671.195,7840390647657.502,3.1213976264936325e-05,2.045958108121877e-05,1.6525046257907466e-05,1.7958221916284983e-05,1.17709353736994e-05,9.507293955680283e-06
15,15,2,25,3000,1000000.0,225,17.15,2.43,0.81,,1439.25,0.143925,225.0,0.0001679434166135,0.0115353643060458,0.0009395232677047,9.215216743421348e-06,1.0543191310034489e-05,3425415000000.0,2245230000000.0,1813455000000.0,4.082618322455943,0.5867779677675561,13965315632867.834,9153736297173.877,7393402393871.207,3.228830733565701e-05,2.116376447211132e-05,1.7093809765936065e-05,1.84839344156142e-05,1.2115520037125274e-05,9.785612337678103e-06
16,16,2,25,3000,1000000.0,230,17.15,2.43,0.81,,1541.5,0.15415,230.0,0.0001541511405349,0.0115004408142101,0.000831644763587,1.2653797219282138e-05,-1.1419863150382612e-05,3668770000000.0,2404740000000.0,1942290000000.0,4.545245603492659,0.7007899940381557,16678801858108.104,10932323906995.229,8829953924880.76,3.538989580151238e-05,2.3196738424520718e-05,1.873582718903596e-05,2.0182251268002333e-05,1.3228702511799848e-05,1.0684721259530648e-05
17,17,2,25,3000,1000000.0,235,17.15,2.43,0.81,,1565.5,0.15655,235.0,0.0001811969795468,0.0114693430722097,0.0007935405034406,-6.59034299934827e-05,1.1255443827343854e-05,3725890000000.0,2442180000000.0,1972530000000.0,3.934334539356791,0.6151733152881549,14641124903858.086,9596703718495.217,7751183772630.751,3.679235579295813e-05,2.4115997914712048e-05,1.9478306008036655e-05,2.0869007544654608e-05,1.3678845281370249e-05,1.104829811187597e-05
18,18,2,25,3000,1000000.0,240,17.15,2.43,0.81,,1638.75,0.163875,240.0,0.0001674313994399,0.0115888762306113,0.0009447546164663,4.896145246035799e-05,1.2051517048785216e-05,3887311956997.1855,2556450000000.0,2064825000000.0,4.30027258067707,0.7047017341967963,16716372097390.44,10993347053470.02,8879241850879.633,3.9250926081820325e-05,2.5812960496070167e-05,2.084892963144129e-05,2.2176208594785765e-05,1.458395134974785e-05,1.1779345320950186e-05
19,19,2,25,3000,1000000.0,245,17.15,2.43,0.81,,1740.75,0.1740749999999999,245.0,0.0001771840187316,0.0118023091028174,0.0008641134802004,3.04613474737629e-05,5.979457110129475e-06,4125577500000.001,2715570000000.0,2193345000000.0,4.161814769392311,0.7245189803033124,17171099833188.502,11302496092731.672,9128939151821.736,4.256345347285698e-05,2.8016450387197e-05,2.2628671466582197e-05,2.394470852486419e-05,1.5761073965733387e-05,1.2730098203092354e-05
20,20,2,25,3000,1000000.0,250,17.15,2.43,0.81,,1808.5,0.18085,250.0,0.0001740480502831,0.0119258745415014,0.0008862460854183,4.143034257791042e-05,-8.590826493747254e-06,4286145000000.0,2821260000000.0,2278710000000.0,4.309219715130585,0.7793561440354496,18470740613640.152,12157955846953.014,9819887414846.664,4.519801167813244e-05,2.9750589965353e-05,2.402932266432358e-05,2.5316863555818077e-05,1.6664264619019495e-05,1.3459598346131129e-05
21,21,2,25,3000,1000000.0,255,17.15,2.43,0.81,,1880.75,0.188075,255.0,0.0001905063288205,0.0116285500555794,0.0008143288355926,-5.742359717951162e-05,6.034464560865039e-06,4449061475110.741,2933970000000.0,2369745000000.0,4.034048639067055,0.7583966163406792,17940466136465.01,11830987214914.594,9555797365892.56,4.791974579763688e-05,3.16010685319634e-05,2.552393996812428e-05,2.6715714706715117e-05,1.7617896699462872e-05,1.4229839641873858e-05
22,22,2,25,3000,1000000.0,260,17.15,2.43,0.81,,1978.75,0.1978749999999999,260.0,0.0001746576179186,0.0116350992719068,0.0008772549426757,6.177569132323623e-06,2.6147028548575414e-06,4669850000000.0,3086850000000.0,2493225000000.0,4.487089055103334,0.8873000835433477,20940281971623.004,13841881303276.225,11179981052646.18,5.1315160961007854e-05,3.392019114371706e-05,2.7397077462233004e-05,2.851520758150299e-05,1.884903551997656e-05,1.5224220996904138e-05
23,23,2,25,3000,1000000.0,265,17.15,2.43,0.81,,2055.75,0.2055749999999999,265.0,0.000191361663397,0.0118415513999551,0.0009112623396083,3.6838315965269074e-05,9.66279402566919e-06,4851570000000.0,3206970000000.0,2590245000000.0,4.168614079607502,0.8570772881559432,20227024000480.258,13370405695232.717,10799173830764.885,5.441963687221161e-05,3.597230233925852e-05,2.9054551889401112e-05,3.0095654601284083e-05,1.989373778728948e-05,1.60680189820415e-05
24,24,2,25,3000,1000000.0,270,17.15,2.43,0.81,,2110.25,0.2110249999999999,270.0,0.0001885196078461,0.0117503319816939,0.0008648787459347,4.82625969700707e-05,-1.2072283091519487e-05,4978156748265.801,3291990000000.0,2658915000000.0,4.341038488616571,0.9155128171211075,21597281405877.387,14281999947089.275,11535461495725.951,5.696203754146734e-05,3.766825101107138e-05,3.042435658586534e-05,3.1379618062352585e-05,2.075093133639681e-05,1.6760367617858967e-05
25,25,2,25,3000,1000000.0,275,17.15,2.43,0.81,,2177.75,0.217775,275.0,0.0002052116423811,0.0120052762431726,0.0008980808581689,-9.22950651575313e-06,-5.288272494114344e-06,5118124562652.316,3397290000000.0,2743965000000.0,4.038446702910966,0.8795990491291493,20672241986607.84,13721745166414.729,11082948019027.28,5.972929731576997e-05,3.964689448135199e-05,3.20224916964766e-05,3.278064824845767e-05,2.175901878212416e-05,1.7574592093254127e-05
26,26,2,25,3000,1000000.0,280,17.15,2.43,0.81,,2256.25,0.225625,280.0,0.0002163673816823,0.0114957951116022,0.0008110049731248,-1.2952994906588963e-06,9.081838141552925e-06,5302187500000.0,3519750000000.0,2842875000000.0,3.895871625916888,0.8790890537227252,20658592762484.043,13713789238074.516,11076522076906.338,6.305471205857893e-05,4.185759608995027e-05,3.380805838034445e-05,3.451450638580411e-05,2.291175743057635e-05,1.850565023238859e-05
