,Simulation Number,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.03,200,500000.0,17.15,2.43,0.81,,0.1999999999999999,1739.6,0.34792,200.0,0.0165807969878613,0.0022320496838628,0.00469762593137,-0.0054212687521907,-9.769984186654464e-05,10419764000000.0,6585316000000.0,5184836000000.0,4344757600000.0,3747552000000.0,12.11969676860208,4.217838274826647,126574014454089.16,79995067881186.23,62982783781511.84,52777836206723.05,45523497666717.49,8.660350180202772e-05,5.47336221888444e-05,4.309358195341259e-05,3.611129989517744e-05,3.114764656715763e-05,5.1381280418949374e-05,3.247309325272569e-05,2.556713496027969e-05,2.142459355105945e-05,1.8479691113598595e-05
1,1,0.03,400,500000.0,17.15,2.43,0.81,,0.3999999999999999,5701.8,1.1403600000000005,400.0,0.0463395941711098,0.0015957894830618,0.0027086921208383,-0.0028210195879921,-1.499083926709886e-05,33122496047809.93,21588723000000.0,16997513000000.0,14243470800000.0,12285650000000.0,8.648049663999027,9.857556371652418,286462780278191.1,186703679637342.84,146997977326080.22,123180404333976.69,106248882576514.2,0.0005713956448334,0.0003724267121025,0.0002932238224794,0.0002457138849283,0.0002119395499003,0.0003073956497123,0.0002003556592916,0.0001577466125918,0.0001321875306258,0.0001140178372558
2,2,0.03,600,500000.0,17.15,2.43,0.81,,0.5999999999999999,10499.6,2.09992,600.0,0.0813293150542449,0.0012219268358691,0.0021220048898765,-0.0018848698653709,-6.442222548027604e-06,58456764226868.414,40320213400000.0,31745553000000.0,26601601600000.0,22945815280000.0,7.393672909690174,15.52895719687059,432058813688807.6,298040048405556.1,234657613751934.1,196634494978978.9,169611387941182.62,0.0015217586227405,0.0010496241662309,0.0008264068264868,0.0006924984156906,0.0005973302272194,0.0008685158822233,0.000599053782324,0.0004716565710592,0.0003952307964312,0.0003409152946594
3,3,0.03,800,500000.0,17.15,2.43,0.81,,0.7999999999999999,15369.7,3.07394,800.0,0.1248392205823165,0.0011793458432568,0.0017382642019402,-0.0014155509287739,8.192801088193513e-06,76580961609884.06,56858358477238.79,45806932000000.0,38385018200000.0,33108829200000.0,6.420836733422902,19.73818096600992,491985754692056.3,365240714611253.9,294233758279375.2,246560162947229.1,212669548879032.9,0.0026706594362307,0.0019828598179449,0.0015974559814718,0.0013386265843452,0.0011546264928869,0.0014975792557152,0.0011118938229491,0.0008957776148151,0.0007506383542087,0.0006474598222404
4,4,0.03,1000,500000.0,17.15,2.43,0.81,,1.0,19751.6,3.95032,1000.0,0.1712723889837093,0.0012314641981723,0.001564614203821,-0.0011358032475179,-1.2945455094002602e-07,85812077112828.72,70022903811496.79,58888369000000.0,49346905600000.0,42563991920000.0,5.854250311956902,23.12611941519755,504036050011600.4,410845258311557.1,345362358097440.6,289404109070263.06,249625428298160.38,0.0037481521896459,0.0030585030578078,0.0025721620620115,0.002155404209989,0.0018591359734277,0.001974975134761,0.0016115854381386,0.0013553227985463,0.0011357248864778,0.0009796153234659
5,5,0.03,1200,500000.0,17.15,2.43,0.81,,1.1999999999999995,22640.4,4.52808,1200.0,0.2313442338639333,0.0013236482039804,0.0013624220450286,-0.0009476580058957,-1.4768322639436595e-06,80252613886351.73,76095481920923.62,66419905205374.54,56559038400000.0,48784780720000.0,5.19698722922836,23.530478554073223,417080719866784.2,395456944394547.1,345172740166575.06,293924700946520.1,253523641026720.8,0.0042105530427559,0.0039924439519921,0.0034848028047796,0.0029674401829168,0.0025595540999034,0.0026814063104165,0.0025425079076664,0.0022192268180469,0.0018897548021503,0.0016300007257102
6,6,0.03,1400,500000.0,17.15,2.43,0.81,,1.4,23819.5,4.7639,1400.0,0.2929442041368247,0.0015041614078411,0.001223383745509,-0.0008113033130534,3.3672601832039416e-07,65102822957974.5,76777583595028.47,68268239989352.48,60350333000000.0,52056552720000.0,4.784802776569217,22.793514464989645,312629924158083.3,367881389264530.8,327057311605435.4,289034562333592.3,249313862107613.25,0.0039823553363558,0.0046965032520869,0.004175984657389,0.0036916443827412,0.0031843118485138,0.0026023329225998,0.0030690041449659,0.0027288630572428,0.0024123632635276,0.0020808388150504
7,7,0.03,1600,500000.0,17.15,2.43,0.81,,1.6,23759.0,4.7518,1600.0,0.3580058539139372,0.0014798479262199,0.0010479875374008,-0.0007058997404621,5.618756157483032e-06,48388743919401.625,69620077448524.92,63680274983117.29,58626887470020.96,51181791040000.0,4.476846199384755,21.27305283185634,215978059165614.4,311492676154816.4,284940436666310.06,262341093637024.1,229049973041478.6,0.0033548913815731,0.0048269035089142,0.0044150847575815,0.0040647229824614,0.0035485390970176,0.0021847413558209,0.003143331487393,0.0028751506866431,0.0026469913298877,0.0023108468311623
8,8,0.03,1800,500000.0,17.15,2.43,0.81,,1.8000000000000005,20814.5,4.1629,1800.0,0.4118660543939086,0.0016636348106955,0.0009468384468804,-0.0006316473479274,-3.013642304797476e-06,40684725384000.0,56008202152543.46,52824570936794.88,49448192543001.1,44838402720000.0,4.379770204688711,18.233128230395472,177484505765013.7,245124931180463.03,231220402008999.2,216452260209214.5,196306782669683.25,0.0030889889608958,0.0042524243812855,0.0040107070884148,0.0037543554604316,0.0034043570337272,0.0020041144293271,0.0027589431914594,0.0026021187027375,0.0024357995597667,0.0022087230288759
9,9,0.03,2000,500000.0,17.15,2.43,0.81,,2.0,8494.0,1.6988,2000.0,0.4776945895746394,0.001636555300137,0.0008579059272834,-0.0005611619392901,-6.44379428425862e-06,18911618460000.0,21357011707750.24,20771234222035.4,19666667715513.39,18410860593079.78,4.19347023524187,7.122478620466586,79396928335498.64,89570883562419.6,87108975416671.61,82474833380060.56,77206086960065.66,0.0016118282513241,0.0018202479553625,0.0017703224187163,0.0016761807404435,0.0015691488963719,0.0009972746547277,0.0011262286473213,0.0010953385867456,0.0010370909976381,0.0009708679709269
