,Simulation Number,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
10,10,0.03,400,500000.0,17.15,2.43,0.81,,0.4000000000000001,500000.0,100.0,400.0,0.3996529426289896,0.0612333193676474,0.0509486842781504,-1.473689500724058e-05,2.973845773619649e-06,3042299544171912.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0008730580923764,100.08730580923762,3044955648408385.0,1976724289732443.5,1556357605333645.2,1304137594694366.2,1124981317295831.2,0.0524826603438838,0.0340706931300495,0.0268252799074565,0.022478031973901,0.0193901058623673,0.0282342744837396,0.0183291261415101,0.0144312866582521,0.0120925829682974,0.0104313609028137
11,11,0.03,410,500000.0,17.15,2.43,0.81,,0.41,500000.0,100.0,410.0,0.4031263446601493,0.060770195281575,0.0499751760177976,-1.4779272451955516e-06,-1.4677629701637455e-06,3036225105237735.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.024300098491499,102.43000984914993,3110005674337373.0,2022992694520711.5,1592786653154281.5,1334663028334423.5,1151313310704445.0,0.0537451568702679,0.0349600840318682,0.0275255345162304,0.0230648048068476,0.0198962706085162,0.0290406127654229,0.0188903023404845,0.0148731241212422,0.0124628171896968,0.0107507340914959
12,12,0.03,420,500000.0,17.15,2.43,0.81,,0.42,500000.0,100.0,420.0,0.4198106682297009,0.0612542743324989,0.0496332151409693,-1.2988835837442296e-05,2.454858374434809e-06,3029324270236698.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004513511548525,100.0451351154852,3030691559244490.0,1975891418530832.8,1555701851045794.8,1303588110554772.2,1124507318698053.6,0.0549594198849045,0.0358313751152844,0.0282115383819074,0.0236396363418813,0.0203921344959897,0.029834977448754,0.0194512291207059,0.0153147652064291,0.0128328868578632,0.0110699653324929
13,13,0.03,430,500000.0,17.15,2.43,0.81,,0.4299999999999999,500000.0,100.0,430.0,0.4229363994093746,0.059856523883913,0.049314370604367,-8.8653370719293e-06,-4.376833024152653e-06,3022683902374845.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.02395452296869,102.395452296869,3095090853341372.0,2022310182863163.2,1592249283216313.2,1334212743428203.5,1150924883816807.8,0.0561862852191952,0.0367117161079019,0.0289046676191329,0.0242204385258715,0.0208931488128009,0.0306267322669581,0.0200112873793115,0.0157557224682681,0.0132023835216419,0.0113887022857449
14,14,0.03,440,500000.0,17.15,2.43,0.81,,0.4400000000000001,500000.0,100.0,440.0,0.4327930238793124,0.0594700533177599,0.0483742921849579,2.68914615745718e-06,-2.8271144031375165e-06,3016013793103448.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0239441212161022,102.39441212161022,3088229592954953.0,2022289639401802.0,1592233108491039.0,1334199189944581.2,1150913192246899.0,0.0574043452181546,0.0375905382346395,0.0295966009898047,0.0248002386429039,0.021393298721891,0.0314123929770651,0.0205700240070406,0.0161956391549105,0.0135710082436323,0.0117066870804626
15,15,0.03,450,500000.0,17.15,2.43,0.81,,0.45,500000.0,100.0,450.0,0.4498042219447882,0.0591726233933531,0.0475165811997877,-7.693312004118464e-07,-8.199724292519428e-06,3009117241379311.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004353802192605,100.043538021926,3010427351503641.0,1975859875933038.5,1555677016240949.2,1303567300425695.5,1124489367366448.0,0.0585964379853588,0.0384591080166875,0.03028046226124,0.0253732748079715,0.0218876138788641,0.0321918516962306,0.0211287570406901,0.0166355530117838,0.01393963059444,0.0120246698297396
16,16,0.03,460,500000.0,17.15,2.43,0.81,,0.4600000000000001,500000.0,100.0,460.0,0.4524127306353089,0.0589345816632868,0.0471293412847005,4.116866788052089e-06,-1.0363818746522618e-05,3002033444816053.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240440970921456,102.40440970921456,3074214628437079.0,2022487091756987.5,1592388570978286.5,1334329458511065.5,1151025565131571.8,0.0598062482627561,0.0393457776171379,0.030978574275772,0.0259582522709522,0.022392229894513,0.0329794484387783,0.0216967638315496,0.0170827684850934,0.0143143712772197,0.012347930403373
17,17,0.03,470,500000.0,17.15,2.43,0.81,,0.4699999999999999,500000.0,100.0,470.0,0.4697040408269402,0.0583802544403441,0.0469264589166516,1.1406447730009011e-05,3.332712722020114e-07,2994851885558272.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000631273948458,100.06312739484584,2996742457533117.0,1976246766048204.8,1555981630989852.5,1303822549954840.8,1124709551918067.0,0.06099403141205,0.0402234289514265,0.0316695858326421,0.0265372799613715,0.0228917134893181,0.0337654687381493,0.0222671448559512,0.0175318532916476,0.0146906783530655,0.0126725421863743
18,18,0.03,480,500000.0,17.15,2.43,0.81,,0.4800000000000002,500000.0,100.0,480.0,0.4567481109030131,0.058371691958836,0.0463160028500748,-3.536273701315057e-06,3.4696261411983587e-06,2986888743529946.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.071100497821282,107.11004978212824,3199258020131710.5,2115423483197032.8,1665561274112094.0,1395643948661131.0,1203916959551121.2,0.0621606022680745,0.0411020295768898,0.0323613448061082,0.0271169339436391,0.0233917373389488,0.0345346977786892,0.0228351418380264,0.0179790610420917,0.0150654125645309,0.012995797177692
19,19,0.03,490,500000.0,17.15,2.43,0.81,,0.4900000000000001,500000.0,100.0,490.0,0.4898550635265365,0.0575696590787164,0.0458895390260101,8.21480125345998e-06,-4.985759208375499e-06,2978884063464559.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0002959480047215,100.02959480047218,2979765658259438.5,1975584497309325.2,1555460199147342.0,1303385620250152.2,1124332645557307.4,0.0633042666370513,0.0419707259310946,0.0330453057330896,0.0276900536142867,0.0238861245298989,0.0352955876246715,0.0234009730065333,0.0184245635570425,0.0154387178873483,0.0133178195743511
20,20,0.03,500,500000.0,17.15,2.43,0.81,,0.5,500000.0,100.0,500.0,0.4917959792562774,0.0571884726030754,0.0454934510660333,-1.118234717002256e-05,1.4581512439236222e-06,2970761466399522.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023917652956644,102.39176529566444,3041815108169837.0,2022237364589371.5,1592191950347581.2,1334164701802507.2,1150883441923267.8,0.0644628916412368,0.0428557500935085,0.0337421222255219,0.0282739455047299,0.0243898041038498,0.036046631006226,0.0239642586732414,0.0188680618920965,0.0158103438234095,0.0136383932904929
21,21,0.03,510,500000.0,17.15,2.43,0.81,,0.5099999999999999,500000.0,100.0,510.0,0.5098252957415526,0.0571465896210627,0.0451805922442476,-2.6685626843354834e-06,7.814649357955185e-07,2962587392402453.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000342800586375,100.03428005863746,2963602969097755.5,1975677031158090.5,1555533054911813.0,1303446669164046.5,1124385307859085.4,0.0655978603104832,0.0437306168403504,0.034430941360377,0.0288511360723931,0.0248877029511664,0.0367876128108066,0.0245243517499831,0.0193090465677083,0.0161798634583433,0.0139571500592309
22,22,0.03,520,500000.0,17.15,2.43,0.81,,0.5199999999999998,500000.0,100.0,520.0,0.5197459859584626,0.0564146945990802,0.044701255574109,6.313751500232835e-06,-6.406504098182037e-06,2954340394825008.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004894251405898,100.048942514059,2955786323288098.0,1975966614652664.8,1555761056093617.5,1303637720958188.8,1124550113858023.4,0.0667249815934887,0.0446061797340539,0.0351203086007361,0.0294287859207453,0.0253859979853551,0.0375103845682359,0.0250759897715355,0.0197433742251835,0.0165438048973725,0.0142710949383321
23,23,0.03,530,500000.0,17.15,2.43,0.81,,0.53,500000.0,100.0,530.0,0.5297526625481794,0.05623269875132,0.044404088835826,7.366201759541676e-06,4.444653710539159e-06,2945818039138751.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000468124612519,100.04681246125196,2947197049066875.5,1975924546109726.0,1555727933772468.0,1303609966370112.5,1124526172064472.0,0.0678269806217046,0.0454740533692402,0.0358036217666677,0.0300013628051241,0.0258799169554562,0.0382514655415429,0.0256453872713178,0.0201916846617211,0.016919463095963,0.0145951469837778
24,24,0.03,540,500000.0,17.15,2.43,0.81,,0.5399999999999998,500000.0,100.0,540.0,0.5310969841821283,0.0559390759618597,0.0434618653925835,1.485493441946961e-05,-1.0760724258739852e-05,2936989749374663.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240579831615677,102.4057983161568,3007647799310815.5,2022514516744096.5,1592410163816238.0,1334347552059523.0,1151041173073602.2,0.0689377449866026,0.0463576852379309,0.0364993420480923,0.0305843361341894,0.026382804155663,0.0390055573401577,0.0262295691577452,0.0206516354634399,0.0173048752468567,0.0149276130295218
25,25,0.03,550,500000.0,17.15,2.43,0.81,,0.55,500000.0,100.0,550.0,0.5409274117883143,0.0555549079642471,0.0431714608037085,2.11738823436646e-06,2.300990928927028e-06,2928145210209509.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.024084649544004,102.4084649544004,2998668561411358.5,2022567182849407.5,1592451630040926.0,1334382298355836.8,1151071146087460.5,0.0697010317820982,0.0470125379334566,0.037014934929886,0.0310163731277437,0.0267554899428886,0.0397475343661953,0.0268092511599242,0.0211080433183201,0.0176873186133575,0.0152575181284835
26,26,0.03,560,500000.0,17.15,2.43,0.81,,0.5600000000000003,500000.0,100.0,560.0,0.5597958807879934,0.0550585775783242,0.0429538715192008,3.54967084749564e-07,1.1303549064315911e-05,2919279548317856.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0003647456884863,100.03647456884866,2920344342946594.0,1975720372734760.8,1555567179545596.8,1303475263632098.5,1124409974153859.0,0.0708032151531567,0.0479009795441005,0.0377144421220638,0.0316025196688419,0.027261114434212,0.0404717445591282,0.0273806239454993,0.0215579089798742,0.0180642800004989,0.0155826943365777
27,27,0.03,570,500000.0,17.15,2.43,0.81,,0.5700000000000001,500000.0,100.0,570.0,0.5605722345519725,0.0549762697035001,0.042710543563399,-6.156045660400338e-06,-4.557438426212012e-06,2910280850497159.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240761976963793,102.4076197696379,2980349347605715.0,2022550490450348.8,1592438487417869.5,1334371285598382.0,1151061646210730.5,0.0718693296930816,0.0487725870579083,0.0384006951266062,0.0321775599678251,0.0277571584066273,0.0411723050374922,0.0279407062844661,0.0219988852011872,0.0184337925512199,0.0159014449942985
28,28,0.03,580,500000.0,17.15,2.43,0.81,,0.58,500000.0,100.0,580.0,0.5703870797351265,0.0546205972206032,0.0421902681021387,-1.918579476781184e-05,4.0068569264082745e-06,2900959117542613.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0241055845525604,102.41055845525608,2970888432834059.0,2022608529491307.2,1592484183979231.8,1334409576671986.5,1151094677037078.0,0.0729256098368193,0.0496484347389643,0.0390902865919441,0.0327553977037319,0.0282556155172637,0.0417590452941976,0.0284299471706804,0.0223840849875484,0.018756567677669,0.0161798787948581
29,29,0.03,590,500000.0,17.15,2.43,0.81,,0.59,500000.0,100.0,590.0,0.5895637018605839,0.0545385259595788,0.0417650156989318,9.520454710217582e-07,1.5245786252922597e-06,2891622234419861.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0007408340992108,100.07408340992107,2893764446773155.5,1976463147345940.8,1556151997024272.5,1303965306831271.5,1124832697527512.8,0.0739769872915463,0.0505268455061927,0.0397818960820909,0.0333349264276299,0.0287555313159294,0.0422966363699106,0.0288889246445199,0.022745457125179,0.0190593766135743,0.0164410892660457
30,30,0.03,600,500000.0,17.15,2.43,0.81,,0.5999999999999999,500000.0,100.0,600.0,0.5900088899646643,0.0546369246912062,0.0414416872759953,1.2095542621222998e-05,-1.148219174300806e-05,2881911036986994.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.024173570423443,102.41735704234426,2951577116393697.0,2022742801586299.2,1592589902008453.8,1334498162261745.8,1151171093155949.5,0.0750225064371667,0.0514136100357608,0.0404800828382825,0.0339199665197956,0.0292602013570608,0.0428177224634618,0.0293433769398199,0.023103266400719,0.0193592000772585,0.0166997243951178
31,31,0.03,610,500000.0,17.15,2.43,0.81,,0.6099999999999999,500000.0,100.0,610.0,0.6096818961745157,0.0543724127587002,0.0408661972693711,1.6879042574702074e-05,-2.1948408157571205e-06,2872199839554128.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005223563504135,100.05223563504136,2873700151379978.5,1976031653792067.5,1555812264124893.5,1303680630324589.0,1124587128537865.0,0.076035513833877,0.0522840151140803,0.0411653891151365,0.0344942135157704,0.0297555610066968,0.0433274074990137,0.0297930626665017,0.0234573227576759,0.0196558788123806,0.0169556468036192
32,32,0.03,620,500000.0,17.15,2.43,0.81,,0.6199999999999998,500000.0,100.0,620.0,0.6193734881884723,0.053471158277141,0.0405988911558007,-3.062323692332608e-06,-1.3253420345724857e-05,2862268072289157.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.001017303427271,100.10173034272704,2865179867408863.0,1977009174268858.8,1556581906829405.5,1304325546365733.2,1125143449052252.0,0.0770403537197603,0.0531587869318046,0.0418541335083323,0.0350713414542489,0.0302534058285309,0.0438227240160201,0.0302382158993304,0.0238078104928904,0.0199495672490265,0.0172089897067582
33,33,0.03,630,500000.0,17.15,2.43,0.81,,0.6300000000000002,500000.0,100.0,630.0,0.6297078302103045,0.0536723058140921,0.0404185318794039,-4.284628201661925e-06,4.487215148610901e-06,2852227911646586.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000464175550185,100.04641755501852,2853551846106728.0,1975916746711614.8,1555721792980537.5,1303604820741891.2,1124521733318408.0,0.0780371316136321,0.0540361218357015,0.0425448959263371,0.0356501603807184,0.0307527093383941,0.0443053518148921,0.0306788491470503,0.0241547394550192,0.0202402736398008,0.0174597602234352
34,34,0.03,640,500000.0,17.15,2.43,0.81,,0.6400000000000001,500000.0,100.0,640.0,0.6395579266154812,0.0537052323645947,0.0400630699892584,5.158201675955581e-06,1.0920954736267202e-06,2842069223716381.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000691985076675,100.06919850766744,2844035893206069.0,1976366670526431.5,1556076036794228.8,1303901656554907.0,1124777791226182.2,0.0790342615285235,0.0549221902184079,0.0432425345770249,0.0362347411921951,0.0312569831926533,0.0448131708995273,0.0311413992973869,0.0245189245100945,0.0205454396377189,0.0177230039545635
35,35,0.03,650,500000.0,17.15,2.43,0.81,,0.6500000000000001,500000.0,100.0,650.0,0.6497892298357328,0.0528333127251969,0.0397508374509147,7.422983481020172e-07,3.920682452813138e-06,2831372402200488.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0003244975929002,100.03244975929002,2832291175729606.5,1975640882745977.2,1555504593756959.5,1303422820363548.8,1124364735294419.6,0.0799818024254028,0.0557906334282993,0.0439262961929141,0.036807693851683,0.0317512263156497,0.0454137853402295,0.0316780039168448,0.0249414157421233,0.0208994628372904,0.0180283931152068
36,36,0.03,660,500000.0,17.15,2.43,0.81,,0.66,500000.0,100.0,660.0,0.6598010115231261,0.0528451479667115,0.039493484370914,-1.2761762247427186e-06,9.40298470864153e-06,2820675580684597.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0003017663991085,100.03017663991083,2821526765797633.0,1975595988638239.2,1555469246750613.5,1303393201618038.5,1124339185432597.8,0.0809263534540149,0.0566635699497521,0.0446135955806909,0.0373836109592542,0.0322480266448208,0.0459956001670544,0.0322055152148637,0.0253567474223356,0.0212474867468189,0.0183286071400033
37,37,0.03,670,500000.0,17.15,2.43,0.81,,0.67,500000.0,100.0,670.0,0.669652003184001,0.0524505404324541,0.0392277368188456,1.3944693291960191e-05,-1.5230482414795655e-06,2809657810569165.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005199410544494,100.05199410544492,2811118667013834.0,1976026883582536.8,1555808508339668.5,1303677483193947.5,1124584413745201.2,0.0818557449087433,0.0575390695573774,0.0453029129932769,0.0379612190548166,0.0327462856620213,0.0465565932093523,0.0327261459536398,0.0257666617508405,0.0215909712291608,0.0186249053427297
38,38,0.03,680,500000.0,17.15,2.43,0.81,,0.6799999999999998,500000.0,100.0,680.0,0.6688683225893074,0.0525760208654998,0.0389639292556202,7.733986736786565e-06,-4.71227710268568e-06,2798390819219306.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023935497644133,102.39354976441332,2865371696080094.0,2022272607847163.5,1592219698836627.0,1334187953430305.5,1150903499352005.5,0.0827595679681112,0.0584086202736395,0.0459875465951946,0.0385349023881277,0.0332411590823142,0.0470958129493598,0.0332384704581523,0.0261700362341402,0.0219289756997329,0.0189164763518801
39,39,0.03,690,500000.0,17.15,2.43,0.81,,0.6899999999999997,500000.0,100.0,690.0,0.6786481833772677,0.0520119953564359,0.0388103341205288,-1.1032941326016021e-07,1.0856221510606774e-07,2787123827869448.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023998794700392,102.39987947003918,2854011440419057.0,2022397619533274.0,1592318125759109.2,1334270429494610.5,1150974645243240.5,0.083672403392149,0.0592915876385077,0.0466827436850022,0.0391174373128989,0.033743668104143,0.0476177462254223,0.033742687660598,0.0265670274998632,0.0222616314034224,0.0192034333825378
40,40,0.03,700,500000.0,17.15,2.43,0.81,,0.6999999999999997,500000.0,100.0,700.0,0.6978926952192979,0.0525640941701173,0.0384273808462302,-6.775786766968807e-07,-3.4967510248996857e-06,2775457233770277.0,1974621889540764.5,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0031093525657708,100.31093525657704,2784087108841287.0,1980761685179435.2,1559835043239773.2,1307051486393198.8,1127494912283926.5,0.0845421784237541,0.0601482285779019,0.0473662810759124,0.0396902020848322,0.0342377491506917,0.048118941415006,0.0342346168636604,0.026959505262738,0.0225905050529566,0.0194871279198183
41,41,0.03,710,500000.0,17.15,2.43,0.81,,0.7100000000000003,500000.0,100.0,710.0,0.7091568808331715,0.0520743062808421,0.0381135995811288,8.13454112798509e-07,3.063238067060706e-06,2763697817590703.5,1971587295164879.5,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0011999149745554,100.11999149745552,2767014019987175.5,1973953032283990.8,1556865867785433.5,1304563489211845.2,1125348704431400.2,0.0854086143194124,0.0609294322331476,0.0480553244357465,0.04026758054005,0.0347358100744561,0.0485802746314456,0.0346565574750414,0.0273337868456808,0.0229041313568632,0.0197576697199649
42,42,0.03,720,500000.0,17.15,2.43,0.81,,0.7200000000000002,500000.0,100.0,720.0,0.7081950515488666,0.0516070645100015,0.0380461732551337,-5.982162262975723e-06,-4.1238264150096296e-08,2751938401411129.0,1968498688174132.5,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0239572854107444,102.39572854107442,2817867375126524.0,2015658573077396.0,1592253578813707.2,1334216342890200.0,1150927988801676.5,0.0862525477449203,0.0616976117635805,0.0487375413906706,0.0408392388630507,0.0352289366708128,0.0490018394158665,0.0350516772318706,0.0276887957421576,0.0232016082649719,0.0200142806522091
43,43,0.03,730,500000.0,17.15,2.43,0.81,,0.7300000000000002,500000.0,100.0,730.0,0.7180365911261146,0.0511564686235385,0.037505089816681,-1.330693173498635e-05,-5.216171203732738e-07,2739790241332762.0,1965097658147896.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.023973577606489,102.397357760649,2805472815308856.5,2012208079359836.0,1592278913178091.2,1334237571621256.0,1150946301229694.5,0.0870932981104713,0.0624671310873821,0.0494308201112152,0.0414201663054105,0.0357300590385889,0.049401461625879,0.0354328937615583,0.0280383774163942,0.0234945374749592,0.02026696862767
