,Simulation Number,ExitSlit.openingWidth,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.03,300,500000.0,17.15,2.43,0.81,,0.2999999999999999,500000.0,100.0,300.0,0.2950457706032269,0.0683518364678844,0.0582965565808786,-2.575537759425576e-05,-8.267451944000906e-06,3097408898074623.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.024096397922173,102.40963979221732,3172045295410308.5,2022590385896292.5,1592469898768979.5,1334397606492591.8,1151084351264522.8,0.0395896705076192,0.0252435509245004,0.0198753021203029,0.0166543528377844,0.0143664563236145,0.0215788663573984,0.013759326733501,0.0108332926939715,0.0090776722702539,0.0078306244295975
1,1,0.03,310,500000.0,17.15,2.43,0.81,,0.3099999999999999,500000.0,100.0,310.0,0.3098672733970261,0.0671438875921747,0.0572543131781477,2.7464455971025217e-06,-4.146247062136316e-06,3092479225242112.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0004292852686645,100.04292852686642,3093806781017160.0,1975847838405612.5,1555667538592773.0,1303559358705069.5,1124482516641979.0,0.0409271588392459,0.0261379730695465,0.0205795180370353,0.0172444450175287,0.0148754844203394,0.0222506132018225,0.0142102688079203,0.0111883382259828,0.0093751798768202,0.0080872618430898
2,2,0.03,320,500000.0,17.15,2.43,0.81,,0.32,500000.0,100.0,320.0,0.314694595973348,0.0664180258391166,0.0568755056577223,-1.276146964772348e-05,9.39372926264648e-06,3087432629061192.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240932680299824,102.4093268029982,3161818970917676.5,2022584204359215.2,1592465031786622.5,1334393528243067.0,1151080833265700.0,0.042246512032314,0.0270246743130362,0.0212776549654539,0.0178294433569044,0.0153801184444823,0.0229228485764224,0.0146635186505108,0.0115452007602756,0.0096742100261343,0.0083452126395817
3,3,0.03,330,500000.0,17.15,2.43,0.81,,0.33,500000.0,100.0,330.0,0.3245807612896813,0.0655815996402242,0.0555247424656822,5.185767446342546e-06,4.656131364806029e-06,3082603908484271.5,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0239487067162674,102.39487067162676,3156428285410981.0,2022298695764628.8,1592240238943796.5,1334205164851297.0,1150918346349085.0,0.0435572514699086,0.0279067873158469,0.021972179380325,0.018411414619012,0.015882141236968,0.0235945465214755,0.0151168397768064,0.0119021194192071,0.0099732872046474,0.008603204004623
4,4,0.03,340,500000.0,17.15,2.43,0.81,,0.3399999999999999,500000.0,100.0,340.0,0.3398787830947413,0.0653554667064625,0.0547788049783241,1.7628060151315943e-05,1.5811247776169095e-06,3077371673350346.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000356917728728,100.0356917728728,3078470041858450.5,1975704912514238.0,1555555007068171.8,1303465063800532.5,1124401175527090.4,0.0448395527657525,0.0287771923941666,0.0226574856571792,0.0189856616149868,0.0163775008866042,0.0242606914948074,0.0155700613342162,0.0122589596833956,0.0102722986929031,0.0088611387036247
5,5,0.03,350,500000.0,17.15,2.43,0.81,,0.3499999999999998,500000.0,100.0,350.0,0.3495432496805051,0.0642007116899799,0.0539514211384594,-2.23677593615912e-06,6.489829913596884e-06,3072040501698458.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0013155306303028,100.13155306303024,3076081865075973.0,1977598172994847.5,1557045650130120.8,1304714136411284.2,1125478656428460.0,0.046147306829819,0.0296678806605912,0.0233587617353008,0.0195732903801266,0.0168844039810148,0.0249238623501987,0.0160234307179307,0.0126159163374088,0.0105714077090955,0.009119157532635
6,6,0.03,360,500000.0,17.15,2.43,0.81,,0.3600000000000001,500000.0,100.0,360.0,0.3597897899154532,0.0639621287014564,0.0533609401434715,-1.388984909857249e-06,1.3481167083513216e-06,3066564153769345.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0005848619145123,100.05848619145124,3068357670351294.5,1976155102281160.8,1555909460277066.5,1303762075074609.5,1124657384791911.8,0.0474200992148919,0.0305405956807698,0.0240458867258718,0.0201490613529332,0.0173810782507267,0.0255813485194523,0.016475495307612,0.0129718456725755,0.0108696558915537,0.0093764337851929
7,7,0.03,370,500000.0,17.15,2.43,0.81,,0.37,500000.0,100.0,370.0,0.369851031881123,0.0634766175482779,0.0527933607993309,8.763950589820687e-06,2.877699682871742e-06,3060624394119984.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000403053037946,100.0403053037946,3061857988080045.0,1975796029749943.5,1555626747474006.5,1303525178108443.5,1124453031614651.2,0.0487082396468605,0.0314310940889593,0.0247470133206744,0.0207365648597033,0.0178878732941723,0.0262307007492221,0.0169264918881394,0.0133269341195224,0.0111671994583522,0.0096331022188702
8,8,0.03,380,500000.0,17.15,2.43,0.81,,0.3799999999999999,500000.0,100.0,380.0,0.3737104492088195,0.0633942558739353,0.0518778098267091,-5.163208979507462e-06,7.167493428930092e-06,3054267620182758.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.0240927082696285,102.40927082696282,3127853198933193.0,2022583098832516.0,1592464161359272.5,1334392798875325.8,1151080204095062.5,0.0499579701137535,0.0323046318281563,0.0254347860722952,0.0213128786187786,0.018385015784733,0.026873620759529,0.0173774559404503,0.0136819969556455,0.0114647215647629,0.0098897521402865
9,9,0.03,390,500000.0,17.15,2.43,0.81,,0.3899999999999999,500000.0,100.0,390.0,0.3898243709277807,0.0620326207762877,0.051195770465876,2.206512031122798e-06,2.388872635374741e-06,3048188381616866.0,1975000000000000.0,1555000000000000.0,1303000000000000.0,1124000000000000.0,1.000450715192519,100.04507151925188,3049562246430121.0,1975890162505224.8,1555700862124366.8,1303587281895852.5,1124506603876391.2,0.0512239305250275,0.0331893079171394,0.0261313285119755,0.0218965408688773,0.0188884972652479,0.0275124636178898,0.0178260359408987,0.0140351827281505,0.0117606708005018,0.0101450452645925
