sep=	
Sample_RN	Sample_RS	Sample_RO	Sample_OX	Sample_OY	Sample_OZ	Sample_DX	Sample_DY	Sample_DZ	Sample_EN	Sample_PL	Sample_S0	Sample_S1	Sample_S2	Sample_S3
89	2	1	-0.0292494925778884	-0.00568627866966659	0	0.00444633235825598	0.00194106868789301	0.999988231121201	0.05	2.74907390595556	8.86715e+10	7.28061e+10	-5.66201e+09	5.02976e+10
105	2	1	-0.101568408679568	-0.407281765199452	0	0.0370056489572488	-0.0260716499860248	0.998974900091217	0.05	10.2763622302582	9.90849e+10	5.58481e+10	-8.63744e+09	8.13892e+10
109	2	1	0.134296435275364	-0.499383593914843	0	0.0259046455184565	0.0312104112852199	0.999177091194535	0.05	5.04839278622237	1.00997e+11	4.71471e+10	9.96777e+09	-8.87597e+10
149	2	1	-0.105627776128393	-0.0955231526427869	0	-0.0255756753894354	0.0128025705815401	0.999590905828419	0.05	-3.99295449018263	9.11258e+10	2.61216e+10	1.02255e+10	-8.67007e+10
228	2	1	0.112245487559458	-0.555933681462503	0	-0.040590104321067	-0.0327710263233372	0.998638324552448	0.05	-9.47008538634503	9.98385e+10	3.84398e+10	-1.06364e+10	9.15258e+10
234	2	1	-0.141921102162499	-0.219997652954159	0	0.0420131012804502	-0.0200662402102001	0.998915534629743	0.05	14.8028707134391	9.17353e+10	6.89108e+10	6.40008e+09	-6.02139e+10
277	2	1	-0.000382996434395544	0.167341077148036	0	0.0522691032769498	-0.00208888833656042	0.998630851410141	0.05	16.4284369804707	8.12853e+10	8.09138e+10	-8.21292e+08	7.71898e+09
312	2	1	-0.189476860132262	-0.745877998497535	0	0.0408105482229711	-0.0340166706633567	0.998587685318981	0.05	12.5723238598168	1.00995e+11	4.42601e+10	-9.47917e+09	9.02843e+10
355	2	1	-0.0794631104081165	-0.0217909033266986	0	0.0198847344644198	-0.00569760002152726	0.99978604445615	0.05	8.90825939720256	8.81083e+10	7.34884e+10	-5.3138e+09	4.83146e+10
423	2	1	-0.0436327498798903	-0.201544886193092	0	0.0345404464319092	-0.0193148857682262	0.999216639547223	0.05	9.37458665217616	8.55069e+10	7.64702e+10	4.07702e+09	-3.80411e+10
431	2	1	0.172615374887332	-0.38498536553756	0	0.0484002176693831	0.0293678660777226	0.998396187578657	0.05	14.1267718044714	7.19891e+10	1.48558e+10	7.67438e+09	-7.00203e+10
447	2	1	0.00173322300564926	-0.314237377677302	0	0.00777844821725559	-0.0225995329413125	0.999714337625587	0.05	1.93263620060316	1.01018e+11	4.48095e+10	-9.90303e+09	8.99932e+10
