,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,M1.grazingIncAngle,PG.cFactor,M3.grazingIncAngle,KB_ver.grazingIncAngle,KB_hor.grazingIncAngle,KB2_ver.grazingIncAngle,KB2_hor.grazingIncAngle,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,0.2,1.17577026432641,0.2,0.2,0.2,0.2,0.2,,86.6,0.0012074760167557,500.0,0.0413164539817506,0.0004997016846599,0.0005118177032123,-2.713750511801808e-06,8.820525582520035e-07,39001475341.21306,21130830293.22689,14006721794.367542,12.157474350201438,0.0146687463712191,473800507790.3808,256703061496.3364,170157457906.14294,8.462974584816012e-07,4.585202948429728e-07,3.039334525816277e-07,4.7323617403285197e-07,2.563973079125359e-07,1.6995478695916664e-07
1,1,0.02,500,100000.0,17.15,2.43,0.81,0.3,1.17577026432641,0.3,0.3,0.3,0.3,0.3,,179.3,0.0025000051940451,500.0,0.0323510763270462,0.0003682356235409,0.0003526614806633,-1.6635338876806118e-06,9.566377261712577e-06,80750167767.6617,43750090895.79194,29000060250.924946,16.400505910864982,0.0411438806027575,1328947343469.0698,720017910548.2574,477269014991.9878,1.752207093599897e-06,9.493382086067554e-07,6.292756125621922e-07,9.79806535843999e-07,5.308549342808046e-07,3.5188098500899054e-07
2,2,0.02,500,100000.0,17.15,2.43,0.81,0.4,1.17577026432641,0.4,0.4,0.4,0.4,0.4,,302.5,0.0042178001740026,500.0,0.0341337057700968,0.0004053110329225,0.0003979684041193,-9.247599833159288e-07,-2.8563415770866384e-06,136234945620.28812,73811503045.04774,48926482018.431656,14.888448487398858,0.0626561901837054,2023794942933.688,1096483328214.8464,726811806130.9841,2.9561776119016665e-06,1.6016442169745874e-06,1.0616613095374406e-06,1.6530478365466242e-06,8.956141529277378e-07,5.936642385121005e-07
3,3,0.02,500,100000.0,17.15,2.43,0.81,0.5,1.17577026432641,0.5,0.5,0.5,0.5,0.5,,435.4,0.0060708436223496,500.0,0.0369966991658656,0.0004169124631891,0.0004102334042814,1.3615316751993115e-06,2.5935496214657963e-06,196088249001.89572,106239763391.11996,70421786019.25668,13.711940377045172,0.0830419097382184,2682253684544.456,1453233420418.823,963286152963.3342,4.2549412635437545e-06,2.305308734118133e-06,1.5280903609011626e-06,2.3792959604376877e-06,1.28909223862723e-06,8.544839981757637e-07
4,4,0.02,500,100000.0,17.15,2.43,0.81,0.6,1.17577026432641,0.6,0.6,0.6,0.6,0.6,,556.0,0.0077523864355223,500.0,0.0343976736795752,0.0003929311631532,0.0003984658434412,-1.6423766480049733e-06,-3.585434620682896e-06,250402081867.37256,135666762621.64148,89927682652.05948,14.943048610611823,0.1158129044336252,3740756813206.096,2026725827588.442,1343429691430.0532,5.433503313115129e-06,2.9438485442574235e-06,1.951351035050635e-06,3.038329246677432e-06,1.6461536166209e-06,1.0911646830172822e-06
5,5,0.02,500,100000.0,17.15,2.43,0.81,0.7,1.17577026432641,0.7,0.7,0.7,0.7,0.7,,703.4,0.0098076054293999,500.0,0.0352502622786346,0.0003928922114883,0.0004195727944793,1.3844829530906494e-06,1.5444030717025723e-06,316785655369.62213,171633095014.50113,113768222981.04074,14.274893694442406,0.1398833512484796,4518232245325.892,2447958646848.3936,1622646874482.3638,6.873968040369032e-06,3.7242860899832218e-06,2.4686696367888784e-06,3.843814374303788e-06,2.082561967502052e-06,1.3804410756013603e-06
6,6,0.02,510,100000.0,17.15,2.43,0.81,0.2,1.17662360156545,0.2,0.2,0.2,0.2,0.2,,88.9,0.0014076958158433,510.0,0.040956647876412,0.0004704789986239,0.0004995439807602,-1.9661673426587013e-06,1.7165158871884468e-06,45468574851.74175,24634676777.259464,16329271463.78342,12.755483452828148,0.0181608016015634,586593891730.5021,317814028027.3619,210665298578.13696,1.006769025376361e-06,5.454630942441584e-07,3.615641081846994e-07,5.646011763212945e-07,3.058984701431163e-07,2.027669859234371e-07
7,7,0.02,510,100000.0,17.15,2.43,0.81,0.3,1.17662360156545,0.3,0.3,0.3,0.3,0.3,,190.5,0.00301649103395,510.0,0.034479904122611,0.0003918605448155,0.0003763468388987,6.2618152278101466e-06,-1.793927884858778e-06,97432660396.58946,52788593094.12743,34991295993.82161,16.577211888297462,0.0503712217065052,1626990461120.12,881496379863.8422,584306171795.461,2.157362197235059e-06,1.168849487666054e-06,7.747802318243556e-07,1.209859663545631e-06,6.554967217352491e-07,4.34500684121651e-07
8,8,0.02,510,100000.0,17.15,2.43,0.81,0.4,1.17662360156545,0.4,0.4,0.4,0.4,0.4,,305.1,0.0048311360339011,510.0,0.0368263255257715,0.000405180997324,0.0004343380671266,3.625834445182974e-06,-1.6697959805186032e-06,156045693895.01022,84544880593.27179,56041177993.25444,14.0422211045309,0.0679751020395354,2195595795876.996,1189564285691.8706,788511183658.6115,3.4551769363591426e-06,1.8719998881202783e-06,1.240868497268299e-06,1.937680752481744e-06,1.0498270330783438e-06,6.958853476405023e-07
9,9,0.02,510,100000.0,17.15,2.43,0.81,0.5,1.17662360156545,0.5,0.5,0.5,0.5,0.5,,440.2,0.0069703903052222,510.0,0.036656179537482,0.0003856839628928,0.0004220290116442,2.968594889233166e-06,9.47918573313235e-06,225143606858.6808,121981830341.3905,80856527540.57884,14.326183764287045,0.1001635917081,3235284012171.633,1752862854891.7517,1161897663813.961,4.9851487623247935e-06,2.700931991971638e-06,1.790332063249771e-06,2.7956967133479624e-06,1.5146963617210325e-06,1.0040273026265128e-06
