,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,M1.grazingIncAngle,PG.cFactor,M3.grazingIncAngle,KB_ver.grazingIncAngle,KB_hor.grazingIncAngle,KB2_ver.grazingIncAngle,KB2_hor.grazingIncAngle,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,0.02,510,100000.0,17.15,2.43,0.81,0.6,1.17662360156545,0.6,0.6,0.6,0.6,0.6,,572.3,0.009062140780733,510.0,0.0355375071274579,0.0004234644906111,0.0004017455480498,-7.989318258966067e-07,1.051615861793919e-07,292707147217.68054,158587463662.83005,105120833056.50449,14.817977207570896,0.1342745688503986,4337068573867.875,2349804954881.976,1557584998664.6235,6.481146380459971e-06,3.5114570172770742e-06,2.3275943657379463e-06,3.634659766126848e-06,1.969242907344268e-06,1.3053267271539149e-06
11,11,0.02,510,100000.0,17.15,2.43,0.81,0.7,1.17662360156545,0.7,0.7,0.7,0.7,0.7,,706.4,0.0111855604534507,510.0,0.0371492220613958,0.0003625307736632,0.0004278416811292,-5.110997741675942e-07,-2.172135216330256e-06,361293602646.4609,195747307935.38904,129752501260.0293,13.89701493927205,0.1551210729174846,5010410655234.755,2714618776055.982,1799404445842.8225,7.999793470482131e-06,4.334253428279792e-06,2.87299084388832e-06,4.486324757630624e-06,2.430671308313805e-06,1.6111878386537223e-06
12,12,0.02,520,100000.0,17.15,2.43,0.81,0.2,1.17747901516844,0.2,0.2,0.2,0.2,0.2,,95.7,0.0018084652040632,520.0,0.0385932280917779,0.0005219334973664,0.0004384605062609,6.461802962296991e-06,7.522965041415933e-06,58413426091.24387,31648141071.107357,20978196367.134014,15.898507962891076,0.0297809467300778,961924579381.5144,521166567776.3622,345458982068.903,1.3192910294217229e-06,7.147861614513978e-07,4.738011127334981e-07,7.416579621186719e-07,4.018270692593424e-07,2.66353943051907e-07
13,13,0.02,520,100000.0,17.15,2.43,0.81,0.3,1.17747901516844,0.3,0.3,0.3,0.3,0.3,,198.6,0.0037529904861751,520.0,0.0354039324004133,0.0003632509307553,0.0003330647612197,-2.4140129331172407e-06,-2.483759586721729e-06,121221592703.45905,65677333508.066055,43534689639.63236,16.38579274214866,0.061039755289414,1971584095848.076,1068195717564.7472,708061161357.2039,2.737839064191788e-06,1.4833493381844055e-06,9.832487041679489e-07,1.5391146423904728e-06,8.338856421620208e-07,5.527470542331109e-07
14,14,0.02,520,100000.0,17.15,2.43,0.81,0.4,1.17747901516844,0.4,0.4,0.4,0.4,0.4,,312.1,0.0058978264387475,520.0,0.0374472527028842,0.0003815666034205,0.0004054773330071,1.1075571998657194e-06,5.913933844731281e-06,190499793971.54868,103211962678.08363,68414786689.47261,15.102136095972782,0.0888485710034011,2869808843409.8584,1554849992559.521,1030643423639.454,4.302515467946914e-06,2.331084231859783e-06,1.5451758336899134e-06,2.418719435498824e-06,1.3104517065396107e-06,8.686422740491135e-07
15,15,0.02,520,100000.0,17.15,2.43,0.81,0.5,1.17747901516844,0.5,0.5,0.5,0.5,0.5,,452.7,0.0085547774073086,520.0,0.0409808302345595,0.000430967658488,0.0004105122260951,-6.76299682156829e-08,8.807130760452808e-07,276319310256.07214,149708604627.90283,99235417924.78133,12.735694765856213,0.1090449544283242,3522152028034.876,1908286702495.6755,1264921471368.562,6.240784211277052e-06,3.38122983583122e-06,2.241272348322409e-06,3.5083444038779807e-06,1.9008057915747572e-06,1.2599626961295533e-06
16,16,0.02,520,100000.0,17.15,2.43,0.81,0.6,1.17747901516844,0.6,0.6,0.6,0.6,0.6,,591.5,0.0111777133563576,520.0,0.0387450504801904,0.0004101624221014,0.0004086635136784,-3.851421784023882e-06,-6.841638796720377e-07,361040141410.3527,195609983736.2592,129661474933.74892,13.56050889709338,0.1514350973431733,4891353644184.502,2650114203505.535,1756647129180.8118,8.154238703270105e-06,4.417931185982254e-06,2.928457243279666e-06,4.584019692718854e-06,2.4836020006990697e-06,1.6462733261776688e-06
17,17,0.02,520,100000.0,17.15,2.43,0.81,0.7,1.17747901516844,0.7,0.7,0.7,0.7,0.7,,723.2,0.0136664789506641,520.0,0.0385772459707367,0.0003997160340939,0.000391851134893,1.6337374910763277e-06,-1.4215257562121202e-06,441427270106.4531,239163381636.62323,158531155827.70453,13.639861456539922,0.1866755600286144,6029620588924.248,3266822300500.754,2165436496331.928,9.96981475943354e-06,5.401602423841701e-06,3.580490749517929e-06,5.604671245603171e-06,3.0365865881750926e-06,2.012823109876061e-06
18,18,0.02,530,100000.0,17.15,2.43,0.81,0.2,1.17837189466193,0.2,0.2,0.2,0.2,0.2,,98.1,0.002005732916047,530.0,0.0430350603198119,0.0004220572273788,0.0004397909164734,3.358983157497653e-07,-5.826370649905205e-06,64785173188.32162,35100326030.82442,23266501826.146465,12.674707254914011,0.0254374005151765,821628036640.2054,445154509015.5911,295073845976.049,1.4916680623297305e-06,8.081792907359221e-07,5.357074155735255e-07,8.412358763817231e-07,4.557779516000048e-07,3.021156707748604e-07
19,19,0.02,530,100000.0,17.15,2.43,0.81,0.3,1.17837189466193,0.3,0.3,0.3,0.3,0.3,,197.8,0.0040441791110511,530.0,0.038082533379304,0.0003947687420117,0.0003574573502088,-1.2455650724224013e-06,-4.328047681800278e-06,130626985286.9523,70773134443.3952,46912477688.19338,14.337212405178873,0.0580076053771949,1873645653683.398,1015133094100.912,672888222375.4618,3.007665063494605e-06,1.6295398950822158e-06,1.080152159025926e-06,1.69619221557905e-06,9.189895904840056e-07,6.091588142636838e-07
20,20,0.02,530,100000.0,17.15,2.43,0.81,0.4,1.17837189466193,0.4,0.4,0.4,0.4,0.4,,313.3,0.0064056689357548,530.0,0.03875343323499,0.0003611282253439,0.0004089324955062,-4.321957865447859e-07,-6.476561062252705e-06,206903106624.8845,112099206375.71138,74305759654.75725,13.99833027922394,0.0894186569060958,2888222618066.897,1564826495856.6782,1037256420110.7124,4.763910335656519e-06,2.5810659713309308e-06,1.7108780152822172e-06,2.6866381250804672e-06,1.4556088912974668e-06,9.64860750802892e-07
21,21,0.02,530,100000.0,17.15,2.43,0.81,0.5,1.17837189466193,0.5,0.5,0.5,0.5,0.5,,459.4,0.00939280022051,530.0,0.0392744855464115,0.0004156111255983,0.0003631485927901,3.495000117547497e-06,6.275076680888201e-06,303387447122.47656,164374003858.92694,108956482557.91728,13.765887377864848,0.1291393816680028,4171202027876.492,2259939179190.05,1498016827348.8333,6.985446563040551e-06,3.784684670378008e-06,2.5087052672219937e-06,3.939487885930312e-06,2.134397461417352e-06,1.4148006029966446e-06
22,22,0.02,530,100000.0,17.15,2.43,0.81,0.6,1.17837189466193,0.6,0.6,0.6,0.6,0.6,,586.4,0.0119894167377168,530.0,0.0381486686369611,0.0004034221529995,0.0003793066238433,-8.511402854167787e-07,-1.056176890209572e-06,387258160628.2548,209814792910.0452,139077234157.51566,14.207885386888004,0.1707455160179612,5515080167380.149,2988046530314.3223,1980647985808.3503,8.91655608308006e-06,4.830951438201271e-06,3.2022306676076995e-06,5.028549621918884e-06,2.724446389584534e-06,1.8059187496674625e-06
23,23,0.02,530,100000.0,17.15,2.43,0.81,0.7,1.17837189466193,0.7,0.7,0.7,0.7,0.7,,731.5,0.0149561022231239,530.0,0.0402229449738455,0.0004102533650462,0.0004654972394086,-3.4968090772285938e-06,1.1119335392875811e-06,483082101806.90393,261731788904.66928,173490785788.23788,13.347245852073335,0.1994735535590965,6442995779958.82,3490787187284.1904,2313893221285.5205,1.1122886723692128e-05,6.026331816241865e-06,3.994597089623178e-06,6.272824093508975e-06,3.398588905151921e-06,2.252778931414988e-06
24,24,0.02,540,100000.0,17.15,2.43,0.81,0.2,1.1791362468331,0.2,0.2,0.2,0.2,0.2,,92.9,0.0021734298831639,540.0,0.0417015814194925,0.0004195546059426,0.0004370345273911,-6.525326282645062e-06,-4.852388993032325e-07,70201785226.19702,38035022955.369896,25211786644.70234,13.656057319002617,0.0301175708418783,972797538192.6726,527057489732.8721,349363821765.78955,1.6477935507123416e-06,8.927674036367175e-07,5.917772504106243e-07,9.323354838418816e-07,5.05135324062939e-07,3.3483255766457665e-07
25,25,0.02,540,100000.0,17.15,2.43,0.81,0.3,1.1791362468331,0.3,0.3,0.3,0.3,0.3,,197.0,0.0046088879115533,540.0,0.0370913365573414,0.0003707518205251,0.0003605328344039,-2.369719370725037e-06,2.5196631234901284e-06,148867079543.1734,80655538452.18375,53463099774.018936,15.401339789035765,0.0710764878780698,2295770558461.658,1243838537866.2236,824487259385.6111,3.4942446662037813e-06,1.8931666148162896e-06,1.254899013249655e-06,1.977073092754044e-06,1.0711696322970826e-06,7.100324419797805e-07
26,26,0.02,540,100000.0,17.15,2.43,0.81,0.4,1.1791362468331,0.4,0.4,0.4,0.4,0.4,,318.3,0.0074467463058244,540.0,0.0389038913985131,0.0003919892924879,0.000339987902571,1.8424452187958127e-06,1.310284916291216e-06,240529905678.1325,130318060351.92937,86382257147.56459,14.279106373770452,0.1064038564213174,3436844562408.554,1862067487373.0557,1234284734487.2827,5.645777041891692e-06,3.0588575304366755e-06,2.02758556303231e-06,3.19442825088128e-06,1.7307273805084337e-06,1.1472250065084473e-06
27,27,0.02,540,100000.0,17.15,2.43,0.81,0.5,1.1791362468331,0.5,0.5,0.5,0.5,0.5,,456.0,0.0106682887698899,540.0,0.0367668549955851,0.0004066406779177,0.0003728440434386,-3.5135487101418825e-06,-6.16023404962059e-06,344585727267.44714,186695053473.07507,123752149730.72404,15.605274564266768,0.1664584223824007,5376607042951.547,2913022391692.014,1930917699635.8496,8.088200851720427e-06,4.3821521642448135e-06,2.904740863156562e-06,4.576372235004284e-06,2.479458641256191e-06,1.6435268707755326e-06
28,28,0.02,540,100000.0,17.15,2.43,0.81,0.6,1.1791362468331,0.6,0.6,0.6,0.6,0.6,,603.9,0.0141284640090713,540.0,0.039213567095578,0.0003685747591952,0.0003897644260631,3.95844862222549e-06,1.934446503484869e-06,456349387493.0072,247248120158.7501,163890182505.22858,13.915109155014813,0.1963748036286317,6342906157204.807,3436559063501.056,2277947722092.128,1.0711544943758697e-05,5.80346862277948e-06,3.846870629956684e-06,6.060682440173437e-06,3.283651476874154e-06,2.1765918360994388e-06
29,29,0.02,540,100000.0,17.15,2.43,0.81,0.7,1.1791362468331,0.7,0.7,0.7,0.7,0.7,,739.6,0.017303215732918,540.0,0.0382728266780304,0.0004020102322772,0.0004204188757978,3.728432309140792e-06,2.9538508414984616e-06,558893868173.2542,302806275326.06647,200717302501.84976,14.227566600793011,0.246335191549232,7956626687040.193,4310865852111.56,2857488221971.092,1.3118494188448309e-05,7.107543290954965e-06,4.711285838575863e-06,7.422554616248177e-06,4.02150791901991e-06,2.665685249178912e-06
30,30,0.02,550,100000.0,17.15,2.43,0.81,0.2,1.18000708146274,0.2,0.2,0.2,0.2,0.2,,103.0,0.0025543000558888,550.0,0.0435122059830032,0.0004500486260555,0.0004280329309401,5.750244122355895e-06,3.8065763906360826e-06,82503891805.21158,44700250978.0558,29629880648.31128,13.056066804606283,0.0334427754938005,1080201648449.7604,585248571141.5111,387936195728.0874,1.963907515519147e-06,1.064036579615637e-06,7.053042470595081e-07,1.119932940292222e-06,6.06774812851823e-07,4.022050188046369e-07
31,31,0.02,550,100000.0,17.15,2.43,0.81,0.3,1.18000708146274,0.3,0.3,0.3,0.3,0.3,,200.0,0.0049598059337648,550.0,0.0378343186245614,0.0003933780305661,0.0003980907629545,2.8823214462481224e-07,2.384554684801656e-06,160201731660.60498,86796603840.88504,57533748831.67238,15.462336499167389,0.0769276749828509,2484763901946.087,1346234312199.8926,892361029801.0715,3.81341265149349e-06,2.0660904458556057e-06,1.3695228098242874e-06,2.174627068528586e-06,1.178203520100627e-06,7.8098061903813e-07
32,32,0.02,550,100000.0,17.15,2.43,0.81,0.4,1.18000708146274,0.4,0.4,0.4,0.4,0.4,,329.9,0.008181199887745,550.0,0.0376929662649558,0.000379715777449,0.000386551210399,5.487597983702995e-07,-2.4921516475191305e-06,264252756374.1679,143170998035.53992,94901918697.8436,15.807445843148733,0.1283489143003072,4145669931899.924,2246106000255.3765,1488847405883.564,6.290224168638511e-06,3.4080161904388222e-06,2.2590278748051616e-06,3.5870473495379035e-06,1.9434467064059843e-06,1.288227531103395e-06
33,33,0.02,550,100000.0,17.15,2.43,0.81,0.5,1.18000708146274,0.5,0.5,0.5,0.5,0.5,,460.9,0.011429872774361,550.0,0.0385706211432079,0.0003591320627031,0.000404296857705,4.674505487488329e-06,5.172824267028797e-06,369184890611.8642,200022773551.3196,132586524182.589,14.581399004010922,0.1672845119817713,5403289737011.216,2927478959680.999,1940500338988.548,8.788009455366748e-06,4.7613054324742434e-06,3.1560653152400705e-06,5.011428079424126e-06,2.7151700120718952e-06,1.7997698365733703e-06
34,34,0.02,550,100000.0,17.15,2.43,0.81,0.6,1.18000708146274,0.6,0.6,0.6,0.6,0.6,,600.0,0.0148794178012945,550.0,0.0394466869277948,0.0004209160323479,0.0004466343911807,-3.1142905966426885e-06,-2.3359921492724176e-06,480605194981.8149,260389811522.6552,172601246495.01715,14.194675775980167,0.2113676726397828,6827175826264.986,3698934271196.2,2451865002621.481,1.144023795448047e-05,6.198271337566818e-06,4.108568429472863e-06,6.523881205585758e-06,3.534610560301881e-06,2.34294185711439e-06
35,35,0.02,550,100000.0,17.15,2.43,0.81,0.7,1.18000708146274,0.7,0.7,0.7,0.7,0.7,,724.0,0.0179544974802287,550.0,0.0401698185881286,0.0004179807755248,0.0003931943161193,-2.7058752961680297e-06,4.59195267801052e-06,579930268611.39,314203705904.0039,208272170770.654,13.881613556902408,0.2494697622024185,8057873319138.119,4365720838542.324,2893849241548.0547,1.3804553798406434e-05,7.479247413997293e-06,4.957672571563921e-06,7.87214998807348e-06,4.265096742764271e-06,2.8271498409180304e-06
36,36,0.02,560,100000.0,17.15,2.43,0.81,0.2,1.18089388467086,0.2,0.2,0.2,0.2,0.2,,96.9,0.002680501733232,560.0,0.0378659011368998,0.0004420949489784,0.0004409972258052,2.0959586665131297e-06,-2.325824393174804e-06,86580205983.39503,46908780331.56077,31093820105.49171,23.630669096875465,0.0648422198437465,2094403700953.016,1134738847265.566,752169750187.4607,2.099886924422589e-06,1.137709633975087e-06,7.54138957377772e-07,1.2003139550152988e-06,6.50324898228103e-07,4.310725039683426e-07
37,37,0.02,560,100000.0,17.15,2.43,0.81,0.3,1.18089388467086,0.3,0.3,0.3,0.3,0.3,,203.0,0.0056154989870598,560.0,0.0361943005688089,0.0003878979745285,0.0003486067653176,-1.599853886016262e-06,1.3781285153526306e-06,181380617282.03497,98271232273.54836,65139788249.89492,17.59521179735115,0.0990692532925605,3199936881349.706,1733711932619.8096,1149203338193.7024,4.399143918037003e-06,2.38343710729559e-06,1.5798783111216478e-06,2.514589606481999e-06,1.3623937496419495e-06,9.030724283340924e-07
38,38,0.02,560,100000.0,17.15,2.43,0.81,0.4,1.18089388467086,0.4,0.4,0.4,0.4,0.4,,316.8,0.0087634979266037,560.0,0.0416307867083446,0.0003818353854879,0.0004030906119196,-3.213906150773031e-06,5.796161016759365e-06,283060983029.30383,153361213715.5671,101656575948.60446,13.821851270220174,0.1200551957650005,3877782823209.521,2100965925887.511,1392640270874.007,6.865264991301097e-06,3.7195708157204088e-06,2.4655440835632425e-06,3.924246243022154e-06,2.1261396053525595e-06,1.409326824119411e-06
39,39,0.02,560,100000.0,17.15,2.43,0.81,0.5,1.18089388467086,0.5,0.5,0.5,0.5,0.5,,454.9,0.0125836969911997,560.0,0.0429262698499996,0.0004101519434541,0.0003948866993521,5.851203791002027e-06,-6.031682448153762e-06,406453412815.7523,220214697345.9958,145970885097.91724,13.565335834288245,0.1701354881097821,5495376265945.966,2977371041921.1885,1973571662073.4736,9.857983095147944e-06,5.341012512851052e-06,3.540328294232698e-06,5.63491040388503e-06,3.052970033064645e-06,2.0236829933457074e-06
40,40,0.02,560,100000.0,17.15,2.43,0.81,0.6,1.18089388467086,0.6,0.6,0.6,0.6,0.6,,578.8,0.0160110877522673,560.0,0.0433158514833393,0.0004000546299687,0.0004446269588725,1.02678149515689e-06,-1.8491796943703563e-06,517158134398.2357,280194035664.6787,185728617926.30133,13.082428157872965,0.2087277024578133,6741904789387.37,3652734793011.733,2421241348510.6343,1.2542977831329148e-05,6.795731023165948e-06,4.504598849641427e-06,7.169677163703353e-06,3.884500011294386e-06,2.574868578915136e-06
41,41,0.02,560,100000.0,17.15,2.43,0.81,0.7,1.18089388467086,0.7,0.7,0.7,0.7,0.7,,701.5,0.019405283445431,560.0,0.0439879905895508,0.0004063850557202,0.000374457830888,5.755313140181198e-06,2.4131347685507206e-06,626790655287.4263,339592460295.0452,225101287967.00137,12.86343002747238,0.2497786653871055,8067850892003.51,4371126644274.346,2897432518490.425,1.5201967775876636e-05,8.236360250087962e-06,5.459530222915449e-06,8.689579354419319e-06,4.707976430412944e-06,3.1207158053022943e-06
42,42,0.02,570,100000.0,17.15,2.43,0.81,0.2,1.18169303123046,0.2,0.2,0.2,0.2,0.2,,92.3,0.0026836245795591,570.0,0.0489862017572527,0.000473577477605,0.0005151845161916,-9.77097885934545e-06,-1.2515334579673787e-05,86681073919.76323,46963430142.28659,31130045122.887108,11.678711013281234,0.0314535232073348,1015948799596.9156,550436656128.3596,364860869205.0842,2.1405874552023505e-06,1.1597610051405926e-06,7.687558662646212e-07,1.226293886994531e-06,6.644007127679349e-07,4.404027581776026e-07
43,43,0.02,570,100000.0,17.15,2.43,0.81,0.3,1.18169303123046,0.3,0.3,0.3,0.3,0.3,,178.1,0.0051782615126705,570.0,0.0395103580304862,0.0003474427911646,0.0003713601251976,-3.601985709818875e-06,1.857079274539039e-06,167257846859.2614,90619576471.73608,60067833546.97935,16.047657007495374,0.0831717149631354,2686446393309.277,1455505011854.8716,964791893572.3718,4.130429314967915e-06,2.237848700060017e-06,1.4833739954683536e-06,2.366229049552828e-06,1.2820126429465789e-06,8.497912376103035e-07
44,44,0.02,570,100000.0,17.15,2.43,0.81,0.4,1.18169303123046,0.4,0.4,0.4,0.4,0.4,,273.0,0.0079374811508089,570.0,0.0411061893272858,0.0003762847551882,0.0003499331662445,-7.137691208197213e-06,-2.1855122050139957e-06,256380641171.1307,138905920139.1575,92074781349.3844,14.004232617613075,0.1111196005701276,3589163098415.1226,1944593009977.2336,1288987366613.4805,6.33131500834498e-06,3.4302790292890763e-06,2.2737849565573305e-06,3.627066426321853e-06,1.96512886875023e-06,1.3025997072858668e-06
45,45,0.02,570,100000.0,17.15,2.43,0.81,0.5,1.18169303123046,0.5,0.5,0.5,0.5,0.5,,375.2,0.0109089484534195,570.0,0.0416915223395789,0.0003731546502035,0.0004292338563432,-3.7192746373173823e-06,-4.15362689049601e-07,352359035045.4515,190906597934.8421,126543802059.66676,13.97114345817829,0.152654753455719,4930748536619.726,2671458185475.083,1770795140086.341,8.701499601212587e-06,4.714434768458833e-06,3.124996760806998e-06,4.984891293611572e-06,2.7007924965387777e-06,1.7902395977057038e-06
46,46,0.02,570,100000.0,17.15,2.43,0.81,0.6,1.18169303123046,0.6,0.6,0.6,0.6,0.6,,441.5,0.0128366224471873,570.0,0.0410889067626043,0.0003697307249454,0.0004231226381654,9.740807982191733e-07,-1.2061707902035328e-06,414622905044.15466,224640892825.7804,148904820387.37442,14.233248245649769,0.1822273437339521,5885943202606.657,3188978515344.164,2113837187313.8457,1.0239104674667798e-05,5.547502532714751e-06,3.677201678828064e-06,5.8657502828611645e-06,3.178038078949548e-06,2.106585240903701e-06
47,47,0.02,570,100000.0,17.15,2.43,0.81,0.7,1.18169303123046,0.7,0.7,0.7,0.7,0.7,,518.6,0.0150783066842839,570.0,0.0458882308502097,0.0004007294030334,0.0004211707323989,-4.0525600308473176e-06,-3.979112528203337e-06,487029305902.3751,263870366974.971,174908357537.69507,12.58811801562906,0.1900006733813158,6137021750216.502,3325011784173.028,2204007811223.264,1.2027179352848743e-05,6.516273643184303e-06,4.319358529196453e-06,6.890097614250964e-06,3.733025023200986e-06,2.474462301093225e-06
48,48,0.02,580,100000.0,17.15,2.43,0.81,0.2,1.18256256858225,0.2,0.2,0.2,0.2,0.2,,78.8,0.0025318574757102,580.0,0.0471619310421016,0.0004399751597025,0.0004786241400757,-2.1767315170750058e-06,7.40187067163541e-06,81778996465.44211,44307505824.92994,29369546718.23927,12.46088246226669,0.0318786769951591,1029681266943.6432,557876847415.2866,369792653143.8472,2.055797047611393e-06,1.113821929820414e-06,7.383048220523887e-07,1.1772012907259658e-06,6.37802556894873e-07,4.2277198057031597e-07
49,49,0.02,580,100000.0,17.15,2.43,0.81,0.3,1.18256256858225,0.3,0.3,0.3,0.3,0.3,,165.0,0.0053014782169059,580.0,0.0414768569271131,0.000358962316788,0.0004201076010823,3.0978017878218534e-07,9.006180660011988e-07,171237746406.06534,92775868795.85583,61497147316.11013,14.255121867686151,0.0755509393570453,2440295341232.5654,1322141438748.2942,876390896541.7264,4.304651178374108e-06,2.332241350512288e-06,1.5459428380538595e-06,2.4649519412409184e-06,1.3355002777621071e-06,8.852458984023109e-07
