,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.1294885684126728,,0.0025,3.2675,9.526947536068652e-05,25.0,0.0014697089064023,9.856883277730247e-06,6.725160658321749e-06,-1.551614975590088e-07,-5.534431299854699e-08,2318027232.415964,1383312782.237198,1002234880.7944436,768538857.7346747,604294282.2128475,481777736.899002,0.0854980558079842,0.0001629335290579,3964379524.5024567,2365794841.92168,1714060725.6898117,1314384778.910619,1033487374.8146842,823954856.446139,5.0299137104995326e-08,3.0016661719854846e-08,2.174760890446784e-08,1.667661226543176e-08,1.3112650501999951e-08,1.045415002185303e-08,2.812648314391616e-08,1.6784843209890484e-08,1.2160919460609356e-08,9.325298221362708e-09,7.332387085422543e-09,5.845795600028662e-09
1,1,0.02,550,100000.0,17.15,2.43,0.81,1.1425135597881149,,0.00275,7.0200000000000005,0.0002431343870615,27.5,0.0017834119573951,6.609404730131794e-06,4.863199440928801e-06,-1.0384362663351649e-07,5.48974769355834e-08,5848245281.868544,3530311300.133802,2557773751.887574,1961365100.4255764,1542201417.1314533,1229530595.3702912,0.1009120936479228,0.0004780872277752,11499695324.670725,6941826547.297241,5029477636.196074,3856729666.463281,3032507285.778678,2417687110.859652,1.392105585610147e-07,8.40348829946588e-08,6.088477748648833e-08,4.6687975283602793e-08,3.671027980958132e-08,2.9267520888704523e-08,7.93858615728892e-08,4.7921520161015686e-08,3.4719999455501734e-08,2.6624166882845292e-08,2.0934311458768768e-08,1.669002255194603e-08
2,2,0.02,600,100000.0,17.15,2.43,0.81,1.1557988681578968,,0.003,6.3925,0.000246234422893,30.0,0.0018878298647925,7.015349393227299e-06,4.941788809976336e-06,9.861069808706499e-08,5.332123431341613e-08,5847402571.915743,3575323820.406732,2590386128.8346286,1986373089.478037,1561864944.410461,1245207476.5700302,0.0872334811341864,0.0004249120471361,10090513617.347277,6169722924.416441,4470074735.871966,3427765484.2470694,2695217114.9844003,2148780222.3673515,1.522207977491548e-07,9.30735719766877e-08,6.743346950377098e-08,5.170967666225478e-08,4.065879249642768e-08,3.2415499551384964e-08,8.687723432232758e-08,5.312003774385431e-08,3.848641853067132e-08,2.9512351548186825e-08,2.320526166730496e-08,1.850055309026662e-08
3,3,0.02,650,100000.0,17.15,2.43,0.81,1.168561793729866,,0.0032499999999999,7.7325,0.0003051039996105,32.5,0.0020851453295205,6.299847070620081e-06,5.3270633427984814e-06,-4.854279999823525e-09,-3.7126280902358136e-08,7144221347.71594,4430110074.344928,3209694075.902799,2461273964.858163,1935274669.5296056,1542910926.0304615,0.0840347316514096,0.0005159291934743,12080839197.894638,7491291889.247618,5427575115.350203,4162000803.757614,3272538874.2078266,2609053931.399808,2.018129794131903e-07,1.251436188378703e-07,9.066879271173525e-08,6.952710558988288e-08,5.4668455529518676e-08,4.3584798929966265e-08,1.1458970725860869e-07,7.105673128463412e-08,5.1481874181429134e-08,3.947759306288867e-08,3.104082965140732e-08,2.474751309272691e-08
4,4,0.02,700,100000.0,17.15,2.43,0.81,1.1816434119664396,,0.0035,8.6675,0.0003104105282912,35.0,0.0021911906767803,7.6706081747705e-06,4.759505743053408e-06,-1.201670387146675e-07,-6.99855938172738e-08,7155937267.852074,4507160870.789618,3265518757.624433,2504081731.7258844,1968933980.95169,1569746041.5690837,0.0842267547945874,0.0005251155630469,12105562424.772526,7624677975.441928,5524215723.254069,4236107247.099864,3330808016.406898,2655509402.3285003,2.179743639811443e-07,1.372909637686019e-07,9.946976162849119e-08,7.62759094160683e-08,5.997497129368057e-08,4.7815454805634974e-08,1.240646485096348e-07,7.814201107142134e-08,5.66152862583576e-08,4.341402226674626e-08,3.41360038723158e-08,2.721516184491581e-08
5,5,0.02,750,100000.0,17.15,2.43,0.81,1.1948713752184863,,0.0037499999999999,9.675,0.0002397470869138,37.5,0.0019760976109387,7.282643244404062e-06,4.878479542366015e-06,8.117241331582466e-08,5.792556099431594e-08,5432684104.088452,3481127701.988887,2522139354.333546,1934039750.1339085,1520715772.2944565,1212401018.5232644,0.1070199730958732,0.0005078646315481,11508244568.710884,7374194450.079208,5342735923.886589,4096943982.6989655,3221385357.909945,2568271441.7390194,1.7748598542757737e-07,1.1372856745374937e-07,8.239838358219307e-08,6.318514832296117e-08,4.96818390743204e-08,3.960918495961504e-08,1.0034269779426152e-07,6.429708377872136e-08,4.658438852287527e-08,3.5722078157227644e-08,2.808790650195796e-08,2.239327497720344e-08
6,6,0.02,800,100000.0,17.15,2.43,0.81,1.2081915211478749,,0.004,10.7325,6.277477036902276e-05,40.0,0.0025458183411001,7.501981596424045e-06,5.43508590519352e-06,-1.790829074863229e-07,-8.814393783874623e-08,1395780609.5273182,911489665.7582432,660390584.2821431,506404072.5669248,398180368.4507257,317452013.7561595,0.0819021439307161,0.0001028773220716,2287450363.633824,1493778716.4798398,1082269428.1933825,829911357.1517123,652550853.9002497,520250617.7161536,4.8675996976002486e-08,3.1786992820548566e-08,2.3030245487064105e-08,1.766017018480476e-08,1.3886012084072965e-08,1.1070717816357718e-08,2.7295192465798756e-08,1.7824639264678714e-08,1.2914270321241053e-08,9.902986566677906e-09,7.786617552056275e-09,6.2079339367410646e-09
7,7,0.02,850,100000.0,17.15,2.43,0.81,1.225131389594826,,0.0042499999999999,11.7825,0.0001137668998262,42.5,0.002604464613714,7.320541104048316e-06,4.915589115293987e-06,5.175879634740395e-08,9.672870344289364e-09,2478724472.3746142,1651895385.4774237,1196827786.1723478,917757580.8985106,721623445.5980234,575319212.4214417,0.842842448158744,0.0018029007499595,39281146071.5879,26178118889.413197,18966515889.57485,14544000349.923986,11435799456.99366,9117269092.545631,9.19022528309804e-08,6.124638258847687e-08,4.437410088366228e-08,3.402717412818475e-08,2.6755220713409683e-08,2.1330782145311802e-08,5.103196229050924e-08,3.4009210769114384e-08,2.4640282182581494e-08,1.88947867268902e-08,1.4856778506094529e-08,1.1844667965524204e-08
8,8,0.02,900,100000.0,17.15,2.43,0.81,1.2339391645767503,,0.0045,12.77,0.0001451266135421,45.0,0.0028476767658207,7.40387522063425e-06,4.941276091510311e-06,8.629576900308728e-08,-9.718453856375157e-09,3091427126.3528814,2107238428.6315763,1526731974.463098,1170736391.444279,920538109.6976646,733905284.6824987,0.0915891735048721,0.0002662345913927,5671219204.506073,3865726267.022621,2800787901.451652,2147714448.765254,1688726013.204166,1346348328.673099,1.2143270179273046e-07,8.277330994765652e-08,5.997074522378419e-08,4.5987072406869513e-08,3.615916701088053e-08,2.8828142452155578e-08,6.648602129049973e-08,4.5319489447400855e-08,3.2834781610651306e-08,2.5178534529764654e-08,1.97976254521256e-08,1.5783791882610618e-08
9,9,0.02,950,100000.0,17.15,2.43,0.81,1.2438372185643578,,0.0047499999999999,14.1375,0.0002427982866406,47.5,0.0032381265336272,7.458144769589082e-06,5.09815649118645e-06,-8.295840814851429e-08,3.4616975652600015e-08,5047462969.339381,3525431122.021722,2554237975.459264,1958653778.329837,1540069532.1614175,1227830935.5415874,0.0748778566026439,0.0003627904648051,7541945464.565692,5267717548.971025,3816555689.7503576,2926630679.5832825,2301179918.259176,1834631380.5197303,2.0937371151773106e-07,1.4623833858743778e-07,1.0595229489943841e-07,8.124687860777279e-08,6.388359377824504e-08,5.093163073255323e-08,1.1263314617177009e-07,7.8669304024067e-08,5.6997319444434214e-08,4.3706974900974415e-08,3.436634954715269e-08,2.7398806504800743e-08
