Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor
0,0.02,500,10000.0,17.15,2.43,0.81,1.132207708766776
1,0.02,510,10000.0,17.15,2.43,0.81,1.134734428137802
2,0.02,520,10000.0,17.15,2.43,0.81,1.1371251937425453
3,0.02,530,10000.0,17.15,2.43,0.81,1.1396961390385214
4,0.02,540,10000.0,17.15,2.43,0.81,1.1421032315621116
5,0.02,550,10000.0,17.15,2.43,0.81,1.1446849391252194
6,0.02,560,10000.0,17.15,2.43,0.81,1.1470719240942415
7,0.02,570,10000.0,17.15,2.43,0.81,1.1496258456588988
8,0.02,580,10000.0,17.15,2.43,0.81,1.1519513659104534
9,0.02,590,10000.0,17.15,2.43,0.81,1.1544339730283155
10,0.02,600,10000.0,17.15,2.43,0.81,1.1570811972818376
11,0.02,610,10000.0,17.15,2.43,0.81,1.1594574070393264
12,0.02,620,10000.0,17.15,2.43,0.81,1.161985984354807
13,0.02,630,10000.0,17.15,2.43,0.81,1.1642034075198844
14,0.02,640,10000.0,17.15,2.43,0.81,1.1665588848071584
15,0.02,650,10000.0,17.15,2.43,0.81,1.1690582049414966
16,0.02,660,10000.0,17.15,2.43,0.81,1.1711961460005302
17,0.02,670,10000.0,17.15,2.43,0.81,1.1739866608376612
18,0.02,680,10000.0,17.15,2.43,0.81,1.1763985939537458
19,0.02,690,10000.0,17.15,2.43,0.81,1.178948889451767
20,0.02,700,10000.0,17.15,2.43,0.81,1.1816434119664396
21,0.02,710,10000.0,17.15,2.43,0.81,1.1844885304175683
22,0.02,720,10000.0,17.15,2.43,0.81,1.1868845751170944
23,0.02,730,10000.0,17.15,2.43,0.81,1.1894102416047256
24,0.02,740,10000.0,17.15,2.43,0.81,1.1920706597760105
25,0.02,750,10000.0,17.15,2.43,0.81,1.1948713752184863
26,0.02,760,10000.0,17.15,2.43,0.81,1.1971449744787888
27,0.02,770,10000.0,17.15,2.43,0.81,1.2002248790949313
28,0.02,780,10000.0,17.15,2.43,0.81,1.2027528561911225
29,0.02,790,10000.0,17.15,2.43,0.81,1.205406795062256
30,0.02,800,10000.0,17.15,2.43,0.81,1.2081915211478749
31,0.02,810,10000.0,17.15,2.43,0.81,1.21111222038318
32,0.02,820,10000.0,17.15,2.43,0.81,1.2141744627673512
33,0.02,830,10000.0,17.15,2.43,0.81,1.216577539692153
34,0.02,840,10000.0,17.15,2.43,0.81,1.2199181257968412
35,0.02,850,10000.0,17.15,2.43,0.81,1.225131389594826
36,0.02,860,10000.0,17.15,2.43,0.81,1.2270854739722483
37,0.02,870,10000.0,17.15,2.43,0.81,1.2291293841506865
38,0.02,880,10000.0,17.15,2.43,0.81,1.2303568559527955
39,0.02,890,10000.0,17.15,2.43,0.81,1.2316484350560246
40,0.02,900,10000.0,17.15,2.43,0.81,1.2339391645767503
41,0.02,910,10000.0,17.15,2.43,0.81,1.2353751421474406
42,0.02,920,10000.0,17.15,2.43,0.81,1.2378459593338642
43,0.02,930,10000.0,17.15,2.43,0.81,1.2394325836814508
44,0.02,940,10000.0,17.15,2.43,0.81,1.2420927666865087
45,0.02,950,10000.0,17.15,2.43,0.81,1.2438372185643578
46,0.02,960,10000.0,17.15,2.43,0.81,1.2456553214920838
47,0.02,970,10000.0,17.15,2.43,0.81,1.248607695195856
48,0.02,980,10000.0,17.15,2.43,0.81,1.250595615161144
49,0.02,990,10000.0,17.15,2.43,0.81,1.25266275865464
50,0.02,1000,10000.0,17.15,2.43,0.81,1.2548110036432727
51,0.02,1010,10000.0,17.15,2.43,0.81,1.2581839125345742
52,0.02,1020,10000.0,17.15,2.43,0.81,1.259358879746124
53,0.02,1030,10000.0,17.15,2.43,0.81,1.2617628504126932
54,0.02,1040,10000.0,17.15,2.43,0.81,1.2642566117790308
55,0.02,1050,10000.0,17.15,2.43,0.81,1.265621692098661
56,0.02,1060,10000.0,17.15,2.43,0.81,1.268278918030988
57,0.02,1070,10000.0,17.15,2.43,0.81,1.2697722552271808
58,0.02,1080,10000.0,17.15,2.43,0.81,1.2726006895998
59,0.02,1090,10000.0,17.15,2.43,0.81,1.2742277512898723
60,0.02,1100,10000.0,17.15,2.43,0.81,1.2772359716415136
61,0.02,1110,10000.0,17.15,2.43,0.81,1.2790028881297952
62,0.02,1120,10000.0,17.15,2.43,0.81,1.2808327649365188
63,0.02,1130,10000.0,17.15,2.43,0.81,1.2827267662042796
64,0.02,1140,10000.0,17.15,2.43,0.81,1.2860935644012992
65,0.02,1150,10000.0,17.15,2.43,0.81,1.2881404145939348
66,0.02,1160,10000.0,17.15,2.43,0.81,1.2902559216101106
67,0.02,1170,10000.0,17.15,2.43,0.81,1.2924415389592534
68,0.02,1180,10000.0,17.15,2.43,0.81,1.2946987935982417
69,0.02,1190,10000.0,17.15,2.43,0.81,1.2970292885372767
70,0.02,1200,10000.0,17.15,2.43,0.81,1.2978919623625709
71,0.02,1210,10000.0,17.15,2.43,0.81,1.300348967189501
72,0.02,1220,10000.0,17.15,2.43,0.81,1.302883708455963
73,0.02,1230,10000.0,17.15,2.43,0.81,1.3054980940680712
74,0.02,1240,10000.0,17.15,2.43,0.81,1.3065588553520544
75,0.02,1250,10000.0,17.15,2.43,0.81,1.3093104754810685
76,0.02,1260,10000.0,17.15,2.43,0.81,1.3121471116557526
77,0.02,1270,10000.0,17.15,2.43,0.81,1.313362205718772
78,0.02,1280,10000.0,17.15,2.43,0.81,1.3163451361427545
79,0.02,1290,10000.0,17.15,2.43,0.81,1.3176623432038903
80,0.02,1300,10000.0,17.15,2.43,0.81,1.320797754381538
81,0.02,1310,10000.0,17.15,2.43,0.81,1.32222080129718
82,0.02,1320,10000.0,17.15,2.43,0.81,1.3255154137881726
83,0.02,1330,10000.0,17.15,2.43,0.81,1.327048404262545
84,0.02,1340,10000.0,17.15,2.43,0.81,1.3286279767482978
85,0.02,1350,10000.0,17.15,2.43,0.81,1.3302547444368489
86,0.02,1360,10000.0,17.15,2.43,0.81,1.333852740883571
