Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
142,1000000.0,860,17.15,2.43,0.81
143,1000000.0,865,17.15,2.43,0.81
144,1000000.0,870,17.15,2.43,0.81
145,1000000.0,875,17.15,2.43,0.81
146,1000000.0,880,17.15,2.43,0.81
147,1000000.0,885,17.15,2.43,0.81
148,1000000.0,890,17.15,2.43,0.81
149,1000000.0,895,17.15,2.43,0.81
150,1000000.0,900,17.15,2.43,0.81
151,1000000.0,905,17.15,2.43,0.81
152,1000000.0,910,17.15,2.43,0.81
153,1000000.0,915,17.15,2.43,0.81
154,1000000.0,920,17.15,2.43,0.81
155,1000000.0,925,17.15,2.43,0.81
156,1000000.0,930,17.15,2.43,0.81
157,1000000.0,935,17.15,2.43,0.81
158,1000000.0,940,17.15,2.43,0.81
159,1000000.0,945,17.15,2.43,0.81
160,1000000.0,950,17.15,2.43,0.81
161,1000000.0,955,17.15,2.43,0.81
162,1000000.0,960,17.15,2.43,0.81
163,1000000.0,965,17.15,2.43,0.81
164,1000000.0,970,17.15,2.43,0.81
165,1000000.0,975,17.15,2.43,0.81
166,1000000.0,980,17.15,2.43,0.81
167,1000000.0,985,17.15,2.43,0.81
168,1000000.0,990,17.15,2.43,0.81
169,1000000.0,995,17.15,2.43,0.81
170,1000000.0,1000,17.15,2.43,0.81
171,1000000.0,1005,17.15,2.43,0.81
172,1000000.0,1010,17.15,2.43,0.81
173,1000000.0,1015,17.15,2.43,0.81
174,1000000.0,1020,17.15,2.43,0.81
175,1000000.0,1025,17.15,2.43,0.81
176,1000000.0,1030,17.15,2.43,0.81
177,1000000.0,1035,17.15,2.43,0.81
178,1000000.0,1040,17.15,2.43,0.81
179,1000000.0,1045,17.15,2.43,0.81
180,1000000.0,1050,17.15,2.43,0.81
181,1000000.0,1055,17.15,2.43,0.81
182,1000000.0,1060,17.15,2.43,0.81
183,1000000.0,1065,17.15,2.43,0.81
184,1000000.0,1070,17.15,2.43,0.81
185,1000000.0,1075,17.15,2.43,0.81
186,1000000.0,1080,17.15,2.43,0.81
187,1000000.0,1085,17.15,2.43,0.81
