,Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
10,10,301.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75680.0,75.68,1000.0,0.0997931627026673,0.1281501384812273,0.4300157818292582,-0.0007255087095524,-0.0004923460418719,2315808000000000.0,1324400000000000.0,877888000000000.0,1.0020726600072685,75.83685890935008,2320607882626112.0,1327145030913626.2,879707563348460.9,0.1011512728515711,0.0578479501602122,0.0383449269633407,0.0532985958476123,0.0304812231154645,0.0202046964651079
11,11,301.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46551.0,46.551,1000.0,0.0997955538521182,0.127637957231308,0.5106248544535625,-0.0005990891198591,5.5801182342794336e-05,1424460599999999.8,814642499999999.9,539991600000000.0,1.0020486498645491,46.64636669984463,1427378821015245.5,816311417247281.0,541097853718197.6,0.0622184580141845,0.0355824514787003,0.0235860821230242,0.0327841296947965,0.0187490937797038,0.0124279707339751
12,12,301.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90183.0,90.183,1000.0,0.0998331529303868,0.1262750494183446,0.0956868690806214,0.0002636754067937,-0.0001429885679716,2759599800000000.0,1578202500000000.0,1046122800000000.0,1.0016712591430372,90.33371916329654,2764211806396874.0,1580840085357689.2,1047871142294239.6,0.1205354814954181,0.0689336903977064,0.0456931890636225,0.0635125167722677,0.0363225177619178,0.0240766403450426
13,13,301.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89801.0,89.801,1000.0,0.0957743938739668,0.1397250086291069,0.2241312024532251,0.0001878288423256,0.0005134969024689,2747910600000000.0,1571517500000000.0,1041691600000000.0,1.0441204162732038,93.76305750174998,2869149559553549.0,1640853506280624.8,1087651467020300.0,0.1200249134955595,0.0686416988945193,0.0454996404100813,0.0632434884475612,0.0361686616938667,0.023974655751363
14,14,301.5,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75647.0,75.64699999999999,1000.0,0.0994059776185167,0.1283823990533802,0.4209055793047497,-0.0010836871252883,-0.0003230936038835,2314798199999999.5,1323822499999999.8,877505199999999.9,1.0059757209346392,76.09904536154264,2328630788063204.5,1331733293826996.0,882748926193894.5,0.1011071661918975,0.05782272576334,0.0383282067916997,0.0532753551808182,0.0304679318844548,0.0201958862776958
15,15,301.5,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46688.0,46.688,1000.0,0.0998884239425024,0.1396233037505076,0.4956427756547882,-0.0013615386940323,-0.0008653920506018,1428652800000000.0,817040000000000.0,541580800000000.0,1.0011170068872226,46.740150817550656,1430248615017050.0,817952639307136.5,542185749483587.5,0.0624015674801024,0.035687170944503,0.0236554961689277,0.0328806136751231,0.0188042725266227,0.0124645463605042
16,16,302.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90029.0,90.029,1000.0,0.0999047895932108,0.1438358858880919,0.0962164444688358,0.0003428757546494,-0.0001213241297465,2754887400000000.0,1575507499999999.8,1044336400000000.0,1.000953011433955,90.11479866638751,2757512839191458.5,1577008976661781.8,1045331664530095.2,0.120329650416941,0.0688159765456362,0.0456151615959645,0.0634040603272289,0.036260492017206,0.0240355261371194
17,17,302.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89648.0,89.64800000000001,1000.0,0.0999311012373027,0.1344795411350435,0.2135267733863594,0.000205616504961,-0.0002166289639777,2743228800000000.0,1568840000000000.0,1039916800000000.0,1.0006894626582132,89.70980894838351,2745120153820535.5,1569921656596711.2,1040633783801248.8,0.1198204189825271,0.0685247494181119,0.0454221196142913,0.0631357362651525,0.036107038713731,0.023933808518816
18,18,302.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75502.0,75.50200000000001,1000.0,0.0999278025853982,0.1332373557953876,0.4118687201451501,-0.0004510307247011,-0.0001126730309269,2310361200000000.5,1321285000000000.2,875823200000000.1,1.0007224957692835,75.55654987557247,2312030426192517.0,1322239622822518.2,876455978556640.6,0.1009133642024224,0.057711891292235,0.0382547393708529,0.0531732370994506,0.0304095310209276,0.0201571748481577
19,19,302.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,45939.0,45.939,1000.0,0.0998633693619694,0.1367661134482114,0.4842639464034666,-0.0012420735836931,0.0007033519437747,1405733400000000.0,803932500000000.0,532892400000000.0,1.001368175727531,46.001852624747045,1407656690317259.8,805032420933073.4,533621490447065.75,0.061400479962055,0.0351146535730707,0.023275998939864,0.032353120965162,0.0185026018591612,0.0122645818037869
