Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
106,313.0,10.0,10,1000,100000.0,17.15,2.43,0.81
107,313.0,20.0,10,1000,100000.0,17.15,2.43,0.81
108,313.5,2.25,10,1000,100000.0,17.15,2.43,0.81
109,313.5,5.0,10,1000,100000.0,17.15,2.43,0.81
110,313.5,10.0,10,1000,100000.0,17.15,2.43,0.81
111,313.5,20.0,10,1000,100000.0,17.15,2.43,0.81
112,314.0,2.25,10,1000,100000.0,17.15,2.43,0.81
113,314.0,5.0,10,1000,100000.0,17.15,2.43,0.81
114,314.0,10.0,10,1000,100000.0,17.15,2.43,0.81
115,314.0,20.0,10,1000,100000.0,17.15,2.43,0.81
116,314.5,2.25,10,1000,100000.0,17.15,2.43,0.81
117,314.5,5.0,10,1000,100000.0,17.15,2.43,0.81
118,314.5,10.0,10,1000,100000.0,17.15,2.43,0.81
119,314.5,20.0,10,1000,100000.0,17.15,2.43,0.81
120,315.0,2.25,10,1000,100000.0,17.15,2.43,0.81
121,315.0,5.0,10,1000,100000.0,17.15,2.43,0.81
122,315.0,10.0,10,1000,100000.0,17.15,2.43,0.81
123,315.0,20.0,10,1000,100000.0,17.15,2.43,0.81
124,315.5,2.25,10,1000,100000.0,17.15,2.43,0.81
125,315.5,5.0,10,1000,100000.0,17.15,2.43,0.81
126,315.5,10.0,10,1000,100000.0,17.15,2.43,0.81
127,315.5,20.0,10,1000,100000.0,17.15,2.43,0.81
128,316.0,2.25,10,1000,100000.0,17.15,2.43,0.81
129,316.0,5.0,10,1000,100000.0,17.15,2.43,0.81
130,316.0,10.0,10,1000,100000.0,17.15,2.43,0.81
131,316.0,20.0,10,1000,100000.0,17.15,2.43,0.81
132,316.5,2.25,10,1000,100000.0,17.15,2.43,0.81
133,316.5,5.0,10,1000,100000.0,17.15,2.43,0.81
134,316.5,10.0,10,1000,100000.0,17.15,2.43,0.81
135,316.5,20.0,10,1000,100000.0,17.15,2.43,0.81
