,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,0.0006,4547.0,0.4547,150.0,0.0001590536497388,0.0074398336357349,0.0018661871555469,-0.0003453192230765,8.110563124904456e-06,10958270000000.0,7093320000000.0,5729220000000.0,3.7723430143282513,1.7152865300623767,41338405374503.29,26758469868973.08,21612610278785.945,6.68741626769249e-05,4.328783974108002e-05,3.496325517548771e-05,4.341077993281359e-05,2.809992393991253e-05,2.269609241300628e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,0.00062,4148.0,0.4147999999999999,155.0,0.0001435010992167,0.0066892442275559,0.0020709358576603,-0.00035175187779,-7.819477967756297e-06,9996680000000.0,6470880000000.0,5226480000000.0,4.320688016669712,1.7922187304531143,43192471403920.06,27958612195068.586,22581956003709.24,6.327283534185405e-05,4.095669009680178e-05,3.308040353972452e-05,4.0702431556489306e-05,2.634680216934577e-05,2.1280109444471585e-05
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,0.00064,3822.5,0.38225,160.0,0.0001591395841841,0.0070006342500656,0.001888182898174,-0.0003662303400813,1.463525832394249e-06,9212225000000.0,5963100000000.0,4816350000000.0,4.040122478139409,1.5437490950806336,37204353191443.27,24082485883257.883,19451238598015.984,6.016735796314769e-05,3.89465055695064e-05,3.1456792959985934e-05,3.858103410728047e-05,2.497361543873756e-05,2.0170997085134183e-05
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,0.00066,3542.0,0.3541999999999999,165.0,0.0001647818399276,0.006702323058124,0.002070054514535,-0.0003303275555507,1.457903801101566e-05,8536220000000.0,5525520000000.0,4462920000000.0,4.022875334878411,1.4253013436626645,34349762382270.21,22234700961137.56,17958796930149.57,5.735905766429211e-05,3.712868462916833e-05,2.9988552969712884e-05,3.66224628572164e-05,2.3705826579774934e-05,1.914701377597206e-05
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,0.00068,3228.0,0.3228,170.0,0.0001796677942422,0.0067161997670285,0.0019692798506484,-0.0003920164491579,-1.3097937206336762e-05,7766510616978.73,5035680000000.0,4067280000000.0,3.845221674193806,1.2417197155644364,29875555620331.484,19370827562805.203,15645668416111.896,5.386150251348928e-05,3.49229279857264e-05,2.8206980296163628e-05,3.415382112850038e-05,2.2144785794070305e-05,1.7886173141364477e-05
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,0.0007,3081.5,0.30815,175.0,0.000162545445903,0.0066172643752251,0.0020259607997348,-0.0003588420231147,1.3713431523347e-05,7395600000000.0,4807140000000.0,3882690000000.0,4.306498147829812,1.3270716227126398,31849718945103.355,20702317314317.18,16721102446179.258,5.311704003791813e-05,3.4526076024646784e-05,2.7886446019907013e-05,3.320484989437718e-05,2.158315243134517e-05,1.7432546194548024e-05
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,0.00072,2952.5,0.29525,180.0,0.0001910488550719,0.0063597146419835,0.0020336429731014,-0.0003734965792824,-4.270308462626008e-06,7086000000000.001,4605900000000.0,3720150000000.001,3.768677121351388,1.1126952367632028,26704685682316.875,17358045693505.969,14019959983216.36,5.2613174547093e-05,3.4198563455610444e-05,2.7621916637223822e-05,3.2496388525830644e-05,2.112265254178992e-05,1.706060397606109e-05
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,0.00074,2824.5,0.28245,185.0,0.000183683613855,0.0062777580025418,0.0019461496413452,-0.0004281586560917,1.538618927816083e-05,6778800000000.0,4406220000000.0,3558870000000.0,4.046532135151725,1.144381488593902,27465155726253.65,17852351222064.87,14419206756283.164,5.181674642746598e-05,3.368088517785288e-05,2.720379187441964e-05,3.166546382000743e-05,2.0582551483004825e-05,1.6624368505503898e-05
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,0.0007599999999999,2757.5,0.27575,190.0,0.0001878587526817,0.0063438187156835,0.0020375267497659,-0.0003550329114222,2.81614043851446e-06,6618000000000.0,4301700000000.0,3474450000000.0,4.063489823926519,1.121329828503351,26911915884080.43,17492745324652.275,14128755839142.225,5.203340306100269e-05,3.382171198965175e-05,2.731753660702641e-05,3.149988576650674e-05,2.0474925748229377e-05,1.6537440027416035e-05
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,0.00078,2780.5,0.27805,195.0,0.0001801694704823,0.0069227838738331,0.0018206241023673,-0.0003118480069693,-1.1341562201349789e-05,6673200000000.0,4337580000000.0,3503430000000.0,4.32941809151866,1.2039384834241362,28894523602179.266,18781440341416.523,15169624891144.111,5.3985730826152056e-05,3.509072503699884e-05,2.8342508683729823e-05,3.232442617749565e-05,2.1010877015372174e-05,1.6970323743185216e-05
10,10,2,25,3000,1000000.0,200,17.15,2.43,0.81,,0.0008,2745.5,0.2745499999999999,200.0,0.0001857009873873,0.0058962114357473,0.0019198834711457,-0.0003201643795637,1.0334360351658814e-05,6569702808938.234,4282980000000.0,3459330000000.0,4.308034392579247,1.1828123529674182,28303498953694.73,18451872706291.72,14903435647389.469,5.460385370078142e-05,3.559783754680515e-05,2.875209955703493e-05,3.2396102473646694e-05,2.1119959761924715e-05,1.7058429038477656e-05
11,11,2,25,3000,1000000.0,205,17.15,2.43,0.81,,0.00082,2848.0,0.2848,205.0,0.0001904589445586,0.0062568717640678,0.0019397726708157,-0.0003283655926379,2.271491364141533e-06,6806720000000.0,4442880000000.0,3588480000000.0,4.3053903850392565,1.226167972677841,29305414547000.4,19128220373774.32,15449716455740.797,5.8059699725818256e-05,3.789670777082698e-05,3.0608879353360245e-05,3.412086410996123e-05,2.227135900064415e-05,1.7988405346674118e-05
12,12,2,25,3000,1000000.0,210,17.15,2.43,0.81,,0.00084,2778.5,0.27785,210.0,0.0002234253194472,0.006355534415868,0.0020313517580726,-0.0003052046754502,2.521821398704125e-05,6640615000000.0,4334460000000.0,3500910000000.0,3.819041590862151,1.0631448667926164,25409162316343.53,16585059921964.818,13395625321586.969,5.814281405098688e-05,3.795095812533035e-05,3.065269694738221e-05,3.384891224564695e-05,2.2093850670798844e-05,1.7845033234106757e-05
13,13,2,25,3000,1000000.0,215,17.15,2.43,0.81,,0.00086,2854.5,0.28545,215.0,0.0002282359665315,0.0063917092987612,0.0019988073648521,-0.0002207108774588,4.360874762131474e-06,6811855044723.977,4453020000000.0,3596670000000.0,3.768079299685442,1.0756792201263314,25669542554290.777,16780595833970.77,13553558173591.771,6.115603920810835e-05,3.997869360497024e-05,3.2290483296322115e-05,3.538267575348978e-05,2.313022836647716e-05,1.868210752677001e-05
