Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1507.36,644700000000000.0,4522.07,0.0,7536.78,0.0,10551.5,0.0,13566.2,0.0
1488.32,709800000000000.0,4464.95,0.0,7441.58,0.0,10418.2,0.0,13394.8,0.0
1468.75,776800000000000.0,4406.26,0.0,7343.76,0.0,10281.3,0.0,13218.8,0.0
1448.73,845300000000000.0,4346.18,0.0,7243.63,0.0,10141.1,0.0,13038.5,0.0
1428.3,915200000000000.0,4284.89,0.0,7141.48,0.0,9998.07,0.0,12854.7,0.0
1407.52,986200000000000.0,4222.55,0.0,7037.58,0.0,9852.61,0.0,12667.6,0.0
1386.44,1058000000000000.0,4159.33,0.0,6932.21,0.0,9705.1,0.0,12478.0,0.0
1365.13,1131000000000000.0,4095.39,0.0,6825.65,0.0,9555.91,0.0,12286.2,0.0
1343.63,1205000000000000.0,4030.88,0.0,6718.13,0.0,9405.39,0.0,12092.6,0.0
1321.98,1279000000000000.0,3965.95,0.0,6609.91,0.0,9253.87,0.0,11897.8,0.0
1300.24,1353000000000000.0,3900.72,0.0,6501.21,0.0,9101.69,0.0,11702.2,0.0
1278.45,1428000000000000.0,3835.35,0.0,6392.24,0.0,8949.14,0.0,11506.0,0.0
1256.64,1502000000000000.0,3769.93,0.0,6283.22,0.0,8796.5,0.0,11309.8,0.0
1234.86,1577000000000000.0,3704.59,0.0,6174.32,0.0,8644.05,0.0,11113.8,0.0
1213.15,1651000000000000.0,3639.44,0.0,6065.73,0.0,8492.03,0.0,10918.3,0.0
1191.52,1725000000000000.0,3574.57,0.0,5957.61,0.0,8340.66,0.0,10723.7,0.0
1170.02,1798000000000000.0,3510.07,0.0,5850.11,0.0,8190.16,0.0,10530.2,0.0
1148.67,1871000000000000.0,3446.02,0.0,5743.37,0.0,8040.72,0.0,10338.1,0.0
1127.5,1944000000000000.0,3382.51,0.0,5637.52,0.0,7892.53,0.0,10147.5,0.0
1106.53,2016000000000000.0,3319.6,0.0,5532.66,0.0,7745.73,0.0,9958.8,0.0
1085.78,2086000000000000.0,3257.35,0.0,5428.91,0.0,7600.48,0.0,9772.04,0.0
1065.27,2157000000000000.0,3195.81,0.0,5326.35,0.0,7456.9,0.0,9587.44,0.0
1045.01,2226000000000000.0,3135.04,0.0,5225.07,0.0,7315.1,0.0,9405.13,0.0
1025.03,2294000000000000.0,3075.09,0.0,5125.14,0.0,7175.2,0.0,9225.26,0.0
1005.33,2361000000000000.0,3015.98,0.0,5026.63,0.0,7037.28,0.0,9047.93,0.0
985.916,2428000000000000.0,2957.75,0.0,4929.58,0.0,6901.41,0.0,8873.24,0.0
966.809,2493000000000000.0,2900.43,0.0,4834.04,0.0,6767.66,0.0,8701.28,0.0
948.013,2558000000000000.0,2844.04,0.0,4740.06,0.0,6636.09,0.0,8532.12,0.0
929.534,2622000000000000.0,2788.6,0.0,4647.67,0.0,6506.74,0.0,8365.81,0.0
911.378,2684000000000000.0,2734.13,0.0,4556.89,0.0,6379.64,0.0,8202.4,0.0
893.548,2745000000000000.0,2680.64,0.0,4467.74,0.0,6254.83,0.0,8041.93,0.0
876.047,2805000000000000.0,2628.14,0.0,4380.24,0.0,6132.33,0.0,7884.42,0.0
858.878,2863000000000000.0,2576.63,0.0,4294.39,0.0,6012.14,0.0,7729.9,0.0
842.04,2921000000000000.0,2526.12,0.0,4210.2,0.0,5894.28,0.0,7578.36,0.0
825.535,2977000000000000.0,2476.61,0.0,4127.68,0.0,5778.75,0.0,7429.82,0.0
809.362,3032000000000000.0,2428.09,0.0,4046.81,0.0,5665.53,0.0,7284.26,0.0
793.519,3087000000000000.0,2380.56,0.0,3967.59,0.0,5554.63,0.0,7141.67,0.0
778.004,3140000000000000.0,2334.01,0.0,3890.02,0.0,5446.03,0.0,7002.04,0.0
762.815,3191000000000000.0,2288.45,0.0,3814.08,0.0,5339.71,0.0,6865.34,0.0
747.949,3242000000000000.0,2243.85,0.0,3739.75,0.0,5235.65,0.0,6731.55,0.0
733.403,3292000000000000.0,2200.21,0.0,3667.02,0.0,5133.82,0.0,6600.63,0.0
719.173,3341000000000000.0,2157.52,0.0,3595.86,0.0,5034.21,0.0,6472.56,0.0
705.254,3388000000000000.0,2115.76,0.0,3526.27,0.0,4936.78,0.0,6347.29,0.0
691.643,3435000000000000.0,2074.93,0.0,3458.21,0.0,4841.5,0.0,6224.78,0.0
678.334,3480000000000000.0,2035.0,0.0,3391.67,0.0,4748.34,0.0,6105.0,0.0
665.323,3524000000000000.0,1995.97,0.0,3326.61,0.0,4657.26,0.0,5987.91,0.0
652.605,3568000000000000.0,1957.81,0.0,3263.02,0.0,4568.23,0.0,5873.44,0.0
640.174,3610000000000000.0,1920.52,0.0,3200.87,0.0,4481.22,0.0,5761.57,0.0
628.026,3652000000000000.0,1884.08,0.0,3140.13,0.0,4396.18,0.0,5652.23,0.0
616.154,3692000000000000.0,1848.46,0.0,3080.77,0.0,4313.08,0.0,5545.39,0.0
604.554,3732000000000000.0,1813.66,0.0,3022.77,0.0,4231.88,0.0,5440.99,0.0
